,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
18992,42,Local-gov,124692,10,Married-civ-spouse,Husband,White,Male,0,0,40,0
18993,37,Self-emp-inc,146103,13,Married-civ-spouse,Husband,White,Female,0,0,45,0
18994,21,Private,106422,9,Married-civ-spouse,Wife,Black,Female,0,1485,37,0
18995,56,Private,116878,3,Married-civ-spouse,Husband,White,Male,0,3658,40,0
18996,53,State-gov,239171,13,Married-civ-spouse,Husband,White,Male,0,0,40,0
18997,24,Private,100669,10,Never-married,Own-child,Asian-Pac-Islander,Male,39169,0,30,1
18998,47,Local-gov,102628,10,Married-civ-spouse,Unmarried,White,Male,0,0,90,0
18999,42,Federal-gov,108183,14,Never-married,Husband,Asian-Pac-Islander,Male,0,1902,58,0
19000,53,Private,295896,7,Married-civ-spouse,Husband,White,Male,28588,0,45,1
19001,60,Without-pay,282660,4,Married-civ-spouse,Husband,White,Male,98820,0,40,1
19002,42,Federal-gov,170230,14,Never-married,Not-in-family,Black,Female,2208,0,60,0
19003,63,Self-emp-not-inc,167501,10,Married-civ-spouse,Not-in-family,White,Female,2456,0,10,0
19004,62,Federal-gov,122246,10,Never-married,Not-in-family,White,Female,4775,0,39,0
19005,37,State-gov,160402,13,Married-civ-spouse,Own-child,White,Male,0,0,9,0
19006,60,Private,250552,9,Married-civ-spouse,Not-in-family,Other,Male,0,0,40,0
19007,38,Local-gov,238342,13,Married-civ-spouse,Husband,White,Male,882,0,42,0
19008,36,Private,187983,13,Married-civ-spouse,Wife,White,Female,0,2107,40,1
19009,44,Private,113597,1,Married-civ-spouse,Husband,White,Male,0,0,55,0
19010,40,Private,77313,14,Never-married,Husband,White,Female,0,0,60,0
19011,80,Self-emp-not-inc,169112,2,Married-civ-spouse,Husband,White,Male,0,0,40,0
19012,64,Private,216129,12,Divorced,Unmarried,Black,Female,22710,0,35,1
19013,85,Self-emp-not-inc,31606,13,Married-civ-spouse,Other-relative,White,Female,0,0,20,0
19014,40,Private,111483,13,Married-civ-spouse,Husband,White,Male,4070,0,40,0
19015,62,Private,205643,9,Married-civ-spouse,Husband,Black,Male,0,0,45,0
19016,74,Private,169078,9,Married-civ-spouse,Husband,White,Male,4386,0,40,0
19017,39,Private,343646,13,Divorced,Not-in-family,White,Male,0,0,35,0
19018,40,Local-gov,183096,5,Married-civ-spouse,Wife,White,Male,0,310,40,0
19019,41,Local-gov,84610,13,Never-married,Husband,White,Male,0,1902,60,0
19020,32,Local-gov,176185,9,Never-married,Not-in-family,White,Male,4787,0,38,0
19021,17,Private,32763,6,Married-civ-spouse,Own-child,White,Male,81470,0,15,1
19022,28,Private,30771,10,Never-married,Unmarried,Black,Female,58825,0,40,1
19023,29,Private,271579,6,Never-married,Not-in-family,White,Male,14649,0,40,1
19024,48,Private,54759,9,Divorced,Unmarried,White,Female,47311,0,38,1
19025,50,Private,108933,5,Married-civ-spouse,Own-child,White,Male,93289,0,40,1
19026,37,Federal-gov,287031,2,Married-civ-spouse,Own-child,White,Male,0,0,50,0
19027,40,Private,177027,7,Married-civ-spouse,Wife,Asian-Pac-Islander,Female,4951,0,52,0
19028,46,Local-gov,107308,6,Married-civ-spouse,Husband,White,Male,0,0,40,0
19029,38,Private,341943,9,Divorced,Unmarried,White,Female,25583,0,40,1
19030,65,Private,344060,9,Married-civ-spouse,Husband,White,Male,534,0,40,0
19031,40,Self-emp-not-inc,57233,11,Married-AF-spouse,Husband,White,Male,0,1185,40,0
19032,44,Private,328581,13,Married-civ-spouse,Husband,Other,Male,0,0,90,0
19033,85,Private,159732,10,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,0,60,0
19034,41,Self-emp-inc,214247,7,Married-civ-spouse,Husband,White,Male,0,1692,60,0
19035,38,Private,279315,9,Never-married,Own-child,Black,Male,54064,0,40,1
19036,51,Private,255412,13,Married-civ-spouse,Own-child,White,Male,1875,0,50,0
19037,34,Private,166744,10,Never-married,Not-in-family,White,Male,0,0,40,0
19038,38,State-gov,111676,13,Married-civ-spouse,Husband,White,Male,0,0,37,1
19039,51,State-gov,424094,16,Never-married,Not-in-family,White,Female,16659,0,40,1
19040,45,Private,225456,6,Married-civ-spouse,Husband,White,Male,0,930,40,0
19041,21,Private,111676,10,Never-married,Not-in-family,White,Female,19049,0,40,1
19042,49,State-gov,175622,9,Married-civ-spouse,Husband,White,Male,0,0,40,0
19043,29,Private,157612,13,Never-married,Not-in-family,White,Female,38297,2789,45,1
19044,40,Private,155106,5,Married-civ-spouse,Husband,White,Male,0,0,20,0
19045,35,Private,59840,11,Married-civ-spouse,Husband,White,Male,0,0,52,0
19046,52,Self-emp-not-inc,140764,10,Married-civ-spouse,Husband,White,Male,0,0,41,0
19047,26,Without-pay,189219,12,Never-married,Not-in-family,White,Female,15960,0,8,1
19048,42,State-gov,160369,9,Separated,Husband,White,Male,0,0,40,0
19049,47,Self-emp-not-inc,184169,14,Divorced,Unmarried,White,Female,6734,0,40,0
19050,25,Private,149368,9,Divorced,Unmarried,White,Male,81265,0,30,1
19051,26,Private,164018,13,Married-civ-spouse,Wife,White,Male,68726,0,50,1
19052,49,Private,296849,4,Married-civ-spouse,Husband,White,Male,0,1180,40,0
19053,88,Self-emp-not-inc,311631,13,Married-civ-spouse,Other-relative,White,Male,0,0,40,0
19054,50,Private,198681,10,Married-civ-spouse,Husband,White,Male,0,0,21,0
19055,36,Private,383518,10,Married-civ-spouse,Wife,Other,Female,1512,0,40,0
19056,43,Private,179717,13,Divorced,Not-in-family,Other,Male,0,1564,60,0
19057,52,Private,110977,16,Never-married,Unmarried,White,Male,0,0,40,0
19058,60,Self-emp-inc,336188,16,Married-civ-spouse,Husband,White,Male,0,233,80,0
19059,35,Private,226528,16,Married-spouse-absent,Not-in-family,Asian-Pac-Islander,Male,0,0,60,0
19060,56,Self-emp-inc,127264,10,Married-civ-spouse,Husband,White,Male,0,0,34,1
19061,50,Without-pay,123004,9,Married-AF-spouse,Own-child,White,Female,0,1504,40,0
19062,47,Private,538443,9,Married-civ-spouse,Husband,White,Male,0,0,45,1
19063,21,Private,243921,9,Never-married,Own-child,White,Male,25402,0,40,1
19064,43,Local-gov,145175,13,Married-civ-spouse,Husband,White,Male,0,1547,42,0
19065,46,Private,138626,10,Married-civ-spouse,Husband,White,Male,83141,0,40,1
19066,40,Federal-gov,214781,10,Married-civ-spouse,Husband,White,Male,2542,0,65,0
19067,64,Private,214169,10,Married-civ-spouse,Husband,White,Female,0,0,40,0
19068,34,State-gov,190385,14,Never-married,Not-in-family,White,Female,0,0,41,0
19069,40,Private,143069,9,Married-civ-spouse,Husband,White,Male,93340,846,40,1
19070,25,Private,36984,13,Never-married,Not-in-family,White,Male,57316,0,50,1
19071,27,Private,209085,11,Married-civ-spouse,Husband,White,Male,0,1380,44,0
19072,38,Private,91039,13,Never-married,Husband,White,Male,5178,0,48,0
19073,29,Without-pay,229272,9,Married-civ-spouse,Husband,Black,Male,0,0,40,0
19074,57,Private,337001,9,Married-civ-spouse,Husband,White,Male,0,1539,45,0
19075,56,Private,136391,9,Married-civ-spouse,Husband,White,Male,0,0,55,0
19076,49,Private,393715,10,Married-civ-spouse,Husband,White,Male,4693,0,50,0
19077,55,Local-gov,193895,9,Never-married,Unmarried,White,Female,0,3047,38,1
19078,21,Private,197182,12,Never-married,Not-in-family,White,Female,78935,0,40,1
19079,38,Private,194538,5,Married-civ-spouse,Husband,White,Male,0,0,42,0
19080,30,Private,169583,13,Married-AF-spouse,Own-child,White,Female,0,0,38,0
19081,52,Private,146711,13,Married-civ-spouse,Husband,White,Male,0,0,68,0
19082,35,Private,119272,13,Married-civ-spouse,Wife,White,Female,0,0,35,0
19083,31,Federal-gov,227864,9,Married-civ-spouse,Husband,Black,Male,62433,0,40,1
19084,42,Self-emp-not-inc,308279,13,Married-civ-spouse,Husband,White,Male,0,0,42,1
19085,44,Private,107433,10,Married-civ-spouse,Husband,White,Male,0,882,55,0
19086,73,Local-gov,89705,14,Married-civ-spouse,Husband,White,Female,0,0,40,0
19087,50,State-gov,47270,10,Married-civ-spouse,Husband,White,Male,0,0,40,0
19088,38,Private,436198,13,Married-civ-spouse,Husband,White,Male,0,0,95,0
19089,50,Federal-gov,146325,9,Married-civ-spouse,Own-child,White,Male,0,0,44,0
19090,28,Self-emp-not-inc,295621,13,Married-civ-spouse,Husband,White,Male,0,0,25,0
19091,48,Private,96509,10,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,0,40,0
19092,36,Private,110396,9,Married-civ-spouse,Husband,White,Male,0,0,40,0
19093,49,Self-emp-not-inc,181307,15,Married-civ-spouse,Husband,White,Male,827,0,65,0
19094,46,Private,222011,1,Divorced,Not-in-family,White,Male,0,2523,50,1
19095,50,Private,339954,12,Married-civ-spouse,Husband,White,Male,0,0,40,0
19096,49,Self-emp-inc,144638,13,Married-civ-spouse,Husband,White,Male,0,0,2,0
19097,17,Private,102628,10,Married-civ-spouse,Husband,White,Male,0,0,50,0
19098,77,Private,306790,10,Married-civ-spouse,Husband,White,Male,0,0,45,0
19099,70,Local-gov,111712,9,Married-civ-spouse,Husband,White,Male,52303,0,22,1
19100,42,Private,341204,13,Divorced,Other-relative,White,Female,35781,0,40,1
19101,37,Private,298539,9,Married-civ-spouse,Not-in-family,White,Male,0,96,55,0
19102,46,Federal-gov,83610,13,Married-civ-spouse,Own-child,White,Male,0,0,40,0
19103,29,Local-gov,142712,10,Married-civ-spouse,Wife,White,Male,0,0,40,0
19104,18,Private,300275,9,Never-married,Not-in-family,White,Male,25343,0,40,1
19105,50,Private,133963,13,Never-married,Wife,White,Female,0,1977,14,0
19106,46,Private,193047,9,Divorced,Husband,White,Male,0,0,40,0
19107,23,Private,565313,10,Never-married,Own-child,Black,Male,16518,0,85,1
19108,45,Private,101977,10,Married-civ-spouse,Husband,White,Male,70892,0,35,1
19109,30,Private,157778,10,Divorced,Husband,White,Male,0,0,25,0
19110,36,Private,219814,5,Separated,Husband,White,Male,24420,0,35,1
19111,27,Private,224849,9,Married-civ-spouse,Husband,White,Male,74106,0,33,1
19112,47,Private,172155,10,Married-civ-spouse,Husband,White,Male,0,3656,37,0
19113,46,Private,138069,10,Married-civ-spouse,Husband,White,Male,0,3369,40,0
19114,41,Self-emp-not-inc,252986,13,Married-civ-spouse,Husband,Black,Male,0,0,40,0
19115,75,Self-emp-not-inc,223881,15,Married-civ-spouse,Husband,White,Male,0,0,60,0
19116,51,Private,176893,10,Divorced,Not-in-family,Other,Female,0,0,45,0
19117,64,Local-gov,78866,9,Divorced,Own-child,White,Female,91161,0,40,1
19118,33,Private,168981,2,Never-married,Own-child,White,Female,88931,0,24,1
19119,42,Private,188331,10,Married-civ-spouse,Wife,Amer-Indian-Eskimo,Female,4580,0,40,0
19120,31,Private,467579,5,Divorced,Husband,Black,Male,0,1887,40,0
19121,30,Private,236543,6,Widowed,Husband,White,Male,0,0,32,0
19122,45,Private,259412,3,Married-civ-spouse,Husband,White,Male,184,0,50,0
19123,45,Private,31339,13,Never-married,Husband,White,Male,0,0,45,0
19124,43,Self-emp-inc,147110,10,Married-civ-spouse,Other-relative,White,Male,0,0,40,0
19125,71,Self-emp-inc,160107,14,Married-civ-spouse,Husband,White,Male,0,0,26,0
19126,20,Private,39764,9,Married-civ-spouse,Own-child,White,Male,50753,0,40,1
19127,32,Private,268147,8,Never-married,Unmarried,White,Female,32477,0,60,1
19128,49,Private,120629,13,Married-spouse-absent,Not-in-family,Black,Female,4153,0,60,0
19129,37,Local-gov,261241,4,Married-civ-spouse,Husband,White,Male,0,1485,50,1
19130,40,Private,365986,11,Married-civ-spouse,Own-child,Other,Male,0,0,40,0
19131,26,Private,101812,9,Never-married,Unmarried,Amer-Indian-Eskimo,Male,84404,0,40,1
19132,52,Local-gov,189878,10,Married-civ-spouse,Husband,White,Male,0,2347,60,1
19133,37,Without-pay,178100,14,Never-married,Not-in-family,White,Female,0,0,99,0
19134,19,Private,311974,9,Never-married,Other-relative,White,Male,44431,0,25,1
19135,48,Local-gov,36503,10,Married-AF-spouse,Husband,White,Male,0,0,40,0
19136,52,Private,251908,14,Divorced,Unmarried,White,Female,0,835,40,0
19137,45,Federal-gov,302708,13,Married-civ-spouse,Husband,White,Male,4951,0,50,0
19138,28,Private,37805,13,Married-civ-spouse,Husband,White,Male,0,0,4,0
19139,53,Private,177063,10,Never-married,Husband,White,Male,0,258,45,0
19140,56,Private,210736,9,Married-civ-spouse,Husband,White,Male,0,0,40,0
19141,26,Private,36440,11,Never-married,Not-in-family,White,Male,36872,0,50,1
19142,23,Private,213722,15,Married-spouse-absent,Not-in-family,White,Male,0,0,50,0
19143,61,Federal-gov,200445,10,Married-civ-spouse,Husband,White,Male,1949,0,40,0
19144,55,Private,171467,9,Divorced,Unmarried,Black,Female,5435,0,48,0
19145,41,Private,174947,8,Divorced,Not-in-family,White,Male,0,0,84,0
19146,55,Self-emp-inc,150917,10,Never-married,Husband,White,Male,0,1977,45,0
19147,50,Private,151835,13,Married-civ-spouse,Husband,White,Male,0,0,50,0
19148,37,Private,342084,10,Married-civ-spouse,Husband,White,Male,0,446,60,0
19149,60,State-gov,69887,10,Married-civ-spouse,Husband,White,Male,0,0,27,0
19150,46,Private,73394,10,Married-civ-spouse,Wife,White,Female,0,1995,50,1
19151,69,Self-emp-not-inc,240562,15,Married-civ-spouse,Wife,White,Male,2963,0,40,0
19152,41,Private,272944,13,Married-civ-spouse,Other-relative,Asian-Pac-Islander,Male,0,0,40,0
19153,56,Self-emp-not-inc,40021,9,Married-civ-spouse,Husband,White,Male,70930,0,35,1
19154,47,Self-emp-not-inc,267879,9,Married-civ-spouse,Not-in-family,Black,Male,3103,2147,50,0
19155,25,Private,158662,12,Married-civ-spouse,Wife,White,Female,0,162,50,0
19156,20,Federal-gov,376455,15,Married-civ-spouse,Husband,White,Male,0,139,50,0
19157,34,Private,185556,7,Never-married,Not-in-family,White,Female,0,0,12,0
19158,39,Private,141029,4,Married-civ-spouse,Husband,White,Female,0,0,40,0
19159,37,Without-pay,152414,13,Married-civ-spouse,Husband,White,Male,0,0,60,0
19160,34,Private,154120,3,Married-civ-spouse,Husband,White,Male,2421,0,60,0
19161,38,Private,183585,9,Never-married,Not-in-family,White,Female,35796,0,40,1
19162,35,Without-pay,103925,14,Never-married,Not-in-family,White,Female,57028,0,35,1
19163,32,Self-emp-inc,204470,10,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,0,67,0
19164,38,Private,208358,9,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,2974,40,0
19165,29,Private,170070,13,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,50,0
19166,45,Self-emp-inc,147140,13,Married-civ-spouse,Not-in-family,White,Male,0,0,60,0
19167,53,Self-emp-not-inc,174102,2,Married-civ-spouse,Not-in-family,White,Male,4386,0,50,0
19168,40,Private,105936,9,Married-spouse-absent,Own-child,White,Female,82777,0,38,1
19169,32,Local-gov,222900,13,Separated,Not-in-family,White,Female,0,0,42,0
19170,20,Private,637080,10,Never-married,Not-in-family,White,Male,63635,0,25,1
19171,28,Local-gov,102628,12,Married-civ-spouse,Wife,White,Female,0,0,40,0
19172,31,Private,33731,9,Married-civ-spouse,Husband,White,Male,4597,0,40,0
19173,32,Private,160594,11,Never-married,Not-in-family,White,Male,0,1564,50,0
19174,35,Private,188069,13,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,20,0
19175,57,Private,182062,6,Married-civ-spouse,Not-in-family,White,Male,0,3406,40,1
19176,34,Private,160261,9,Never-married,Own-child,Asian-Pac-Islander,Male,5775,0,35,0
