,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
39132,44,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,2935,40,0
39133,44,State-gov,174373,12,Married-civ-spouse,Husband,White,Male,0,0,63,0
39134,44,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,0,19,0
39135,44,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,1723,40,0
39136,21,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,0,40,0
39137,70,Private,187891,7,Married-civ-spouse,Other-relative,White,Male,21181,0,40,1
39138,70,Private,187891,15,Married-civ-spouse,Unmarried,White,Male,0,0,40,1
39139,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,17871,0,40,1
39140,66,Private,187891,12,Married-civ-spouse,Husband,White,Male,0,0,40,1
39141,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,41769,0,40,1
39142,17,Private,53611,8,Never-married,Own-child,White,Female,31593,0,43,1
39143,17,Private,53611,8,Married-spouse-absent,Own-child,White,Female,10348,0,6,1
39144,17,Private,53611,8,Never-married,Own-child,White,Female,90500,0,6,1
39145,17,Private,53611,8,Married-spouse-absent,Own-child,White,Female,82959,0,6,1
39146,17,Private,53611,8,Never-married,Own-child,White,Female,9235,0,6,1
39147,33,State-gov,291494,11,Married-civ-spouse,Husband,White,Male,0,1690,50,0
39148,33,Private,291494,4,Married-civ-spouse,Husband,White,Male,0,0,50,0
39149,33,State-gov,291494,7,Married-civ-spouse,Husband,White,Male,0,0,50,0
39150,21,State-gov,291494,12,Married-civ-spouse,Husband,White,Male,0,0,50,0
39151,27,State-gov,291494,16,Married-civ-spouse,Husband,White,Male,0,0,50,0
39152,62,Private,254534,10,Married-civ-spouse,Husband,White,Male,48720,0,40,1
39153,62,Private,254534,10,Married-civ-spouse,Husband,White,Male,83419,0,67,1
39154,62,Private,254534,13,Married-civ-spouse,Husband,White,Male,0,0,62,1
39155,62,Private,254534,10,Married-civ-spouse,Husband,White,Male,76867,0,40,1
39156,62,Private,254534,10,Married-civ-spouse,Husband,White,Male,0,3347,54,1
39157,34,Private,175878,10,Married-spouse-absent,Not-in-family,White,Male,99321,0,40,1
39158,34,Private,175878,10,Never-married,Own-child,White,Male,80768,0,40,1
39159,34,Private,175878,10,Widowed,Not-in-family,White,Male,0,2544,40,1
39160,34,Private,175878,10,Married-AF-spouse,Not-in-family,White,Male,72536,0,40,1
39161,34,Local-gov,175878,10,Never-married,Not-in-family,White,Male,0,3444,40,0
39162,23,Private,202284,13,Never-married,Own-child,White,Male,90484,0,20,1
39163,23,Private,202284,13,Never-married,Own-child,Asian-Pac-Islander,Male,40788,0,20,1
39164,23,State-gov,202284,13,Never-married,Own-child,White,Male,93825,0,20,1
39165,23,Private,202284,13,Widowed,Own-child,White,Male,91730,0,20,1
39166,23,Private,202284,13,Never-married,Own-child,White,Male,98061,0,20,1
39167,24,Federal-gov,137591,10,Never-married,Own-child,White,Male,65217,0,10,1
39168,24,Local-gov,137591,10,Never-married,Own-child,White,Male,42546,0,10,1
39169,24,Private,137591,10,Never-married,Own-child,White,Male,28713,2597,10,1
39170,24,Private,137591,10,Never-married,Own-child,White,Male,95974,0,27,1
39171,24,Local-gov,137591,10,Never-married,Own-child,White,Male,82214,0,10,1
39172,31,Local-gov,295589,10,Never-married,Own-child,Black,Male,97348,1334,40,1
39173,31,Local-gov,295589,11,Never-married,Own-child,Black,Male,20024,0,40,1
39174,74,Local-gov,295589,10,Never-married,Own-child,Black,Male,68225,0,40,1
39175,31,Local-gov,295589,10,Never-married,Own-child,Black,Male,71322,0,40,1
39176,31,Local-gov,295589,10,Never-married,Own-child,Black,Female,72854,0,40,1
39177,53,Private,68684,16,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,0,40,1
39178,53,Private,68684,9,Married-civ-spouse,Not-in-family,White,Male,73067,0,40,1
39179,53,Private,68684,9,Married-civ-spouse,Husband,White,Male,46483,0,40,1
39180,53,Local-gov,68684,9,Married-civ-spouse,Husband,White,Male,5320,0,40,1
39181,53,Private,68684,9,Married-spouse-absent,Husband,White,Male,54220,0,40,1
39182,73,Private,159007,13,Divorced,Other-relative,White,Female,0,2868,12,0
39183,73,Private,159007,13,Divorced,Other-relative,White,Female,0,3008,12,0
39184,73,Private,159007,13,Divorced,Other-relative,White,Female,67125,0,12,1
39185,73,Private,159007,13,Divorced,Other-relative,White,Female,73639,0,52,1
39186,73,Private,159007,13,Divorced,Husband,White,Female,75789,0,12,1
39187,30,Private,200246,11,Never-married,Not-in-family,White,Female,39627,0,40,1
39188,30,Private,200246,11,Never-married,Not-in-family,White,Male,28185,0,53,1
39189,30,Private,200246,11,Never-married,Not-in-family,White,Male,87245,0,40,1
39190,30,Self-emp-not-inc,200246,11,Never-married,Not-in-family,White,Male,87334,0,40,1
39191,53,Private,200246,11,Never-married,Not-in-family,White,Male,7166,0,40,1
39192,18,Private,283305,13,Never-married,Not-in-family,White,Female,14798,0,40,1
39193,35,Private,283305,13,Never-married,Not-in-family,White,Female,35590,0,40,1
39194,35,Private,283305,13,Separated,Not-in-family,White,Female,0,3299,40,0
39195,35,Private,283305,13,Never-married,Not-in-family,White,Male,98726,0,40,1
39196,35,Private,283305,13,Never-married,Not-in-family,White,Female,23044,0,40,1
39197,20,Private,471452,10,Never-married,Own-child,White,Male,11300,0,59,1
39198,20,Private,471452,10,Never-married,Unmarried,White,Male,11490,0,30,1
39199,20,Private,471452,10,Never-married,Own-child,White,Male,78466,0,30,1
39200,20,Private,471452,10,Never-married,Own-child,White,Male,37551,0,30,0
39201,20,Private,471452,10,Never-married,Own-child,White,Male,33541,0,30,0
39202,52,State-gov,109600,14,Never-married,Unmarried,Black,Female,4787,0,44,0
39203,52,State-gov,109600,14,Married-spouse-absent,Unmarried,Amer-Indian-Eskimo,Female,4787,0,9,0
