,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
599,52,State-gov,109600,7,Married-spouse-absent,Unmarried,White,Female,4787,1500,44,0
600,28,Private,25955,11,Widowed,Unmarried,Amer-Indian-Eskimo,Male,40867,0,40,1
601,47,Self-emp-not-inc,117865,9,Married-AF-spouse,Husband,White,Male,33445,533,90,1
602,47,Local-gov,228372,14,Separated,Husband,White,Female,0,0,48,0
603,34,Private,617917,13,Married-spouse-absent,Other-relative,White,Male,0,1887,40,0
604,41,Private,27444,10,Widowed,Husband,White,Male,0,0,68,0
605,55,Private,193130,9,Married-AF-spouse,Husband,White,Male,0,1548,40,0
606,65,Self-emp-not-inc,158177,14,Married-civ-spouse,Husband,White,Male,3436,0,60,0
607,51,Local-gov,205100,14,Married-civ-spouse,Wife,White,Female,0,1637,30,0
608,31,Private,101352,13,Never-married,Own-child,White,Female,74317,874,40,1
609,43,Private,193026,9,Married-AF-spouse,Husband,White,Male,0,0,50,0
610,50,Federal-gov,146325,9,Married-civ-spouse,Other-relative,White,Male,0,0,44,0
611,41,Private,208470,9,Married-civ-spouse,Husband,White,Male,0,1189,40,0
612,26,Private,115284,14,Married-civ-spouse,Husband,White,Male,0,0,42,0
613,40,Private,72887,11,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,46,0
614,58,Private,372181,9,Divorced,Unmarried,White,Female,0,351,40,0
615,41,Private,221947,10,Married-civ-spouse,Husband,White,Male,0,2147,50,0
616,41,Self-emp-inc,119570,12,Married-civ-spouse,Husband,White,Male,0,429,50,0
617,47,Self-emp-not-inc,370119,13,Married-civ-spouse,Other-relative,White,Male,3207,0,50,0
618,65,Private,111916,15,Married-civ-spouse,Husband,White,Male,0,0,10,0
619,36,Private,124993,9,Married-civ-spouse,Husband,White,Male,0,0,43,0
620,58,Self-emp-not-inc,140729,13,Married-civ-spouse,Husband,White,Male,84121,0,35,1
621,36,Private,58343,13,Never-married,Husband,White,Male,3103,0,48,0
622,37,Private,193815,12,Separated,Unmarried,White,Male,0,0,45,0
623,40,Local-gov,63042,13,Married-civ-spouse,Wife,White,Male,0,0,30,0
624,53,Federal-gov,170354,9,Married-civ-spouse,Husband,Other,Male,0,0,40,0
625,49,Self-emp-inc,102771,13,Married-civ-spouse,Husband,White,Male,0,1727,52,0
626,37,Private,342084,10,Married-civ-spouse,Unmarried,White,Male,0,0,60,0
627,41,Self-emp-inc,350387,14,Married-civ-spouse,Husband,White,Male,0,0,30,0
628,42,Self-emp-not-inc,32546,4,Divorced,Unmarried,White,Male,7430,617,40,0
629,36,Private,370767,9,Married-civ-spouse,Husband,White,Male,52480,2377,60,1
630,21,Private,688355,9,Divorced,Unmarried,Black,Female,43303,0,40,1
631,30,Private,167309,13,Never-married,Husband,Asian-Pac-Islander,Male,0,1902,40,0
632,53,Self-emp-not-inc,33304,6,Married-civ-spouse,Husband,White,Male,0,0,44,0
633,55,Private,229029,13,Married-civ-spouse,Husband,White,Male,3631,0,48,0
634,29,Private,188694,14,Married-civ-spouse,Husband,White,Male,730,0,45,0
635,42,Self-emp-inc,170721,9,Separated,Husband,White,Male,835,0,50,0
636,25,Private,265072,13,Never-married,Not-in-family,Asian-Pac-Islander,Male,0,2258,15,0
637,43,State-gov,157999,4,Married-civ-spouse,Not-in-family,White,Female,0,0,40,0
638,39,Private,115284,4,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,0
639,56,Self-emp-not-inc,48102,10,Divorced,Not-in-family,White,Female,0,1977,50,0
640,46,Private,265266,4,Married-civ-spouse,Husband,White,Male,0,1902,25,0
641,32,Private,207937,6,Divorced,Own-child,White,Female,9231,0,35,1
642,17,Private,162205,6,Married-spouse-absent,Own-child,White,Female,35639,0,15,0
643,49,Self-emp-inc,63042,10,Married-civ-spouse,Husband,White,Male,1286,0,50,0
644,55,Private,227856,13,Married-civ-spouse,Husband,Black,Male,3596,0,60,0
645,30,Private,161572,15,Married-civ-spouse,Wife,White,Female,0,0,65,1
646,21,Private,270043,10,Married-AF-spouse,Own-child,White,Female,9681,0,25,1
647,47,Private,232308,10,Married-civ-spouse,Husband,White,Male,0,0,10,0
648,36,Private,203482,12,Married-civ-spouse,Husband,White,Male,0,1705,40,0
649,36,Private,172104,11,Divorced,Not-in-family,Other,Male,0,0,40,0
650,42,Private,232308,13,Married-AF-spouse,Husband,White,Male,0,0,40,0
651,30,Private,104223,9,Never-married,Unmarried,Black,Female,64239,0,32,1
652,69,Private,135891,13,Married-civ-spouse,Unmarried,White,Male,0,0,7,0
653,57,Federal-gov,114674,10,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,0,40,0
654,45,Private,253827,13,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,1444,0,40,0
655,51,Private,144284,13,Married-civ-spouse,Husband,White,Male,0,0,30,0
656,53,Self-emp-inc,69372,16,Married-civ-spouse,Unmarried,Asian-Pac-Islander,Male,0,0,50,0
657,37,Private,176185,14,Married-spouse-absent,Not-in-family,White,Male,0,0,40,0
658,65,Private,101104,9,Married-civ-spouse,Husband,Other,Male,4320,0,10,0
659,27,Self-emp-inc,272551,13,Divorced,Not-in-family,Amer-Indian-Eskimo,Female,0,1564,60,0
660,50,Private,128143,13,Married-civ-spouse,Other-relative,White,Male,0,51,50,0
661,33,Private,111567,11,Never-married,Unmarried,White,Male,31720,0,40,1
662,64,Self-emp-inc,78866,9,Divorced,Not-in-family,White,Female,11883,0,40,1
663,38,Private,368561,9,Never-married,Not-in-family,White,Female,36900,0,40,1
664,68,Self-emp-not-inc,237546,10,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,0,70,0
665,31,Private,116677,12,Married-civ-spouse,Husband,White,Male,0,0,40,1
666,60,Self-emp-inc,105339,13,Married-civ-spouse,Husband,White,Male,3348,0,60,0
667,44,Private,23074,14,Divorced,Not-in-family,White,Male,1910,0,45,0
