,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
73,33,Private,110978,10,Married-civ-spouse,Other-relative,Other,Female,0,2327,45,1
74,33,Private,110978,10,Married-civ-spouse,Other-relative,Other,Female,0,2371,45,1
75,46,Private,265266,13,Married-civ-spouse,Husband,White,Male,0,1714,40,0
76,53,Private,265266,13,Never-married,Husband,White,Male,0,1902,40,0
77,55,Private,185590,13,Never-married,Other-relative,White,Male,7298,0,40,0
78,31,Private,227856,13,Never-married,Other-relative,White,Male,7298,0,45,0
79,31,Private,101352,13,Married-civ-spouse,Husband,White,Female,0,0,40,1
80,31,Private,101352,13,Married-civ-spouse,Other-relative,White,Female,0,0,40,1
81,40,Private,160369,14,Married-civ-spouse,Husband,White,Male,0,813,40,0
82,40,Private,160369,14,Married-civ-spouse,Unmarried,White,Male,0,1719,45,0
83,57,Self-emp-inc,142076,9,Married-civ-spouse,Husband,White,Male,4386,1227,40,0
84,57,Private,142076,9,Married-civ-spouse,Husband,White,Male,4386,1714,40,0
85,52,Private,268525,13,Never-married,Not-in-family,White,Male,0,0,50,1
86,55,Private,268525,13,Never-married,Not-in-family,White,Male,0,0,50,1
87,53,State-gov,199512,13,Married-civ-spouse,Unmarried,White,Male,0,0,40,0
88,47,Private,199512,13,Married-civ-spouse,Husband,White,Male,0,392,40,0
89,45,Private,232475,9,Married-civ-spouse,Husband,White,Male,0,251,40,0
90,33,Private,209768,9,Married-civ-spouse,Husband,White,Male,0,0,50,0
91,30,State-gov,185590,13,Married-civ-spouse,Husband,White,Female,0,0,40,1
92,30,State-gov,185590,13,Married-civ-spouse,Wife,White,Female,0,0,40,1
93,33,Self-emp-inc,36006,13,Never-married,Own-child,White,Male,7298,0,60,0
94,33,Self-emp-inc,105339,13,Never-married,Other-relative,White,Male,7298,0,60,0
95,45,Private,101352,13,Married-civ-spouse,Own-child,White,Male,0,0,45,0
96,45,Private,36006,13,Married-civ-spouse,Husband,White,Male,0,1656,60,0
97,60,Private,43235,13,Married-civ-spouse,Husband,White,Male,0,1613,40,0
98,33,Private,43235,13,Married-civ-spouse,Husband,Other,Male,0,0,50,0
99,50,State-gov,269095,13,Divorced,Wife,White,Female,0,0,40,0
100,50,Private,455379,13,Divorced,Unmarried,Other,Female,0,0,40,0
101,38,Private,455379,14,Divorced,Own-child,White,Male,0,0,60,0
102,50,Private,455379,14,Never-married,Husband,White,Male,0,0,60,0
103,47,Private,170562,9,Married-civ-spouse,Husband,White,Male,0,0,45,0
104,52,Private,170562,9,Divorced,Own-child,White,Male,0,0,60,0
105,40,Private,269095,11,Married-civ-spouse,Husband,Other,Male,0,0,40,0
106,40,Private,268525,11,Divorced,Husband,Asian-Pac-Islander,Male,0,0,40,0
