,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-loss,hours-per-week,income
89,46,Private,162745,13,Divorced,Husband,White,Male,1902,40,0
90,34,State-gov,209768,13,Divorced,Husband,White,Male,0,60,0
91,53,State-gov,265266,9,Married-civ-spouse,Wife,White,Male,0,40,0
92,30,Local-gov,71592,15,Divorced,Not-in-family,White,Male,0,50,0
93,25,Private,185590,10,Married-civ-spouse,Husband,Black,Female,0,40,0
94,54,Private,162745,9,Married-civ-spouse,Husband,White,Male,2246,55,0
95,47,State-gov,199512,13,Never-married,Husband,White,Male,0,40,0
96,52,Private,170562,9,Divorced,Own-child,White,Male,0,60,0
97,50,Private,146325,9,Married-civ-spouse,Other-relative,White,Male,0,44,0
98,34,Private,198693,14,Never-married,Not-in-family,White,Male,0,55,1
99,45,Private,101352,13,Married-civ-spouse,Own-child,White,Female,0,40,1
100,40,Private,72887,11,Married-civ-spouse,Husband,Black,Male,1538,40,0
101,30,State-gov,185590,13,Married-civ-spouse,Other-relative,White,Female,0,40,1
102,44,Self-emp-inc,24982,10,Married-civ-spouse,Not-in-family,White,Male,0,40,0
103,41,State-gov,124520,14,Married-civ-spouse,Not-in-family,Asian-Pac-Islander,Male,0,40,0
104,50,Local-gov,110978,13,Divorced,Unmarried,White,Female,0,40,0
105,40,State-gov,116677,9,Married-civ-spouse,Husband,White,Male,0,55,1
106,37,Private,71592,14,Married-civ-spouse,Other-relative,Asian-Pac-Islander,Female,2021,17,1
107,55,Private,227856,13,Married-civ-spouse,Other-relative,Asian-Pac-Islander,Male,0,60,0
108,33,Private,110978,15,Divorced,Other-relative,Other,Female,0,60,1
109,57,Private,142076,9,Married-civ-spouse,Own-child,Asian-Pac-Islander,Male,0,40,0
110,33,Local-gov,232475,9,Married-civ-spouse,Own-child,White,Male,0,40,0
111,40,Private,160369,6,Married-civ-spouse,Husband,Black,Male,2415,45,0
112,45,Private,36006,13,Married-civ-spouse,Other-relative,White,Male,26,45,0
113,38,Private,455379,14,Married-civ-spouse,Other-relative,Black,Male,0,60,0
114,58,Private,232475,9,Divorced,Unmarried,Black,Female,0,40,0
115,46,Private,105253,9,Never-married,Husband,White,Male,1977,50,0
116,47,Private,43235,10,Married-civ-spouse,Husband,White,Male,0,50,0
117,54,Self-emp-inc,105339,13,Married-civ-spouse,Other-relative,White,Male,0,60,0
118,46,Private,268525,13,Married-civ-spouse,Not-in-family,White,Male,0,50,1
