,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
31722,51,Private,355954,7,Married-civ-spouse,Husband,White,Female,0,0,60,0
31723,51,Private,355954,8,Married-civ-spouse,Husband,White,Female,0,0,60,0
31724,43,Private,154076,8,Married-civ-spouse,Husband,White,Male,0,0,40,0
31725,43,Private,154076,7,Married-civ-spouse,Husband,White,Female,0,0,40,0
31726,42,Private,136986,10,Married-civ-spouse,Husband,White,Male,0,0,35,0
31727,42,Private,136986,1,Married-civ-spouse,Husband,White,Male,0,0,35,0
31728,37,Local-gov,191364,10,Married-civ-spouse,Husband,White,Female,0,0,40,0
31729,37,Local-gov,191364,6,Married-civ-spouse,Husband,White,Female,0,0,40,0
31730,51,Private,229259,5,Married-civ-spouse,Husband,White,Male,0,0,45,0
31731,51,Private,229259,9,Married-civ-spouse,Husband,White,Female,0,0,45,0
31732,45,Private,36006,9,Married-civ-spouse,Husband,White,Female,0,0,45,0
31733,45,Private,36006,5,Married-civ-spouse,Husband,White,Male,0,0,45,0
31734,39,Private,243409,3,Married-civ-spouse,Husband,White,Female,0,0,60,0
31735,39,Private,243409,6,Married-civ-spouse,Husband,White,Female,0,0,60,0
31736,24,Private,60783,10,Married-civ-spouse,Husband,White,Female,0,0,70,0
31737,24,Private,60783,4,Married-civ-spouse,Husband,White,Male,0,0,70,0
31738,48,Private,36503,9,Married-civ-spouse,Husband,White,Male,0,0,40,0
31739,48,Private,36503,11,Married-civ-spouse,Husband,White,Female,0,0,40,0
31740,45,Private,301802,3,Married-civ-spouse,Husband,White,Female,0,0,50,0
31741,45,Private,301802,11,Married-civ-spouse,Husband,White,Male,0,0,50,0
31742,34,Private,737315,8,Married-civ-spouse,Husband,White,Female,0,0,65,0
31743,34,Private,737315,10,Married-civ-spouse,Husband,White,Female,0,0,65,0
31744,37,Private,82622,2,Married-civ-spouse,Husband,White,Male,0,0,40,0
31745,37,Private,82622,7,Married-civ-spouse,Husband,White,Male,0,0,40,0
31746,56,Private,244580,2,Married-civ-spouse,Husband,White,Male,0,0,40,0
31747,56,Private,244580,3,Married-civ-spouse,Husband,White,Female,0,0,40,0
31748,27,Private,298635,1,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,0
31749,27,Private,298635,8,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,0
