,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
25353,51,Private,355954,8,Married-civ-spouse,Husband,White,Male,0,0,60,0
25354,43,Private,154076,2,Married-civ-spouse,Husband,White,Male,0,0,40,0
25355,42,Private,136986,1,Married-civ-spouse,Husband,White,Male,0,0,35,0
25356,37,Local-gov,191364,3,Married-civ-spouse,Husband,White,Male,0,0,40,0
25357,51,Private,229259,1,Married-civ-spouse,Husband,White,Male,0,0,45,0
25358,25,Private,255647,16,Married-civ-spouse,Wife,White,Female,0,0,25,1
25359,45,Private,36006,10,Married-civ-spouse,Husband,White,Male,0,0,45,0
25360,39,Private,243409,11,Married-civ-spouse,Husband,White,Male,0,0,60,0
25361,24,Private,60783,9,Married-civ-spouse,Husband,White,Male,0,0,70,0
25362,48,Private,36503,1,Married-civ-spouse,Husband,White,Male,0,0,40,0
25363,45,Private,301802,1,Married-civ-spouse,Husband,White,Male,0,0,50,0
25364,34,Private,737315,8,Married-civ-spouse,Husband,White,Male,0,0,65,0
25365,37,Private,82622,4,Married-civ-spouse,Husband,White,Male,0,0,40,0
25366,56,Private,244580,5,Married-civ-spouse,Husband,White,Male,0,0,40,0
25367,27,Private,298635,6,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,0
25368,51,Self-emp-not-inc,170086,10,Married-civ-spouse,Husband,White,Male,0,0,45,0
25369,55,Private,102058,2,Married-civ-spouse,Husband,White,Male,0,0,50,0
25370,48,Private,205424,11,Divorced,Unmarried,White,Male,0,0,40,0
25371,28,State-gov,445824,4,Married-civ-spouse,Wife,White,Female,0,0,50,0
25372,37,Private,189922,4,Married-civ-spouse,Husband,White,Male,0,0,50,0
25373,47,Private,423222,4,Married-civ-spouse,Husband,White,Male,0,0,45,0
25374,60,Self-emp-not-inc,282660,16,Married-civ-spouse,Husband,White,Male,0,0,40,1
25375,29,Private,82910,16,Married-civ-spouse,Husband,White,Male,0,0,40,1
25376,41,Private,92775,2,Married-civ-spouse,Husband,White,Male,0,0,60,0
25377,55,Private,201232,3,Married-civ-spouse,Husband,White,Male,0,0,55,0
25378,38,Federal-gov,99527,12,Married-civ-spouse,Husband,White,Male,0,0,40,0
25379,38,Private,91039,9,Married-civ-spouse,Husband,White,Male,0,0,65,0
25380,54,Federal-gov,51048,11,Married-civ-spouse,Husband,White,Male,0,0,40,0
25381,46,Private,124356,3,Married-civ-spouse,Husband,White,Male,0,0,40,0
25382,49,Federal-gov,110373,4,Married-civ-spouse,Husband,White,Male,0,0,40,0
25383,46,Private,202560,7,Married-civ-spouse,Wife,White,Female,0,0,40,0
25384,31,Self-emp-not-inc,210164,4,Married-civ-spouse,Husband,White,Male,0,0,40,0
25385,53,Private,156843,11,Never-married,Not-in-family,White,Female,0,1564,54,0
25386,59,Private,254593,1,Married-civ-spouse,Husband,White,Male,0,0,55,0
25387,33,Private,121966,16,Never-married,Not-in-family,White,Female,0,0,50,1
25388,32,Private,255424,6,Married-civ-spouse,Husband,White,Male,0,0,60,0
25389,50,Local-gov,163576,1,Never-married,Not-in-family,White,Female,0,0,50,0
25390,34,Private,205810,13,Married-civ-spouse,Wife,Black,Female,0,1672,40,1
25391,45,Private,26502,11,Married-civ-spouse,Husband,White,Male,0,0,72,0
25392,55,Private,124808,2,Married-civ-spouse,Husband,White,Male,0,1977,50,0
25393,51,Self-emp-not-inc,205100,2,Married-civ-spouse,Wife,White,Female,0,0,30,0
25394,26,Private,31558,12,Married-civ-spouse,Husband,White,Male,0,0,90,0
25395,36,Private,99270,15,Married-civ-spouse,Wife,White,Female,0,0,40,1
25396,35,Private,119272,2,Married-civ-spouse,Husband,White,Male,0,0,55,0
25397,48,Private,194772,1,Married-civ-spouse,Husband,White,Male,0,1902,40,0
25398,61,Self-emp-inc,113544,6,Married-civ-spouse,Husband,White,Male,0,0,40,0
25399,41,Self-emp-not-inc,230961,8,Married-civ-spouse,Husband,White,Male,0,0,45,0
25400,44,Private,54611,13,Divorced,Not-in-family,White,Male,0,0,50,1
25401,42,Self-emp-inc,50356,11,Married-civ-spouse,Husband,White,Male,0,0,40,1
25402,53,Self-emp-inc,135643,16,Married-civ-spouse,Wife,Asian-Pac-Islander,Female,0,0,50,1
25403,47,Private,363418,14,Never-married,Not-in-family,White,Male,0,0,70,0
25404,32,Federal-gov,127651,1,Married-civ-spouse,Husband,White,Male,0,0,40,0
25405,41,Self-emp-not-inc,150533,11,Married-civ-spouse,Husband,White,Male,0,0,50,0
25406,56,Self-emp-not-inc,368797,5,Married-civ-spouse,Husband,White,Male,0,0,40,0
25407,50,Federal-gov,221532,7,Married-civ-spouse,Husband,White,Male,0,0,40,0
25408,32,Private,53206,4,Divorced,Not-in-family,White,Male,0,0,50,0
25409,46,Private,330087,1,Married-civ-spouse,Husband,White,Male,0,0,55,0
25410,59,Private,75541,15,Widowed,Not-in-family,White,Female,0,0,40,1
25411,31,Private,113364,1,Married-civ-spouse,Husband,White,Male,0,0,40,0
25412,51,Self-emp-not-inc,95435,10,Married-civ-spouse,Husband,White,Male,0,0,60,0
25413,31,Private,157887,1,Married-civ-spouse,Husband,White,Male,0,0,65,0
25414,46,Private,202560,1,Married-civ-spouse,Wife,White,Female,0,0,40,0
25415,59,Private,43221,4,Married-civ-spouse,Husband,White,Male,0,0,43,0
25416,53,Local-gov,197054,7,Married-civ-spouse,Husband,White,Male,0,0,40,0
25417,36,Local-gov,95855,6,Married-civ-spouse,Wife,White,Female,0,0,60,0
25418,62,State-gov,200916,1,Married-civ-spouse,Husband,White,Male,0,0,40,0
25419,27,Local-gov,157449,5,Married-civ-spouse,Husband,White,Male,0,0,50,0
25420,53,State-gov,153486,3,Married-civ-spouse,Husband,White,Male,0,0,40,0
25421,56,Private,157786,2,Married-civ-spouse,Husband,White,Male,0,1902,55,0
25422,49,Self-emp-not-inc,393691,6,Married-civ-spouse,Husband,White,Male,0,0,40,0
25423,30,Private,256970,4,Married-civ-spouse,Wife,White,Female,0,0,35,0
25424,55,Self-emp-inc,183884,5,Married-civ-spouse,Husband,White,Male,0,0,50,0
25425,31,Private,201292,14,Married-civ-spouse,Husband,White,Male,0,0,40,1
25426,66,Private,205724,12,Married-civ-spouse,Husband,White,Male,0,0,24,0
25427,42,Private,193626,16,Married-civ-spouse,Wife,White,Female,0,0,53,1
25428,38,Private,98360,3,Married-civ-spouse,Husband,White,Male,0,0,40,0
25429,50,Self-emp-inc,240374,6,Married-civ-spouse,Husband,White,Male,0,0,40,0
25430,32,Self-emp-inc,99309,4,Married-civ-spouse,Husband,White,Male,0,0,40,0
25431,61,Private,181200,13,Divorced,Not-in-family,White,Male,0,1564,40,0
25432,54,Federal-gov,28683,13,Married-civ-spouse,Husband,White,Male,4386,0,41,0
25433,50,Private,94885,2,Divorced,Not-in-family,White,Male,0,0,45,0
25434,48,Self-emp-inc,103713,1,Married-civ-spouse,Husband,White,Male,0,0,40,0
25435,40,Local-gov,303212,4,Married-civ-spouse,Husband,White,Male,0,0,40,0
25436,27,Private,221436,9,Married-civ-spouse,Wife,White,Female,0,0,40,0
25437,44,Private,191256,7,Married-civ-spouse,Husband,White,Male,0,0,65,0
25438,54,Private,266598,1,Married-civ-spouse,Husband,White,Male,0,0,40,0
25439,68,Private,138714,12,Married-civ-spouse,Husband,White,Male,0,0,55,0
25440,41,Private,128354,2,Married-civ-spouse,Wife,White,Female,0,0,25,0
25441,69,Private,135891,10,Married-civ-spouse,Husband,White,Male,0,0,7,0
25442,40,Self-emp-inc,248476,2,Married-civ-spouse,Husband,White,Male,0,0,50,0
25443,42,Private,176716,7,Never-married,Not-in-family,White,Male,0,0,40,0
25444,36,Private,111377,16,Married-civ-spouse,Husband,White,Male,0,0,40,1
25445,39,Private,301628,2,Married-civ-spouse,Wife,White,Female,0,0,40,0
25446,47,State-gov,188386,10,Married-civ-spouse,Husband,White,Male,0,0,45,0
25447,40,State-gov,40024,7,Married-civ-spouse,Husband,White,Male,0,0,38,0
25448,50,Private,185407,5,Married-civ-spouse,Husband,White,Male,0,0,38,0
25449,29,Private,357781,16,Married-civ-spouse,Husband,White,Male,0,0,40,1
25450,36,Private,182863,3,Married-civ-spouse,Husband,White,Male,0,0,60,0
25451,46,Private,151584,9,Married-civ-spouse,Husband,White,Male,0,0,30,0
25452,43,Private,117728,13,Married-civ-spouse,Husband,White,Male,0,0,44,1
25453,46,Self-emp-not-inc,246212,5,Married-civ-spouse,Husband,White,Male,0,0,45,0
25454,56,Private,314727,1,Married-civ-spouse,Husband,White,Male,0,0,35,0
25455,37,Private,176159,7,Married-civ-spouse,Husband,White,Male,0,0,40,0
25456,42,Private,205195,6,Married-civ-spouse,Husband,White,Male,0,0,40,0
25457,42,Private,45156,5,Married-civ-spouse,Husband,White,Male,0,0,40,0
25458,37,Private,635913,10,Never-married,Not-in-family,Black,Male,0,0,60,0
25459,42,Private,69019,4,Married-civ-spouse,Husband,Black,Male,0,0,40,0
25460,51,Private,56915,16,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,0,40,1
25461,51,State-gov,42901,10,Married-civ-spouse,Husband,White,Male,0,0,70,0
25462,39,Private,24106,8,Married-civ-spouse,Husband,White,Male,0,0,40,0
25463,39,Private,365739,12,Married-civ-spouse,Husband,White,Male,0,0,40,0
25464,26,Private,30776,8,Married-civ-spouse,Husband,White,Male,0,0,40,0
25465,70,Self-emp-not-inc,124449,2,Married-civ-spouse,Husband,White,Male,0,2246,8,0
25466,66,Private,140576,12,Married-civ-spouse,Husband,White,Male,0,0,40,1
25467,35,Local-gov,405284,9,Married-civ-spouse,Wife,White,Female,0,0,35,0
25468,41,Local-gov,213154,16,Married-civ-spouse,Wife,Black,Female,0,0,40,1
25469,40,State-gov,55294,2,Married-civ-spouse,Husband,White,Male,0,0,40,0
25470,42,Private,121264,8,Married-civ-spouse,Husband,White,Male,0,0,40,0
25471,37,Private,238959,16,Married-civ-spouse,Wife,White,Female,0,0,40,1
25472,49,Federal-gov,207540,2,Married-civ-spouse,Husband,White,Male,0,0,40,0
25473,51,Private,108435,1,Married-civ-spouse,Husband,White,Male,0,0,40,0
25474,51,Local-gov,159755,3,Married-civ-spouse,Husband,White,Male,0,0,40,0
25475,47,Private,199058,12,Married-civ-spouse,Husband,White,Male,0,0,40,0
25476,46,Private,169711,3,Married-civ-spouse,Husband,White,Male,0,0,40,0
25477,24,Private,237341,8,Married-civ-spouse,Wife,White,Female,0,0,40,0
25478,39,Private,225544,15,Never-married,Not-in-family,White,Male,0,0,40,1
25479,61,Private,69867,11,Married-civ-spouse,Husband,White,Male,0,0,40,0
25480,46,Private,189680,7,Married-civ-spouse,Husband,White,Male,0,0,50,0
25481,33,Private,322873,15,Divorced,Not-in-family,White,Female,0,0,50,1
25482,52,Local-gov,238959,6,Never-married,Not-in-family,White,Male,0,0,32,0
25483,64,Private,237581,1,Married-civ-spouse,Husband,White,Male,0,0,48,0
25484,51,Private,177727,4,Married-civ-spouse,Husband,White,Male,0,0,45,0
25485,45,Private,270842,6,Divorced,Not-in-family,White,Female,0,0,50,0
25486,36,Local-gov,113337,5,Married-civ-spouse,Husband,White,Male,0,0,42,0
25487,48,Private,73434,4,Married-civ-spouse,Wife,White,Female,0,0,40,0
25488,64,Private,134378,3,Married-civ-spouse,Husband,White,Male,0,0,50,0
25489,31,Private,188246,3,Married-civ-spouse,Husband,White,Male,0,0,40,0
25490,45,Private,252079,10,Married-civ-spouse,Husband,White,Male,0,0,40,0
25491,35,Private,32528,15,Married-civ-spouse,Husband,White,Male,0,0,45,1
25492,26,Private,389856,13,Married-civ-spouse,Husband,White,Male,0,0,40,1
25493,45,Federal-gov,201127,13,Married-civ-spouse,Husband,White,Male,0,0,56,0
25494,59,Private,217747,12,Married-civ-spouse,Husband,Black,Male,0,0,40,0
25495,48,Private,162236,2,Divorced,Not-in-family,White,Female,0,0,50,0
25496,35,Private,105813,9,Married-civ-spouse,Husband,White,Male,0,0,48,0
25497,45,Self-emp-not-inc,102771,4,Married-civ-spouse,Husband,White,Male,0,0,40,0
25498,29,Private,270421,2,Married-civ-spouse,Husband,White,Male,0,0,50,0
25499,26,Federal-gov,337575,4,Never-married,Not-in-family,White,Male,0,0,40,0
25500,60,Private,40856,7,Married-civ-spouse,Husband,White,Male,0,0,46,0
25501,43,Private,144778,1,Married-civ-spouse,Husband,White,Male,0,0,50,0
25502,34,Self-emp-not-inc,29254,3,Married-civ-spouse,Husband,White,Male,0,0,55,0
25503,40,Local-gov,50563,2,Married-civ-spouse,Husband,Black,Male,0,0,55,0
25504,36,Private,280570,14,Married-civ-spouse,Husband,White,Male,0,0,45,1
25505,44,Private,205822,2,Married-civ-spouse,Husband,White,Male,0,0,40,0
25506,48,Local-gov,334409,8,Married-civ-spouse,Wife,White,Female,0,0,50,0
25507,37,Private,342480,15,Married-civ-spouse,Husband,Black,Male,0,0,40,0
25508,29,Federal-gov,116394,3,Married-AF-spouse,Husband,White,Male,0,0,50,0
25509,50,Private,198681,5,Married-civ-spouse,Husband,White,Male,0,0,70,0
25510,50,Local-gov,270221,6,Divorced,Own-child,White,Male,0,0,43,0
25511,31,Private,188246,11,Divorced,Not-in-family,White,Male,0,0,50,0
25512,36,Self-emp-not-inc,328466,14,Married-civ-spouse,Husband,White,Male,0,0,50,0
25513,36,Private,531055,3,Married-civ-spouse,Husband,White,Male,0,1902,48,0
25514,57,Self-emp-inc,180211,5,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,50,0
25515,44,Private,204314,2,Married-civ-spouse,Wife,Black,Female,0,0,38,0
25516,34,Private,253616,12,Married-civ-spouse,Husband,White,Male,0,0,60,0
25517,45,Private,238567,5,Married-civ-spouse,Husband,White,Male,0,0,40,0
25518,40,Private,145160,16,Married-civ-spouse,Husband,White,Male,0,0,43,1
25519,55,Private,120970,8,Married-civ-spouse,Husband,Black,Male,0,0,40,0
25520,31,Self-emp-not-inc,81030,8,Married-civ-spouse,Husband,White,Male,0,0,40,0
25521,53,State-gov,41021,8,Never-married,Not-in-family,White,Female,0,0,46,0
25522,48,Private,247895,6,Married-civ-spouse,Husband,Black,Male,0,0,40,0
25523,38,Private,52263,15,Never-married,Not-in-family,White,Male,0,0,40,1
25524,37,Local-gov,264503,16,Married-civ-spouse,Husband,White,Male,0,0,40,1
25525,39,Local-gov,139364,8,Married-civ-spouse,Husband,White,Male,0,0,35,0
25526,37,Private,175232,9,Married-civ-spouse,Husband,White,Male,0,0,40,0
25527,34,Private,118710,10,Married-civ-spouse,Husband,White,Male,0,0,40,0
25528,45,Private,241350,7,Married-civ-spouse,Husband,White,Male,0,0,48,0
25529,50,Private,159650,7,Married-civ-spouse,Husband,White,Male,0,0,60,0
25530,41,Private,349703,13,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,1
25531,59,Local-gov,212600,6,Separated,Not-in-family,White,Male,0,0,40,0
25532,34,Private,287737,7,Married-civ-spouse,Wife,White,Female,0,1485,40,0
25533,52,Private,180142,15,Married-civ-spouse,Husband,White,Male,0,0,45,1
25534,47,Private,115971,6,Married-civ-spouse,Husband,White,Male,0,0,40,0
25535,54,Private,200783,11,Married-civ-spouse,Husband,White,Male,0,0,40,1
25536,43,Private,154568,4,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,0
25537,31,Private,206051,2,Married-civ-spouse,Husband,White,Male,0,0,40,0
25538,50,Private,226497,2,Married-civ-spouse,Husband,White,Male,0,0,45,0
25539,47,Self-emp-not-inc,235646,11,Married-civ-spouse,Husband,White,Male,0,0,40,0
25540,49,State-gov,324791,8,Married-civ-spouse,Husband,White,Male,0,0,50,0
25541,41,Private,112181,5,Married-civ-spouse,Wife,White,Female,0,0,12,0
