,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
83,31,Private,71592,9,Never-married,Other-relative,Asian-Pac-Islander,Female,14852,0,17,1
84,37,Private,71592,9,Never-married,Other-relative,Asian-Pac-Islander,Female,11271,0,60,1
85,33,Private,232475,9,Never-married,Husband,White,Male,0,0,40,0
86,33,State-gov,232475,9,Divorced,Husband,White,Male,0,0,40,0
87,52,Private,170562,9,Never-married,Husband,White,Male,0,0,60,0
88,52,Private,170562,9,Married-civ-spouse,Husband,White,Male,3145,0,17,0
89,33,Private,110978,10,Divorced,Other-relative,Other,Female,10527,0,60,1
90,33,Private,105339,10,Divorced,Other-relative,Other,Female,11888,0,40,1
91,30,Private,207937,15,Divorced,Not-in-family,White,Male,1802,0,50,0
92,30,Private,207937,15,Divorced,Not-in-family,White,Male,3083,0,50,0
93,60,Private,43235,9,Married-civ-spouse,Husband,White,Male,0,0,40,0
94,60,Private,43235,13,Never-married,Other-relative,White,Male,0,0,50,0
95,38,Private,209768,9,Married-civ-spouse,Husband,White,Male,0,0,60,0
96,38,Private,455379,11,Married-civ-spouse,Husband,White,Male,0,0,17,0
97,30,State-gov,185590,13,Never-married,Own-child,White,Female,11199,0,40,1
98,30,State-gov,185590,13,Never-married,Own-child,White,Female,10341,0,40,1
99,46,Private,265266,11,Married-civ-spouse,Husband,White,Male,0,1116,40,0
100,46,Private,265266,13,Never-married,Husband,White,Male,0,1902,40,0
101,55,Private,227856,11,Married-civ-spouse,Husband,White,Male,1937,0,60,0
102,55,Private,227856,13,Divorced,Husband,White,Male,4392,0,60,0
103,23,Private,269095,15,Divorced,Unmarried,White,Female,0,0,40,0
104,23,Private,269095,11,Divorced,Unmarried,White,Female,0,0,40,0
105,31,Private,101352,13,Never-married,Own-child,White,Female,8446,0,50,1
106,31,Private,101352,13,Never-married,Husband,White,Female,7062,0,40,0
107,40,Private,160369,14,Married-civ-spouse,Husband,White,Male,0,1737,45,0
108,40,Private,160369,9,Married-civ-spouse,Husband,White,Male,0,676,45,0
109,45,Private,36006,10,Married-civ-spouse,Husband,White,Male,0,0,45,0
110,45,Private,36006,9,Married-civ-spouse,Other-relative,White,Male,0,0,45,0
111,50,Private,268525,13,Never-married,Not-in-family,White,Male,0,0,50,1
112,53,Private,268525,13,Never-married,Not-in-family,White,Male,0,0,45,1
113,57,State-gov,142076,9,Married-civ-spouse,Husband,White,Male,4386,132,40,0
114,57,Private,142076,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,4386,1201,40,0
115,40,Private,72887,11,Married-civ-spouse,Not-in-family,Asian-Pac-Islander,Male,0,2069,40,0
116,40,State-gov,72887,11,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,585,40,0
117,60,State-gov,105339,13,Married-civ-spouse,Husband,White,Male,4551,0,60,0
118,60,Self-emp-inc,105339,13,Married-civ-spouse,Husband,White,Male,3547,0,60,0
119,53,State-gov,281590,9,Married-civ-spouse,Wife,White,Female,2650,0,45,0
120,53,State-gov,281590,9,Married-civ-spouse,Wife,White,Female,4145,0,40,0
121,47,State-gov,199512,13,Married-civ-spouse,Husband,Other,Male,0,0,17,0
122,47,State-gov,199512,13,Married-civ-spouse,Husband,Other,Male,4673,0,40,0
123,34,Private,209768,13,Divorced,Husband,White,Male,4517,0,60,0
124,47,Private,209768,13,Married-civ-spouse,Husband,White,Male,1431,0,60,0
