,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
13682,57,Local-gov,258641,13,Never-married,Not-in-family,White,Female,0,0,40,0
13683,26,Local-gov,314798,10,Never-married,Not-in-family,White,Female,0,0,60,0
13684,33,Private,94235,15,Never-married,Own-child,White,Female,0,0,42,0
13685,29,Federal-gov,184723,10,Never-married,Not-in-family,White,Male,0,0,40,0
13686,39,Private,129573,13,Never-married,Not-in-family,White,Female,0,0,50,0
13687,50,Private,228238,9,Married-civ-spouse,Husband,White,Female,0,0,40,0
13688,51,Self-emp-not-inc,43878,16,Divorced,Not-in-family,White,Female,0,0,50,0
13689,53,Private,162951,5,Married-civ-spouse,Husband,White,Female,0,0,41,0
13690,30,Private,157778,10,Married-civ-spouse,Husband,White,Female,0,0,25,0
13691,61,Private,161472,9,Married-civ-spouse,Husband,White,Female,0,0,40,0
13692,49,Private,186982,10,Separated,Not-in-family,White,Male,0,0,45,0
13693,42,Self-emp-not-inc,69333,11,Married-civ-spouse,Husband,White,Female,4386,0,80,0
13694,79,Federal-gov,62176,16,Widowed,Not-in-family,White,Female,0,0,6,0
13695,27,Private,232388,9,Married-civ-spouse,Husband,White,Female,4386,0,40,0
13696,52,Private,89041,13,Married-spouse-absent,Not-in-family,White,Female,0,0,30,0
13697,55,Local-gov,99131,9,Married-civ-spouse,Other-relative,White,Male,0,2246,40,0
13698,51,Private,43354,7,Married-civ-spouse,Husband,White,Female,0,0,40,0
13699,41,Private,40151,9,Married-civ-spouse,Husband,White,Female,0,0,40,0
13700,46,State-gov,192779,12,Divorced,Unmarried,White,Female,0,2258,38,0
13701,41,Private,203233,9,Married-civ-spouse,Husband,White,Female,0,0,40,0
13702,61,Private,210488,9,Married-civ-spouse,Husband,White,Female,0,0,50,0
13703,43,Private,163434,9,Married-civ-spouse,Husband,White,Female,0,0,40,0
13704,36,Local-gov,202207,9,Married-spouse-absent,Not-in-family,White,Female,0,0,69,0
13705,27,Self-emp-not-inc,114225,10,Never-married,Not-in-family,White,Female,0,0,60,0
13706,35,Private,240467,10,Separated,Not-in-family,Black,Male,0,0,40,0
13707,44,Private,134120,9,Married-civ-spouse,Wife,White,Male,0,0,40,0
13708,41,Private,37997,8,Divorced,Not-in-family,White,Female,0,0,84,0
13709,38,Private,178322,9,Married-civ-spouse,Husband,White,Female,0,0,70,0
13710,32,Private,256362,9,Married-civ-spouse,Husband,White,Female,0,0,40,0
13711,49,Private,543922,9,Married-civ-spouse,Husband,White,Female,0,0,42,0
13712,42,Self-emp-not-inc,344624,16,Never-married,Not-in-family,White,Female,0,0,99,0
13713,40,Private,360884,10,Never-married,Not-in-family,White,Male,0,0,50,0
13714,47,Local-gov,102628,10,Married-civ-spouse,Husband,White,Female,0,0,40,0
13715,52,Private,177858,9,Divorced,Other-relative,White,Female,0,0,55,0
13716,25,Private,168943,13,Married-civ-spouse,Wife,White,Male,0,0,30,0
13717,39,Private,198097,13,Divorced,Not-in-family,White,Female,0,0,50,1
13718,57,Private,142080,9,Married-civ-spouse,Wife,Black,Male,0,0,38,0
13719,37,Self-emp-not-inc,352882,9,Divorced,Not-in-family,Asian-Pac-Islander,Male,0,0,70,0
13720,49,Self-emp-inc,77132,9,Married-civ-spouse,Husband,White,Female,0,0,40,0
13721,29,Private,200928,9,Married-civ-spouse,Husband,White,Female,0,0,40,0
13722,48,Private,149337,10,Divorced,Not-in-family,White,Female,0,0,40,0
13723,36,Private,181146,14,Married-civ-spouse,Husband,Asian-Pac-Islander,Female,0,0,40,1
13724,32,Private,80945,9,Married-civ-spouse,Husband,White,Female,0,0,40,0
13725,53,Self-emp-inc,137815,10,Widowed,Not-in-family,White,Female,0,0,40,0
13726,41,Private,32121,9,Married-civ-spouse,Husband,White,Female,0,0,40,0
13727,39,Private,86551,9,Married-civ-spouse,Husband,White,Female,0,0,40,0
13728,45,Local-gov,167334,14,Never-married,Not-in-family,White,Female,0,0,50,0
13729,52,Private,181677,6,Married-civ-spouse,Husband,White,Female,0,0,30,0
13730,39,Private,153047,9,Married-civ-spouse,Husband,White,Female,0,0,50,0
13731,50,Private,194580,9,Married-civ-spouse,Husband,White,Female,0,0,60,0
13732,30,Private,111567,10,Married-civ-spouse,Husband,White,Female,0,0,40,0
13733,58,Private,201112,10,Divorced,Not-in-family,Black,Male,0,0,55,0
13734,36,Private,91037,9,Married-civ-spouse,Wife,White,Male,0,0,40,0
13735,59,Private,43221,5,Married-civ-spouse,Husband,White,Female,0,0,60,0
13736,28,Private,190060,9,Married-civ-spouse,Husband,White,Female,0,0,40,0
13737,52,Private,146767,9,Married-civ-spouse,Husband,White,Female,0,0,40,0
13738,42,Private,126003,9,Married-civ-spouse,Husband,White,Female,0,0,40,0
13739,51,Private,43354,10,Divorced,Not-in-family,White,Female,0,0,42,0
13740,41,Private,227890,10,Divorced,Not-in-family,White,Female,0,0,46,0
13741,57,Private,257200,5,Married-civ-spouse,Husband,White,Female,0,0,40,0
13742,52,Local-gov,133403,9,Married-civ-spouse,Husband,White,Female,0,0,40,0
13743,48,Private,377401,10,Divorced,Not-in-family,White,Female,0,0,40,0
13744,49,Private,107373,6,Married-civ-spouse,Husband,White,Female,0,0,99,0
13745,61,Private,80896,9,Separated,Unmarried,Asian-Pac-Islander,Female,0,0,45,0
13746,66,Private,80621,10,Never-married,Not-in-family,White,Male,0,0,40,0
13747,54,Private,103024,9,Divorced,Not-in-family,White,Female,0,0,42,0
13748,37,Federal-gov,39207,9,Never-married,Not-in-family,White,Female,0,0,40,0
13749,46,Self-emp-not-inc,246891,15,Never-married,Not-in-family,White,Female,0,0,99,0
13750,90,Private,227796,12,Never-married,Not-in-family,White,Female,6097,0,45,0
13751,43,Private,147110,10,Never-married,Unmarried,White,Female,0,0,48,0
13752,51,Private,386773,13,Never-married,Not-in-family,White,Female,0,0,55,0
13753,42,Private,27444,10,Married-spouse-absent,Not-in-family,White,Female,0,0,40,0
13754,38,Private,682947,13,Divorced,Not-in-family,White,Female,0,0,55,0
13755,54,Local-gov,105788,14,Divorced,Unmarried,Black,Male,0,0,37,0
13756,52,Private,176124,9,Married-civ-spouse,Husband,White,Female,0,0,40,0
13757,25,Private,213412,10,Married-civ-spouse,Husband,White,Female,0,0,40,0
13758,51,Private,173987,9,Married-civ-spouse,Husband,White,Female,0,0,48,0
13759,30,Private,236543,5,Married-civ-spouse,Husband,White,Female,0,0,32,0
13760,43,Private,230684,9,Married-civ-spouse,Husband,White,Female,0,0,40,0
13761,51,Private,94081,9,Never-married,Not-in-family,White,Female,0,0,40,0
13762,57,Private,204209,4,Married-civ-spouse,Husband,White,Female,3103,0,40,0
13763,45,Private,81534,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Female,0,0,84,0
13764,39,Private,192251,9,Never-married,Own-child,White,Male,0,0,40,0
13765,51,Private,137253,9,Divorced,Unmarried,White,Male,0,0,40,0
13766,28,Private,190067,13,Never-married,Own-child,White,Male,0,1564,40,0
13767,31,Private,188246,12,Divorced,Not-in-family,White,Female,0,0,50,0
13768,36,Private,128392,13,Divorced,Not-in-family,White,Female,4787,0,40,0
13769,57,Private,78020,9,Married-civ-spouse,Husband,White,Female,0,0,40,0
13770,33,Private,183612,9,Married-civ-spouse,Husband,White,Female,0,0,40,0
