,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
37979,39,Private,198841,14,Married-civ-spouse,Husband,White,Male,3822,0,45,0
37980,82,Private,198841,14,Married-civ-spouse,Husband,White,Male,2,0,45,0
37981,26,Private,139992,13,Never-married,Not-in-family,White,Female,8039,3362,40,1
37982,26,Private,139992,13,Married-civ-spouse,Not-in-family,White,Female,0,0,75,0
37983,51,Private,355954,10,Married-civ-spouse,Other-relative,White,Male,0,0,67,0
37984,51,Private,355954,10,Never-married,Husband,Other,Male,0,0,60,0
37985,21,Private,473133,14,Separated,Husband,White,Male,5178,0,40,0
37986,26,Private,473133,14,Widowed,Husband,White,Male,5178,0,40,0
37987,24,Private,322674,12,Never-married,Not-in-family,White,Male,72232,0,35,1
37988,24,Private,322674,12,Never-married,Unmarried,White,Male,17523,0,48,1
37989,43,Private,387270,10,Married-civ-spouse,Husband,White,Male,0,0,40,0
37990,75,Private,154076,10,Married-civ-spouse,Other-relative,White,Male,0,0,40,0
37991,59,Self-emp-inc,107287,6,Widowed,Unmarried,White,Female,0,298,50,0
37992,59,Self-emp-inc,107287,6,Widowed,Unmarried,Other,Female,0,2559,1,0
37993,42,Self-emp-not-inc,136986,9,Married-civ-spouse,Husband,Black,Male,0,0,35,0
37994,33,Private,136986,9,Married-civ-spouse,Own-child,White,Male,0,0,35,0
37995,37,Local-gov,191364,12,Married-spouse-absent,Husband,White,Male,0,0,43,0
37996,37,Private,191364,12,Married-civ-spouse,Husband,White,Male,0,0,24,0
37997,51,Local-gov,229259,13,Married-civ-spouse,Husband,White,Male,0,0,14,0
37998,26,Private,229259,13,Married-civ-spouse,Husband,White,Male,0,0,69,0
37999,25,Private,255647,9,Married-civ-spouse,Wife,White,Female,7315,0,25,1
38000,25,Private,255647,9,Married-civ-spouse,Wife,White,Female,89491,0,25,1
38001,45,Private,36006,13,Married-civ-spouse,Husband,White,Male,0,0,21,0
38002,73,Private,36006,6,Married-civ-spouse,Husband,White,Male,0,0,45,0
38003,39,Private,152246,11,Married-civ-spouse,Husband,White,Male,0,0,60,0
38004,70,Private,243409,9,Married-civ-spouse,Husband,White,Male,0,0,60,0
38005,24,Private,60783,8,Married-civ-spouse,Husband,White,Female,0,0,70,0
38006,24,Private,60783,9,Married-AF-spouse,Husband,White,Male,0,0,70,0
38007,33,Self-emp-not-inc,266674,10,Married-civ-spouse,Husband,White,Male,4732,0,56,0
38008,33,Self-emp-not-inc,266674,10,Married-civ-spouse,Husband,White,Male,1940,0,56,0
38009,48,Private,36503,10,Married-civ-spouse,Husband,White,Male,0,3462,40,0
38010,48,Private,218558,10,Married-civ-spouse,Husband,White,Male,0,0,40,0
38011,45,Private,301802,13,Married-civ-spouse,Husband,White,Male,0,1672,50,0
38012,45,Private,301802,6,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,50,0
38013,48,Private,737315,9,Married-civ-spouse,Husband,White,Male,0,0,65,0
38014,34,Private,737315,8,Married-civ-spouse,Husband,White,Male,0,0,65,0
38015,48,Private,82622,10,Married-civ-spouse,Husband,White,Male,0,0,40,0
38016,37,State-gov,82622,10,Married-civ-spouse,Own-child,White,Male,0,0,40,0
38017,35,Private,244580,9,Married-civ-spouse,Husband,White,Male,0,0,40,0
38018,18,Private,244580,9,Married-civ-spouse,Husband,White,Male,0,0,40,0
38019,27,Without-pay,298635,14,Married-civ-spouse,Husband,Other,Male,0,0,40,0
38020,85,Private,298635,10,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,0
38021,85,Self-emp-not-inc,170086,13,Never-married,Husband,White,Male,0,0,45,0
38022,51,Without-pay,170086,13,Married-civ-spouse,Husband,White,Female,0,0,45,0
38023,66,Private,146454,15,Married-civ-spouse,Husband,White,Male,3149,0,40,0
38024,66,Private,146454,10,Divorced,Husband,White,Male,5556,0,28,0
38025,55,Private,102058,13,Married-civ-spouse,Husband,White,Male,0,0,28,0
38026,55,Private,102058,13,Separated,Husband,Other,Male,0,0,50,0
38027,48,Private,205424,6,Divorced,Unmarried,White,Female,0,0,40,0
38028,48,Private,205424,13,Divorced,Unmarried,White,Female,0,0,43,0
38029,28,State-gov,445824,2,Married-civ-spouse,Wife,White,Male,0,0,50,0
