,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
37979,39,Self-emp-not-inc,198841,14,Married-civ-spouse,Husband,White,Male,3150,0,45,0
37980,39,Private,338620,14,Married-civ-spouse,Husband,White,Male,2003,0,45,0
37981,26,Private,139992,13,Never-married,Own-child,White,Female,36326,0,40,1
37982,26,Private,139992,13,Never-married,Not-in-family,White,Female,32313,0,13,1
37983,44,Private,113838,10,Married-civ-spouse,Husband,White,Male,0,0,60,0
37984,51,Private,355954,7,Married-civ-spouse,Husband,White,Male,0,3245,60,0
37985,31,Private,473133,5,Married-spouse-absent,Husband,White,Male,5178,0,40,0
37986,31,Private,473133,14,Widowed,Own-child,White,Male,5178,0,40,0
37987,24,Private,322674,12,Never-married,Not-in-family,Other,Male,59817,0,48,1
37988,24,Self-emp-inc,322674,12,Never-married,Not-in-family,White,Male,98298,0,48,1
37989,54,Private,154076,10,Married-civ-spouse,Husband,White,Male,0,0,40,0
37990,90,Private,154076,10,Divorced,Husband,White,Male,0,0,40,0
37991,59,Self-emp-inc,107287,6,Widowed,Unmarried,White,Female,0,1687,50,0
37992,45,Self-emp-inc,107287,6,Widowed,Unmarried,White,Female,0,1416,50,0
37993,32,Private,136986,9,Married-civ-spouse,Husband,White,Male,0,2780,35,0
37994,42,Private,136986,12,Never-married,Husband,White,Male,0,0,35,0
37995,37,Local-gov,191364,12,Married-civ-spouse,Husband,White,Male,0,3554,40,0
37996,80,Local-gov,191364,12,Married-civ-spouse,Husband,White,Male,0,321,40,0
37997,51,Private,391257,5,Married-civ-spouse,Husband,White,Male,0,0,45,0
37998,51,Private,229259,13,Married-civ-spouse,Husband,White,Male,0,0,77,0
37999,63,Private,255647,9,Married-civ-spouse,Wife,White,Female,41702,0,25,1
38000,25,Private,329341,9,Married-civ-spouse,Wife,White,Female,84505,0,25,1
38001,45,Private,36006,13,Married-spouse-absent,Husband,White,Male,0,0,30,0
38002,48,Private,36006,13,Separated,Husband,White,Male,0,0,45,0
38003,39,Private,243409,9,Married-civ-spouse,Husband,Black,Male,0,0,35,0
38004,76,Private,243409,9,Married-civ-spouse,Husband,White,Male,0,0,57,0
38005,24,Private,206046,10,Married-civ-spouse,Husband,White,Male,0,0,70,0
38006,24,Private,60783,10,Separated,Husband,White,Male,0,0,24,0
38007,33,Self-emp-not-inc,266674,1,Married-civ-spouse,Husband,White,Male,1539,0,56,0
38008,33,Self-emp-not-inc,266674,10,Married-civ-spouse,Husband,Other,Male,1656,0,56,0
38009,48,Private,217460,10,Married-civ-spouse,Husband,White,Male,0,0,40,0
38010,48,Private,36503,10,Married-civ-spouse,Not-in-family,Black,Male,0,0,40,0
38011,90,Private,301802,13,Married-civ-spouse,Husband,White,Male,0,0,50,0
38012,45,Private,37438,13,Married-civ-spouse,Unmarried,White,Male,0,0,50,0
38013,34,Federal-gov,737315,15,Married-civ-spouse,Husband,White,Male,0,0,22,0
38014,90,Private,737315,15,Married-civ-spouse,Husband,White,Male,0,0,65,0
38015,32,Private,82622,12,Married-civ-spouse,Husband,White,Male,0,0,40,0
38016,37,Private,82622,10,Married-civ-spouse,Husband,White,Male,0,0,34,0
38017,56,Private,244580,9,Divorced,Husband,Amer-Indian-Eskimo,Male,0,0,40,0
38018,56,Private,185836,9,Never-married,Husband,White,Male,0,0,40,0
38019,27,Private,298635,8,Separated,Husband,Asian-Pac-Islander,Male,0,0,40,0
38020,58,Private,298635,14,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,26,0
38021,51,Self-emp-not-inc,170086,13,Married-civ-spouse,Wife,White,Male,0,0,28,0
38022,51,Self-emp-not-inc,170086,13,Married-civ-spouse,Not-in-family,White,Male,0,0,45,0
