,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
59,33,Private,281590,10,Divorced,Other-relative,Other,Female,10492,0,40,1
60,46,Private,265266,13,Married-civ-spouse,Husband,White,Male,0,1666,40,0
61,55,Private,227856,13,Married-civ-spouse,Husband,White,Male,3775,0,60,0
62,31,Private,101352,13,Never-married,Own-child,White,Female,7953,237,40,1
63,40,Private,160369,14,Married-civ-spouse,Husband,White,Male,0,1677,45,0
64,34,Private,209768,13,Married-civ-spouse,Husband,White,Male,4894,0,60,0
65,57,Private,142076,9,Married-civ-spouse,Husband,White,Male,1163,0,40,0
66,23,Private,268525,13,Never-married,Not-in-family,White,Male,10779,0,50,1
67,47,State-gov,199512,13,Married-civ-spouse,Not-in-family,White,Male,0,0,40,0
68,33,Private,232475,9,Married-civ-spouse,Other-relative,White,Male,0,428,40,0
69,53,State-gov,281590,9,Married-civ-spouse,Wife,White,Female,4906,0,40,0
70,30,State-gov,185590,13,Never-married,Own-child,White,Female,11580,0,40,1
71,60,Self-emp-inc,105339,13,Married-civ-spouse,Husband,White,Male,4283,0,60,0
72,45,Private,281590,13,Married-civ-spouse,Other-relative,White,Male,0,0,45,0
73,60,Private,43235,13,Never-married,Husband,White,Male,0,930,50,0
74,50,Private,105339,13,Married-civ-spouse,Unmarried,White,Female,0,0,40,0
75,30,Private,207937,15,Divorced,Not-in-family,White,Male,1161,0,50,0
76,38,Private,455379,14,Married-civ-spouse,Husband,White,Male,3607,0,60,0
77,52,State-gov,170562,9,Married-civ-spouse,Unmarried,White,Male,0,0,60,0
78,40,Private,72887,11,Married-civ-spouse,Own-child,Asian-Pac-Islander,Male,0,0,40,0
