,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
18992,18,Private,124692,14,Married-civ-spouse,Husband,White,Male,0,0,40,0
18993,57,Self-emp-inc,146103,13,Divorced,Husband,Black,Male,0,0,45,0
18994,50,Private,106422,9,Married-civ-spouse,Wife,Black,Female,0,1485,63,0
18995,56,Private,116878,3,Married-civ-spouse,Unmarried,White,Male,0,3470,40,0
18996,20,State-gov,231472,14,Married-civ-spouse,Husband,White,Male,0,0,40,0
18997,66,Private,100669,10,Never-married,Own-child,Asian-Pac-Islander,Male,39812,0,30,1
18998,47,Local-gov,176124,10,Divorced,Husband,White,Male,0,0,40,0
18999,42,Federal-gov,108183,14,Married-AF-spouse,Husband,Asian-Pac-Islander,Male,0,1902,14,0
19000,53,Private,295896,7,Married-civ-spouse,Husband,White,Male,29295,0,45,1
19001,60,Self-emp-not-inc,282660,4,Separated,Husband,White,Male,22929,0,40,1
19002,42,Federal-gov,170230,14,Never-married,Not-in-family,White,Female,3822,0,60,0
19003,63,Self-emp-not-inc,167501,10,Married-civ-spouse,Wife,White,Female,3511,0,10,0
19004,62,State-gov,122246,10,Never-married,Not-in-family,White,Female,1339,0,39,0
19005,37,State-gov,160402,13,Never-married,Husband,White,Male,0,0,24,0
19006,33,Private,250552,1,Married-civ-spouse,Husband,White,Male,0,0,40,0
19007,38,Federal-gov,238342,10,Married-civ-spouse,Husband,White,Male,3935,0,42,0
19008,36,Private,187983,13,Married-civ-spouse,Wife,White,Female,85619,0,40,1
19009,71,Federal-gov,113597,7,Married-civ-spouse,Husband,White,Male,0,0,55,0
19010,40,Private,29054,1,Never-married,Not-in-family,White,Female,0,0,60,0
19011,53,Self-emp-not-inc,169112,13,Married-civ-spouse,Husband,Black,Male,0,0,68,0
19012,39,Private,216129,12,Divorced,Unmarried,Black,Female,0,2979,35,1
19013,24,Self-emp-not-inc,31606,13,Married-spouse-absent,Not-in-family,White,Female,0,0,20,0
19014,40,Private,111483,13,Married-civ-spouse,Husband,White,Male,936,0,40,0
19015,62,Private,205643,15,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,334,45,0
19016,50,Without-pay,169078,9,Married-civ-spouse,Husband,White,Male,4386,117,40,0
19017,19,State-gov,343646,13,Divorced,Not-in-family,White,Male,0,0,16,0
19018,40,Local-gov,183096,5,Divorced,Wife,White,Female,0,0,3,0
19019,41,Private,84610,2,Married-civ-spouse,Not-in-family,White,Male,0,1902,60,0
19020,32,Private,176185,9,Never-married,Wife,Other,Male,4787,0,40,0
19021,17,Private,320451,6,Never-married,Own-child,White,Male,76534,0,15,1
19022,28,Private,30771,10,Never-married,Unmarried,Black,Female,52477,0,40,1
19023,29,Private,311826,6,Never-married,Not-in-family,White,Male,17269,0,40,1
19024,48,Private,54759,9,Divorced,Unmarried,White,Female,64503,0,38,1
19025,27,Private,108933,5,Married-civ-spouse,Husband,White,Male,76118,0,40,1
19026,37,Federal-gov,287031,14,Married-civ-spouse,Husband,White,Male,0,0,16,0
19027,40,Private,177027,3,Married-AF-spouse,Unmarried,Asian-Pac-Islander,Female,7688,0,52,0
19028,55,Local-gov,107308,14,Married-civ-spouse,Unmarried,White,Female,0,0,40,0
19029,38,Private,341943,9,Divorced,Unmarried,Black,Female,87125,0,40,1
19030,42,Private,344060,7,Married-civ-spouse,Husband,White,Male,696,0,40,0
19031,40,Self-emp-not-inc,57233,11,Separated,Husband,White,Male,0,0,86,0
19032,44,Private,328581,12,Married-civ-spouse,Husband,White,Male,0,0,3,0
19033,26,Private,159732,10,Married-civ-spouse,Husband,White,Male,92941,0,60,1
19034,41,Self-emp-inc,214247,4,Married-civ-spouse,Husband,White,Male,0,2415,60,0
19035,38,Private,279315,9,Never-married,Own-child,Black,Male,81839,574,40,1
19036,51,Private,75313,13,Married-civ-spouse,Other-relative,White,Male,0,0,50,0
19037,34,Private,295922,10,Never-married,Not-in-family,White,Male,0,0,21,0
19038,38,State-gov,176360,13,Married-civ-spouse,Husband,White,Female,0,0,37,1
19039,43,State-gov,424094,16,Never-married,Not-in-family,White,Female,36725,0,40,1
19040,45,Private,225456,13,Never-married,Husband,White,Male,0,1977,40,0
19041,21,Private,111676,10,Never-married,Not-in-family,White,Female,63126,0,40,1
19042,34,Self-emp-not-inc,175622,13,Married-civ-spouse,Husband,White,Male,0,0,40,0
19043,29,Private,157612,13,Never-married,Not-in-family,White,Female,3325,3488,45,1
19044,64,Self-emp-not-inc,155106,5,Married-civ-spouse,Husband,White,Male,0,2983,40,0
19045,37,Private,435836,11,Married-civ-spouse,Husband,White,Male,0,0,52,0
19046,52,Self-emp-not-inc,149210,10,Married-civ-spouse,Husband,White,Male,0,0,60,0
19047,26,Private,189219,12,Never-married,Not-in-family,White,Female,94513,0,8,1
19048,51,State-gov,160369,9,Never-married,Not-in-family,White,Male,0,0,40,0
19049,37,Private,184169,14,Divorced,Unmarried,White,Female,0,0,40,0
19050,30,Private,149368,9,Divorced,Unmarried,White,Male,23739,0,30,1
19051,26,Private,164018,13,Widowed,Husband,White,Male,18258,0,50,1
19052,49,Private,296849,7,Married-civ-spouse,Husband,White,Male,0,3353,40,0
19053,51,Self-emp-not-inc,311631,4,Married-civ-spouse,Husband,White,Male,0,812,40,0
19054,50,Private,198681,10,Married-civ-spouse,Husband,White,Male,0,1592,70,0
19055,36,Local-gov,383518,10,Married-civ-spouse,Wife,Black,Female,1653,0,40,0
19056,40,Private,179717,13,Divorced,Not-in-family,Black,Male,0,1564,12,0
19057,82,Private,110977,16,Never-married,Not-in-family,White,Male,0,388,40,0
19058,60,Self-emp-inc,336188,7,Married-civ-spouse,Husband,Black,Male,0,2415,80,0
19059,35,Local-gov,226528,16,Divorced,Not-in-family,Other,Male,0,0,60,0
19060,56,Private,127264,10,Married-civ-spouse,Husband,White,Male,0,2984,53,1
19061,84,Without-pay,123004,9,Widowed,Own-child,White,Female,0,1887,40,0
19062,47,Private,216999,9,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,59096,0,45,1
19063,21,Private,243921,11,Never-married,Own-child,White,Male,70536,0,40,1
19064,43,Federal-gov,200727,8,Married-civ-spouse,Husband,White,Male,0,0,42,0
19065,46,Private,138626,10,Married-civ-spouse,Husband,White,Male,19149,0,40,1
19066,40,Self-emp-inc,214781,10,Married-civ-spouse,Husband,White,Male,274,0,65,0
19067,49,Private,377018,10,Married-civ-spouse,Husband,White,Male,0,0,40,0
19068,29,Private,190385,14,Married-civ-spouse,Not-in-family,White,Female,0,0,40,0
19069,40,Private,143069,16,Married-civ-spouse,Husband,White,Male,0,0,40,1
19070,25,Private,36984,13,Never-married,Not-in-family,White,Female,43079,0,50,1
19071,27,Private,209085,16,Married-civ-spouse,Own-child,White,Male,0,0,44,0
19072,38,Private,91039,13,Married-civ-spouse,Husband,White,Male,3946,0,48,0
19073,62,State-gov,229272,9,Never-married,Husband,Black,Male,0,0,40,0
19074,22,Private,337001,14,Married-civ-spouse,Husband,White,Male,0,817,45,0
19075,56,Private,204816,9,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,0,85,0
19076,74,Private,393715,13,Married-civ-spouse,Husband,White,Male,4433,0,50,0
19077,55,Local-gov,193895,9,Divorced,Unmarried,White,Male,28027,0,38,1
19078,21,Private,197182,12,Married-civ-spouse,Not-in-family,White,Female,99949,0,40,1
19079,38,Private,194538,11,Married-civ-spouse,Husband,White,Male,0,0,75,0
19080,30,Private,227545,13,Married-AF-spouse,Wife,White,Female,0,0,12,0
19081,52,Private,146711,13,Widowed,Husband,White,Male,0,0,80,0
19082,35,Private,212195,9,Married-spouse-absent,Husband,White,Female,0,0,35,0
19083,85,State-gov,227864,10,Married-civ-spouse,Husband,Black,Male,0,0,40,0
19084,42,Self-emp-not-inc,308279,13,Married-civ-spouse,Wife,White,Male,0,0,47,0
19085,44,Private,172571,10,Married-civ-spouse,Husband,White,Male,0,0,55,0
19086,52,Private,89705,14,Separated,Husband,White,Male,0,0,40,0
19087,50,Private,167886,10,Married-civ-spouse,Husband,White,Male,0,2781,40,0
19088,79,Private,195447,13,Married-civ-spouse,Husband,White,Male,0,0,45,0
19089,50,Private,119409,9,Widowed,Husband,White,Male,0,0,44,0
19090,33,Self-emp-not-inc,126754,13,Married-civ-spouse,Husband,Black,Male,0,0,25,0
19091,40,Private,326005,10,Married-spouse-absent,Husband,Amer-Indian-Eskimo,Male,0,0,40,0
19092,36,Self-emp-not-inc,131192,9,Married-civ-spouse,Husband,White,Female,0,0,40,0
19093,48,Self-emp-not-inc,181307,15,Married-civ-spouse,Not-in-family,White,Male,4385,0,65,0
19094,46,Private,222011,10,Divorced,Not-in-family,White,Male,27823,0,20,1
19095,72,Private,339954,9,Married-civ-spouse,Husband,White,Male,0,0,40,0
19096,49,Self-emp-inc,177449,13,Married-civ-spouse,Husband,White,Male,0,0,18,0
19097,49,Private,277946,10,Married-civ-spouse,Husband,Other,Male,0,0,41,0
19098,35,Private,101073,10,Married-civ-spouse,Husband,White,Male,0,2944,65,0
