,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
119,47,Private,265266,13,Never-married,Husband,White,Male,0,1902,40,0
120,46,Private,185590,13,Married-civ-spouse,Husband,White,Male,0,1643,40,0
121,34,Private,209768,13,Never-married,Husband,White,Male,4604,0,60,0
122,34,Private,209768,10,Married-civ-spouse,Husband,White,Male,250,0,60,0
123,53,Self-emp-inc,281590,9,Married-civ-spouse,Wife,White,Female,3461,0,40,0
124,53,State-gov,101352,9,Married-civ-spouse,Wife,White,Female,587,0,40,0
125,30,Private,207937,15,Divorced,Not-in-family,White,Male,3385,0,50,0
126,30,Private,207937,15,Divorced,Not-in-family,White,Male,2671,0,50,0
127,45,Private,299908,10,Married-civ-spouse,Wife,Black,Female,0,0,30,0
128,25,Private,299908,9,Married-civ-spouse,Wife,Black,Male,0,0,40,0
129,38,Private,162745,9,Married-civ-spouse,Husband,White,Male,0,0,55,0
130,54,Private,162745,15,Never-married,Husband,White,Male,0,0,55,0
131,47,State-gov,199512,14,Married-civ-spouse,Husband,White,Male,0,0,40,0
132,41,State-gov,160369,13,Married-civ-spouse,Husband,White,Male,0,0,40,0
133,52,Private,24982,9,Married-civ-spouse,Husband,White,Male,0,0,60,0
134,52,Private,199512,9,Married-civ-spouse,Own-child,White,Male,0,0,60,0
135,23,Private,146325,9,Married-civ-spouse,Husband,White,Male,0,930,44,0
136,50,Private,146325,9,Married-civ-spouse,Husband,Black,Male,3239,0,44,0
137,34,Private,198693,6,Never-married,Not-in-family,White,Male,9585,1352,30,1
138,34,Private,198693,6,Never-married,Not-in-family,White,Male,14387,0,30,1
139,31,Private,101352,13,Never-married,Own-child,White,Female,11468,0,40,1
140,31,State-gov,101352,13,Never-married,Own-child,White,Female,9093,0,40,1
141,40,Private,110978,11,Never-married,Husband,Asian-Pac-Islander,Male,0,0,40,0
142,40,Private,72887,11,Married-civ-spouse,Husband,White,Male,0,2060,40,0
143,30,State-gov,185590,13,Never-married,Own-child,White,Female,9329,0,40,1
144,30,State-gov,185590,13,Never-married,Own-child,White,Female,12430,0,40,1
145,38,Local-gov,24982,9,Married-civ-spouse,Husband,White,Male,0,0,40,0
146,44,Local-gov,71592,10,Married-civ-spouse,Husband,White,Male,0,932,40,0
147,41,Self-emp-inc,199512,14,Married-civ-spouse,Husband,White,Male,0,0,40,0
148,41,State-gov,124520,14,Never-married,Husband,White,Male,0,0,40,0
149,50,Private,124520,13,Divorced,Unmarried,White,Male,0,0,40,0
150,50,Private,269095,13,Never-married,Unmarried,White,Female,0,633,40,0
151,31,State-gov,116677,9,Married-civ-spouse,Husband,White,Male,13789,0,40,1
152,31,State-gov,116677,9,Married-civ-spouse,Husband,White,Male,9430,1651,40,1
153,37,Private,71592,9,Never-married,Other-relative,Asian-Pac-Islander,Female,9677,0,17,1
154,37,Private,71592,9,Never-married,Other-relative,Asian-Pac-Islander,Female,10317,0,17,1
155,55,Private,227856,13,Married-civ-spouse,Husband,White,Male,3942,0,60,0
156,40,Private,227856,13,Married-civ-spouse,Husband,White,Male,5015,0,60,0
157,33,Private,110978,10,Divorced,Other-relative,Other,Female,11540,0,40,1
158,33,Private,110978,10,Divorced,Husband,Other,Female,13067,0,40,1
159,57,Private,142076,9,Married-civ-spouse,Husband,White,Male,2291,0,40,0
160,57,Private,36006,9,Never-married,Husband,White,Male,4386,0,40,0
161,33,Private,232475,9,Married-civ-spouse,Husband,Black,Male,0,1016,40,0
162,33,Self-emp-inc,232475,9,Married-civ-spouse,Husband,White,Male,0,0,17,0
163,40,Private,160369,14,Married-civ-spouse,Husband,White,Male,0,919,45,0
164,33,Private,160369,13,Married-civ-spouse,Husband,White,Male,0,2415,45,0
165,33,Private,198693,13,Married-civ-spouse,Husband,White,Male,0,0,45,0
166,45,Private,36006,14,Married-civ-spouse,Husband,White,Female,0,0,45,0
167,38,Private,455379,10,Married-civ-spouse,Unmarried,White,Male,0,0,60,0
168,38,Private,455379,14,Married-civ-spouse,Wife,White,Male,0,0,17,0
169,58,Private,372181,9,Married-civ-spouse,Unmarried,White,Female,0,0,60,0
170,58,Private,372181,11,Divorced,Unmarried,White,Female,0,0,45,0
171,46,Private,105253,14,Married-civ-spouse,Husband,White,Male,2640,712,50,0
172,46,Private,105253,14,Never-married,Husband,White,Male,0,1977,30,0
173,60,Private,43235,13,Married-civ-spouse,Unmarried,White,Male,0,1710,50,0
174,60,Private,43235,13,Married-civ-spouse,Husband,White,Male,4884,0,50,0
175,54,Self-emp-inc,105339,13,Married-civ-spouse,Husband,White,Male,4784,0,60,0
176,60,Self-emp-inc,105339,13,Married-civ-spouse,Husband,White,Male,3820,0,60,0
177,45,Private,162745,13,Never-married,Not-in-family,White,Male,0,0,50,1
178,55,Private,268525,13,Never-married,Not-in-family,White,Male,0,0,50,1
