,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
1904,23,Private,211345,10,Married-civ-spouse,Own-child,White,Male,91835,0,40,1
1905,23,Private,211345,10,Never-married,Husband,White,Male,25248,0,40,1
1906,34,Private,211345,10,Married-civ-spouse,Own-child,White,Female,67442,0,40,1
1907,23,Private,211345,10,Married-civ-spouse,Other-relative,White,Female,93551,0,40,1
1908,29,Private,211345,10,Never-married,Not-in-family,White,Female,61508,0,40,1
1909,41,Self-emp-not-inc,66632,10,Divorced,Not-in-family,White,Male,85894,0,40,1
1910,41,Federal-gov,66632,10,Divorced,Not-in-family,White,Male,65146,0,40,1
1911,41,Self-emp-not-inc,66632,10,Divorced,Not-in-family,White,Female,87988,0,40,1
1912,41,Self-emp-not-inc,66632,10,Divorced,Not-in-family,White,Male,19441,0,40,1
1913,41,Self-emp-not-inc,66632,10,Divorced,Not-in-family,White,Male,68746,0,40,1
1914,25,Private,138441,13,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,0
1915,28,Private,138441,13,Married-civ-spouse,Husband,White,Male,0,0,40,0
1916,35,Private,138441,13,Married-civ-spouse,Not-in-family,White,Male,0,1303,40,0
1917,31,Private,138441,13,Married-civ-spouse,Husband,White,Male,0,0,16,0
1918,35,Private,138441,6,Married-civ-spouse,Husband,Black,Male,0,0,40,0
1919,42,Self-emp-inc,198282,12,Married-civ-spouse,Husband,White,Male,0,0,30,0
1920,42,Self-emp-inc,198282,7,Married-civ-spouse,Husband,White,Male,0,50,60,0
1921,42,Self-emp-not-inc,198282,13,Married-civ-spouse,Husband,White,Male,0,0,35,0
1922,42,Self-emp-inc,198282,9,Married-civ-spouse,Husband,Black,Male,0,0,60,0
1923,42,Self-emp-inc,198282,7,Married-civ-spouse,Husband,White,Female,0,0,60,0
1924,43,Private,193748,7,Never-married,Own-child,White,Male,22432,0,15,0
1925,17,Private,193748,14,Never-married,Own-child,White,Male,39832,0,15,0
1926,17,Private,193748,13,Never-married,Own-child,White,Male,92913,0,15,1
1927,17,Private,193748,14,Never-married,Own-child,White,Male,49024,0,15,0
1928,17,Private,193748,7,Separated,Own-child,White,Male,24267,0,15,0
1929,50,Private,175804,13,Separated,Husband,White,Male,0,0,40,0
1930,44,Private,175804,13,Separated,Husband,White,Male,0,0,40,0
1931,50,Federal-gov,175804,13,Married-civ-spouse,Own-child,White,Male,0,0,40,0
1932,50,Local-gov,175804,8,Married-civ-spouse,Husband,White,Male,0,0,40,0
1933,50,Local-gov,175804,13,Separated,Husband,White,Male,0,0,40,0
1934,32,Private,239824,13,Never-married,Not-in-family,White,Male,59100,1541,40,1
1935,32,Federal-gov,239824,13,Never-married,Not-in-family,White,Male,79337,0,40,1
1936,32,Private,239824,13,Never-married,Not-in-family,White,Male,10981,0,10,1
1937,32,Private,239824,13,Never-married,Not-in-family,White,Male,31768,0,40,1
1938,32,Private,239824,13,Never-married,Not-in-family,White,Male,51158,117,40,1
1939,36,Private,174938,12,Divorced,Husband,White,Male,0,1887,50,0
1940,45,Private,174938,13,Divorced,Husband,White,Male,0,1887,50,0
1941,20,Private,174938,13,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,1887,50,0
1942,23,Private,174938,13,Married-civ-spouse,Husband,White,Female,0,1887,50,0
1943,26,Private,174938,4,Married-civ-spouse,Husband,White,Male,0,1887,50,0
1944,53,Private,170050,10,Never-married,Not-in-family,White,Male,74758,0,40,1
1945,53,Private,170050,10,Never-married,Not-in-family,White,Male,21212,0,40,1
1946,53,Private,170050,10,Never-married,Not-in-family,White,Male,66476,0,16,1
1947,53,Private,170050,10,Never-married,Not-in-family,White,Male,28824,0,40,1
1948,53,Private,170050,10,Married-civ-spouse,Wife,White,Male,0,0,40,1
1949,43,Private,125833,13,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,60,1
1950,43,Private,125833,13,Married-civ-spouse,Not-in-family,Asian-Pac-Islander,Male,40822,0,40,1
1951,43,Private,125833,13,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,2311,40,1
1952,43,Federal-gov,125833,13,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,57283,0,40,1
1953,43,Private,125833,13,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,10995,0,40,1
1954,19,Self-emp-not-inc,62419,9,Married-civ-spouse,Husband,White,Male,11916,0,35,1
1955,19,Private,62419,9,Married-civ-spouse,Other-relative,White,Male,93542,0,35,1
1956,19,State-gov,62419,9,Married-civ-spouse,Husband,White,Male,83662,0,35,1
1957,39,Private,62419,9,Married-civ-spouse,Husband,White,Male,45727,0,35,1
1958,66,Private,62419,9,Married-civ-spouse,Husband,White,Male,52915,0,35,1
1959,32,Private,103573,7,Married-civ-spouse,Husband,White,Male,0,2280,40,1
1960,32,Private,103573,10,Married-civ-spouse,Husband,White,Male,45473,0,40,1
1961,32,Private,103573,4,Married-civ-spouse,Husband,White,Male,62984,0,40,1
1962,32,Private,103573,10,Married-civ-spouse,Husband,White,Male,96965,0,40,1
1963,32,Private,103573,10,Married-civ-spouse,Husband,White,Male,60249,0,40,1
1964,38,Private,99065,13,Divorced,Not-in-family,White,Female,0,0,50,0
1965,30,Private,99065,13,Never-married,Not-in-family,White,Female,0,117,50,0
1966,38,Private,99065,6,Never-married,Not-in-family,White,Female,0,0,50,0
1967,32,Private,99065,13,Never-married,Wife,White,Female,0,0,50,0
1968,38,Private,99065,13,Never-married,Not-in-family,White,Female,0,1814,15,0
1969,42,Private,68469,9,Married-civ-spouse,Not-in-family,White,Male,27284,0,40,1
1970,42,Private,68469,9,Married-civ-spouse,Husband,White,Male,24652,0,40,1
1971,42,Private,68469,9,Married-civ-spouse,Husband,White,Male,78536,0,40,1
1972,42,Private,68469,9,Married-civ-spouse,Husband,White,Female,94712,0,40,1
1973,42,Private,68469,9,Married-spouse-absent,Husband,White,Male,98877,0,40,1
1974,37,Self-emp-not-inc,181553,9,Divorced,Not-in-family,White,Male,35054,0,50,1
1975,37,Self-emp-not-inc,181553,9,Divorced,Not-in-family,White,Female,51941,0,50,1
1976,37,Self-emp-not-inc,181553,9,Widowed,Not-in-family,White,Male,18944,0,50,1
1977,37,Self-emp-not-inc,181553,9,Married-spouse-absent,Not-in-family,White,Male,30292,0,50,1
1978,37,Self-emp-not-inc,181553,9,Divorced,Not-in-family,White,Male,56066,0,16,1
1979,57,Local-gov,261584,10,Separated,Not-in-family,Black,Male,16571,0,40,1
1980,57,Local-gov,261584,14,Separated,Not-in-family,Black,Female,69240,0,40,1
1981,57,Local-gov,261584,10,Separated,Wife,Black,Female,65097,0,40,1
1982,57,Local-gov,261584,10,Separated,Not-in-family,White,Female,32728,0,40,0
1983,57,Local-gov,261584,14,Separated,Not-in-family,Black,Female,16366,0,40,1
1984,38,Federal-gov,104236,12,Divorced,Unmarried,White,Female,93624,0,40,0
1985,38,Federal-gov,104236,12,Divorced,Unmarried,White,Female,51743,0,40,0
1986,38,Federal-gov,104236,12,Divorced,Unmarried,White,Female,60486,0,40,0
1987,38,Federal-gov,104236,12,Divorced,Unmarried,White,Female,48758,2254,40,1
1988,38,Federal-gov,104236,12,Divorced,Unmarried,White,Female,55761,0,40,0
1989,32,Private,50753,9,Married-civ-spouse,Husband,White,Male,71797,0,40,1
1990,32,Private,50753,9,Married-civ-spouse,Husband,White,Male,41292,0,40,1
1991,32,Private,50753,13,Married-civ-spouse,Husband,White,Male,48728,0,40,1
1992,32,Private,50753,9,Married-civ-spouse,Husband,White,Male,31837,0,40,1
1993,32,Private,50753,9,Married-civ-spouse,Husband,White,Male,41207,0,40,1
1994,35,State-gov,211115,10,Never-married,Not-in-family,Black,Male,11440,0,40,0
1995,35,State-gov,211115,6,Never-married,Not-in-family,Black,Male,60063,0,40,1
1996,35,State-gov,211115,10,Never-married,Not-in-family,Black,Male,40910,0,40,1
