,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
1304,23,Private,211345,10,Married-civ-spouse,Own-child,White,Female,60240,0,40,1
1305,41,Federal-gov,66632,10,Divorced,Not-in-family,White,Male,48860,0,40,0
1306,35,Private,138441,13,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,99,0,40,0
1307,42,Self-emp-inc,198282,12,Married-spouse-absent,Husband,White,Male,0,0,60,0
1308,17,Private,193748,7,Married-civ-spouse,Own-child,White,Male,33994,1572,15,1
1309,57,Private,175804,13,Married-civ-spouse,Husband,Black,Male,0,0,40,0
1310,32,Private,239824,13,Never-married,Not-in-family,White,Male,16460,0,40,1
1311,36,Private,174938,11,Married-civ-spouse,Not-in-family,White,Male,0,1887,50,0
1312,53,Private,170050,13,Never-married,Not-in-family,White,Male,85397,0,40,1
1313,43,Private,125833,13,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,63308,0,40,1
1314,66,Private,62419,9,Married-civ-spouse,Husband,White,Male,91336,0,35,1
1315,32,Private,103573,10,Separated,Husband,White,Male,82359,0,40,1
1316,38,Self-emp-inc,99065,13,Never-married,Not-in-family,Other,Female,0,0,50,0
1317,42,Private,68469,9,Married-civ-spouse,Husband,White,Male,70869,0,40,1
1318,37,Self-emp-not-inc,181553,13,Divorced,Not-in-family,White,Male,69926,0,50,1
1319,57,Local-gov,261584,10,Separated,Not-in-family,Black,Male,18255,0,40,1
1320,38,Federal-gov,104236,12,Married-civ-spouse,Unmarried,White,Female,52812,0,40,1
1321,32,Private,50753,9,Married-civ-spouse,Own-child,White,Male,94935,0,40,1
1322,35,State-gov,211115,10,Married-civ-spouse,Not-in-family,Black,Male,44019,0,40,1
1323,44,Private,138845,9,Married-civ-spouse,Husband,White,Male,95446,0,45,1
1324,50,Private,54472,10,Married-spouse-absent,Not-in-family,White,Female,69342,0,50,1
1325,22,Self-emp-inc,437161,9,Married-civ-spouse,Unmarried,Black,Female,13560,0,40,1
1326,27,Private,126060,13,Never-married,Not-in-family,White,Female,75504,0,40,1
1327,45,Private,261278,13,Widowed,Wife,Asian-Pac-Islander,Female,5178,2360,40,0
1328,20,Self-emp-not-inc,263925,13,Married-civ-spouse,Husband,White,Male,0,2154,40,0
1329,53,Private,88506,13,Married-civ-spouse,Husband,White,Male,0,0,40,1
1330,18,Federal-gov,169078,9,Married-civ-spouse,Husband,White,Male,4386,0,30,0
1331,26,Private,176756,10,Married-civ-spouse,Husband,Other,Male,99478,0,40,1
1332,31,Private,59083,10,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,81980,1672,50,1
1333,43,Private,302041,9,Married-civ-spouse,Not-in-family,Black,Female,71015,0,40,1
1334,28,Self-emp-inc,115705,10,Married-civ-spouse,Not-in-family,White,Male,8587,0,50,1
1335,21,Private,282484,10,Married-civ-spouse,Own-child,White,Female,16555,0,40,1
1336,34,Local-gov,117963,12,Married-civ-spouse,Husband,White,Female,0,0,40,0
1337,36,Local-gov,110791,12,Separated,Unmarried,White,Male,31749,0,40,1
1338,32,State-gov,438711,10,Married-civ-spouse,Wife,Black,Female,46561,0,40,1
1339,50,Local-gov,311551,10,Never-married,Husband,White,Male,7688,0,50,0
1340,32,Private,323573,9,Married-civ-spouse,Own-child,White,Female,60891,0,20,1
1341,46,Local-gov,88564,10,Married-civ-spouse,Husband,White,Male,0,1836,50,1
1342,47,Private,102308,14,Widowed,Husband,Other,Male,0,0,40,0
1343,27,Private,238859,11,Separated,Not-in-family,White,Male,56323,0,40,1
