,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
360010,44,Private,174373,12,Married-AF-spouse,Husband,White,Male,0,0,85,0
360011,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,5484,0,40,1
360012,17,Private,53611,8,Never-married,Own-child,White,Female,64413,0,6,1
360013,33,State-gov,291494,7,Married-civ-spouse,Own-child,White,Male,0,0,50,0
360014,62,Private,254534,10,Married-civ-spouse,Husband,White,Male,14337,0,40,1
360015,34,Private,175878,10,Never-married,Not-in-family,White,Male,29914,0,40,1
360016,23,Private,202284,13,Never-married,Own-child,White,Male,22374,0,20,1
360017,24,Private,137591,3,Never-married,Own-child,White,Male,66558,0,10,0
360018,31,Local-gov,295589,10,Never-married,Own-child,Black,Male,94100,0,40,1
360019,53,Private,68684,9,Married-AF-spouse,Husband,White,Male,11319,0,40,1
