,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
3961000,44,Without-pay,174373,12,Married-civ-spouse,Husband,White,Male,0,747,40,0
3961001,44,Private,174373,12,Married-civ-spouse,Husband,White,Female,0,0,92,0
3961002,44,State-gov,174373,12,Married-civ-spouse,Husband,White,Male,184,0,40,0
3961003,44,Private,174373,12,Married-AF-spouse,Husband,White,Male,0,0,24,0
3961004,44,Private,174373,12,Married-civ-spouse,Husband,Other,Male,0,0,40,0
3961005,87,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,417,40,0
3961006,20,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,0,48,0
3961007,31,Private,174373,4,Married-civ-spouse,Husband,White,Male,0,0,40,0
3961008,44,Self-emp-not-inc,174373,12,Married-civ-spouse,Husband,White,Male,0,0,40,0
3961009,88,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,0,40,0
3961010,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,31488,0,40,1
3961011,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,74331,0,40,1
3961012,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,0,2770,40,0
3961013,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,0,3209,40,0
3961014,70,Self-emp-not-inc,187891,7,Married-civ-spouse,Husband,White,Male,44502,0,40,1
3961015,70,Private,187891,7,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,97473,0,40,1
3961016,64,Private,187891,7,Married-civ-spouse,Husband,White,Male,0,2501,40,1
3961017,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,75030,1754,40,1
3961018,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,59126,0,40,1
3961019,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,52309,0,40,1
3961020,87,Private,53611,8,Never-married,Own-child,White,Female,18874,0,6,1
3961021,17,Private,53611,8,Never-married,Own-child,Amer-Indian-Eskimo,Female,32541,0,6,1
3961022,17,Private,53611,8,Never-married,Own-child,White,Female,59436,0,6,0
3961023,17,Local-gov,53611,8,Never-married,Own-child,White,Female,20925,0,6,1
