,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
44316,62,Private,110586,10,Widowed,Unmarried,White,Female,60630,2834,40,1
44317,29,Private,128604,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,63527,0,40,1
44318,24,Local-gov,38707,13,Divorced,Own-child,White,Male,32118,0,20,1
44319,65,Local-gov,146454,14,Married-civ-spouse,Husband,Black,Male,25901,1648,4,1
44320,38,Private,122952,9,Married-AF-spouse,Unmarried,White,Female,0,2572,35,1
44321,47,Private,275095,5,Widowed,Unmarried,White,Female,68273,0,50,1
44322,23,Private,157951,10,Never-married,Not-in-family,White,Female,81289,0,50,1
44323,38,Private,89559,10,Separated,Unmarried,White,Female,34824,0,40,1
44324,38,Private,217926,9,Married-civ-spouse,Other-relative,Black,Male,9670,0,40,1
44325,28,Private,137898,9,Divorced,Not-in-family,White,Female,10098,0,35,1
44326,61,Self-emp-inc,136109,7,Widowed,Not-in-family,White,Female,26566,0,45,1
44327,40,State-gov,55294,13,Divorced,Husband,Other,Male,0,0,40,0
44328,45,Private,154342,14,Married-civ-spouse,Husband,White,Male,4975,0,45,0
44329,24,Private,202959,11,Never-married,Wife,White,Female,36295,0,40,1
44330,44,Private,235786,10,Never-married,Husband,White,Male,7298,0,13,0
44331,20,Private,258430,10,Never-married,Own-child,White,Female,19873,0,19,1
44332,40,Private,284303,10,Never-married,Wife,Amer-Indian-Eskimo,Female,7688,0,40,0
44333,44,Private,146908,15,Married-civ-spouse,Husband,White,Male,0,811,40,1
44334,18,Private,188616,7,Never-married,Own-child,White,Male,82103,0,42,1
44335,19,Private,310483,16,Never-married,Own-child,White,Male,31193,0,25,1
44336,47,Private,264244,9,Married-spouse-absent,Not-in-family,Black,Female,94355,0,69,1
44337,27,Private,29904,13,Never-married,Not-in-family,White,Female,93974,0,40,1
44338,36,Without-pay,76878,9,Married-civ-spouse,Unmarried,White,Male,5178,0,40,0
44339,62,Self-emp-not-inc,71467,14,Married-civ-spouse,Other-relative,White,Male,87229,0,40,1
44340,64,Private,37997,8,Divorced,Not-in-family,Other,Male,0,0,84,0
44341,28,Private,230503,10,Never-married,Unmarried,White,Female,64479,0,40,1
44342,27,Private,244566,6,Married-civ-spouse,Husband,White,Male,94457,0,40,1
44343,72,Self-emp-not-inc,355978,10,Married-civ-spouse,Husband,White,Male,0,1161,60,0
44344,19,Self-emp-inc,472807,2,Never-married,Other-relative,White,Male,27079,0,52,1
44345,35,Private,341672,10,Never-married,Other-relative,Asian-Pac-Islander,Male,79643,0,40,1
44346,31,Private,244147,2,Divorced,Unmarried,White,Male,78848,0,55,1
44347,19,Private,186717,10,Never-married,Own-child,White,Male,85633,0,40,1
44348,23,Without-pay,423453,9,Never-married,Own-child,Black,Female,92928,0,16,1
44349,35,Local-gov,241306,11,Married-civ-spouse,Husband,White,Male,0,0,6,0
44350,23,Private,86065,8,Never-married,Not-in-family,Amer-Indian-Eskimo,Female,9922,0,30,1
44351,20,Private,133352,10,Never-married,Own-child,Asian-Pac-Islander,Female,16271,0,40,1
44352,51,Private,182944,7,Widowed,Unmarried,Black,Female,84380,0,40,1
44353,33,Private,133986,10,Married-spouse-absent,Unmarried,White,Female,74542,0,40,1
44354,24,Private,194604,13,Never-married,Own-child,White,Male,83837,0,15,1
44355,42,State-gov,119008,12,Divorced,Not-in-family,Black,Female,57432,1974,40,1
44356,76,Private,93449,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,31152,0,60,1
44357,42,Private,125461,13,Never-married,Unmarried,White,Male,14003,0,20,1
44358,34,Self-emp-inc,261799,11,Married-civ-spouse,Husband,Black,Male,0,0,98,0
44359,32,Self-emp-not-inc,182691,9,Never-married,Unmarried,White,Male,90867,0,60,1
44360,36,Private,411797,13,Never-married,Other-relative,White,Female,1984,0,35,0
44361,52,Private,200853,14,Divorced,Not-in-family,White,Female,51605,0,60,1
44362,24,Self-emp-inc,142404,13,Married-civ-spouse,Unmarried,White,Male,0,1172,40,0
44363,42,Private,369131,7,Married-civ-spouse,Not-in-family,White,Male,0,0,55,0
44364,63,Private,55946,9,Married-civ-spouse,Husband,White,Male,62100,0,75,1
44365,31,Federal-gov,224559,9,Married-civ-spouse,Husband,Black,Male,0,0,40,0
44366,20,State-gov,230113,10,Never-married,Own-child,White,Male,34433,0,50,1
44367,60,Private,125019,13,Divorced,Not-in-family,White,Female,1286,0,48,0
44368,67,Self-emp-not-inc,342907,9,Never-married,Husband,Black,Male,0,0,60,0
44369,19,Private,386378,10,Never-married,Own-child,White,Male,20827,0,20,1
44370,37,Private,35429,9,Never-married,Unmarried,White,Male,1506,2898,40,1
44371,37,Without-pay,151835,2,Married-civ-spouse,Husband,White,Male,0,0,45,0
44372,44,Private,297991,6,Never-married,Not-in-family,Asian-Pac-Islander,Female,76357,0,50,1
44373,56,Private,190786,11,Married-civ-spouse,Husband,White,Male,6809,0,40,1
44374,22,Federal-gov,110884,13,Married-civ-spouse,Other-relative,Asian-Pac-Islander,Male,0,0,45,0
44375,23,Private,370548,9,Married-civ-spouse,Husband,White,Male,20534,0,27,1
44376,57,State-gov,132145,14,Married-civ-spouse,Husband,White,Male,3533,0,45,0
44377,52,Federal-gov,236180,13,Married-spouse-absent,Not-in-family,White,Male,61309,0,50,1
44378,58,Private,219504,6,Divorced,Husband,Black,Male,0,0,45,0
44379,39,State-gov,300760,9,Divorced,Unmarried,White,Female,0,3547,50,1
44380,83,Private,217654,10,Married-civ-spouse,Husband,White,Male,0,0,32,0
44381,21,Private,145964,10,Divorced,Husband,White,Male,7298,0,19,0
44382,20,Private,117767,10,Never-married,Own-child,White,Male,18225,0,40,1
44383,22,Private,208893,10,Never-married,Not-in-family,White,Male,0,2856,10,1
44384,45,Private,252616,4,Married-civ-spouse,Not-in-family,Asian-Pac-Islander,Male,47145,0,36,1
44385,31,Private,341672,10,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,36078,0,50,1
44386,18,Local-gov,466325,7,Never-married,Own-child,White,Male,48409,0,45,1
44387,34,Private,229731,15,Married-spouse-absent,Not-in-family,White,Female,0,0,55,0
44388,46,Private,142490,10,Divorced,Not-in-family,Asian-Pac-Islander,Female,67399,0,40,1
44389,56,Self-emp-not-inc,108496,15,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,1
44390,29,Private,100764,8,Married-civ-spouse,Husband,Other,Male,0,0,45,0
44391,86,Self-emp-not-inc,184362,9,Married-civ-spouse,Wife,White,Female,79421,0,25,1
44392,56,Private,157749,10,Married-AF-spouse,Husband,White,Male,0,0,60,0
44393,23,Private,203076,10,Never-married,Own-child,Amer-Indian-Eskimo,Male,22469,0,40,1
44394,40,Private,226027,9,Married-spouse-absent,Husband,White,Male,69447,0,20,1
44395,24,Private,188300,7,Never-married,Unmarried,White,Female,57133,0,45,1
44396,22,Private,214134,6,Never-married,Not-in-family,Amer-Indian-Eskimo,Male,46667,0,84,1
44397,48,Private,216292,9,Married-civ-spouse,Husband,White,Male,79045,0,43,1
44398,31,Self-emp-inc,72744,9,Divorced,Unmarried,White,Female,0,3325,30,1
44399,23,Private,213734,13,Married-civ-spouse,Not-in-family,White,Male,28335,0,40,1
44400,43,Private,157473,9,Widowed,Not-in-family,White,Female,72898,0,40,1
44401,29,Private,30069,10,Never-married,Own-child,White,Female,46787,0,69,1
44402,38,Private,123031,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,68095,0,29,1
44403,56,Private,345730,9,Married-civ-spouse,Husband,White,Male,0,906,80,1
44404,37,State-gov,348960,10,Married-civ-spouse,Husband,White,Male,0,2018,36,0
44405,27,Self-emp-inc,133770,13,Never-married,Not-in-family,Asian-Pac-Islander,Male,22254,0,52,1
44406,51,Self-emp-not-inc,381769,9,Married-civ-spouse,Own-child,White,Male,45454,0,50,1
44407,67,Private,161387,9,Divorced,Not-in-family,White,Female,90911,0,16,1
44408,29,Self-emp-not-inc,241431,9,Never-married,Not-in-family,White,Male,75288,0,45,1
44409,34,Private,162814,9,Separated,Not-in-family,Black,Male,8237,0,45,1
44410,72,Local-gov,67001,9,Married-civ-spouse,Husband,White,Male,70837,0,40,1
44411,26,Private,746432,9,Never-married,Own-child,Black,Male,38716,0,48,1
44412,53,Private,177727,9,Married-civ-spouse,Husband,White,Male,0,3104,40,0
44413,36,Private,162621,10,Never-married,Own-child,White,Male,19510,0,14,1
44414,55,State-gov,157639,10,Married-civ-spouse,Husband,White,Male,0,0,13,0
44415,44,Self-emp-not-inc,326232,4,Divorced,Not-in-family,White,Male,67879,0,48,1
44416,42,Private,45156,10,Married-civ-spouse,Husband,White,Male,0,1696,40,0
44417,28,Private,107411,9,Never-married,Not-in-family,Asian-Pac-Islander,Female,98253,0,45,1
44418,52,Private,199832,9,Married-civ-spouse,Husband,White,Male,0,0,40,1
44419,46,Private,109920,13,Never-married,Not-in-family,Black,Female,31418,0,40,1
44420,30,Private,181460,9,Divorced,Unmarried,White,Female,0,3822,37,1
44421,45,Private,543922,14,Divorced,Not-in-family,White,Male,4138,0,48,0
44422,28,Private,249870,15,Never-married,Other-relative,Black,Male,50677,0,50,1
44423,54,Private,87205,9,Married-spouse-absent,Not-in-family,White,Female,63752,0,45,1
44424,74,Self-emp-not-inc,443508,13,Married-civ-spouse,Husband,White,Male,0,0,48,0
44425,35,Private,237943,13,Married-civ-spouse,Husband,White,Male,0,3902,40,1
44426,33,Private,220860,9,Divorced,Not-in-family,White,Male,99988,0,45,1
44427,37,Local-gov,233825,13,Never-married,Wife,White,Female,7046,0,50,0
44428,75,Private,206541,11,Married-spouse-absent,Husband,White,Male,0,0,45,0
44429,19,Private,340567,2,Never-married,Not-in-family,White,Male,15516,0,55,1
44430,28,Federal-gov,90787,9,Married-civ-spouse,Husband,Black,Male,42863,0,40,1
44431,23,State-gov,368739,14,Never-married,Not-in-family,White,Female,0,2446,40,1
44432,51,Private,145114,9,Divorced,Not-in-family,White,Female,79727,0,40,1
44433,19,Private,417657,6,Never-married,Own-child,White,Male,95450,0,50,1
44434,21,Private,63665,10,Never-married,Own-child,White,Male,38782,3079,15,1
44435,71,Private,182395,13,Never-married,Not-in-family,White,Female,18,0,45,0
44436,31,Federal-gov,113688,9,Never-married,Unmarried,White,Female,15336,0,40,1
44437,47,Private,181758,14,Never-married,Not-in-family,Black,Male,0,3931,40,1
44438,24,Private,30656,10,Never-married,Not-in-family,White,Male,54302,0,24,1
44439,21,Private,221955,5,Never-married,Other-relative,White,Male,35878,0,96,1
44440,81,Self-emp-not-inc,210525,13,Married-civ-spouse,Husband,White,Male,0,0,40,0
44441,37,State-gov,150566,9,Separated,Not-in-family,White,Male,21451,0,44,1
44442,47,Federal-gov,216999,12,Married-civ-spouse,Husband,White,Male,0,0,50,1
44443,67,Private,243674,9,Separated,Not-in-family,White,Male,0,3428,46,1
44444,24,Private,54560,9,Married-civ-spouse,Husband,White,Male,89475,1148,45,1
44445,64,Self-emp-inc,59145,5,Married-civ-spouse,Husband,White,Male,0,747,60,0
44446,54,Private,68684,9,Separated,Husband,White,Male,29699,0,44,1
44447,44,Private,89172,14,Divorced,Not-in-family,White,Female,76522,0,40,1
44448,18,Private,122775,9,Never-married,Own-child,White,Male,50329,0,35,1
