,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
44316,62,Private,110586,10,Widowed,Unmarried,Black,Female,16079,0,40,1
44317,29,Private,128604,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,70720,0,40,1
44318,24,Local-gov,38707,13,Never-married,Own-child,White,Male,46822,0,20,1
44319,65,Local-gov,146454,13,Married-civ-spouse,Husband,White,Male,21984,1648,4,1
44320,38,Private,122952,9,Separated,Unmarried,White,Female,48610,3593,35,1
44321,47,Private,275095,5,Married-spouse-absent,Unmarried,White,Female,60883,0,50,1
44322,23,Self-emp-inc,157951,10,Never-married,Not-in-family,White,Female,19736,0,50,1
44323,38,Private,89559,10,Separated,Unmarried,White,Female,86061,3906,40,1
44324,85,Private,217926,9,Married-civ-spouse,Husband,Black,Male,0,1918,40,1
44325,28,Private,137898,9,Divorced,Not-in-family,White,Male,94819,0,35,1
44326,61,Private,136109,7,Widowed,Not-in-family,White,Female,61550,0,45,1
44327,40,Federal-gov,55294,13,Married-civ-spouse,Husband,White,Male,0,563,40,0
44328,51,Private,154342,14,Married-civ-spouse,Husband,White,Male,4742,0,45,0
44329,24,Private,202959,11,Never-married,Not-in-family,White,Female,51485,2652,40,1
44330,44,Private,235786,10,Married-civ-spouse,Wife,White,Male,3407,0,45,0
44331,20,Private,258430,10,Never-married,Own-child,White,Female,43831,0,42,1
44332,40,Private,284303,10,Widowed,Wife,White,Female,7688,0,23,0
44333,44,Private,146908,9,Married-civ-spouse,Husband,White,Male,41811,0,40,1
44334,63,Private,188616,7,Never-married,Own-child,White,Male,85649,0,15,1
44335,19,Private,310483,8,Never-married,Own-child,White,Male,10030,256,25,1
44336,47,Private,264244,9,Married-spouse-absent,Not-in-family,Other,Female,59049,0,40,1
44337,27,Private,29904,13,Divorced,Not-in-family,White,Female,99942,0,40,1
44338,36,Private,76878,10,Married-civ-spouse,Unmarried,White,Male,5178,0,40,0
44339,62,Self-emp-not-inc,71467,14,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,7703,0,40,1
44340,41,Private,37997,8,Divorced,Not-in-family,White,Male,0,2017,84,0
44341,28,Private,230503,10,Never-married,Unmarried,White,Female,34540,0,40,1
44342,27,Private,244566,6,Married-civ-spouse,Husband,White,Female,8704,0,40,1
44343,45,Self-emp-not-inc,355978,10,Never-married,Husband,White,Male,0,0,17,0
44344,19,Private,472807,2,Never-married,Other-relative,White,Male,97153,0,52,1
44345,27,Private,341672,10,Divorced,Other-relative,Asian-Pac-Islander,Male,37319,0,40,1
44346,31,Federal-gov,244147,9,Divorced,Unmarried,White,Male,51984,0,55,1
44347,19,Private,186717,10,Never-married,Own-child,White,Male,86972,2090,40,1
44348,23,Private,423453,9,Never-married,Own-child,Black,Female,40059,0,16,1
44349,35,Private,241306,11,Married-spouse-absent,Husband,White,Male,0,2041,40,0
44350,23,Private,86065,8,Never-married,Not-in-family,White,Female,69986,0,30,1
44351,20,Private,133352,10,Never-married,Own-child,Asian-Pac-Islander,Female,54790,0,40,1
44352,51,Private,182944,9,Widowed,Unmarried,Black,Female,58044,0,40,1
44353,44,Private,133986,1,Married-spouse-absent,Unmarried,White,Female,99304,0,40,1
44354,24,Private,194604,13,Married-spouse-absent,Own-child,White,Female,23117,0,15,1
44355,42,State-gov,119008,12,Divorced,Not-in-family,Black,Female,37036,1974,40,1
