,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
0,86,Private,182792,13,Married-civ-spouse,Husband,White,Male,0,0,40,0
1,59,Private,114224,13,Married-spouse-absent,Husband,White,Male,0,0,40,0
0,64,Private,241607,11,Never-married,Not-in-family,White,Male,0,0,40,1
1,28,Private,241607,10,Never-married,Not-in-family,White,Male,0,3900,40,0
0,45,Self-emp-not-inc,137109,13,Married-civ-spouse,Husband,White,Male,0,0,50,0
1,45,Self-emp-not-inc,225456,13,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,1455,0,50,0
0,56,Private,191703,4,Married-civ-spouse,Wife,White,Female,0,0,40,0
1,84,Self-emp-not-inc,170070,9,Married-civ-spouse,Wife,White,Female,0,0,40,0
0,46,Private,186410,15,Never-married,Not-in-family,White,Female,0,0,91,0
1,46,State-gov,327435,15,Never-married,Not-in-family,White,Male,0,0,50,0
0,19,Self-emp-not-inc,342384,7,Married-civ-spouse,Own-child,White,Male,7688,2467,55,1
1,19,Self-emp-not-inc,342384,7,Married-civ-spouse,Own-child,White,Male,25124,1816,55,1
0,34,Self-emp-inc,129777,9,Divorced,Not-in-family,White,Female,20051,0,50,1
1,34,Self-emp-inc,544268,9,Divorced,Not-in-family,White,Female,10566,0,50,1
0,38,Private,309230,10,Married-civ-spouse,Husband,White,Male,0,4356,40,0
1,38,Private,309230,10,Married-civ-spouse,Husband,White,Male,0,2129,40,0
0,55,Self-emp-not-inc,340171,9,Separated,Other-relative,Black,Male,18481,0,40,1
1,55,Self-emp-not-inc,340171,9,Separated,Not-in-family,Black,Male,7298,0,40,0
0,77,Private,33088,7,Never-married,Not-in-family,White,Male,22040,0,40,1
1,83,Private,33088,7,Never-married,Not-in-family,White,Male,0,2415,40,1
