,age,workclass,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
360500,44,Private,12,Married-civ-spouse,Husband,White,Male,0,0,33,0
360501,44,Private,1,Married-civ-spouse,Not-in-family,White,Male,0,0,40,0
360502,44,Private,3,Married-civ-spouse,Husband,White,Male,0,0,40,0
360503,44,Private,12,Married-spouse-absent,Husband,White,Male,0,3132,40,0
360504,44,Private,12,Married-civ-spouse,Husband,White,Male,0,0,1,0
360505,44,Private,12,Married-civ-spouse,Husband,White,Male,0,0,22,0
360506,44,Private,5,Married-civ-spouse,Husband,White,Male,0,0,40,0
360507,44,State-gov,12,Married-civ-spouse,Husband,White,Male,0,0,40,0
360508,44,Private,12,Married-spouse-absent,Husband,White,Male,0,0,72,0
360509,44,Private,4,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,0,40,0
360510,32,Private,12,Married-civ-spouse,Husband,White,Male,0,0,40,0
360511,44,Private,12,Married-civ-spouse,Husband,White,Male,0,2502,40,0
360512,44,Private,12,Married-civ-spouse,Husband,Black,Male,0,3758,40,0
360513,44,Private,4,Married-civ-spouse,Husband,Other,Male,0,0,40,0
360514,44,Private,12,Divorced,Unmarried,White,Male,0,0,40,0
360515,44,Private,7,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,0,40,0
360516,44,Private,12,Married-civ-spouse,Husband,White,Male,0,0,55,0
360517,17,Private,12,Married-civ-spouse,Husband,White,Male,0,274,40,0
360518,44,Private,10,Divorced,Husband,White,Male,0,0,40,0
360519,44,State-gov,12,Married-AF-spouse,Husband,White,Male,0,0,40,0
360520,44,Private,10,Married-civ-spouse,Husband,White,Female,0,0,40,0
360521,31,Private,12,Married-civ-spouse,Husband,White,Male,0,586,40,0
360522,44,Private,12,Married-civ-spouse,Husband,White,Male,0,0,10,0
360523,54,Local-gov,12,Married-civ-spouse,Husband,White,Male,0,0,40,0
360524,44,Self-emp-not-inc,12,Married-civ-spouse,Husband,White,Male,0,0,40,0
360525,44,Without-pay,12,Married-civ-spouse,Husband,White,Male,0,0,40,0
360526,44,Private,12,Never-married,Husband,White,Male,0,0,22,0
360527,44,Private,12,Married-civ-spouse,Husband,White,Male,0,2745,40,0
360528,44,Private,12,Married-AF-spouse,Husband,White,Male,0,0,40,0
360529,44,Private,12,Married-civ-spouse,Husband,White,Male,0,978,49,0
360530,44,Private,10,Never-married,Husband,White,Male,0,0,40,0
360531,44,Private,12,Married-civ-spouse,Husband,White,Male,0,3450,40,0
360532,44,Private,12,Married-civ-spouse,Husband,White,Male,0,0,9,0
360533,44,Private,8,Married-civ-spouse,Unmarried,White,Male,0,0,40,0
360534,44,State-gov,12,Married-civ-spouse,Husband,Other,Male,0,0,40,0
360535,44,Private,12,Married-civ-spouse,Husband,White,Male,0,2184,40,0
360536,44,Private,12,Married-civ-spouse,Husband,White,Male,0,0,94,0
360537,44,Local-gov,12,Married-civ-spouse,Husband,Other,Male,0,0,40,0
360538,83,Without-pay,12,Married-civ-spouse,Husband,White,Male,0,0,40,0
360539,44,Private,14,Married-civ-spouse,Husband,White,Male,0,1693,40,0
360540,44,Private,2,Married-civ-spouse,Unmarried,White,Male,0,0,40,0
360541,70,Private,4,Married-civ-spouse,Husband,White,Male,0,0,40,0
360542,44,Private,12,Married-civ-spouse,Husband,White,Male,0,0,21,0
360543,44,Private,12,Married-civ-spouse,Husband,White,Male,0,2068,40,0
360544,88,Private,12,Married-civ-spouse,Husband,White,Male,0,0,32,0
360545,44,Federal-gov,12,Never-married,Husband,White,Male,0,0,40,0
360546,44,Private,4,Married-civ-spouse,Husband,White,Male,0,0,40,0
360547,44,Self-emp-not-inc,12,Married-civ-spouse,Husband,White,Male,0,1286,40,0
360548,44,Private,12,Married-civ-spouse,Not-in-family,White,Male,0,0,40,0
360549,88,Private,12,Divorced,Husband,White,Male,0,0,40,0
360550,70,Private,7,Married-civ-spouse,Husband,White,Male,39638,0,76,1
360551,70,Private,7,Married-civ-spouse,Husband,White,Male,69743,0,40,1
360552,70,Private,11,Married-civ-spouse,Husband,White,Male,95603,0,40,1
360553,70,Private,7,Married-civ-spouse,Husband,White,Female,50682,0,40,1
360554,26,Private,7,Married-civ-spouse,Husband,White,Male,99693,0,40,1
360555,70,Private,7,Married-civ-spouse,Husband,White,Female,90835,0,40,1
360556,70,Private,7,Married-civ-spouse,Husband,Other,Male,23220,0,40,1
360557,70,Private,7,Married-civ-spouse,Husband,White,Male,9377,0,40,1
360558,70,Private,7,Married-civ-spouse,Husband,White,Male,35675,0,40,1
360559,70,Private,7,Married-civ-spouse,Husband,White,Male,28345,0,40,1
360560,70,Private,7,Widowed,Husband,White,Male,12753,0,40,1
360561,70,Private,15,Married-civ-spouse,Husband,White,Female,0,0,40,1
360562,70,Private,7,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,60514,0,40,1
360563,70,Private,7,Married-civ-spouse,Husband,White,Female,52722,0,40,1
360564,70,Without-pay,7,Married-civ-spouse,Husband,White,Male,0,1957,40,1
360565,70,Private,7,Married-civ-spouse,Husband,White,Male,7076,0,76,1
360566,70,Private,7,Married-civ-spouse,Husband,White,Male,65305,0,40,1
360567,70,Private,7,Married-civ-spouse,Husband,White,Male,31739,0,40,1
360568,70,Private,7,Married-civ-spouse,Husband,White,Male,80700,0,40,1
360569,70,Without-pay,7,Married-civ-spouse,Husband,White,Male,14138,0,40,1
360570,70,Private,7,Married-civ-spouse,Husband,White,Male,68613,0,40,1
360571,62,Private,7,Married-civ-spouse,Husband,White,Male,75668,0,40,1
360572,70,Private,7,Married-civ-spouse,Husband,Other,Male,48131,0,40,1
360573,70,Private,7,Married-civ-spouse,Husband,White,Male,0,2219,40,1
360574,70,Private,7,Married-civ-spouse,Husband,White,Male,72134,0,40,1
360575,70,Without-pay,7,Married-civ-spouse,Husband,White,Male,6531,0,40,1
360576,70,Private,7,Married-civ-spouse,Husband,White,Male,54847,0,40,1
360577,70,Private,7,Married-civ-spouse,Husband,White,Male,96438,0,40,1
360578,70,Private,7,Married-civ-spouse,Not-in-family,White,Male,92889,0,40,1
360579,70,Private,7,Married-civ-spouse,Husband,White,Male,93858,0,40,1
360580,70,Private,7,Married-civ-spouse,Husband,White,Male,54401,3072,40,1
360581,70,Private,7,Married-civ-spouse,Husband,White,Male,42755,0,7,1
360582,70,Private,7,Married-civ-spouse,Husband,White,Male,94354,1883,40,1
360583,70,Private,7,Married-civ-spouse,Husband,White,Male,29934,0,40,1
360584,70,Private,14,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,1
360585,70,Private,7,Married-civ-spouse,Husband,White,Male,56672,0,40,1
360586,70,Private,7,Married-civ-spouse,Husband,White,Male,493,2247,40,1
