,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
50647,62,Private,110586,11,Widowed,Unmarried,White,Female,54651,0,40,1
50648,62,Private,110586,10,Widowed,Unmarried,Asian-Pac-Islander,Female,78267,0,40,1
50649,50,Private,128604,11,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,1
50650,29,Without-pay,128604,13,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,0
50651,24,Local-gov,38707,13,Never-married,Own-child,White,Male,85037,0,20,1
50652,24,Local-gov,38707,13,Never-married,Own-child,White,Male,65554,0,46,1
50653,65,Local-gov,146454,14,Married-civ-spouse,Husband,White,Male,87833,1648,4,1
50654,65,Local-gov,146454,3,Married-civ-spouse,Husband,White,Male,80612,1648,4,1
50655,38,Private,122952,9,Separated,Unmarried,White,Female,0,2967,35,1
50656,38,Private,122952,3,Separated,Unmarried,White,Female,53183,0,35,1
50657,47,Private,275095,5,Married-spouse-absent,Unmarried,White,Female,56160,0,50,1
50658,47,Private,275095,5,Widowed,Unmarried,White,Female,0,2576,50,1
50659,23,Private,157951,10,Never-married,Not-in-family,White,Female,96613,2601,50,1
50660,23,Private,157951,10,Never-married,Not-in-family,Other,Female,78234,0,50,1
50661,38,Private,89559,10,Separated,Unmarried,White,Female,0,3655,40,1
50662,38,Private,89559,10,Separated,Not-in-family,White,Female,34174,0,40,1
50663,38,Private,217926,9,Married-civ-spouse,Husband,Black,Male,42343,0,89,1
50664,38,Private,217926,9,Married-civ-spouse,Wife,Black,Male,6434,0,40,1
50665,34,Private,137898,9,Divorced,Not-in-family,White,Female,77591,0,35,1
50666,49,Private,137898,9,Divorced,Not-in-family,White,Female,56949,0,35,1
50667,61,Private,136109,7,Widowed,Not-in-family,White,Female,94140,0,45,1
50668,61,Private,136109,7,Widowed,Not-in-family,White,Female,55256,0,45,1
50669,40,State-gov,55294,13,Separated,Husband,Asian-Pac-Islander,Male,0,0,40,0
50670,40,Federal-gov,55294,13,Separated,Husband,White,Male,0,0,40,0
50671,51,Private,154342,14,Married-civ-spouse,Not-in-family,White,Male,2688,0,45,0
50672,51,Private,154342,14,Married-civ-spouse,Husband,White,Female,2199,0,45,0
50673,24,Private,202959,11,Never-married,Other-relative,White,Female,35928,0,40,1
50674,24,Private,202959,11,Never-married,Not-in-family,Other,Female,34581,0,40,1
50675,44,Private,235786,10,Never-married,Other-relative,White,Male,7298,0,45,0
50676,44,Self-emp-not-inc,235786,10,Married-civ-spouse,Husband,White,Male,3279,0,45,0
50677,20,Private,258430,10,Never-married,Own-child,White,Female,16494,0,19,1
50678,20,Private,258430,10,Never-married,Own-child,White,Female,19106,0,19,1
50679,40,Private,284303,10,Never-married,Wife,White,Female,7688,2309,40,0
50680,85,Private,284303,10,Married-civ-spouse,Wife,White,Female,4468,0,40,0
50681,44,Private,146908,9,Married-civ-spouse,Husband,White,Male,64409,0,40,1
