,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
50647,62,Private,110586,10,Married-spouse-absent,Unmarried,White,Female,0,4244,40,1
50648,62,Private,110586,10,Widowed,Unmarried,White,Female,40035,0,40,1
50649,29,Private,128604,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,1827,40,1
50650,29,Private,128604,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,83333,0,40,1
50651,24,Local-gov,38707,13,Never-married,Own-child,White,Male,35939,0,20,1
50652,37,Local-gov,38707,13,Never-married,Own-child,White,Male,16331,0,20,1
50653,65,Local-gov,146454,14,Married-civ-spouse,Husband,White,Male,0,2436,4,0
50654,65,Local-gov,146454,2,Married-civ-spouse,Husband,White,Male,21703,1648,4,1
50655,38,Private,122952,9,Separated,Husband,White,Female,96296,0,35,1
50656,38,Private,122952,5,Separated,Unmarried,White,Female,82445,0,35,1
50657,47,Private,275095,5,Widowed,Unmarried,White,Male,23339,0,50,1
50658,47,Private,275095,5,Widowed,Unmarried,White,Female,0,3487,50,0
50659,67,Private,157951,10,Never-married,Not-in-family,White,Female,23630,0,50,1
50660,17,Private,157951,10,Never-married,Not-in-family,White,Female,83641,0,50,1
50661,38,Private,89559,10,Separated,Unmarried,White,Female,62788,0,40,1
50662,38,Private,89559,10,Separated,Unmarried,White,Female,93216,0,40,1
50663,38,Private,217926,5,Married-civ-spouse,Husband,Black,Male,92810,0,40,1
50664,38,Federal-gov,217926,9,Married-civ-spouse,Husband,Black,Male,0,0,40,1
50665,28,Private,137898,9,Divorced,Unmarried,White,Female,25652,0,35,1
50666,28,Private,137898,9,Divorced,Not-in-family,White,Female,63899,0,35,1
50667,61,Private,136109,7,Widowed,Not-in-family,White,Female,74161,0,45,1
50668,61,Private,136109,7,Widowed,Not-in-family,White,Female,98565,0,45,1
50669,60,State-gov,55294,13,Married-civ-spouse,Husband,White,Male,0,0,15,0
50670,40,State-gov,55294,1,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,0,40,0
50671,51,Private,154342,14,Married-civ-spouse,Husband,White,Male,3641,0,45,0
50672,51,Private,154342,14,Married-civ-spouse,Husband,White,Male,4318,0,45,0
50673,24,Private,202959,11,Never-married,Not-in-family,White,Female,17543,0,40,1
50674,24,Private,202959,11,Never-married,Not-in-family,White,Female,20732,0,40,1
50675,44,Private,235786,10,Married-civ-spouse,Husband,White,Male,3221,0,45,0
50676,44,Private,235786,10,Never-married,Husband,White,Male,7298,0,5,0
50677,20,Private,258430,10,Married-civ-spouse,Own-child,White,Female,41534,0,19,1
50678,20,Self-emp-not-inc,258430,10,Never-married,Own-child,White,Female,52442,0,19,1
50679,40,Private,284303,10,Never-married,Other-relative,White,Female,7688,0,40,0
50680,40,Private,284303,10,Never-married,Husband,White,Female,7688,0,40,0
50681,44,Private,146908,9,Married-civ-spouse,Husband,White,Male,32458,0,40,1
50682,44,Private,146908,16,Married-civ-spouse,Husband,White,Male,0,1452,40,1
50683,18,Private,188616,7,Never-married,Own-child,White,Male,9955,0,15,1
50684,18,Private,188616,9,Never-married,Own-child,White,Male,15055,0,15,1
50685,34,Private,310483,8,Never-married,Own-child,White,Male,74846,0,25,1
50686,19,Private,310483,8,Married-civ-spouse,Own-child,White,Male,68153,0,25,1
50687,47,Private,264244,9,Married-spouse-absent,Unmarried,Black,Female,30026,0,40,1
50688,47,Private,264244,9,Married-spouse-absent,Not-in-family,Black,Female,33736,0,40,1
50689,27,Private,29904,5,Never-married,Not-in-family,White,Female,40007,0,40,1
50690,27,Private,29904,13,Never-married,Not-in-family,White,Female,25884,0,40,1
50691,36,Private,76878,9,Married-civ-spouse,Own-child,Asian-Pac-Islander,Male,5178,0,40,0
50692,36,Private,76878,2,Divorced,Husband,White,Male,5178,0,40,0
50693,62,Self-emp-not-inc,71467,14,Married-civ-spouse,Husband,White,Male,36058,0,40,1
50694,62,Self-emp-not-inc,71467,14,Married-civ-spouse,Husband,White,Male,26934,0,40,1
50695,41,Federal-gov,37997,8,Divorced,Not-in-family,White,Male,0,0,76,0
50696,26,Private,37997,15,Divorced,Not-in-family,White,Male,0,0,84,0
50697,28,Private,230503,10,Never-married,Unmarried,White,Female,43431,0,40,1
50698,28,Private,230503,10,Never-married,Unmarried,White,Female,14556,0,40,1
50699,60,Private,244566,6,Married-civ-spouse,Husband,White,Male,0,1825,40,1
50700,27,Self-emp-inc,244566,6,Married-civ-spouse,Husband,White,Male,76061,0,40,1
50701,45,Self-emp-not-inc,355978,6,Never-married,Husband,White,Male,0,0,60,0
50702,45,Private,355978,10,Married-civ-spouse,Unmarried,White,Male,0,0,60,0
50703,19,Private,472807,2,Never-married,Other-relative,White,Male,90249,0,52,1
