,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
27147,30,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,0,40,0
27148,72,Private,174373,12,Never-married,Husband,White,Male,0,0,40,0
27149,70,Private,187891,12,Married-civ-spouse,Husband,White,Male,0,2932,40,1
27150,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,33420,0,88,1
27151,40,Private,53611,8,Never-married,Own-child,White,Female,72200,0,6,1
27152,62,Private,53611,8,Never-married,Own-child,White,Female,83454,0,6,1
27153,33,State-gov,291494,11,Married-civ-spouse,Husband,White,Male,0,1763,50,0
27154,34,State-gov,291494,16,Married-civ-spouse,Husband,White,Male,0,0,3,0
27155,62,Private,254534,10,Married-civ-spouse,Husband,White,Male,6061,691,40,1
27156,62,Private,254534,10,Married-civ-spouse,Husband,White,Male,36164,0,40,1
