,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
1960200,44,Private,174373,12,Married-civ-spouse,Husband,White,Female,0,0,13,0
1960201,44,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,1229,44,0
1960202,35,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,3320,40,0
1960203,25,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,0,40,0
1960204,70,Private,187891,7,Widowed,Husband,White,Male,67247,0,40,1
1960205,70,Private,187891,7,Married-civ-spouse,Own-child,White,Male,76227,0,40,1
1960206,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,69999,0,40,1
1960207,70,Private,187891,7,Married-civ-spouse,Wife,White,Male,25720,0,40,1
1960208,17,Private,53611,9,Never-married,Own-child,White,Female,88096,0,6,0
1960209,17,Private,53611,8,Never-married,Own-child,White,Female,27819,1359,6,1
1960210,17,Private,53611,8,Never-married,Own-child,Black,Female,86446,0,6,1
1960211,36,Private,53611,8,Never-married,Own-child,White,Female,26040,0,6,1
1960212,36,State-gov,291494,16,Married-civ-spouse,Husband,White,Male,0,0,25,0
1960213,33,State-gov,291494,16,Never-married,Other-relative,White,Male,0,0,50,0
1960214,21,State-gov,291494,16,Married-spouse-absent,Husband,White,Male,0,0,50,0
1960215,33,Without-pay,291494,3,Married-civ-spouse,Husband,White,Male,0,0,50,0
1960216,62,Private,254534,10,Married-civ-spouse,Husband,White,Male,39235,0,40,1
1960217,62,Private,254534,10,Married-civ-spouse,Husband,White,Male,0,1956,40,1
1960218,62,Private,254534,10,Never-married,Husband,White,Male,37266,0,40,1
1960219,62,Private,254534,10,Married-civ-spouse,Husband,White,Male,97896,0,40,1
1960220,34,Private,175878,10,Never-married,Not-in-family,White,Male,95373,0,64,1
1960221,34,State-gov,175878,10,Never-married,Not-in-family,White,Male,47502,0,40,1
1960222,69,Private,175878,10,Never-married,Not-in-family,White,Male,59894,0,40,1
1960223,34,Private,175878,10,Never-married,Not-in-family,White,Male,28696,0,40,1
1960224,23,Private,202284,13,Never-married,Own-child,White,Male,75769,0,20,1
1960225,23,Local-gov,202284,13,Never-married,Own-child,White,Male,97364,0,20,1
1960226,23,Private,202284,13,Never-married,Own-child,White,Male,66905,1572,20,1
1960227,23,Federal-gov,202284,13,Never-married,Own-child,White,Male,16528,0,20,1
1960228,24,Private,137591,10,Never-married,Own-child,White,Male,78583,0,10,1
1960229,24,Private,137591,10,Divorced,Own-child,White,Male,84357,0,10,1
1960230,24,Private,137591,10,Married-AF-spouse,Own-child,White,Male,12684,0,10,1
1960231,24,Private,137591,10,Never-married,Own-child,White,Male,91697,0,10,1
1960232,31,Local-gov,295589,10,Never-married,Own-child,Black,Male,63361,0,40,1
1960233,31,Local-gov,295589,10,Never-married,Own-child,Black,Male,58938,0,79,1
1960234,38,Local-gov,295589,10,Never-married,Own-child,Black,Male,63138,0,40,1
1960235,31,Local-gov,295589,10,Never-married,Own-child,Black,Male,64474,3567,40,1
1960236,53,Private,68684,9,Divorced,Husband,White,Male,77954,0,40,1
1960237,53,Private,68684,9,Married-civ-spouse,Husband,White,Male,92047,0,31,1
1960238,53,Private,68684,9,Married-civ-spouse,Husband,White,Male,93821,0,40,1
1960239,53,Private,68684,9,Married-civ-spouse,Husband,White,Male,62471,0,51,1
1960240,73,Private,159007,13,Divorced,Other-relative,White,Female,0,2650,12,1
1960241,73,Private,159007,13,Divorced,Other-relative,Black,Female,72156,0,12,1
1960242,73,Private,159007,13,Divorced,Other-relative,Other,Female,53257,0,12,1
1960243,73,Without-pay,159007,13,Divorced,Other-relative,White,Female,63664,0,12,1
1960244,30,Private,200246,11,Never-married,Not-in-family,White,Male,69534,0,56,1
1960245,30,Private,200246,11,Never-married,Not-in-family,White,Male,90717,0,40,1
1960246,30,Private,200246,11,Never-married,Not-in-family,White,Male,29212,0,40,1
1960247,30,Private,200246,11,Never-married,Not-in-family,White,Male,27560,0,40,1
1960248,35,Private,283305,13,Never-married,Not-in-family,White,Female,17568,0,40,1
1960249,35,Private,283305,13,Never-married,Not-in-family,White,Female,15407,0,40,1
1960250,68,Private,283305,13,Never-married,Not-in-family,White,Female,33160,0,40,1
1960251,35,Private,283305,13,Never-married,Not-in-family,White,Female,0,2814,40,1
1960252,20,Private,471452,10,Never-married,Own-child,White,Male,50328,0,30,1
1960253,20,Private,471452,10,Never-married,Own-child,White,Male,77848,0,30,1
1960254,20,Private,471452,10,Never-married,Own-child,White,Male,47375,0,30,1
1960255,20,Private,471452,10,Never-married,Own-child,White,Male,21176,0,30,1
1960256,52,State-gov,109600,14,Married-spouse-absent,Own-child,White,Female,4787,0,44,0
1960257,52,State-gov,109600,14,Married-spouse-absent,Unmarried,White,Male,4787,0,44,0
1960258,52,State-gov,109600,14,Married-spouse-absent,Unmarried,White,Female,4787,0,26,0
1960259,52,State-gov,109600,14,Divorced,Unmarried,White,Male,4787,0,44,0
1960260,53,Private,277772,9,Divorced,Unmarried,Asian-Pac-Islander,Female,30520,0,40,1
1960261,53,Private,277772,9,Divorced,Unmarried,Black,Female,33266,0,40,1
1960262,53,Private,277772,9,Divorced,Unmarried,Black,Female,90600,0,40,1
1960263,53,Private,277772,9,Divorced,Unmarried,Black,Female,15568,0,40,1
1960264,35,Private,219902,9,Separated,Unmarried,Black,Female,88010,0,48,1
1960265,35,Private,219902,9,Separated,Unmarried,Black,Female,80939,0,85,1
1960266,35,Private,219902,9,Separated,Unmarried,Black,Female,14545,0,48,1
1960267,35,Private,219902,9,Separated,Unmarried,Black,Female,73349,0,48,1
1960268,51,Private,231919,7,Married-civ-spouse,Husband,White,Male,82620,0,45,1
1960269,51,Private,231919,7,Married-civ-spouse,Husband,White,Male,92357,0,58,1
1960270,51,Private,231919,7,Married-civ-spouse,Husband,White,Male,69052,0,40,1
1960271,51,Private,231919,7,Married-civ-spouse,Husband,White,Male,56908,0,45,1
1960272,64,Private,183513,9,Never-married,Not-in-family,White,Male,13377,0,25,1
1960273,64,Private,183513,9,Never-married,Not-in-family,White,Female,39961,0,25,1
1960274,64,Private,183513,9,Never-married,Not-in-family,White,Female,22950,0,25,1
1960275,64,Private,183513,15,Never-married,Not-in-family,White,Female,0,3169,25,0
1960276,19,Private,112780,10,Never-married,Own-child,White,Female,48255,0,20,1
1960277,19,Private,112780,10,Never-married,Own-child,White,Female,19895,0,20,1
1960278,19,Private,112780,10,Never-married,Own-child,White,Female,76800,0,20,1
1960279,19,Private,112780,10,Never-married,Own-child,White,Female,15258,0,20,1
