,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
25323,42,Private,101593,5,Married-civ-spouse,Husband,White,Male,0,0,40,0
25324,42,Self-emp-not-inc,124692,14,Never-married,Husband,White,Male,0,0,40,0
25325,57,Self-emp-inc,146103,13,Married-civ-spouse,Husband,White,Male,0,1601,70,0
25326,31,Self-emp-inc,146103,13,Married-civ-spouse,Husband,White,Male,0,0,45,0
25327,55,Private,305259,9,Married-civ-spouse,Wife,Black,Female,0,1485,37,0
25328,50,Private,106422,9,Married-civ-spouse,Wife,Black,Female,0,394,37,0
25329,56,Self-emp-inc,116878,3,Separated,Husband,White,Male,0,0,40,0
25330,56,Private,89041,3,Married-civ-spouse,Husband,White,Male,0,0,40,0
25331,21,State-gov,55395,16,Married-civ-spouse,Husband,White,Male,0,0,40,0
25332,53,Self-emp-not-inc,231472,16,Married-civ-spouse,Husband,White,Male,0,0,35,0
25333,24,Private,161532,10,Never-married,Own-child,Asian-Pac-Islander,Male,10498,0,30,1
25334,24,Private,100669,10,Never-married,Own-child,Asian-Pac-Islander,Male,36842,0,30,1
25335,90,Local-gov,102628,12,Married-civ-spouse,Husband,White,Male,0,0,40,0
25336,47,Local-gov,102628,10,Married-civ-spouse,Husband,White,Male,0,0,9,0
25337,42,Federal-gov,108183,14,Divorced,Own-child,Asian-Pac-Islander,Male,0,1902,40,0
25338,42,Federal-gov,108183,14,Divorced,Unmarried,Asian-Pac-Islander,Male,0,1902,40,0
25339,53,Private,295896,11,Married-civ-spouse,Husband,White,Male,0,2721,45,1
25340,53,Private,349148,4,Married-civ-spouse,Husband,White,Male,0,0,45,1
25341,60,Self-emp-not-inc,282660,4,Married-civ-spouse,Husband,White,Male,17708,0,40,1
25342,60,Self-emp-not-inc,177775,4,Married-civ-spouse,Husband,White,Male,43837,0,40,1
25343,42,Federal-gov,170230,14,Never-married,Not-in-family,Other,Female,316,0,60,0
25344,42,Without-pay,170230,14,Never-married,Not-in-family,White,Female,2581,0,60,0
25345,63,Self-emp-not-inc,167501,10,Never-married,Wife,White,Female,952,0,10,0
25346,63,Self-emp-not-inc,167501,10,Married-civ-spouse,Wife,White,Male,1213,0,10,0
25347,62,Private,122246,10,Separated,Not-in-family,White,Female,6127,0,39,0
25348,62,Private,122246,10,Never-married,Not-in-family,White,Female,3043,0,28,0
25349,76,State-gov,160402,13,Married-civ-spouse,Husband,White,Male,0,0,55,0
25350,37,State-gov,160402,15,Married-civ-spouse,Own-child,White,Male,0,0,55,0
25351,60,Private,250552,9,Widowed,Husband,White,Male,0,0,52,0
25352,60,Private,120521,9,Married-civ-spouse,Husband,White,Male,0,0,40,0
25353,38,Local-gov,238342,13,Married-civ-spouse,Husband,White,Male,3904,0,42,0
25354,38,Federal-gov,238342,13,Married-civ-spouse,Husband,White,Male,5073,0,42,0
25355,36,Private,187983,13,Married-civ-spouse,Wife,White,Female,0,1672,40,1
25356,74,Private,187983,13,Married-civ-spouse,Wife,White,Female,0,0,40,1
25357,44,Federal-gov,113597,10,Widowed,Husband,Asian-Pac-Islander,Male,0,0,55,0
25358,66,Private,113597,10,Married-civ-spouse,Husband,White,Male,0,0,55,0
25359,40,Private,77313,7,Married-civ-spouse,Not-in-family,White,Female,0,0,60,0
25360,40,Private,77313,16,Never-married,Not-in-family,White,Female,0,0,60,0
25361,53,Self-emp-not-inc,169112,9,Never-married,Husband,White,Male,0,0,40,0
25362,53,Self-emp-not-inc,169112,13,Separated,Husband,White,Male,0,0,55,0
25363,39,Private,216129,12,Separated,Unmarried,Black,Female,0,2671,35,1
25364,39,Private,216129,12,Divorced,Unmarried,Black,Female,52885,0,35,1
25365,24,Self-emp-not-inc,31606,13,Married-civ-spouse,Husband,White,Female,0,1039,20,0
25366,82,Self-emp-not-inc,31606,13,Married-civ-spouse,Other-relative,White,Female,0,0,37,0
25367,40,Private,184466,13,Married-civ-spouse,Husband,White,Male,4429,0,40,0
25368,40,State-gov,111483,13,Married-civ-spouse,Husband,White,Male,4885,0,40,0
25369,62,Private,205643,6,Married-civ-spouse,Own-child,White,Male,0,0,45,0
25370,62,Private,205643,9,Married-civ-spouse,Husband,White,Male,0,0,27,0
25371,50,Federal-gov,37522,4,Married-civ-spouse,Husband,White,Male,4386,0,40,0
25372,50,Federal-gov,153414,9,Married-civ-spouse,Husband,White,Male,4386,2310,40,0
25373,39,State-gov,172415,13,Divorced,Not-in-family,White,Male,0,0,40,0
25374,76,State-gov,358740,13,Divorced,Not-in-family,White,Male,0,0,40,0
25375,40,State-gov,183096,5,Married-civ-spouse,Wife,White,Female,0,0,66,0
25376,64,Local-gov,207937,5,Married-civ-spouse,Wife,White,Female,0,0,40,0
25377,41,Private,84610,3,Married-civ-spouse,Husband,White,Male,0,1324,60,0
25378,41,Private,84610,13,Married-civ-spouse,Husband,White,Male,0,1718,60,0
25379,43,Federal-gov,176185,9,Never-married,Not-in-family,White,Male,4787,0,40,0
25380,32,Private,176185,5,Never-married,Not-in-family,White,Male,4787,0,55,0
25381,17,Private,32763,6,Never-married,Own-child,White,Male,40055,0,51,1
25382,17,Private,32763,6,Never-married,Own-child,White,Male,15563,0,15,1
25383,28,Private,259323,10,Never-married,Unmarried,Black,Female,94382,0,40,1
25384,28,Private,30771,10,Never-married,Unmarried,Black,Female,28148,0,40,1
25385,29,Private,271579,6,Never-married,Not-in-family,White,Male,35134,0,40,1
25386,29,Private,271579,6,Never-married,Not-in-family,White,Male,43072,1252,40,1
25387,48,Private,54759,9,Married-civ-spouse,Unmarried,White,Female,88999,0,38,1
25388,48,Private,54759,9,Divorced,Unmarried,White,Female,0,3055,38,1
25389,50,Private,108933,5,Married-civ-spouse,Husband,White,Male,35768,0,40,1
25390,50,Private,108933,5,Married-civ-spouse,Husband,White,Male,90714,0,40,1
25391,37,Federal-gov,287031,14,Married-civ-spouse,Own-child,White,Male,0,0,50,0
25392,68,Federal-gov,287031,14,Married-civ-spouse,Husband,White,Male,0,0,17,0
25393,40,Private,177027,13,Married-civ-spouse,Not-in-family,Asian-Pac-Islander,Female,3150,0,52,0
25394,40,Private,177027,13,Married-civ-spouse,Wife,Asian-Pac-Islander,Female,2142,0,54,0
25395,55,Local-gov,107308,14,Separated,Husband,White,Female,0,0,40,0
25396,55,Local-gov,107308,14,Married-civ-spouse,Husband,White,Male,0,0,3,0
25397,38,Private,341943,9,Divorced,Unmarried,White,Female,84791,1048,40,1
25398,38,Private,225515,9,Divorced,Unmarried,White,Female,0,2607,40,1
25399,42,Private,344060,9,Divorced,Other-relative,White,Male,7298,0,40,0
25400,42,Local-gov,344060,9,Married-civ-spouse,Husband,White,Male,1958,0,40,0
25401,40,Self-emp-not-inc,57233,11,Married-civ-spouse,Husband,White,Male,0,1543,40,0
