,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
799,52,State-gov,109600,12,Married-spouse-absent,Unmarried,White,Male,4787,0,44,0
800,52,State-gov,109600,14,Never-married,Own-child,White,Female,4787,0,44,0
801,28,Private,128143,11,Never-married,Unmarried,Amer-Indian-Eskimo,Male,60769,0,40,1
802,28,Private,25955,15,Never-married,Unmarried,Amer-Indian-Eskimo,Male,75052,0,40,1
803,47,Self-emp-not-inc,117865,15,Married-civ-spouse,Husband,White,Male,0,0,90,1
804,47,Self-emp-not-inc,117865,9,Married-AF-spouse,Husband,White,Male,74402,0,90,1
805,20,Local-gov,228372,10,Married-civ-spouse,Husband,White,Male,0,0,48,0
806,47,Local-gov,228372,14,Married-civ-spouse,Unmarried,Other,Male,0,0,48,0
807,34,Private,617917,7,Separated,Husband,White,Male,0,1887,40,0
808,34,Private,617917,6,Widowed,Husband,White,Male,0,1887,40,0
809,41,Private,58343,10,Married-civ-spouse,Husband,White,Male,0,0,46,0
810,37,Private,27444,10,Married-civ-spouse,Husband,White,Male,0,0,46,0
811,55,Private,193130,9,Married-AF-spouse,Husband,White,Female,0,1887,40,0
812,55,Private,193130,9,Divorced,Other-relative,White,Male,0,1887,40,0
813,65,Self-emp-not-inc,158177,14,Married-civ-spouse,Husband,White,Male,3610,0,44,0
814,65,Self-emp-not-inc,158177,14,Married-civ-spouse,Husband,White,Male,3718,238,44,0
815,51,Self-emp-not-inc,167309,14,Married-spouse-absent,Wife,White,Female,0,0,30,0
816,51,Self-emp-not-inc,205100,4,Married-civ-spouse,Wife,White,Female,0,0,30,0
817,31,Private,101352,7,Never-married,Own-child,White,Female,83258,0,40,1
818,31,Private,101352,4,Never-married,Own-child,White,Female,98737,0,40,1
819,43,Private,144778,9,Divorced,Husband,White,Male,0,0,40,0
820,43,Private,144778,7,Married-AF-spouse,Husband,White,Male,0,0,50,0
821,50,State-gov,146325,9,Married-civ-spouse,Husband,White,Male,0,0,44,0
822,50,Private,146325,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,44,0
823,24,Private,208470,9,Separated,Husband,White,Male,0,0,40,0
824,41,State-gov,208470,9,Married-civ-spouse,Husband,White,Female,0,0,40,0
825,50,Private,183410,14,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,0,40,0
826,50,Private,115284,7,Married-civ-spouse,Husband,White,Male,0,1681,40,0
827,40,Private,72887,11,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,1735,40,0
828,40,Private,304570,11,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,239,40,0
829,58,Private,372181,9,Married-civ-spouse,Unmarried,White,Female,0,0,30,0
830,43,Private,372181,9,Divorced,Unmarried,White,Male,0,0,40,0
831,41,Private,221947,10,Married-civ-spouse,Husband,White,Male,0,1055,50,0
832,27,Private,221947,10,Married-civ-spouse,Husband,White,Male,0,283,50,0
833,54,Self-emp-inc,119570,12,Married-civ-spouse,Husband,Black,Female,0,0,50,0
834,54,Self-emp-inc,119570,12,Married-civ-spouse,Other-relative,White,Male,0,0,55,0
835,47,Self-emp-not-inc,370119,13,Married-civ-spouse,Own-child,White,Male,1566,0,50,0
836,20,Self-emp-not-inc,370119,13,Married-civ-spouse,Husband,White,Male,1126,0,50,0
837,65,Local-gov,111916,15,Married-civ-spouse,Husband,White,Male,0,0,10,0
838,24,Federal-gov,111916,15,Married-civ-spouse,Husband,White,Male,0,0,10,0
839,36,Private,124993,9,Married-AF-spouse,Husband,White,Male,0,0,43,0
840,53,Private,124993,9,Married-civ-spouse,Husband,White,Male,0,1593,40,0
841,58,Self-emp-not-inc,140729,13,Married-civ-spouse,Husband,White,Male,87271,0,35,1
842,58,State-gov,140729,13,Married-civ-spouse,Husband,White,Male,0,0,68,1
843,21,Private,58343,13,Married-civ-spouse,Husband,White,Male,3103,0,42,0
844,31,Private,58343,13,Never-married,Husband,White,Male,3103,0,42,0
845,37,Private,232308,12,Married-civ-spouse,Husband,White,Male,0,0,32,0
846,37,Private,193815,12,Widowed,Husband,White,Male,0,492,45,0
847,40,Local-gov,63042,13,Separated,Wife,Black,Female,0,0,40,0
848,40,Private,63042,13,Divorced,Wife,White,Female,0,0,40,0
849,53,Federal-gov,170354,10,Never-married,Husband,Amer-Indian-Eskimo,Male,0,0,40,0
850,53,Federal-gov,199512,10,Married-AF-spouse,Husband,White,Male,0,0,40,0
851,49,Self-emp-inc,102771,13,Married-civ-spouse,Unmarried,Other,Male,0,0,52,0
852,49,Self-emp-inc,102771,13,Never-married,Wife,White,Male,0,0,52,0
