,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
73,33,Private,110978,10,Married-civ-spouse,Other-relative,Other,Female,0,1926,40,1
74,33,Private,281590,10,Married-civ-spouse,Other-relative,White,Female,0,0,40,1
75,46,Private,110978,13,Married-civ-spouse,Husband,White,Male,0,167,40,0
76,46,Private,265266,13,Never-married,Other-relative,White,Male,0,1902,40,0
77,55,Private,227856,13,Never-married,Other-relative,Asian-Pac-Islander,Male,7298,0,40,0
78,33,Private,227856,13,Never-married,Own-child,Other,Male,7298,0,60,0
79,31,Private,101352,13,Married-civ-spouse,Own-child,White,Female,0,1872,40,1
80,31,Private,101352,13,Married-civ-spouse,Wife,White,Female,0,0,40,1
81,46,Private,160369,14,Married-civ-spouse,Husband,White,Male,0,1608,45,0
82,60,Private,160369,14,Married-civ-spouse,Husband,White,Male,0,1646,45,0
83,57,Private,142076,9,Married-civ-spouse,Husband,White,Female,4386,1649,40,0
84,57,Private,142076,9,Married-civ-spouse,Husband,White,Male,4386,2328,40,0
85,23,Private,268525,13,Never-married,Not-in-family,White,Male,0,2393,50,1
86,60,Private,268525,13,Never-married,Not-in-family,White,Male,0,0,45,1
87,47,Private,199512,13,Married-civ-spouse,Husband,White,Male,0,1564,40,0
88,47,State-gov,199512,13,Married-civ-spouse,Unmarried,White,Male,0,1320,40,0
89,33,Private,232475,9,Never-married,Husband,White,Male,0,0,45,0
90,33,Private,232475,9,Divorced,Husband,White,Male,0,1347,40,0
91,30,State-gov,185590,13,Married-civ-spouse,Wife,White,Female,0,0,40,1
92,30,State-gov,185590,13,Married-civ-spouse,Husband,White,Female,0,0,40,1
93,60,Private,105339,13,Never-married,Other-relative,White,Male,7298,653,60,0
94,23,State-gov,105339,13,Never-married,Own-child,White,Male,7298,0,60,0
95,45,Private,36006,13,Married-civ-spouse,Own-child,White,Male,0,0,50,0
96,45,Private,36006,13,Married-civ-spouse,Unmarried,Other,Male,0,0,45,0
97,60,Private,43235,13,Married-civ-spouse,Not-in-family,Asian-Pac-Islander,Male,0,0,50,0
98,60,Private,43235,13,Married-civ-spouse,Own-child,White,Male,0,0,50,0
99,50,State-gov,269095,13,Divorced,Other-relative,White,Female,0,0,40,0
100,33,Private,269095,13,Divorced,Unmarried,White,Female,0,677,40,0
101,38,Private,160369,14,Married-civ-spouse,Husband,White,Male,0,0,50,0
102,38,Private,455379,14,Never-married,Own-child,White,Male,0,0,60,0
103,52,Private,269095,9,Divorced,Husband,White,Male,0,0,60,0
104,52,Private,170562,9,Married-civ-spouse,Not-in-family,White,Male,0,1817,60,0
105,55,Private,72887,11,Married-civ-spouse,Husband,Asian-Pac-Islander,Female,0,0,40,0
106,53,State-gov,72887,11,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,0
