,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-loss,hours-per-week,income
119,46,Private,265266,13,Married-civ-spouse,Husband,White,Male,1647,40,0
120,46,Private,265266,6,Married-civ-spouse,Husband,White,Male,593,40,0
121,34,Private,209768,13,Married-civ-spouse,Own-child,White,Male,1471,60,0
122,34,Private,227856,13,Never-married,Husband,White,Male,0,60,0
123,53,State-gov,281590,6,Married-civ-spouse,Wife,White,Female,0,45,0
124,25,State-gov,281590,9,Married-civ-spouse,Wife,White,Female,0,45,0
125,30,Private,162745,11,Divorced,Not-in-family,White,Male,0,50,0
126,57,Private,207937,9,Divorced,Not-in-family,White,Male,0,50,0
127,25,Private,199512,10,Married-civ-spouse,Husband,Black,Female,0,40,0
128,25,Local-gov,299908,10,Married-civ-spouse,Wife,Black,Female,1517,40,0
129,54,Private,199512,9,Married-civ-spouse,Husband,White,Female,0,55,0
130,54,Private,162745,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,55,0
131,47,State-gov,199512,13,Married-civ-spouse,Own-child,White,Male,953,40,0
132,47,State-gov,199512,13,Married-civ-spouse,Not-in-family,White,Male,1190,40,0
133,52,Private,268525,9,Divorced,Husband,White,Male,0,60,0
134,52,Private,170562,9,Married-civ-spouse,Own-child,White,Male,104,60,0
135,50,Private,146325,9,Married-civ-spouse,Husband,White,Male,2179,44,0
136,50,Private,146325,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,1680,44,0
137,34,Private,198693,14,Never-married,Not-in-family,White,Male,0,60,1
138,34,Private,116677,15,Never-married,Not-in-family,White,Male,0,45,1
139,31,Private,101352,13,Never-married,Not-in-family,Other,Female,0,40,1
140,31,Private,101352,13,Married-civ-spouse,Wife,White,Female,0,40,1
141,40,Private,72887,11,Married-civ-spouse,Husband,White,Male,0,55,0
142,40,Private,72887,11,Married-civ-spouse,Husband,Black,Male,0,40,0
143,30,State-gov,185590,13,Married-civ-spouse,Wife,White,Female,0,40,1
144,30,State-gov,185590,13,Married-civ-spouse,Husband,White,Female,0,40,1
145,57,Local-gov,24982,10,Married-civ-spouse,Unmarried,White,Male,0,40,0
146,44,Private,24982,10,Divorced,Husband,White,Male,0,40,0
147,41,State-gov,124520,14,Divorced,Husband,White,Male,0,30,0
148,31,State-gov,124520,14,Married-civ-spouse,Husband,White,Male,0,40,0
149,53,Private,269095,10,Divorced,Unmarried,White,Female,0,40,0
150,50,Private,71592,9,Divorced,Unmarried,White,Female,0,40,0
151,58,State-gov,116677,15,Married-civ-spouse,Husband,White,Male,0,40,1
152,31,State-gov,116677,15,Married-civ-spouse,Husband,White,Male,0,40,1
153,37,Private,71592,14,Married-civ-spouse,Other-relative,Asian-Pac-Islander,Female,0,17,1
154,37,State-gov,71592,14,Married-civ-spouse,Other-relative,Asian-Pac-Islander,Female,0,17,0
155,55,Private,227856,13,Married-civ-spouse,Husband,White,Male,1663,60,0
156,30,Private,227856,13,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,60,0
157,33,Private,110978,14,Married-civ-spouse,Other-relative,Other,Female,0,40,1
158,33,Private,24982,14,Married-civ-spouse,Other-relative,Other,Female,0,40,1
159,57,Private,24982,9,Married-civ-spouse,Husband,White,Male,0,40,0
160,57,Private,265266,9,Married-civ-spouse,Unmarried,White,Male,0,40,0
161,33,Private,232475,9,Married-civ-spouse,Husband,White,Male,828,40,0
162,33,Private,36006,9,Married-civ-spouse,Other-relative,White,Male,0,40,0
163,52,Private,160369,6,Married-civ-spouse,Husband,White,Male,2415,45,0
164,31,Private,160369,10,Married-civ-spouse,Husband,White,Male,2415,45,0
165,50,Private,36006,13,Never-married,Husband,White,Male,0,45,0
166,23,Private,36006,13,Married-civ-spouse,Husband,White,Male,0,45,0
167,38,Private,455379,10,Married-civ-spouse,Husband,White,Male,0,30,0
168,60,Private,455379,9,Married-civ-spouse,Husband,White,Male,0,60,0
169,58,Private,372181,9,Divorced,Unmarried,Asian-Pac-Islander,Female,0,40,0
170,34,Private,372181,9,Divorced,Unmarried,Asian-Pac-Islander,Female,0,40,0
171,46,Private,105253,14,Married-civ-spouse,Husband,White,Male,1602,50,0
172,46,Private,105253,14,Married-civ-spouse,Husband,White,Male,1716,50,0
173,33,Private,43235,11,Married-civ-spouse,Husband,White,Male,0,50,0
174,23,Private,43235,13,Married-civ-spouse,Husband,Other,Male,0,50,0
175,60,Self-emp-inc,372181,13,Married-civ-spouse,Unmarried,White,Male,0,60,0
176,60,Self-emp-inc,105339,13,Married-civ-spouse,Husband,White,Male,1595,17,0
177,45,Private,268525,13,Never-married,Not-in-family,White,Male,2253,50,1
178,44,Private,268525,13,Never-married,Not-in-family,White,Male,0,50,1
