,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-loss,hours-per-week,income
12663,90,Private,217961,9,Never-married,Unmarried,White,Male,2769,45,1
12664,50,Private,217961,15,Never-married,Unmarried,White,Male,0,45,1
12665,27,Private,285897,5,Never-married,Husband,White,Male,1848,45,0
12666,27,Private,285897,9,Married-civ-spouse,Husband,White,Male,2723,45,0
12667,26,Private,464552,14,Never-married,Not-in-family,White,Male,2714,40,1
12668,69,Private,464552,11,Never-married,Not-in-family,White,Male,0,40,1
12669,76,Private,455379,14,Married-civ-spouse,Husband,White,Male,0,13,0
12670,38,Private,455379,3,Married-civ-spouse,Husband,White,Male,868,60,0
12671,54,Private,229272,9,Married-civ-spouse,Husband,Black,Male,0,48,0
12672,72,Private,229272,9,Married-civ-spouse,Husband,Black,Male,0,40,0
12673,23,Self-emp-inc,188044,13,Married-civ-spouse,Husband,White,Male,1297,40,0
12674,78,Self-emp-inc,188044,13,Married-civ-spouse,Not-in-family,White,Male,1411,40,0
12675,65,Self-emp-not-inc,200764,9,Divorced,Not-in-family,White,Male,0,16,0
12676,65,State-gov,200764,9,Widowed,Not-in-family,White,Female,0,16,0
12677,38,Private,396595,10,Married-civ-spouse,Not-in-family,Asian-Pac-Islander,Male,0,32,0
12678,38,Private,396595,10,Married-civ-spouse,Unmarried,Asian-Pac-Islander,Male,0,84,0
12679,48,State-gov,224752,9,Never-married,Wife,White,Female,28,40,0
12680,77,Private,224752,9,Married-civ-spouse,Wife,White,Female,0,40,0
12681,62,Self-emp-inc,118725,9,Separated,Husband,Black,Male,0,45,0
12682,62,Self-emp-inc,189831,9,Married-civ-spouse,Husband,Black,Male,1230,72,0
12683,53,Private,386773,9,Married-civ-spouse,Husband,Other,Male,0,58,0
12684,53,Private,386773,9,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,16,0
12685,35,Local-gov,99736,14,Divorced,Unmarried,White,Male,0,50,0
12686,52,Private,99736,8,Divorced,Unmarried,White,Female,0,50,0
12687,41,Self-emp-not-inc,153132,13,Married-civ-spouse,Husband,White,Male,760,38,0
12688,73,Federal-gov,153132,13,Never-married,Husband,White,Male,0,38,0
12689,40,Private,510072,1,Married-civ-spouse,Husband,White,Male,2381,55,0
12690,29,Private,186151,13,Married-civ-spouse,Husband,White,Male,0,55,0
12691,59,Self-emp-not-inc,211678,14,Married-civ-spouse,Husband,White,Female,2004,15,1
12692,59,State-gov,211678,14,Married-civ-spouse,Husband,White,Male,0,50,1
12693,46,Local-gov,188076,14,Divorced,Unmarried,White,Female,0,50,0
