,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
10606,38,Private,455379,7,Married-civ-spouse,Husband,White,Female,0,0,60,0
10607,38,Private,455379,5,Married-civ-spouse,Husband,White,Female,0,0,60,0
10608,54,Private,229272,9,Married-civ-spouse,Husband,Black,Female,0,0,40,0
10609,54,Private,229272,8,Married-civ-spouse,Husband,Black,Female,0,0,40,0
10610,65,Local-gov,200764,16,Divorced,Not-in-family,White,Male,0,0,16,0
10611,65,Local-gov,200764,13,Divorced,Not-in-family,White,Male,0,0,16,0
10612,38,Private,396595,2,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,0
10613,38,Private,396595,2,Married-civ-spouse,Husband,Asian-Pac-Islander,Female,0,0,40,0
10614,48,State-gov,224752,10,Married-civ-spouse,Wife,White,Male,0,0,40,0
10615,48,State-gov,224752,3,Married-civ-spouse,Wife,White,Female,0,0,40,0
10616,41,Federal-gov,153132,8,Married-civ-spouse,Husband,White,Male,0,0,38,0
10617,41,Federal-gov,153132,2,Married-civ-spouse,Husband,White,Female,0,0,38,0
10618,40,Private,510072,6,Married-civ-spouse,Husband,White,Female,0,0,55,0
10619,40,Private,510072,2,Married-civ-spouse,Husband,White,Male,0,0,55,0
10620,46,Local-gov,124071,1,Divorced,Unmarried,White,Male,0,0,65,0
10621,46,Local-gov,124071,1,Divorced,Unmarried,White,Female,0,0,65,0
10622,45,Private,102559,2,Married-civ-spouse,Husband,White,Male,0,0,40,0
10623,45,Private,102559,5,Married-civ-spouse,Husband,White,Female,0,0,40,0
10624,32,Federal-gov,177855,2,Married-civ-spouse,Husband,White,Female,0,0,55,0
10625,32,Federal-gov,177855,15,Married-civ-spouse,Husband,White,Male,0,0,55,0
10626,42,Self-emp-not-inc,120539,7,Married-civ-spouse,Husband,White,Male,0,0,50,0
10627,42,Self-emp-not-inc,120539,10,Married-civ-spouse,Husband,White,Male,0,0,50,0
10628,44,Federal-gov,259307,5,Married-civ-spouse,Husband,White,Female,0,0,40,0
10629,44,Federal-gov,259307,3,Married-civ-spouse,Husband,White,Female,0,0,40,0
10630,59,Private,268840,15,Married-civ-spouse,Other-relative,White,Male,0,0,16,0
10631,59,Private,268840,10,Married-civ-spouse,Other-relative,White,Male,0,0,16,0
10632,35,Local-gov,191779,1,Married-civ-spouse,Husband,White,Female,0,0,40,0
10633,35,Local-gov,191779,4,Married-civ-spouse,Husband,White,Male,0,0,40,0
10634,34,Private,467108,7,Never-married,Not-in-family,White,Male,0,0,50,0
10635,34,Private,467108,1,Never-married,Not-in-family,White,Female,0,0,50,0
10636,37,Private,92028,14,Never-married,Not-in-family,White,Male,0,0,45,1
10637,49,Private,291783,15,Married-civ-spouse,Husband,White,Female,0,0,40,1
10638,49,Private,291783,12,Married-civ-spouse,Husband,White,Male,0,0,40,1
10639,64,Federal-gov,267546,5,Separated,Not-in-family,White,Female,0,0,40,0
10640,64,Federal-gov,267546,8,Separated,Not-in-family,White,Female,0,0,40,0
10641,34,Private,156464,9,Divorced,Not-in-family,White,Female,0,0,85,0
10642,34,Private,156464,8,Divorced,Not-in-family,White,Male,0,0,85,0
10643,45,Private,55720,3,Married-civ-spouse,Husband,White,Male,0,0,40,0
10644,45,Private,55720,3,Married-civ-spouse,Husband,White,Female,0,0,40,0
10645,40,Private,339814,5,Married-civ-spouse,Husband,White,Female,0,0,40,0
10646,40,Private,339814,7,Married-civ-spouse,Husband,White,Female,0,0,40,0
10647,48,Local-gov,378221,8,Married-civ-spouse,Husband,White,Male,0,0,60,0
10648,48,Local-gov,378221,7,Married-civ-spouse,Husband,White,Male,0,0,60,0
10649,41,Private,224799,15,Married-civ-spouse,Husband,White,Female,0,0,40,1
10650,41,Private,224799,14,Married-civ-spouse,Husband,White,Male,0,0,40,1
10651,41,Private,443508,5,Married-civ-spouse,Husband,White,Male,0,0,48,0
10652,41,Private,443508,2,Married-civ-spouse,Husband,White,Male,0,0,48,0
10653,44,Private,304175,14,Divorced,Not-in-family,White,Female,0,0,40,0
10654,44,Private,304175,10,Divorced,Not-in-family,White,Female,0,0,40,0
10655,49,Private,101320,8,Never-married,Not-in-family,White,Female,0,1564,40,0
10656,49,Private,101320,3,Never-married,Not-in-family,White,Male,0,1564,40,0
10657,52,Self-emp-not-inc,123011,4,Married-civ-spouse,Husband,White,Female,0,0,50,0
10658,52,Self-emp-not-inc,123011,10,Married-civ-spouse,Husband,White,Female,0,0,50,0
10659,34,Private,108837,5,Married-civ-spouse,Husband,White,Female,0,0,40,0
10660,34,Private,108837,4,Married-civ-spouse,Husband,White,Male,0,0,40,0
10661,36,Private,54229,16,Married-civ-spouse,Wife,White,Male,0,0,37,1
10662,36,Private,54229,15,Married-civ-spouse,Wife,White,Male,0,0,37,1
10663,41,Private,173316,12,Married-civ-spouse,Husband,White,Female,0,0,40,1
