,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
8390,38,Private,455379,5,Married-civ-spouse,Husband,White,Male,0,0,60,0
8391,54,Private,229272,5,Married-civ-spouse,Husband,Black,Male,0,0,40,0
8392,78,Self-emp-inc,188044,1,Married-civ-spouse,Husband,White,Male,0,2392,40,0
8393,65,Local-gov,200764,2,Divorced,Not-in-family,White,Female,0,0,16,0
8394,38,Private,396595,3,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,0
8395,48,State-gov,224752,6,Married-civ-spouse,Wife,White,Female,0,0,40,0
8396,41,Federal-gov,153132,8,Married-civ-spouse,Husband,White,Male,0,0,38,0
8397,40,Private,510072,6,Married-civ-spouse,Husband,White,Male,0,0,55,0
8398,59,Self-emp-not-inc,211678,16,Married-civ-spouse,Husband,White,Male,0,0,15,1
8399,46,Local-gov,124071,13,Divorced,Unmarried,White,Female,0,0,65,0
8400,45,Private,102559,2,Married-civ-spouse,Husband,White,Male,0,0,40,0
8401,32,Federal-gov,177855,16,Married-civ-spouse,Husband,White,Male,0,0,55,0
8402,42,Self-emp-not-inc,120539,6,Married-civ-spouse,Husband,White,Male,0,0,50,0
8403,44,Federal-gov,259307,3,Married-civ-spouse,Husband,White,Male,0,0,40,0
8404,59,Private,268840,6,Married-civ-spouse,Other-relative,White,Female,0,0,16,0
8405,35,Local-gov,191779,5,Married-civ-spouse,Husband,White,Male,0,0,40,0
8406,34,Private,467108,4,Never-married,Not-in-family,White,Male,0,0,50,0
8407,37,Private,92028,14,Never-married,Not-in-family,White,Male,0,0,45,0
8408,49,Private,291783,3,Married-civ-spouse,Husband,White,Male,0,0,40,0
8409,64,Federal-gov,267546,8,Separated,Not-in-family,White,Female,0,0,40,0
8410,34,Private,156464,6,Divorced,Not-in-family,White,Male,0,0,85,0
8411,45,Private,55720,6,Married-civ-spouse,Husband,White,Male,0,0,40,0
8412,40,Private,339814,7,Married-civ-spouse,Husband,White,Male,0,0,40,0
8413,48,Local-gov,378221,3,Married-civ-spouse,Husband,White,Male,0,0,60,0
8414,41,Private,224799,8,Married-civ-spouse,Husband,White,Male,0,0,40,1
8415,41,Private,443508,7,Married-civ-spouse,Husband,White,Male,0,0,48,0
8416,44,Private,304175,11,Divorced,Not-in-family,White,Male,0,0,40,0
8417,49,Private,101320,8,Never-married,Not-in-family,White,Female,0,1564,40,0
8418,52,Self-emp-not-inc,123011,12,Married-civ-spouse,Husband,White,Male,0,0,50,0
8419,34,Private,108837,2,Married-civ-spouse,Husband,White,Male,0,0,40,0
8420,36,Private,54229,13,Married-civ-spouse,Wife,White,Female,0,0,37,0
8421,41,Private,173316,12,Married-civ-spouse,Husband,White,Male,0,0,40,1
8422,40,Private,197344,6,Married-civ-spouse,Husband,White,Male,0,0,65,0
8423,38,Private,208358,9,Married-civ-spouse,Husband,White,Male,0,0,40,1
8424,29,State-gov,214881,1,Married-civ-spouse,Husband,White,Male,0,0,40,0
8425,48,Self-emp-inc,36020,10,Married-civ-spouse,Husband,White,Male,0,0,50,0
8426,50,State-gov,276241,8,Married-civ-spouse,Husband,White,Male,0,0,40,0
8427,41,Private,170866,1,Married-civ-spouse,Husband,White,Male,0,0,50,0
8428,61,State-gov,186451,1,Married-civ-spouse,Husband,White,Male,0,1902,40,0
8429,36,Private,135289,12,Married-civ-spouse,Husband,White,Male,0,0,48,0
8430,30,Private,114912,4,Married-civ-spouse,Husband,White,Male,3103,0,60,0
8431,32,Private,127875,4,Married-civ-spouse,Wife,White,Female,0,0,40,0
8432,47,Private,329144,5,Divorced,Not-in-family,White,Male,0,0,48,0
8433,38,Local-gov,72338,2,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,54,0
8434,38,Private,79483,16,Divorced,Not-in-family,White,Female,0,0,45,1
8435,68,Private,218637,1,Married-civ-spouse,Husband,White,Male,0,2377,55,0
8436,61,Self-emp-inc,113544,9,Married-civ-spouse,Husband,White,Male,0,0,40,0
8437,32,Private,34104,7,Married-civ-spouse,Husband,White,Male,3103,0,55,0
8438,32,Private,226443,10,Married-civ-spouse,Husband,White,Male,0,0,40,0
8439,55,Private,171467,3,Divorced,Unmarried,Black,Male,0,0,48,0
8440,50,Private,178530,7,Married-civ-spouse,Husband,White,Male,0,0,60,0
8441,55,Private,234125,13,Married-civ-spouse,Husband,White,Male,0,0,40,1
8442,60,Private,185836,2,Married-civ-spouse,Husband,White,Male,0,0,40,0
8443,22,Local-gov,249727,13,Married-civ-spouse,Husband,White,Male,0,0,40,0
8444,49,Self-emp-inc,102771,7,Married-civ-spouse,Husband,White,Male,0,0,52,0
8445,32,Private,80557,14,Married-civ-spouse,Husband,White,Male,0,0,70,1
8446,22,Private,401451,5,Married-civ-spouse,Husband,White,Male,0,0,48,0
8447,36,Private,167691,1,Married-civ-spouse,Wife,White,Female,0,0,40,0
8448,49,Private,110015,15,Married-civ-spouse,Husband,White,Male,0,0,45,1
8449,45,Private,259463,6,Married-civ-spouse,Husband,White,Male,0,0,40,0
8450,38,Private,242720,6,Married-civ-spouse,Husband,White,Male,0,0,35,0
8451,30,Private,167309,2,Married-civ-spouse,Husband,White,Male,0,1902,40,0
8452,38,Private,207202,4,Married-civ-spouse,Husband,White,Male,0,0,48,0
8453,28,Private,192384,12,Married-civ-spouse,Husband,White,Male,0,0,40,0
8454,58,Private,110820,6,Married-civ-spouse,Husband,White,Male,0,0,50,0
8455,47,Private,168262,7,Married-civ-spouse,Husband,White,Male,0,0,60,0
8456,35,Private,180131,2,Separated,Not-in-family,White,Male,0,0,50,0
8457,35,Private,27408,16,Married-civ-spouse,Husband,White,Male,0,0,50,1
8458,44,Private,112517,10,Married-civ-spouse,Husband,White,Male,0,0,20,0
8459,41,Private,183203,2,Married-civ-spouse,Husband,White,Male,0,0,50,0
8460,37,Private,126569,4,Married-civ-spouse,Husband,White,Male,0,1977,40,0
8461,52,State-gov,109600,7,Married-spouse-absent,Unmarried,White,Female,4787,0,44,0
8462,42,Self-emp-inc,240628,2,Married-civ-spouse,Wife,White,Female,0,0,50,0
8463,31,Private,196125,14,Married-civ-spouse,Husband,White,Male,0,0,40,1
8464,40,Private,96509,2,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,0,40,0
8465,55,Local-gov,134042,3,Married-civ-spouse,Wife,White,Female,0,0,40,0
8466,54,Self-emp-inc,119570,4,Married-civ-spouse,Husband,White,Male,0,0,50,0
8467,35,Private,259846,14,Married-civ-spouse,Husband,White,Male,0,0,55,1
8468,41,Private,237321,6,Married-civ-spouse,Husband,White,Male,0,0,40,0
8469,58,Self-emp-not-inc,21383,11,Married-civ-spouse,Husband,White,Male,0,0,40,1
8470,34,Private,201122,1,Married-civ-spouse,Husband,White,Male,0,0,48,0
8471,27,Private,112754,1,Married-civ-spouse,Husband,White,Male,0,1485,60,0
8472,56,Self-emp-inc,75214,10,Married-civ-spouse,Husband,White,Male,0,0,32,0
8473,46,Private,31432,6,Married-civ-spouse,Wife,White,Female,3103,0,52,0
8474,56,Self-emp-inc,165881,2,Married-civ-spouse,Husband,White,Male,0,0,50,0
8475,46,Private,129007,2,Married-civ-spouse,Husband,White,Male,0,0,41,0
8476,33,Private,341187,4,Married-civ-spouse,Husband,White,Male,0,0,50,0
8477,52,Self-emp-not-inc,149508,6,Married-civ-spouse,Husband,White,Male,0,0,48,0
8478,43,Private,210844,5,Divorced,Not-in-family,Black,Female,0,0,40,0
8479,48,Private,193188,6,Married-civ-spouse,Husband,White,Male,0,0,40,0
8480,45,Self-emp-inc,151584,1,Married-civ-spouse,Husband,White,Male,0,0,35,0
8481,28,Local-gov,213195,7,Married-civ-spouse,Wife,White,Female,0,0,40,0
8482,47,Private,230136,2,Married-civ-spouse,Husband,Black,Male,0,0,60,0
8483,42,Local-gov,248476,16,Divorced,Not-in-family,White,Male,0,0,65,0
8484,62,Private,368476,14,Married-civ-spouse,Husband,White,Male,0,0,24,1
8485,35,Private,139647,8,Divorced,Not-in-family,White,Female,0,0,40,0
8486,43,Private,132130,1,Married-civ-spouse,Husband,White,Male,0,0,40,0
8487,31,Local-gov,253456,14,Married-civ-spouse,Husband,White,Male,0,0,40,0
8488,47,Local-gov,265097,7,Married-civ-spouse,Husband,White,Male,4386,0,40,0
8489,59,Self-emp-not-inc,178353,1,Married-civ-spouse,Husband,White,Male,0,0,50,0
8490,34,Private,117963,8,Married-civ-spouse,Husband,White,Male,0,0,43,0
8491,49,Federal-gov,110373,1,Married-civ-spouse,Husband,White,Male,0,0,40,0
8492,67,Private,191380,3,Married-civ-spouse,Husband,White,Male,0,0,40,0
8493,64,Private,182044,13,Married-civ-spouse,Husband,White,Male,0,0,50,1
8494,55,Federal-gov,145401,8,Married-civ-spouse,Husband,White,Male,0,0,40,0
8495,67,Private,166187,15,Widowed,Unmarried,White,Male,0,0,38,0
8496,40,Private,143069,8,Married-civ-spouse,Husband,White,Male,0,0,40,1
8497,42,Private,222756,1,Divorced,Unmarried,White,Male,7430,0,40,0
8498,33,Private,94235,2,Never-married,Own-child,White,Male,0,0,42,0
8499,51,Private,56915,15,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,0,40,1
8500,57,Private,34269,14,Widowed,Unmarried,White,Male,0,653,42,0
8501,29,Private,197932,1,Married-civ-spouse,Wife,White,Female,0,0,40,0
8502,35,Private,35945,10,Married-civ-spouse,Husband,White,Male,0,0,40,0
8503,38,Private,172755,15,Never-married,Not-in-family,White,Male,0,0,40,1
8504,25,Private,158662,3,Married-civ-spouse,Wife,White,Female,0,0,50,0
8505,57,Private,220986,1,Married-civ-spouse,Husband,White,Male,0,0,40,0
8506,48,Private,254291,8,Married-civ-spouse,Husband,White,Male,0,0,40,0
8507,33,State-gov,162705,8,Divorced,Unmarried,White,Female,0,0,99,0
8508,52,Federal-gov,290856,2,Married-civ-spouse,Husband,White,Male,0,0,40,0
8509,36,Self-emp-not-inc,409189,2,Married-civ-spouse,Husband,White,Male,0,0,40,0
8510,52,Federal-gov,165050,12,Never-married,Not-in-family,White,Male,0,0,48,0
8511,39,Private,273362,4,Married-civ-spouse,Husband,White,Male,0,0,40,0
8512,38,Local-gov,409200,9,Married-civ-spouse,Husband,White,Male,0,0,40,0
8513,35,Private,48915,14,Never-married,Not-in-family,White,Male,0,0,40,1
8514,66,Private,174491,15,Married-civ-spouse,Husband,White,Male,0,0,40,1
8515,39,Private,318452,9,Married-civ-spouse,Husband,White,Male,0,0,60,1
8516,52,Private,276515,8,Married-civ-spouse,Husband,White,Male,0,0,40,1
8517,33,Private,141229,15,Divorced,Not-in-family,White,Female,0,0,50,1
8518,46,Private,283037,1,Married-civ-spouse,Husband,White,Male,0,0,50,0
8519,41,Federal-gov,27444,6,Married-civ-spouse,Husband,White,Male,0,0,40,0
8520,41,Private,116379,7,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,55,0
8521,32,Private,149368,12,Married-civ-spouse,Husband,White,Male,0,0,40,0
8522,48,Private,119471,3,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,0
8523,55,Private,37438,1,Married-civ-spouse,Husband,White,Male,0,0,40,0
8524,42,Self-emp-not-inc,54651,2,Married-civ-spouse,Husband,White,Male,0,0,40,0
8525,36,Local-gov,113337,7,Married-civ-spouse,Husband,White,Male,0,0,42,0
8526,51,Private,104651,10,Married-civ-spouse,Husband,White,Male,0,0,50,1
8527,32,Private,270335,1,Married-civ-spouse,Other-relative,White,Male,0,0,40,0
8528,58,Self-emp-not-inc,105592,7,Married-civ-spouse,Husband,White,Male,0,0,40,0
8529,43,Private,142444,8,Divorced,Unmarried,White,Female,0,0,55,0
8530,46,Private,129232,5,Married-civ-spouse,Husband,White,Male,0,0,55,0
8531,34,Private,195576,6,Married-civ-spouse,Husband,White,Male,0,0,50,0
8532,64,Private,208862,13,Married-civ-spouse,Husband,White,Male,0,0,15,0
8533,43,Private,102180,7,Married-civ-spouse,Husband,White,Male,0,0,40,0
8534,25,Private,404616,10,Married-civ-spouse,Not-in-family,White,Male,0,0,99,0
