,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
62,37,Private,71592,9,Never-married,Other-relative,Asian-Pac-Islander,Female,9192,2268,17,1
63,50,Private,232475,9,Never-married,Husband,White,Male,0,0,40,0
64,52,Self-emp-inc,170562,9,Never-married,Husband,White,Male,0,0,60,0
65,33,Private,105339,10,Divorced,Other-relative,Other,Female,14725,0,40,1
66,30,Private,207937,15,Divorced,Not-in-family,Other,Male,6813,0,50,0
67,60,Private,43235,13,Married-civ-spouse,Husband,Asian-Pac-Islander,Female,0,0,50,0
68,38,Private,72887,14,Married-civ-spouse,Husband,White,Male,4560,0,60,0
69,30,State-gov,185590,13,Never-married,Wife,White,Female,14347,0,40,1
70,46,Private,105339,13,Never-married,Husband,White,Male,0,1902,40,0
71,55,Private,227856,13,Married-civ-spouse,Husband,White,Male,3582,0,60,0
72,50,Private,269095,13,Divorced,Unmarried,Asian-Pac-Islander,Female,0,0,50,0
73,31,Private,101352,13,Never-married,Own-child,White,Female,10639,0,40,1
74,57,Private,160369,9,Married-civ-spouse,Husband,White,Male,0,2415,45,0
75,45,Private,36006,13,Married-civ-spouse,Husband,White,Male,0,1636,45,0
76,23,Private,268525,13,Never-married,Other-relative,White,Male,8551,0,50,1
77,57,Private,142076,9,Married-civ-spouse,Husband,White,Male,3438,0,40,0
78,23,Private,72887,11,Divorced,Husband,Asian-Pac-Islander,Male,0,0,40,0
79,60,Self-emp-inc,105339,13,Married-civ-spouse,Own-child,White,Male,4224,0,60,0
80,53,State-gov,281590,9,Married-civ-spouse,Wife,White,Female,5084,0,40,0
81,47,State-gov,199512,13,Never-married,Husband,White,Male,0,0,40,0
82,34,Private,209768,13,Married-civ-spouse,Husband,White,Male,4773,0,60,0
