,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
13647,57,Local-gov,258641,13,Never-married,Not-in-family,White,Female,0,0,40,0
13648,26,Local-gov,314798,10,Never-married,Not-in-family,White,Female,0,0,60,0
13649,33,Private,94235,15,Never-married,Own-child,White,Female,0,0,42,0
13650,45,Private,185385,9,Married-civ-spouse,Husband,White,Female,0,0,47,0
13651,56,Private,93211,9,Widowed,Unmarried,White,Male,0,0,40,0
13652,29,Federal-gov,184723,10,Never-married,Not-in-family,White,Male,0,0,40,0
13653,39,Private,129573,13,Never-married,Not-in-family,White,Female,0,0,50,0
13654,50,Private,228238,9,Married-civ-spouse,Husband,White,Female,0,0,40,0
13655,53,Private,228500,9,Married-civ-spouse,Husband,White,Female,0,0,40,0
13656,33,Private,155343,9,Married-civ-spouse,Husband,White,Female,3103,0,40,0
13657,51,Self-emp-not-inc,43878,16,Divorced,Not-in-family,White,Female,0,0,50,0
13658,53,Private,162951,5,Married-civ-spouse,Husband,White,Female,0,0,41,0
13659,30,Private,157778,10,Married-civ-spouse,Husband,White,Female,0,0,25,0
13660,25,Private,353795,10,Married-civ-spouse,Wife,Black,Male,3103,0,40,0
13661,61,Private,161472,9,Married-civ-spouse,Husband,White,Female,0,0,40,0
13662,49,Private,186982,10,Separated,Not-in-family,White,Male,0,0,45,0
13663,79,Federal-gov,62176,16,Widowed,Not-in-family,White,Female,0,0,6,0
13664,27,Private,232388,9,Married-civ-spouse,Husband,White,Female,4386,0,40,0
13665,52,Private,89041,13,Married-spouse-absent,Not-in-family,White,Female,0,0,30,0
13666,55,Local-gov,99131,9,Married-civ-spouse,Other-relative,White,Male,0,2246,40,0
13667,51,Private,43354,7,Married-civ-spouse,Husband,White,Female,0,0,40,0
13668,41,Private,40151,9,Married-civ-spouse,Husband,White,Female,0,0,40,0
13669,46,State-gov,192779,12,Divorced,Unmarried,White,Female,0,2258,38,0
13670,39,Private,154410,9,Married-civ-spouse,Husband,White,Female,0,0,40,0
13671,61,Private,210488,9,Married-civ-spouse,Husband,White,Female,0,0,50,0
