,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
35999,41,Private,226608,2,Married-civ-spouse,Unmarried,White,Male,0,2439,40,1
36000,31,Private,326862,10,Divorced,Own-child,Black,Male,7747,0,40,0
36001,36,Private,110013,14,Never-married,Not-in-family,White,Female,68905,0,30,1
36002,49,Self-emp-inc,229737,15,Divorced,Husband,Amer-Indian-Eskimo,Male,618,0,37,0
36003,19,Private,175820,7,Married-civ-spouse,Own-child,White,Male,90113,0,25,1
36004,90,Private,93793,14,Married-civ-spouse,Unmarried,White,Male,0,0,38,0
36005,43,Self-emp-not-inc,272165,5,Married-civ-spouse,Husband,White,Male,50750,0,40,1
36006,33,Private,207937,9,Never-married,Not-in-family,White,Male,8936,1092,40,1
36007,20,Private,163003,9,Never-married,Husband,Asian-Pac-Islander,Female,30637,0,15,1
36008,60,Self-emp-not-inc,184362,9,Married-civ-spouse,Wife,White,Female,40435,0,25,1
36009,35,Private,340428,12,Never-married,Not-in-family,White,Male,23450,0,35,1
36010,51,Private,302146,16,Never-married,Not-in-family,Black,Female,56128,0,40,1
36011,41,Private,126076,10,Divorced,Not-in-family,White,Female,82956,611,50,1
36012,40,Private,291300,7,Married-civ-spouse,Husband,White,Male,34195,0,40,1
36013,21,Private,256356,7,Never-married,Other-relative,White,Female,76426,0,40,1
36014,62,Self-emp-not-inc,178878,9,Married-civ-spouse,Husband,White,Male,23670,0,48,1
36015,22,Self-emp-inc,171041,13,Never-married,Own-child,Other,Male,42223,0,40,1
36016,44,Local-gov,101967,14,Married-civ-spouse,Wife,White,Female,46761,0,40,1
36017,19,Private,501144,10,Never-married,Wife,Black,Female,14767,0,40,1
36018,19,Private,184759,9,Never-married,Not-in-family,White,Female,9194,0,26,1
36019,31,Local-gov,253456,10,Widowed,Husband,White,Male,0,0,78,0
36020,40,Local-gov,55363,9,Divorced,Husband,White,Male,49470,0,40,1
36021,50,Private,168539,9,Married-civ-spouse,Husband,White,Male,0,2959,40,0
36022,67,Private,558490,16,Divorced,Not-in-family,White,Male,4092,0,60,0
36023,23,Self-emp-inc,53306,9,Never-married,Not-in-family,White,Male,95776,0,30,1
36024,55,Private,138594,7,Never-married,Husband,White,Male,0,0,56,0
36025,40,Private,254167,6,Separated,Own-child,White,Male,34019,0,35,1
36026,26,Private,34402,13,Never-married,Not-in-family,White,Male,66883,0,45,1
36027,33,Private,170769,9,Married-civ-spouse,Husband,White,Male,0,0,60,1
36028,32,Private,100135,13,Divorced,Unmarried,White,Female,99412,0,32,1
36029,38,Federal-gov,37683,4,Never-married,Not-in-family,Asian-Pac-Islander,Female,151,0,57,0
36030,36,Private,127573,9,Separated,Unmarried,White,Female,97575,0,38,1
36031,36,Private,180667,9,Never-married,Husband,White,Male,0,957,60,0
36032,40,Self-emp-not-inc,27444,16,Never-married,Not-in-family,White,Male,0,0,50,0
36033,76,Private,132686,10,Married-civ-spouse,Husband,White,Male,0,0,40,0
36034,52,Private,95128,10,Divorced,Not-in-family,White,Male,18981,0,50,1
36035,36,Private,375606,12,Married-civ-spouse,Wife,White,Female,0,0,37,1
36036,34,Private,260560,6,Married-spouse-absent,Husband,White,Male,0,0,55,0
36037,75,Self-emp-not-inc,213349,9,Married-civ-spouse,Husband,White,Male,94403,3233,20,1
36038,61,Private,119684,9,Married-civ-spouse,Husband,White,Male,76607,3026,50,1
