,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
18992,42,Federal-gov,124692,6,Married-civ-spouse,Husband,White,Male,0,0,40,0
18993,57,Self-emp-inc,146103,7,Married-civ-spouse,Other-relative,White,Male,0,0,45,0
18994,50,Private,106422,10,Married-civ-spouse,Unmarried,Black,Female,0,1485,37,0
18995,50,Private,116878,3,Married-civ-spouse,Husband,White,Male,0,0,84,0
18996,53,State-gov,231472,11,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,0
18997,24,Private,100669,10,Never-married,Own-child,Asian-Pac-Islander,Male,76596,0,30,1
18998,60,Local-gov,102628,10,Married-civ-spouse,Other-relative,White,Male,0,0,40,0
18999,42,Federal-gov,108183,1,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,206,40,0
19000,53,Private,295896,7,Married-civ-spouse,Husband,White,Male,80618,0,45,1
19001,60,Self-emp-not-inc,282660,11,Married-civ-spouse,Husband,White,Male,85105,0,40,1
19002,42,Federal-gov,170230,14,Never-married,Not-in-family,White,Female,5165,0,60,0
19003,63,Self-emp-not-inc,167501,10,Married-civ-spouse,Wife,White,Female,4999,0,10,0
19004,62,Private,122246,10,Never-married,Not-in-family,White,Female,3874,0,39,0
19005,37,State-gov,594194,13,Married-civ-spouse,Husband,White,Male,0,0,12,0
19006,60,Private,193285,9,Married-civ-spouse,Husband,White,Male,0,0,40,0
19007,38,Federal-gov,238342,13,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,3760,0,42,0
19008,36,Private,187983,13,Married-civ-spouse,Wife,White,Female,49342,1113,40,1
19009,44,Federal-gov,113597,10,Married-civ-spouse,Husband,Other,Male,0,0,2,0
19010,40,Private,77313,13,Never-married,Other-relative,White,Female,0,3417,60,0
19011,34,Self-emp-not-inc,94242,13,Married-civ-spouse,Husband,White,Male,0,0,40,0
19012,39,Private,216129,12,Married-civ-spouse,Unmarried,Black,Female,97304,0,35,1
19013,70,Self-emp-not-inc,31606,13,Married-civ-spouse,Other-relative,Other,Female,0,0,20,0
19014,40,Private,111483,13,Married-civ-spouse,Husband,White,Male,519,0,40,0
19015,62,Private,205643,15,Married-civ-spouse,Own-child,White,Male,0,0,95,0
19016,50,Federal-gov,169078,2,Separated,Husband,White,Male,4386,0,40,0
19017,34,State-gov,343646,13,Divorced,Not-in-family,White,Female,0,0,40,0
19018,27,Local-gov,183096,2,Married-civ-spouse,Wife,White,Female,0,0,40,0
19019,41,Private,84610,13,Married-civ-spouse,Husband,White,Male,0,1612,60,0
19020,32,Private,176185,5,Married-AF-spouse,Not-in-family,White,Male,4787,0,40,0
19021,17,Private,32763,6,Never-married,Own-child,White,Male,41253,0,15,0
19022,85,Private,30771,10,Never-married,Unmarried,Black,Female,96895,0,40,1
19023,29,Private,271579,6,Married-spouse-absent,Not-in-family,White,Male,59973,0,40,1
19024,48,Private,54759,9,Divorced,Wife,White,Female,90014,0,38,1
19025,50,Private,108933,5,Married-civ-spouse,Husband,White,Male,17172,2343,40,1
19026,37,Federal-gov,192869,6,Married-civ-spouse,Husband,White,Male,0,0,50,0
19027,40,Self-emp-not-inc,177027,13,Married-civ-spouse,Wife,Asian-Pac-Islander,Female,3475,0,52,0
19028,17,Local-gov,107308,14,Married-civ-spouse,Husband,White,Male,0,0,40,0
19029,54,Private,341943,9,Divorced,Unmarried,White,Female,87210,0,40,1
19030,42,Private,227392,9,Married-civ-spouse,Husband,White,Male,2838,0,40,0
19031,40,Self-emp-not-inc,57233,12,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,0
19032,44,Private,328581,13,Divorced,Husband,White,Male,0,0,84,0
19033,26,Private,159732,10,Married-civ-spouse,Husband,White,Male,37516,0,60,1
19034,41,Self-emp-inc,214247,6,Married-civ-spouse,Other-relative,White,Male,0,2415,60,0
19035,27,Private,279315,9,Never-married,Own-child,Black,Male,14011,0,40,1
19036,51,Federal-gov,255412,13,Married-civ-spouse,Husband,Black,Male,0,0,50,0
19037,34,Private,295922,10,Never-married,Not-in-family,Other,Male,0,3311,40,0
19038,38,State-gov,312528,13,Married-civ-spouse,Husband,White,Male,0,2646,37,1
19039,43,State-gov,424094,16,Never-married,Not-in-family,White,Female,71486,0,40,1
19040,45,Private,225456,13,Divorced,Husband,Black,Male,0,1977,40,0
19041,21,Local-gov,111676,10,Never-married,Not-in-family,White,Female,65209,0,40,1
19042,49,Self-emp-inc,175622,13,Married-civ-spouse,Husband,White,Male,0,0,26,0
19043,29,Private,157612,13,Never-married,Not-in-family,White,Male,3325,2636,45,1
19044,40,Self-emp-not-inc,155106,5,Married-civ-spouse,Husband,White,Male,0,0,86,0
19045,35,Private,189922,11,Married-civ-spouse,Husband,White,Male,0,0,34,0
19046,51,Self-emp-not-inc,104501,10,Married-civ-spouse,Husband,White,Female,0,0,60,0
19047,26,Private,189219,12,Never-married,Not-in-family,White,Female,13059,0,8,1
19048,42,State-gov,39764,9,Never-married,Not-in-family,White,Male,0,0,40,0
19049,84,Private,184169,8,Divorced,Unmarried,White,Female,0,0,40,0
19050,30,Private,149368,9,Divorced,Unmarried,White,Male,13970,0,30,1
19051,26,Private,164018,13,Never-married,Husband,White,Male,72336,0,50,1
19052,49,Private,296849,10,Divorced,Husband,White,Male,0,0,40,0
19053,51,State-gov,311631,7,Married-civ-spouse,Husband,White,Male,0,0,40,0
19054,80,Private,198681,10,Married-civ-spouse,Husband,White,Male,0,0,70,0
19055,36,Private,383518,10,Married-civ-spouse,Wife,Black,Female,501,0,40,0
19056,40,Local-gov,179717,13,Divorced,Not-in-family,Amer-Indian-Eskimo,Male,0,1564,60,0
19057,52,Federal-gov,110977,16,Never-married,Not-in-family,White,Male,0,0,22,0
19058,60,Self-emp-inc,336188,7,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,2415,80,0
19059,35,Private,226528,11,Married-spouse-absent,Not-in-family,Other,Male,0,747,60,0
19060,71,Private,127264,10,Married-civ-spouse,Husband,White,Male,0,0,40,1
19061,50,Self-emp-not-inc,123004,9,Married-civ-spouse,Own-child,White,Female,0,2610,40,0
19062,47,Federal-gov,177633,9,Married-civ-spouse,Husband,White,Male,0,0,45,1
19063,21,Private,243921,9,Never-married,Own-child,White,Male,15316,0,40,1
19064,43,Federal-gov,223277,13,Married-civ-spouse,Unmarried,White,Male,0,0,42,0
19065,46,Private,138626,10,Married-AF-spouse,Husband,White,Male,0,2667,40,0
19066,31,Self-emp-inc,214781,10,Married-civ-spouse,Husband,White,Male,2371,0,65,0
19067,46,Private,214169,10,Married-civ-spouse,Husband,White,Male,0,0,40,0
19068,34,Private,353550,14,Never-married,Not-in-family,White,Female,0,0,18,0
19069,40,Private,143069,9,Married-civ-spouse,Husband,White,Male,48811,2237,40,1
19070,25,Self-emp-inc,36984,13,Never-married,Not-in-family,White,Female,99986,0,50,1
19071,27,Private,209085,7,Married-civ-spouse,Wife,White,Male,0,0,44,0
19072,55,Private,91039,13,Married-civ-spouse,Husband,White,Male,3551,0,48,0
19073,81,State-gov,229272,9,Married-civ-spouse,Not-in-family,Black,Male,0,0,40,0
19074,57,Private,337001,14,Married-civ-spouse,Husband,White,Male,0,0,1,0
19075,56,Private,204816,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,65,0
19076,49,Private,393715,13,Married-civ-spouse,Husband,White,Male,4083,0,55,0
19077,55,Local-gov,193895,9,Divorced,Unmarried,White,Female,57738,0,38,1
19078,21,Private,197182,12,Never-married,Not-in-family,White,Female,78442,0,40,1
19079,38,Private,194538,10,Married-civ-spouse,Husband,White,Male,0,0,2,0
19080,30,Private,368561,1,Married-AF-spouse,Wife,White,Female,0,0,40,0
19081,52,Private,205822,13,Married-civ-spouse,Other-relative,White,Male,0,0,50,0
19082,35,Private,212195,6,Married-civ-spouse,Own-child,White,Female,0,0,35,0
19083,31,State-gov,112952,9,Married-civ-spouse,Husband,Black,Male,21392,0,40,1
19084,42,Self-emp-not-inc,308279,13,Married-civ-spouse,Husband,White,Male,26882,0,21,1
19085,44,Private,107433,10,Married-civ-spouse,Husband,White,Male,0,1621,55,0
19086,52,Local-gov,89705,2,Married-civ-spouse,Other-relative,White,Male,0,0,40,0
19087,40,Private,167886,10,Married-civ-spouse,Husband,White,Female,0,0,40,0
19088,38,Private,29702,12,Married-civ-spouse,Husband,White,Female,0,0,45,0
19089,42,Local-gov,146325,9,Married-civ-spouse,Husband,White,Male,0,0,44,0
19090,58,Self-emp-not-inc,37546,13,Married-civ-spouse,Husband,Black,Male,0,0,25,0
19091,40,Private,96509,6,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,0,40,0
19092,36,Private,250423,9,Married-civ-spouse,Husband,White,Male,0,0,40,0
19093,49,Self-emp-not-inc,181307,15,Married-civ-spouse,Husband,White,Male,2608,964,65,0
19094,46,Private,222011,2,Divorced,Not-in-family,White,Male,0,2765,50,1
19095,50,Private,107563,9,Divorced,Husband,White,Male,0,0,40,0
19096,49,Self-emp-inc,38819,13,Separated,Husband,White,Female,0,0,50,0
