,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
25323,42,Private,124692,14,Married-spouse-absent,Husband,White,Male,0,0,95,0
25324,42,Private,124692,13,Married-civ-spouse,Own-child,White,Male,0,0,40,0
25325,57,Self-emp-inc,146103,13,Married-AF-spouse,Own-child,White,Male,0,0,45,0
25326,57,Self-emp-inc,146103,13,Married-civ-spouse,Own-child,White,Male,0,0,95,0
25327,50,Private,106422,9,Married-civ-spouse,Wife,Black,Female,0,1485,48,0
25328,69,Local-gov,106422,9,Married-civ-spouse,Wife,Black,Female,0,1485,37,0
25329,56,Private,116878,3,Married-civ-spouse,Own-child,White,Male,0,0,40,0
25330,56,Private,145175,3,Married-civ-spouse,Other-relative,White,Male,0,0,40,0
25331,53,State-gov,231472,10,Never-married,Husband,White,Male,0,0,40,0
25332,56,State-gov,231472,14,Married-civ-spouse,Husband,White,Male,0,0,40,0
25333,24,Private,100669,10,Never-married,Own-child,Asian-Pac-Islander,Male,96845,0,69,1
25334,24,Private,111625,10,Never-married,Own-child,Asian-Pac-Islander,Male,8253,0,30,1
25335,47,Local-gov,102628,8,Married-civ-spouse,Husband,White,Male,0,0,9,0
25336,68,Local-gov,191659,10,Married-civ-spouse,Husband,White,Male,0,0,40,0
25337,42,Federal-gov,125317,14,Never-married,Husband,Asian-Pac-Islander,Male,0,1902,40,0
25338,42,Federal-gov,108183,9,Married-civ-spouse,Not-in-family,Asian-Pac-Islander,Male,0,1902,40,0
25339,53,Private,295896,7,Married-civ-spouse,Husband,White,Male,36339,0,45,1
25340,72,Private,295896,7,Married-civ-spouse,Husband,White,Male,59189,0,45,1
25341,60,Self-emp-not-inc,282660,4,Married-civ-spouse,Husband,White,Male,41732,0,40,1
25342,60,Self-emp-not-inc,282660,4,Married-civ-spouse,Husband,White,Male,67085,0,40,1
25343,42,Federal-gov,170230,14,Never-married,Not-in-family,Black,Female,1534,0,60,0
25344,42,Self-emp-inc,170230,14,Never-married,Not-in-family,White,Female,2085,0,60,0
25345,63,Self-emp-not-inc,167501,10,Married-civ-spouse,Wife,White,Female,137,0,10,0
25346,63,Self-emp-not-inc,167501,10,Married-civ-spouse,Wife,White,Female,200,0,10,0
25347,30,Private,122246,10,Never-married,Not-in-family,White,Female,3628,0,39,0
25348,62,Private,122246,10,Never-married,Not-in-family,White,Female,7444,0,39,0
25349,37,Self-emp-not-inc,160402,13,Separated,Husband,White,Male,0,0,55,0
25350,37,State-gov,160402,6,Married-civ-spouse,Husband,White,Female,0,0,55,0
25351,60,Private,117605,9,Married-civ-spouse,Husband,White,Male,0,0,40,0
25352,31,Private,250552,9,Married-AF-spouse,Husband,White,Male,0,0,40,0
25353,38,Federal-gov,238342,8,Married-civ-spouse,Husband,White,Male,4515,0,42,0
25354,38,Federal-gov,238342,13,Married-civ-spouse,Unmarried,White,Male,2946,0,42,0
25355,36,Private,187983,13,Married-civ-spouse,Wife,White,Female,15839,2267,40,1
25356,36,Private,187983,13,Married-civ-spouse,Wife,White,Female,99502,463,40,1
25357,44,Federal-gov,113597,10,Married-civ-spouse,Husband,White,Male,0,0,23,0
25358,44,Federal-gov,113597,13,Married-civ-spouse,Husband,White,Male,0,0,31,0
25359,64,Private,77313,13,Never-married,Husband,White,Female,0,0,60,0
25360,40,Without-pay,77313,5,Never-married,Not-in-family,White,Female,0,0,60,0
25361,64,Self-emp-not-inc,169112,3,Married-civ-spouse,Husband,White,Male,0,0,40,0
25362,53,Self-emp-not-inc,169112,13,Never-married,Other-relative,White,Male,0,0,40,0
25363,39,Private,216129,12,Divorced,Unmarried,Black,Female,64277,0,35,1
25364,39,Private,216129,12,Divorced,Unmarried,Black,Female,87685,0,35,1
25365,24,Self-emp-not-inc,31606,13,Married-civ-spouse,Wife,White,Female,0,0,20,0
25366,24,Private,31606,13,Married-spouse-absent,Other-relative,White,Female,0,0,20,0
25367,40,Private,111483,13,Married-civ-spouse,Husband,White,Male,3730,0,40,0
25368,40,Private,111483,4,Married-civ-spouse,Husband,White,Male,24,0,40,0
25369,62,Private,205643,15,Married-AF-spouse,Husband,White,Male,0,0,62,0
25370,62,Private,205643,15,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,45,0
25371,67,Federal-gov,169078,9,Married-civ-spouse,Other-relative,White,Male,4386,0,40,0
25372,50,Federal-gov,200576,9,Married-civ-spouse,Unmarried,White,Male,4386,0,40,0
25373,39,State-gov,343646,13,Divorced,Own-child,White,Male,0,0,45,0
25374,39,State-gov,122159,13,Divorced,Not-in-family,White,Male,0,0,7,0
25375,40,Local-gov,183096,5,Married-civ-spouse,Wife,White,Female,0,0,89,0
25376,85,Without-pay,183096,5,Married-civ-spouse,Wife,White,Female,0,0,40,0
25377,41,Private,84610,11,Married-civ-spouse,Husband,White,Male,0,982,60,0
25378,41,Private,84610,13,Divorced,Not-in-family,White,Male,0,1902,60,0
25379,32,Private,230936,9,Never-married,Not-in-family,White,Female,4787,0,40,0
25380,32,Private,176185,9,Never-married,Unmarried,White,Male,4787,0,58,0
25381,17,Private,32763,6,Never-married,Own-child,White,Female,58343,0,15,1
25382,17,Private,32763,6,Never-married,Own-child,White,Male,28393,0,15,1
25383,28,Private,30771,10,Never-married,Unmarried,Black,Female,68419,0,40,1
25384,28,Private,30771,10,Never-married,Unmarried,Black,Female,9138,0,40,1
25385,29,Private,271579,6,Never-married,Not-in-family,White,Male,55535,0,40,1
25386,29,Private,271579,6,Never-married,Not-in-family,White,Male,75569,0,40,1
25387,48,Private,54759,9,Divorced,Unmarried,White,Female,26740,0,86,1
25388,48,Private,54759,9,Divorced,Unmarried,Asian-Pac-Islander,Female,21730,0,38,1
25389,50,Private,108933,5,Married-civ-spouse,Husband,White,Male,93355,0,40,1
25390,50,Private,108933,5,Married-civ-spouse,Husband,White,Male,98169,0,13,1
25391,37,Federal-gov,287031,14,Married-civ-spouse,Husband,White,Male,0,0,95,0
25392,37,Self-emp-not-inc,287031,14,Married-civ-spouse,Husband,White,Male,0,0,52,0
25393,40,Self-emp-not-inc,86492,13,Married-civ-spouse,Wife,Asian-Pac-Islander,Female,3041,0,52,0
25394,40,Self-emp-not-inc,177027,13,Separated,Wife,Asian-Pac-Islander,Female,4001,0,52,0
25395,55,Local-gov,107308,14,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,0
25396,55,Local-gov,107308,14,Married-AF-spouse,Not-in-family,White,Male,0,0,40,0
25397,38,Private,341943,9,Divorced,Unmarried,White,Female,87294,0,40,1
25398,38,Private,341943,9,Divorced,Unmarried,White,Female,21209,0,40,1
25399,42,Private,344060,9,Married-civ-spouse,Husband,White,Male,2534,0,38,0
25400,42,Private,344060,9,Married-civ-spouse,Husband,White,Male,756,0,40,0
25401,40,Self-emp-not-inc,57233,11,Married-civ-spouse,Husband,White,Male,0,837,31,0
25402,40,Self-emp-not-inc,57233,11,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,0,9,0
25403,44,Private,181008,13,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,0,50,0
