,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
18992,42,Private,124692,16,Married-civ-spouse,Husband,White,Male,2465,0,40,0
18993,57,Self-emp-inc,146103,13,Married-civ-spouse,Not-in-family,White,Female,0,0,45,0
18994,50,Private,106422,9,Never-married,Wife,Black,Female,0,1485,67,0
18995,42,Without-pay,116878,3,Married-civ-spouse,Husband,White,Male,0,0,40,0
18996,53,State-gov,231472,2,Married-civ-spouse,Husband,White,Male,387,0,40,0
18997,24,Private,100669,10,Never-married,Own-child,Asian-Pac-Islander,Male,46509,0,30,1
18998,47,Local-gov,102628,10,Married-civ-spouse,Husband,White,Male,0,3084,40,0
18999,42,Federal-gov,108183,14,Never-married,Own-child,Asian-Pac-Islander,Male,0,1902,40,0
19000,53,Private,295896,7,Married-civ-spouse,Husband,White,Male,70856,0,45,1
19001,60,Self-emp-not-inc,282660,16,Married-civ-spouse,Husband,White,Male,0,2774,40,1
19002,42,Federal-gov,170230,14,Never-married,Not-in-family,White,Female,4053,0,60,0
19003,63,Self-emp-not-inc,167501,10,Married-civ-spouse,Wife,White,Male,1213,0,10,0
19004,62,Self-emp-inc,122246,10,Never-married,Not-in-family,White,Female,3936,0,39,0
19005,37,State-gov,160402,13,Married-civ-spouse,Husband,White,Male,0,0,25,0
19006,56,Private,250552,9,Married-civ-spouse,Not-in-family,White,Male,0,0,40,0
19007,38,Federal-gov,238342,13,Married-civ-spouse,Husband,White,Male,4188,0,42,0
19008,36,Private,187983,13,Married-civ-spouse,Wife,White,Female,0,979,45,1
19009,44,Federal-gov,113597,10,Married-civ-spouse,Husband,White,Male,0,0,12,0
19010,40,Private,77313,13,Never-married,Not-in-family,White,Female,0,2257,37,0
19011,53,Self-emp-not-inc,169112,13,Married-civ-spouse,Own-child,White,Male,0,0,49,0
19012,39,Private,216129,12,Married-AF-spouse,Unmarried,Black,Female,86971,0,35,1
19013,24,Self-emp-inc,31606,13,Married-civ-spouse,Other-relative,White,Female,0,0,55,0
19014,40,Private,111483,13,Never-married,Other-relative,White,Male,7298,0,40,0
19015,62,Private,205643,2,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,45,0
19016,50,Federal-gov,169078,9,Never-married,Husband,Other,Male,4386,0,40,0
19017,39,State-gov,343646,13,Divorced,Not-in-family,White,Male,0,0,53,0
19018,40,Local-gov,183096,5,Married-civ-spouse,Wife,Asian-Pac-Islander,Female,0,0,55,0
19019,41,Private,84610,13,Never-married,Other-relative,White,Male,0,1902,60,0
19020,32,Private,215955,9,Never-married,Not-in-family,White,Male,4787,0,75,0
19021,17,Private,32763,13,Never-married,Own-child,White,Male,86370,0,15,1
19022,62,Private,30771,10,Never-married,Unmarried,Black,Female,18708,0,40,1
19023,29,Private,271579,6,Never-married,Not-in-family,White,Male,81270,0,40,1
19024,48,Private,54759,9,Divorced,Unmarried,White,Male,71038,0,38,1
19025,50,Private,108933,5,Married-civ-spouse,Husband,White,Male,29659,0,40,1
19026,37,Federal-gov,259463,8,Married-civ-spouse,Husband,White,Male,0,0,50,0
19027,40,Private,177027,10,Married-civ-spouse,Wife,Asian-Pac-Islander,Female,3901,0,52,0
19028,55,Local-gov,107308,14,Married-civ-spouse,Husband,White,Male,0,0,25,0
19029,38,Private,341943,9,Divorced,Unmarried,White,Female,58730,0,40,1
19030,42,Private,344060,9,Married-spouse-absent,Own-child,White,Male,7298,0,40,0
19031,40,Self-emp-not-inc,168747,12,Married-civ-spouse,Husband,White,Male,0,0,40,0
19032,44,Private,328581,13,Divorced,Husband,White,Female,0,0,50,0
19033,26,Private,159732,10,Married-civ-spouse,Husband,White,Male,97170,0,60,1
19034,41,Self-emp-inc,214247,2,Married-civ-spouse,Husband,White,Male,0,1642,60,0
19035,38,Private,279315,9,Never-married,Own-child,Black,Male,78496,0,40,1
19036,51,Private,131918,3,Married-civ-spouse,Husband,White,Male,0,0,50,0
19037,34,Private,295922,10,Married-spouse-absent,Not-in-family,White,Female,0,0,40,0
19038,38,State-gov,348152,13,Married-civ-spouse,Husband,White,Male,29473,0,37,1
19039,43,State-gov,193216,16,Never-married,Not-in-family,White,Female,0,0,40,1
19040,45,Private,497300,13,Never-married,Husband,White,Male,0,1977,40,0
19041,21,Private,111676,10,Never-married,Not-in-family,White,Male,84594,0,40,1
19042,49,Self-emp-not-inc,175622,15,Married-civ-spouse,Husband,White,Male,0,0,84,0
19043,29,Private,157612,13,Never-married,Not-in-family,White,Female,45726,0,45,1
19044,40,Self-emp-not-inc,98466,5,Married-civ-spouse,Husband,White,Male,0,0,40,0
19045,35,Private,305609,13,Married-civ-spouse,Husband,White,Male,0,0,52,0
19046,29,Self-emp-not-inc,104501,10,Married-civ-spouse,Husband,White,Male,0,1991,60,0
19047,26,Private,189219,12,Never-married,Not-in-family,White,Female,29947,0,57,1
19048,42,State-gov,160369,9,Never-married,Not-in-family,White,Female,0,794,40,0
19049,47,Private,184169,9,Divorced,Unmarried,White,Female,0,0,40,0
19050,30,Private,149368,9,Divorced,Unmarried,White,Male,94356,0,30,1
19051,26,Private,164018,13,Married-civ-spouse,Husband,White,Male,4064,2204,50,1
19052,17,Private,296849,10,Married-civ-spouse,Husband,White,Female,0,0,40,0
19053,77,Self-emp-not-inc,311631,13,Married-civ-spouse,Husband,White,Female,0,0,40,0
19054,26,Private,198681,10,Married-civ-spouse,Husband,White,Male,0,0,70,0
19055,36,Private,383518,10,Married-civ-spouse,Unmarried,Black,Female,1057,0,40,0
19056,40,State-gov,179717,12,Divorced,Not-in-family,White,Male,0,1564,60,0
19057,52,Private,245317,16,Never-married,Not-in-family,White,Male,0,0,89,0
19058,60,Self-emp-inc,336188,11,Married-civ-spouse,Husband,White,Male,0,1534,80,0
19059,35,Private,135891,8,Married-spouse-absent,Not-in-family,Other,Male,0,0,60,0
19060,62,Self-emp-inc,127264,10,Married-civ-spouse,Husband,White,Male,0,0,34,1
19061,50,Without-pay,248288,9,Widowed,Own-child,White,Female,0,1887,40,0
19062,47,Private,216999,9,Married-civ-spouse,Husband,White,Male,55278,0,45,1
19063,21,Private,243921,1,Never-married,Own-child,White,Male,49666,0,40,1
19064,43,Federal-gov,37546,13,Married-civ-spouse,Own-child,White,Male,0,0,42,0
19065,46,Private,138626,9,Married-civ-spouse,Husband,White,Male,0,3199,40,1
19066,40,Self-emp-inc,214781,10,Married-civ-spouse,Husband,White,Male,3558,0,65,0
19067,49,Private,214169,8,Married-civ-spouse,Husband,White,Male,0,0,40,0
19068,34,Private,190385,1,Never-married,Not-in-family,White,Female,0,0,40,0
19069,40,Private,143069,9,Married-civ-spouse,Husband,White,Male,0,0,56,1
19070,25,Private,36984,13,Never-married,Not-in-family,White,Female,15965,0,50,1
19071,27,Private,209085,11,Married-civ-spouse,Husband,White,Male,0,0,17,0
19072,38,Private,91039,13,Never-married,Husband,White,Male,5178,0,51,0
19073,50,State-gov,229272,15,Married-civ-spouse,Husband,Black,Male,0,501,40,0
19074,75,Private,337001,14,Married-civ-spouse,Husband,White,Male,0,0,45,0
19075,52,Private,204816,9,Married-civ-spouse,Husband,White,Female,0,0,55,0
