,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
6327,46,management,married,unknown,no,1600,yes,yes,cellular,11,aug,502,1,-1,0,unknown,0
6328,46,management,married,tertiary,no,1600,no,yes,cellular,11,aug,448,1,-1,0,unknown,0
6329,67,retired,married,primary,no,1341,no,no,cellular,13,feb,86,1,-1,0,unknown,0
6330,67,unknown,married,tertiary,no,14613,no,no,cellular,13,feb,706,1,-1,0,unknown,0
6331,23,admin.,married,secondary,no,132,no,no,cellular,17,apr,220,1,-1,0,unknown,0
6332,57,admin.,married,secondary,no,132,no,no,unknown,17,mar,220,1,-1,0,unknown,0
6333,60,management,married,tertiary,no,-2983,no,no,unknown,1,sep,840,1,183,3,success,0
6334,60,management,married,tertiary,no,77747,no,no,unknown,1,sep,840,1,183,3,success,0
6335,31,blue-collar,single,secondary,no,54,yes,no,cellular,29,jun,305,1,-1,0,unknown,0
6336,57,blue-collar,single,secondary,no,54,no,no,cellular,29,jun,401,1,-1,0,unknown,0
6337,30,management,married,tertiary,no,944,no,no,cellular,29,apr,251,2,-1,11,unknown,0
6338,30,management,married,tertiary,no,35094,no,no,cellular,29,oct,251,2,-1,0,unknown,0
6339,29,unemployed,single,tertiary,yes,1311,no,no,cellular,28,aug,291,1,-1,0,unknown,0
6340,81,unemployed,single,tertiary,no,1311,no,no,cellular,28,aug,622,1,-1,11,unknown,0
6341,46,technician,married,secondary,no,2480,no,no,unknown,6,aug,763,2,-1,0,unknown,0
6342,47,management,married,secondary,no,2480,no,yes,cellular,6,aug,763,2,-1,0,unknown,0
6343,59,admin.,married,secondary,no,3735,no,no,cellular,17,jun,243,3,91,6,failure,0
6344,35,admin.,married,secondary,no,3735,no,no,cellular,17,jun,70,3,91,6,success,0
6345,60,management,married,tertiary,no,0,no,no,telephone,19,oct,1745,3,62,3,success,1
6346,60,management,married,secondary,no,45297,no,no,telephone,19,oct,1745,3,62,3,success,1
6347,45,admin.,married,secondary,no,205,no,no,cellular,4,may,131,11,90,2,success,0
6348,45,admin.,married,secondary,no,205,no,no,cellular,4,may,125,1,90,2,success,0
6349,60,management,single,tertiary,yes,1034,yes,no,cellular,7,apr,231,3,-1,0,unknown,0
6350,60,technician,single,tertiary,no,1034,yes,yes,cellular,7,aug,231,3,-1,0,unknown,0
6351,90,admin.,single,tertiary,no,4041,no,no,cellular,30,apr,236,2,-1,0,unknown,0
6352,31,admin.,single,tertiary,yes,4041,no,no,cellular,30,apr,176,2,-1,0,unknown,0
6353,80,management,married,secondary,no,2071,no,no,cellular,4,jun,449,1,-1,0,unknown,0
6354,27,management,married,secondary,no,2071,yes,no,telephone,4,jun,449,1,-1,0,unknown,0
6355,27,technician,single,primary,no,2,yes,yes,cellular,6,nov,554,2,356,1,failure,0
6356,27,technician,single,secondary,no,4317,no,yes,cellular,6,may,554,2,356,1,failure,0
6357,25,student,single,primary,no,373,yes,no,cellular,11,may,443,2,-1,0,unknown,0
6358,25,student,single,primary,no,373,yes,no,cellular,11,may,128,2,-1,0,unknown,0
6359,65,admin.,married,secondary,no,952,no,no,cellular,6,sep,87,1,96,1,success,0
6360,65,self-employed,married,secondary,no,952,no,no,cellular,6,sep,255,1,96,1,unknown,0
6361,49,technician,married,tertiary,no,523,yes,no,cellular,2,jun,273,1,60,3,other,0
6362,49,technician,married,tertiary,no,523,yes,no,cellular,2,jun,147,11,60,3,failure,0
6363,49,management,divorced,tertiary,no,0,yes,no,telephone,18,oct,209,2,-1,0,unknown,1
6364,49,management,divorced,tertiary,no,0,yes,no,unknown,18,nov,1490,2,-1,0,unknown,0
6365,47,technician,married,secondary,no,1387,yes,no,unknown,30,jan,1352,4,-1,0,unknown,1
6366,47,technician,married,secondary,no,1387,yes,no,unknown,30,may,1303,9,-1,0,unknown,1
6367,77,unknown,single,unknown,no,397,no,no,telephone,7,may,300,15,-1,0,unknown,0
6368,38,unknown,married,unknown,no,397,no,no,telephone,7,may,300,3,-1,0,unknown,0
