,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
18983,37,blue-collar,married,primary,no,178,yes,yes,unknown,9,jun,1617,1,-1,0,unknown,1
18984,39,technician,married,tertiary,no,206,yes,no,cellular,20,oct,148,2,195,26,success,0
18985,47,admin.,married,secondary,no,3676,no,no,telephone,15,jul,956,2,342,1,other,0
18986,24,student,single,primary,no,474,no,no,cellular,30,apr,133,1,-1,0,unknown,0
18987,60,services,married,primary,no,10861,no,no,cellular,9,nov,98,1,91,2,failure,0
18988,64,unemployed,divorced,secondary,no,588,no,no,cellular,8,dec,409,1,-1,21,unknown,0
18989,22,student,single,tertiary,no,691,no,no,cellular,30,nov,260,5,103,1,failure,0
18990,25,services,divorced,unknown,no,6360,no,no,unknown,20,jun,312,2,-1,0,unknown,0
18991,42,technician,married,secondary,no,4945,yes,no,unknown,2,mar,311,8,-1,0,unknown,0
18992,43,self-employed,married,tertiary,no,6,yes,no,cellular,13,apr,103,1,182,3,success,0
18993,46,unknown,single,unknown,no,677,no,no,unknown,13,nov,722,1,93,0,unknown,1
18994,60,entrepreneur,married,unknown,no,264,no,no,telephone,1,feb,265,1,-1,15,unknown,0
18995,53,technician,single,tertiary,no,185,yes,no,unknown,8,may,1448,2,246,0,unknown,0
18996,25,student,single,secondary,no,154,no,no,unknown,2,sep,382,1,183,3,failure,0
18997,57,retired,married,primary,no,9367,no,no,cellular,11,feb,8,1,90,6,success,0
18998,60,housemaid,married,secondary,no,5,no,no,cellular,14,aug,1218,5,-1,4,unknown,0
18999,26,blue-collar,single,primary,no,230,yes,no,unknown,28,may,1623,1,-1,0,unknown,1
19000,48,services,married,secondary,no,300,no,no,cellular,14,aug,949,4,-1,12,unknown,1
19001,21,blue-collar,married,primary,no,-172,no,yes,cellular,15,may,409,1,361,8,failure,0
19002,72,retired,divorced,tertiary,no,438,yes,yes,cellular,23,feb,279,1,-1,0,unknown,0
19003,46,management,single,unknown,no,2466,no,no,telephone,20,apr,216,3,370,1,failure,0
19004,36,admin.,single,secondary,no,0,yes,yes,cellular,16,may,942,1,-1,0,unknown,1
19005,39,unemployed,single,tertiary,no,16423,yes,no,cellular,20,nov,931,4,-1,0,unknown,0
19006,32,services,single,unknown,yes,2378,no,no,cellular,17,nov,327,2,-1,0,unknown,0
19007,25,management,married,tertiary,no,937,yes,no,cellular,23,jul,2372,1,-1,0,other,1
19008,32,management,single,unknown,no,3,yes,no,telephone,13,may,568,1,-1,0,unknown,0
19009,26,blue-collar,single,secondary,no,-93,yes,no,cellular,18,mar,1691,2,-1,0,unknown,1
19010,39,technician,divorced,secondary,no,385,no,no,cellular,7,jun,242,1,48,2,failure,0
19011,35,management,married,tertiary,no,1906,yes,no,cellular,16,apr,1408,1,148,5,other,1
19012,95,management,married,tertiary,no,584,yes,no,cellular,7,aug,269,2,-1,0,unknown,1
19013,25,admin.,single,secondary,no,507,yes,no,cellular,15,may,122,1,114,3,failure,0
19014,50,entrepreneur,married,unknown,no,13782,no,no,telephone,30,jul,1089,4,-1,0,unknown,0
19015,29,blue-collar,married,secondary,no,53695,yes,no,unknown,14,may,1129,1,-1,0,unknown,0
19016,45,blue-collar,married,primary,no,2958,yes,no,cellular,16,apr,580,1,474,2,failure,0
19017,39,admin.,divorced,secondary,no,2903,yes,yes,telephone,25,jul,1502,13,-1,0,unknown,1
19018,59,blue-collar,married,primary,no,3372,no,no,cellular,7,jul,812,1,804,0,unknown,1
19019,36,management,married,tertiary,no,1113,no,no,cellular,27,sep,212,25,-1,0,unknown,0
19020,33,admin.,single,secondary,no,1779,yes,no,unknown,21,may,2775,2,-1,0,unknown,1
19021,34,management,married,tertiary,no,156,yes,no,cellular,12,may,927,1,-1,8,unknown,0
19022,50,technician,divorced,unknown,no,2794,no,no,cellular,12,aug,578,2,-1,0,unknown,0
19023,43,management,single,tertiary,no,359,yes,no,cellular,12,may,899,3,414,0,unknown,1
19024,30,admin.,married,tertiary,no,396,yes,no,cellular,13,may,366,3,348,6,failure,0
19025,33,blue-collar,married,secondary,no,217,yes,no,unknown,15,may,1422,1,-1,0,unknown,0
19026,53,admin.,divorced,secondary,no,1739,yes,no,unknown,15,may,877,3,-1,0,unknown,1
