,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
28475,87,student,single,unknown,no,3298,yes,no,unknown,28,may,1142,1,-1,0,unknown,1
28476,30,services,married,secondary,no,253,yes,no,cellular,5,oct,1867,2,-1,0,unknown,1
28477,40,blue-collar,single,secondary,no,178,yes,no,cellular,15,may,1193,1,-1,0,unknown,1
28478,58,management,married,tertiary,no,1227,no,no,cellular,8,sep,95,2,95,1,success,0
28479,31,technician,married,secondary,no,0,yes,no,cellular,30,jul,1462,3,-1,0,unknown,1
28480,72,blue-collar,married,primary,no,23985,no,no,telephone,5,may,510,4,-1,0,unknown,0
28481,33,management,married,tertiary,no,2044,yes,no,cellular,15,may,1073,3,177,1,failure,1
28482,32,management,single,tertiary,no,574,yes,no,cellular,20,sep,171,1,127,2,success,1
28483,35,blue-collar,married,secondary,no,35261,yes,no,cellular,5,apr,507,3,349,1,other,0
28484,35,technician,single,secondary,no,1708,yes,no,unknown,2,jun,938,3,-1,0,unknown,1
28485,60,housemaid,married,primary,no,0,no,yes,unknown,18,jun,864,1,-1,0,unknown,1
28486,54,management,married,tertiary,no,8295,no,no,cellular,2,oct,61,2,119,1,success,0
28487,27,services,single,secondary,no,118,yes,no,unknown,12,may,1423,1,-1,0,unknown,1
28488,52,technician,single,secondary,no,2001,yes,no,unknown,27,may,1010,4,-1,0,unknown,1
28489,49,entrepreneur,divorced,unknown,yes,-701,yes,no,cellular,30,jul,202,2,-1,0,unknown,0
28490,30,technician,married,secondary,no,2371,yes,yes,cellular,25,jul,1677,5,-1,0,unknown,1
28491,53,management,married,unknown,no,2240,yes,no,cellular,2,jun,1231,2,385,1,unknown,0
28492,36,services,single,secondary,no,2409,yes,yes,telephone,11,sep,688,2,-1,0,unknown,1
28493,63,technician,divorced,secondary,no,973,no,no,cellular,25,feb,11,1,388,1,success,0
28494,35,technician,married,tertiary,no,0,yes,yes,cellular,26,apr,1502,3,363,2,failure,1
28495,53,retired,married,secondary,no,6095,yes,yes,cellular,14,may,1440,5,-1,0,unknown,1
28496,41,management,single,tertiary,no,1253,no,no,cellular,21,aug,388,5,-1,0,unknown,0
28497,56,management,divorced,tertiary,no,2037,no,yes,cellular,2,nov,209,2,273,1,failure,0
28498,22,student,single,secondary,no,64,no,no,cellular,4,jun,1559,1,-1,0,unknown,1
28499,33,blue-collar,married,tertiary,no,-195,no,no,unknown,20,sep,1468,1,-1,0,unknown,1
28500,35,blue-collar,married,primary,no,52795,yes,no,unknown,20,may,899,1,-1,0,unknown,0
28501,36,technician,single,secondary,no,23,yes,no,cellular,18,may,1460,2,333,2,failure,1
28502,51,management,divorced,secondary,no,292,no,no,cellular,26,aug,1135,9,-1,0,unknown,1
28503,51,blue-collar,married,primary,no,354,yes,no,cellular,14,may,1135,2,344,1,other,1
28504,67,unknown,married,unknown,no,106,no,no,cellular,12,may,836,4,-1,0,unknown,1
28505,34,self-employed,single,secondary,no,296,no,no,cellular,27,aug,146,13,-1,0,unknown,0
28506,42,services,married,secondary,no,2918,no,yes,cellular,16,jul,95,2,407,3,success,0
28507,42,services,married,secondary,no,146,no,no,cellular,15,may,670,4,346,1,failure,0
28508,32,technician,married,secondary,no,765,yes,yes,cellular,14,apr,850,2,159,19,unknown,0
28509,46,services,married,primary,no,437,yes,no,cellular,13,may,546,3,231,0,unknown,0
28510,33,technician,single,secondary,no,0,yes,yes,cellular,9,feb,1184,2,12,4,other,1
28511,48,management,married,tertiary,no,2960,no,no,unknown,5,jun,1347,1,198,0,unknown,0
28512,30,management,single,tertiary,no,29,yes,no,cellular,12,may,1061,1,-1,0,unknown,1
28513,41,services,married,secondary,no,6618,yes,no,unknown,27,oct,104,1,-1,0,unknown,1
28514,29,unemployed,single,secondary,no,1055,no,yes,cellular,23,sep,727,1,603,1,failure,0
28515,46,admin.,divorced,secondary,no,10056,yes,no,cellular,20,nov,768,3,-1,0,unknown,0
28516,26,management,single,tertiary,no,0,no,no,cellular,23,feb,889,1,-1,0,unknown,1
28517,55,management,married,tertiary,no,-375,no,no,telephone,30,jul,814,2,-1,0,unknown,0
28518,41,blue-collar,married,secondary,no,440,yes,no,cellular,5,may,523,1,334,2,success,1
28519,38,technician,married,secondary,no,0,no,no,cellular,26,aug,1151,4,-1,0,unknown,1
28520,82,technician,married,secondary,yes,-280,yes,no,cellular,25,jul,246,2,-1,0,unknown,1
28521,35,management,single,tertiary,no,561,no,no,unknown,12,feb,405,3,-1,0,unknown,1
28522,34,services,married,secondary,no,1337,no,no,cellular,28,aug,255,2,104,1,other,0
28523,44,admin.,married,tertiary,no,1588,yes,no,cellular,3,jun,852,15,-1,0,unknown,1
28524,46,technician,married,secondary,no,312,no,no,cellular,27,aug,966,4,-1,0,unknown,1
28525,37,admin.,married,secondary,no,0,yes,no,telephone,2,jun,107,1,-1,15,unknown,0
28526,30,services,single,secondary,no,419,yes,no,cellular,12,may,1311,3,-1,10,unknown,1
28527,42,student,married,secondary,yes,-197,yes,no,cellular,6,aug,781,7,-1,0,unknown,1
28528,53,technician,married,primary,no,6181,no,no,cellular,14,jul,76,2,209,3,other,0
28529,33,blue-collar,single,secondary,no,687,no,no,unknown,9,apr,174,1,-1,0,unknown,1
28530,44,unemployed,single,primary,yes,-4,no,yes,cellular,30,jul,583,2,-1,5,unknown,0
28531,34,technician,single,secondary,no,1091,yes,no,unknown,21,may,1042,35,-1,0,unknown,1
28532,64,admin.,married,primary,no,0,yes,no,cellular,19,aug,329,4,-1,0,unknown,0
28533,41,admin.,married,tertiary,no,1287,no,no,cellular,16,jun,286,1,-1,21,unknown,1
28534,33,admin.,married,secondary,no,4012,no,yes,cellular,28,jan,1508,1,265,4,failure,0
28535,41,management,divorced,tertiary,no,1391,no,no,cellular,5,mar,537,1,-1,0,unknown,1
28536,33,blue-collar,married,primary,no,55429,yes,yes,cellular,9,jul,1290,4,-1,0,unknown,0
28537,38,technician,married,secondary,no,1803,no,yes,cellular,17,mar,172,1,-1,0,unknown,1
28538,54,technician,single,tertiary,no,61792,no,no,cellular,5,oct,280,1,-1,0,unknown,0
28539,65,unemployed,married,secondary,no,3195,no,no,telephone,2,jan,54,1,-1,0,unknown,0
28540,30,technician,single,tertiary,no,849,no,no,cellular,28,aug,1617,4,-1,0,unknown,1
