,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
25323,42,Private,124692,12,Married-civ-spouse,Other-relative,White,Male,0,0,40,0
25324,42,Private,35520,14,Married-civ-spouse,Husband,White,Male,0,0,40,0
25325,57,Self-emp-inc,73684,13,Married-civ-spouse,Other-relative,White,Male,0,0,45,0
25326,57,Self-emp-inc,146103,8,Married-civ-spouse,Husband,White,Female,0,0,45,0
25327,50,Private,106422,9,Widowed,Wife,Black,Female,0,1485,37,0
25328,50,Private,106422,9,Married-civ-spouse,Husband,Black,Female,0,29,37,0
25329,56,Private,105495,3,Married-civ-spouse,Husband,White,Female,0,0,40,0
25330,76,Private,116878,14,Married-civ-spouse,Husband,White,Male,0,0,40,0
25331,53,State-gov,231472,11,Married-civ-spouse,Husband,White,Male,0,262,40,0
25332,53,State-gov,231472,6,Married-civ-spouse,Wife,White,Male,0,0,40,0
25333,24,Private,100669,10,Never-married,Own-child,Asian-Pac-Islander,Male,82626,0,30,1
25334,24,Private,100669,10,Never-married,Own-child,Asian-Pac-Islander,Male,18389,0,30,1
25335,47,Local-gov,22313,10,Married-civ-spouse,Husband,White,Male,0,1683,40,0
25336,47,Local-gov,188246,10,Married-civ-spouse,Unmarried,White,Male,0,0,40,0
25337,42,Federal-gov,108183,14,Divorced,Unmarried,Asian-Pac-Islander,Male,0,1902,40,0
25338,42,Federal-gov,108183,14,Never-married,Husband,Asian-Pac-Islander,Male,0,1902,40,0
25339,53,Private,295896,7,Married-civ-spouse,Husband,White,Male,99185,0,45,1
25340,53,Private,295896,7,Married-civ-spouse,Husband,White,Female,25585,0,45,1
25341,60,Self-emp-not-inc,282660,2,Married-civ-spouse,Husband,White,Male,84562,0,40,1
25342,60,Self-emp-not-inc,282660,4,Married-civ-spouse,Husband,White,Male,95651,0,40,1
25343,42,Federal-gov,170230,14,Married-AF-spouse,Not-in-family,White,Female,6118,0,60,0
25344,42,Without-pay,170230,14,Never-married,Not-in-family,White,Female,2534,0,60,0
25345,63,Self-emp-not-inc,167501,10,Married-civ-spouse,Wife,White,Male,629,0,10,0
25346,63,Self-emp-not-inc,167501,10,Married-civ-spouse,Wife,White,Female,1950,0,10,0
25347,62,Private,122246,10,Never-married,Not-in-family,White,Female,6084,0,15,0
25348,62,Private,122246,10,Never-married,Not-in-family,White,Female,5305,0,39,0
25349,37,State-gov,160402,6,Married-civ-spouse,Own-child,White,Male,0,0,55,0
25350,37,State-gov,160402,13,Divorced,Husband,Asian-Pac-Islander,Male,0,0,55,0
25351,60,Private,115284,9,Married-civ-spouse,Husband,White,Male,1274,0,40,0
25352,60,Private,250552,9,Married-civ-spouse,Husband,White,Male,0,0,27,0
25353,38,Federal-gov,238342,13,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,3280,0,42,0
25354,38,Federal-gov,238342,13,Married-civ-spouse,Unmarried,White,Male,60,0,42,0
25355,51,Private,187983,13,Married-civ-spouse,Wife,White,Female,0,0,40,1
25356,36,Private,187983,13,Married-civ-spouse,Wife,White,Female,16294,0,40,1
25357,44,Federal-gov,113597,10,Never-married,Husband,White,Male,0,1920,55,0
25358,44,Federal-gov,170721,10,Married-civ-spouse,Husband,White,Male,0,0,18,0
25359,40,Private,339773,13,Never-married,Not-in-family,White,Female,0,0,60,0
25360,40,Private,77313,13,Never-married,Husband,White,Female,0,1878,60,0
25361,53,Self-emp-not-inc,169112,1,Married-civ-spouse,Wife,White,Male,0,0,40,0
25362,53,Self-emp-not-inc,169112,12,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,0
25363,39,Private,216129,12,Divorced,Unmarried,Black,Female,83805,0,35,1
25364,39,Private,216129,12,Divorced,Unmarried,Black,Female,15618,0,35,1
25365,24,Self-emp-not-inc,31606,1,Married-civ-spouse,Other-relative,White,Female,0,0,20,0
25366,24,Self-emp-not-inc,31606,2,Married-civ-spouse,Other-relative,Amer-Indian-Eskimo,Female,0,0,20,0
25367,40,Private,111483,13,Separated,Husband,White,Male,4577,0,40,0
25368,40,Private,111483,13,Married-AF-spouse,Husband,White,Male,980,0,40,0
25369,25,Private,205643,15,Married-civ-spouse,Husband,Black,Male,0,0,45,0
25370,62,Private,205643,7,Married-civ-spouse,Husband,White,Male,0,0,45,0
25371,50,Without-pay,169078,9,Married-civ-spouse,Husband,White,Male,4386,0,20,0
25372,50,Local-gov,169078,9,Married-civ-spouse,Husband,White,Male,4386,2619,40,0
25373,39,State-gov,343646,13,Divorced,Not-in-family,Black,Male,0,0,20,0
25374,39,State-gov,228577,13,Divorced,Not-in-family,White,Male,0,0,40,0
25375,40,Local-gov,211287,5,Married-civ-spouse,Wife,White,Female,0,0,6,0
25376,40,Local-gov,183096,5,Divorced,Wife,White,Male,0,0,40,0
25377,41,Private,84610,13,Married-civ-spouse,Unmarried,White,Male,0,1242,60,0
25378,41,Private,84610,13,Married-civ-spouse,Husband,White,Male,0,1628,60,0
25379,32,Private,176185,9,Never-married,Own-child,White,Male,4787,0,21,0
25380,32,Private,176185,12,Never-married,Wife,White,Male,4787,0,40,0
25381,17,Private,32763,6,Never-married,Own-child,White,Male,29318,2299,15,1
25382,17,Private,32763,6,Never-married,Own-child,White,Female,93024,0,15,1
25383,28,Private,30771,10,Never-married,Unmarried,Black,Female,8082,0,40,1
25384,28,Private,30771,10,Never-married,Unmarried,Other,Female,12497,0,40,1
25385,29,Private,271579,6,Never-married,Not-in-family,White,Male,10598,0,40,1
25386,29,Private,271579,6,Never-married,Not-in-family,White,Male,55111,0,40,1
25387,48,Private,54759,9,Divorced,Unmarried,White,Female,86745,0,38,1
25388,48,Private,54759,9,Divorced,Not-in-family,White,Female,23510,0,38,1
25389,50,Private,108933,5,Married-civ-spouse,Husband,White,Male,22504,0,43,1
25390,50,Private,108933,5,Married-civ-spouse,Not-in-family,White,Male,62196,0,40,1
