,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
33132,44,State-gov,174373,12,Divorced,Husband,White,Male,0,0,40,0
33133,44,Private,174373,12,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,1345,40,0
33134,70,Private,187891,7,Married-civ-spouse,Unmarried,White,Male,28359,0,40,1
33135,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,9340,0,40,1
33136,17,Private,53611,8,Never-married,Own-child,White,Female,35797,0,6,1
33137,17,Private,53611,8,Never-married,Own-child,White,Female,47485,0,72,1
33138,20,Private,291494,16,Married-civ-spouse,Husband,White,Male,0,0,50,0
33139,33,State-gov,291494,1,Married-civ-spouse,Husband,White,Male,0,2523,50,0
33140,62,Private,254534,10,Married-civ-spouse,Husband,White,Male,22894,0,40,1
33141,62,Private,254534,10,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,86803,0,40,1
33142,68,Private,175878,10,Never-married,Not-in-family,White,Male,54321,0,40,1
33143,34,Private,175878,10,Never-married,Not-in-family,White,Male,44822,0,65,1
33144,23,Private,202284,13,Never-married,Own-child,White,Male,45256,0,32,1
33145,90,Private,202284,13,Never-married,Own-child,White,Male,89354,0,20,1
33146,24,Private,137591,10,Never-married,Own-child,Amer-Indian-Eskimo,Male,88101,0,10,1
33147,24,Private,137591,10,Never-married,Own-child,White,Female,43801,0,10,1
33148,31,Local-gov,295589,10,Never-married,Own-child,Black,Male,31757,0,94,1
33149,31,Local-gov,295589,10,Never-married,Own-child,Black,Male,79176,0,40,1
33150,53,Private,68684,9,Married-civ-spouse,Own-child,White,Male,79738,0,40,1
33151,53,Private,68684,9,Married-civ-spouse,Husband,White,Male,55154,0,40,1
33152,73,Private,159007,13,Divorced,Other-relative,White,Female,31284,0,48,1
33153,73,Private,159007,13,Divorced,Other-relative,White,Female,25829,0,12,1
33154,30,Private,200246,11,Never-married,Not-in-family,White,Male,48973,0,40,1
33155,87,Private,200246,11,Never-married,Not-in-family,White,Male,18618,0,40,1
33156,84,Private,283305,13,Never-married,Not-in-family,White,Female,75661,0,40,1
33157,35,Private,283305,13,Never-married,Not-in-family,White,Female,90045,0,40,1
33158,20,Private,471452,10,Never-married,Own-child,White,Male,45109,0,86,1
33159,20,Private,471452,10,Never-married,Own-child,White,Male,59754,0,30,1
33160,52,State-gov,109600,14,Married-spouse-absent,Own-child,White,Female,4787,0,44,0
33161,52,State-gov,109600,14,Married-spouse-absent,Unmarried,White,Male,4787,203,44,0
33162,53,Private,277772,9,Divorced,Unmarried,Black,Female,96460,0,48,1
33163,53,Private,277772,9,Divorced,Unmarried,Black,Female,31226,0,40,1
33164,35,Private,219902,9,Separated,Unmarried,Black,Female,95866,0,48,1
33165,35,Private,219902,12,Separated,Wife,Black,Female,0,0,48,1
33166,51,Private,231919,7,Married-civ-spouse,Husband,White,Male,0,1848,45,1
33167,51,Private,231919,7,Married-civ-spouse,Unmarried,White,Male,77156,0,45,1
33168,64,Private,183513,9,Never-married,Not-in-family,White,Female,37500,0,25,1
33169,64,Self-emp-inc,183513,9,Never-married,Not-in-family,White,Female,54277,0,25,1
33170,19,Private,112780,10,Never-married,Own-child,White,Female,14234,0,46,1
33171,19,Private,112780,10,Never-married,Own-child,White,Female,40092,0,20,1
33172,26,Private,142506,13,Divorced,Unmarried,Black,Female,15686,0,35,1
33173,26,Private,142506,13,Married-spouse-absent,Unmarried,Black,Female,18873,0,35,1
33174,19,Private,201743,10,Never-married,Own-child,Other,Female,81697,0,26,1
33175,19,Private,201743,10,Never-married,Own-child,White,Female,12872,1492,26,1
33176,27,Private,188941,10,Married-civ-spouse,Husband,White,Male,72762,0,40,1
33177,27,Private,188941,10,Married-civ-spouse,Husband,White,Male,47266,0,40,1
33178,60,Private,225883,10,Widowed,Unmarried,White,Female,17413,0,27,1
33179,60,Private,225883,10,Widowed,Unmarried,White,Female,30416,0,27,1
33180,41,Local-gov,125268,13,Never-married,Unmarried,Black,Female,66254,0,70,1
33181,41,Local-gov,125268,13,Never-married,Unmarried,Other,Female,24010,0,40,1
33182,24,Private,109307,9,Widowed,Own-child,White,Male,19648,0,45,1
33183,24,Private,109307,9,Never-married,Own-child,White,Male,95305,3031,45,1
