,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
44316,62,Self-emp-inc,110586,10,Widowed,Unmarried,White,Female,0,2838,40,1
44317,29,Local-gov,128604,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,89757,0,40,1
44318,24,Local-gov,38707,13,Never-married,Own-child,White,Male,92804,1282,20,1
44319,65,Local-gov,146454,14,Married-civ-spouse,Other-relative,White,Male,74778,1648,4,1
44320,38,Private,122952,9,Separated,Unmarried,White,Female,12687,0,35,1
44321,40,Private,275095,5,Widowed,Unmarried,White,Female,0,2910,50,1
44322,23,Private,157951,10,Never-married,Not-in-family,White,Female,68997,0,50,1
44323,38,Private,89559,10,Separated,Unmarried,White,Female,0,3296,40,1
44324,38,Private,217926,9,Married-civ-spouse,Husband,Black,Male,32729,0,40,1
44325,28,Private,137898,9,Divorced,Not-in-family,White,Female,58836,0,35,1
44326,61,Federal-gov,136109,7,Widowed,Not-in-family,White,Female,86253,0,45,1
44327,20,State-gov,55294,13,Married-civ-spouse,Husband,White,Male,0,0,86,0
44328,51,Federal-gov,154342,14,Married-civ-spouse,Husband,White,Male,3576,0,45,0
44329,24,Private,202959,11,Never-married,Not-in-family,White,Male,82830,0,40,1
44330,44,Private,235786,10,Married-civ-spouse,Husband,White,Male,1188,967,45,0
44331,20,Private,258430,10,Never-married,Own-child,White,Female,22487,0,19,1
44332,52,Private,284303,10,Married-civ-spouse,Wife,White,Female,128,0,40,0
44333,44,Private,146908,9,Married-civ-spouse,Husband,White,Male,74981,0,40,1
44334,52,Private,188616,7,Never-married,Own-child,White,Male,23195,0,15,1
44335,24,Private,310483,8,Never-married,Own-child,White,Male,31403,0,25,1
44336,47,Private,264244,9,Married-spouse-absent,Not-in-family,Black,Female,58984,0,40,1
44337,27,Local-gov,29904,13,Never-married,Not-in-family,White,Female,95071,0,40,1
44338,25,Private,76878,9,Married-civ-spouse,Unmarried,White,Male,5178,0,40,0
44339,62,Self-emp-not-inc,71467,14,Married-civ-spouse,Husband,White,Male,28519,0,40,1
44340,41,Private,37997,12,Married-AF-spouse,Not-in-family,White,Male,0,0,84,0
44341,28,Private,230503,10,Never-married,Unmarried,White,Female,29697,0,40,1
44342,27,Private,244566,6,Married-civ-spouse,Husband,White,Male,25837,0,40,1
44343,39,Self-emp-not-inc,355978,10,Married-civ-spouse,Not-in-family,White,Male,0,0,60,0
44344,19,Private,472807,2,Never-married,Other-relative,White,Male,64066,0,52,1
44345,27,Private,341672,10,Married-AF-spouse,Other-relative,Asian-Pac-Islander,Male,95022,0,40,1
44346,31,Private,244147,9,Divorced,Unmarried,White,Male,16262,0,55,1
