,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
67654,62,Private,110586,10,Widowed,Unmarried,White,Male,90022,0,40,1
67655,62,Private,110586,10,Widowed,Unmarried,White,Female,58062,0,47,1
67656,29,Private,128604,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,44869,0,45,1
67657,29,Private,128604,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,78876,0,40,1
67658,24,Local-gov,38707,7,Never-married,Own-child,White,Male,79853,0,20,1
67659,24,Local-gov,38707,13,Never-married,Own-child,White,Male,77431,0,20,1
67660,65,Local-gov,146454,14,Married-civ-spouse,Husband,White,Male,14359,1648,4,1
67661,65,Local-gov,146454,14,Married-civ-spouse,Husband,White,Female,71786,1648,4,1
67662,38,Private,122952,9,Separated,Unmarried,White,Female,30925,3547,35,1
67663,38,Private,122952,9,Separated,Unmarried,White,Female,45639,0,35,1
67664,47,Private,275095,5,Widowed,Unmarried,White,Female,35845,0,50,1
67665,47,Private,275095,5,Widowed,Unmarried,White,Female,76139,0,50,1
67666,23,Private,157951,10,Never-married,Not-in-family,Asian-Pac-Islander,Female,93160,0,50,1
67667,23,Private,157951,10,Married-spouse-absent,Not-in-family,White,Female,53335,0,50,1
67668,38,Private,89559,10,Married-AF-spouse,Unmarried,White,Female,0,2613,40,1
67669,38,Private,89559,4,Separated,Unmarried,White,Female,84579,0,40,1
67670,38,Self-emp-not-inc,217926,15,Married-civ-spouse,Husband,Black,Male,0,0,40,1
67671,38,Private,217926,9,Divorced,Husband,Black,Male,26223,0,40,1
67672,28,Private,137898,9,Divorced,Not-in-family,White,Female,80183,0,35,1
67673,28,Private,137898,9,Divorced,Not-in-family,White,Female,31936,0,35,1
67674,61,Private,136109,7,Widowed,Not-in-family,White,Female,45669,0,45,1
67675,61,Private,136109,7,Widowed,Not-in-family,White,Female,69544,0,45,1
67676,40,State-gov,55294,13,Married-spouse-absent,Husband,White,Female,0,0,40,0
67677,30,State-gov,55294,7,Married-civ-spouse,Husband,White,Male,0,0,40,0
67678,51,Private,154342,14,Married-civ-spouse,Husband,White,Male,4433,1452,45,0
67679,51,Private,154342,4,Married-civ-spouse,Husband,White,Male,1227,0,45,0
67680,24,Private,202959,3,Never-married,Not-in-family,White,Female,18033,0,40,1
67681,24,Private,202959,11,Never-married,Not-in-family,Black,Female,52624,0,40,1
67682,44,Private,235786,10,Married-civ-spouse,Husband,White,Male,1624,1629,45,0
67683,44,Private,235786,10,Separated,Husband,White,Male,969,0,45,0
67684,20,Private,258430,10,Never-married,Own-child,White,Female,25099,0,44,1
67685,20,Private,258430,10,Never-married,Own-child,White,Female,23840,0,19,1
67686,40,Private,284303,10,Never-married,Wife,White,Female,7688,0,26,0
67687,40,Private,284303,10,Never-married,Wife,White,Male,7688,0,40,0
67688,44,Private,146908,9,Married-civ-spouse,Husband,White,Male,73792,0,45,1
67689,71,Private,146908,9,Married-civ-spouse,Husband,White,Male,33399,0,40,1
67690,18,Private,188616,7,Never-married,Husband,White,Male,99635,0,15,1
67691,18,Private,188616,7,Never-married,Unmarried,White,Male,72043,0,15,1
67692,19,Private,310483,8,Never-married,Own-child,Amer-Indian-Eskimo,Male,44685,0,25,1
67693,19,Private,310483,8,Never-married,Own-child,White,Male,60118,0,25,1
67694,47,Private,264244,9,Married-spouse-absent,Not-in-family,Black,Female,46400,0,40,1
67695,47,Private,264244,9,Married-spouse-absent,Not-in-family,Black,Female,76404,0,40,1
67696,27,Private,29904,13,Widowed,Not-in-family,White,Female,30712,0,40,1
67697,27,Private,29904,13,Never-married,Not-in-family,White,Female,12061,0,40,1
67698,36,Private,76878,9,Never-married,Own-child,White,Male,5178,0,40,0
67699,36,Private,76878,9,Never-married,Husband,White,Male,5178,0,18,0
67700,62,Without-pay,71467,14,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,1
67701,62,Self-emp-not-inc,71467,2,Married-civ-spouse,Husband,White,Male,25986,0,40,1
67702,41,Private,37997,13,Divorced,Not-in-family,Other,Male,0,0,84,0
67703,37,Private,37997,8,Divorced,Not-in-family,White,Male,0,0,84,0
67704,63,Private,230503,10,Never-married,Unmarried,White,Female,0,4117,40,0
67705,73,Private,230503,10,Never-married,Unmarried,White,Female,23090,0,40,1
67706,27,Private,244566,6,Married-civ-spouse,Husband,White,Male,60814,0,40,1
67707,27,Private,244566,6,Married-civ-spouse,Husband,White,Male,11658,0,40,1
67708,45,Self-emp-not-inc,355978,10,Widowed,Husband,White,Male,0,0,7,0
67709,45,Self-emp-not-inc,355978,10,Married-civ-spouse,Wife,White,Male,0,223,60,0
67710,19,Private,472807,2,Never-married,Other-relative,White,Male,93985,0,52,1
67711,19,Private,472807,2,Married-spouse-absent,Other-relative,White,Male,25029,0,52,1
67712,27,Private,341672,10,Married-AF-spouse,Other-relative,Asian-Pac-Islander,Male,46830,0,40,1
67713,27,Private,341672,10,Never-married,Husband,Asian-Pac-Islander,Male,20410,0,40,1
67714,31,Without-pay,244147,9,Divorced,Unmarried,White,Male,73453,0,55,1
67715,31,Private,244147,9,Divorced,Unmarried,White,Male,49710,0,55,1
67716,25,Private,186717,10,Never-married,Own-child,White,Male,60093,0,40,1
67717,35,Private,186717,10,Never-married,Own-child,White,Male,23081,0,40,1
67718,23,Private,423453,9,Never-married,Own-child,Black,Female,82864,0,16,1
67719,23,Private,423453,9,Never-married,Own-child,Black,Female,33186,0,16,1
67720,35,Private,241306,11,Never-married,Husband,White,Female,0,0,40,0
67721,22,Private,241306,11,Married-civ-spouse,Husband,White,Male,0,0,26,0
67722,23,Private,86065,8,Never-married,Husband,White,Female,24149,0,30,1
67723,23,Private,86065,8,Never-married,Not-in-family,White,Female,53737,0,30,1
67724,20,Private,133352,10,Never-married,Own-child,Asian-Pac-Islander,Female,25297,0,30,1
67725,20,Private,133352,2,Never-married,Own-child,Asian-Pac-Islander,Female,86519,0,40,1
67726,51,Private,182944,9,Widowed,Unmarried,Black,Female,66884,0,9,1
67727,51,Private,182944,9,Widowed,Unmarried,Black,Female,0,3616,40,1
67728,43,Private,133986,10,Married-spouse-absent,Unmarried,White,Female,14145,0,40,1
67729,44,Private,133986,11,Married-spouse-absent,Unmarried,White,Female,40233,0,40,1
67730,24,Private,194604,13,Never-married,Own-child,White,Female,99447,2321,15,1
67731,24,Private,194604,13,Never-married,Own-child,White,Female,30893,0,15,1
67732,42,State-gov,119008,12,Divorced,Not-in-family,Black,Female,77073,1974,40,1
67733,42,State-gov,119008,12,Divorced,Not-in-family,Black,Female,26151,533,40,1
67734,47,Private,93449,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,56920,1005,60,1
67735,47,State-gov,93449,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,1938,60,1
67736,42,Private,125461,15,Never-married,Unmarried,White,Male,38470,0,40,1
67737,42,Private,125461,13,Never-married,Unmarried,White,Male,12271,0,40,1
67738,34,Private,261799,6,Married-civ-spouse,Husband,Black,Male,0,3198,45,0
67739,34,Private,261799,1,Married-civ-spouse,Husband,Black,Male,0,0,37,0
67740,69,Self-emp-not-inc,182691,9,Never-married,Unmarried,White,Male,0,2971,60,1
67741,32,Self-emp-not-inc,182691,9,Never-married,Unmarried,White,Male,76657,0,40,1
67742,36,Private,411797,5,Married-civ-spouse,Own-child,White,Female,0,0,35,0
67743,36,Private,411797,13,Never-married,Own-child,Other,Female,0,0,4,0
67744,66,Private,200853,14,Divorced,Not-in-family,White,Female,44880,0,60,1
67745,17,Private,200853,14,Divorced,Not-in-family,White,Female,44126,0,60,1
67746,24,Self-emp-inc,142404,13,Married-civ-spouse,Other-relative,White,Male,0,1112,40,0
67747,24,Self-emp-inc,142404,14,Married-spouse-absent,Husband,White,Male,0,0,40,0
67748,42,Self-emp-not-inc,369131,12,Married-civ-spouse,Other-relative,White,Male,0,0,55,0
67749,42,Private,369131,8,Married-civ-spouse,Not-in-family,White,Male,0,0,55,0
67750,63,Private,55946,9,Married-civ-spouse,Husband,Black,Male,30836,0,40,1
67751,63,Private,55946,9,Married-civ-spouse,Husband,White,Male,23606,0,40,1
67752,47,Federal-gov,224559,9,Married-spouse-absent,Husband,Black,Male,0,3320,40,0
