,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
1104,23,Private,211345,10,Married-civ-spouse,Own-child,White,Female,86254,0,40,1
1105,41,Self-emp-not-inc,66632,10,Divorced,Not-in-family,White,Male,78583,0,40,0
1106,35,Private,138441,13,Separated,Other-relative,White,Male,0,0,40,0
1107,42,Self-emp-inc,198282,5,Married-civ-spouse,Husband,White,Male,0,1412,60,0
1108,52,Private,193748,7,Separated,Own-child,White,Male,20759,0,15,0
1109,50,Private,175804,13,Widowed,Husband,White,Male,0,0,40,0
1110,32,Private,239824,13,Never-married,Not-in-family,White,Male,70570,0,40,1
1111,27,Private,174938,13,Married-civ-spouse,Husband,White,Male,0,1887,50,0
1112,53,Private,170050,10,Married-civ-spouse,Not-in-family,White,Male,75261,0,40,1
1113,27,Private,125833,13,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,29987,0,40,1
1114,30,Private,62419,9,Married-civ-spouse,Husband,White,Male,13846,0,35,1
1115,32,Private,103573,10,Married-civ-spouse,Husband,White,Female,0,1931,40,1
1116,38,Private,99065,13,Never-married,Not-in-family,White,Female,0,0,20,0
1117,42,Private,68469,9,Married-civ-spouse,Husband,White,Male,0,2307,40,1
1118,37,Self-emp-not-inc,181553,9,Divorced,Not-in-family,White,Male,59296,0,50,0
1119,57,Local-gov,261584,10,Separated,Not-in-family,Black,Male,15796,0,40,1
1120,38,Federal-gov,104236,12,Married-civ-spouse,Unmarried,White,Female,32206,0,40,1
1121,32,Private,50753,9,Married-civ-spouse,Husband,White,Male,36041,0,40,1
1122,35,State-gov,211115,14,Never-married,Not-in-family,Black,Male,40030,0,40,1
1123,44,Self-emp-inc,138845,9,Married-civ-spouse,Husband,White,Male,0,2248,45,1
1124,23,State-gov,54472,10,Married-spouse-absent,Not-in-family,White,Female,56154,0,50,0
1125,22,Self-emp-inc,437161,9,Married-spouse-absent,Unmarried,White,Female,26753,0,40,0
1126,27,Private,126060,13,Never-married,Not-in-family,White,Female,54331,0,40,1
1127,34,Private,261278,13,Married-civ-spouse,Not-in-family,Asian-Pac-Islander,Female,5178,0,40,0
