,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
1904,23,Private,211345,10,Never-married,Husband,White,Female,75591,0,40,1
1905,23,Private,211345,10,Never-married,Husband,White,Female,78190,0,40,1
1906,41,Self-emp-not-inc,66632,10,Separated,Not-in-family,White,Male,91206,0,40,1
1907,41,Self-emp-not-inc,66632,10,Married-civ-spouse,Not-in-family,White,Male,41783,0,40,1
1908,35,Private,138441,13,Married-civ-spouse,Not-in-family,White,Male,3134,0,40,0
1909,35,Private,138441,4,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,0,40,0
1910,22,Self-emp-inc,198282,13,Married-civ-spouse,Husband,White,Male,0,0,60,0
1911,20,Self-emp-inc,198282,13,Married-civ-spouse,Husband,White,Male,0,0,60,0
1912,66,Private,193748,13,Never-married,Own-child,White,Male,68923,0,15,1
1913,17,Federal-gov,193748,7,Never-married,Not-in-family,White,Male,29258,0,15,0
1914,50,Private,175804,13,Divorced,Husband,Black,Male,0,0,40,0
1915,50,Private,175804,13,Married-civ-spouse,Unmarried,Amer-Indian-Eskimo,Male,0,0,40,0
1916,32,Private,239824,13,Never-married,Not-in-family,White,Male,81415,0,40,1
1917,32,Private,239824,13,Never-married,Not-in-family,Black,Male,38321,0,40,1
1918,36,Private,174938,13,Widowed,Husband,White,Male,0,1887,45,0
1919,36,Private,174938,13,Never-married,Husband,White,Male,0,1887,20,0
1920,53,Private,170050,10,Never-married,Not-in-family,White,Male,35740,0,10,1
1921,56,Private,170050,10,Never-married,Not-in-family,White,Male,23213,0,40,1
1922,43,Private,125833,13,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,461,50,1
1923,43,Private,125833,13,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,2145,40,1
1924,19,Private,62419,9,Married-civ-spouse,Husband,White,Male,30670,0,35,1
1925,19,Private,62419,9,Married-civ-spouse,Husband,White,Male,32869,0,35,1
1926,32,Private,103573,10,Married-civ-spouse,Unmarried,White,Male,72243,0,40,1
1927,32,Federal-gov,103573,10,Married-civ-spouse,Husband,White,Male,27500,0,40,1
1928,38,Private,99065,13,Never-married,Not-in-family,White,Male,0,0,50,0
