,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
43332,44,Private,174373,12,Married-civ-spouse,Not-in-family,Amer-Indian-Eskimo,Male,0,0,40,0
43333,44,Private,174373,12,Married-spouse-absent,Husband,White,Male,0,0,75,0
43334,70,Private,187891,15,Separated,Husband,White,Male,0,0,40,0
43335,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,40861,0,41,1
43336,17,Private,53611,8,Married-spouse-absent,Own-child,White,Female,69724,0,6,1
43337,17,Private,53611,8,Never-married,Own-child,White,Female,72037,0,6,1
43338,33,State-gov,291494,5,Widowed,Husband,White,Male,0,0,50,0
43339,33,State-gov,291494,2,Married-civ-spouse,Husband,White,Female,0,0,50,0
43340,62,Private,254534,10,Married-civ-spouse,Husband,White,Female,85007,0,40,1
43341,62,Self-emp-inc,254534,12,Married-civ-spouse,Husband,White,Male,0,0,40,1
43342,34,Private,175878,10,Never-married,Not-in-family,White,Male,5654,0,40,1
43343,34,Private,175878,10,Never-married,Not-in-family,White,Male,84902,0,40,1
43344,23,Private,202284,13,Never-married,Wife,White,Male,45964,0,20,1
43345,23,Private,202284,13,Never-married,Own-child,White,Male,89461,0,20,1
43346,24,Federal-gov,137591,10,Never-married,Own-child,White,Male,33546,0,10,1
43347,24,Private,137591,10,Separated,Own-child,White,Male,77463,0,10,1
43348,31,Local-gov,295589,10,Never-married,Own-child,Black,Male,57507,0,40,1
43349,31,Local-gov,295589,10,Never-married,Not-in-family,Black,Male,91549,0,40,1
43350,53,Private,68684,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,2822,40,1
43351,53,Private,68684,9,Married-civ-spouse,Husband,White,Male,82935,0,40,1
43352,73,Private,159007,13,Divorced,Other-relative,White,Female,0,2954,12,1
43353,73,Private,159007,13,Divorced,Other-relative,White,Female,74344,0,12,1
43354,30,Private,200246,11,Never-married,Not-in-family,White,Male,19596,0,40,1
43355,30,Private,200246,11,Never-married,Not-in-family,White,Male,0,3023,40,0
43356,35,Private,283305,13,Never-married,Not-in-family,White,Female,10416,0,40,1
43357,35,Private,283305,13,Never-married,Not-in-family,White,Female,75390,0,40,1
43358,20,Private,471452,10,Never-married,Own-child,Other,Male,73585,0,30,1
43359,20,Private,471452,10,Never-married,Own-child,Asian-Pac-Islander,Male,16612,0,30,1
43360,52,State-gov,109600,14,Divorced,Unmarried,White,Female,4787,794,44,0
43361,52,State-gov,109600,14,Married-spouse-absent,Unmarried,White,Female,4787,0,18,0
43362,53,Private,277772,9,Divorced,Unmarried,Black,Female,73904,0,40,1
43363,32,Private,277772,9,Divorced,Unmarried,Black,Female,33838,0,40,1
43364,35,Private,219902,3,Separated,Unmarried,Black,Female,10691,0,48,1
43365,35,Private,219902,9,Separated,Unmarried,Black,Female,85737,0,76,1
43366,49,Private,231919,16,Married-civ-spouse,Husband,White,Male,0,0,45,1
43367,51,Private,231919,10,Married-civ-spouse,Husband,White,Male,0,3369,45,1
43368,64,Private,183513,9,Never-married,Unmarried,White,Female,93540,0,25,1
43369,64,Private,183513,9,Never-married,Wife,White,Female,99446,0,25,1
43370,51,Private,112780,10,Never-married,Own-child,White,Female,82481,0,20,1
43371,19,Private,112780,10,Never-married,Own-child,White,Female,24759,0,20,1
43372,26,Private,142506,13,Never-married,Unmarried,Black,Female,66800,0,35,1
43373,26,Private,142506,13,Never-married,Unmarried,Black,Female,35739,0,28,1
43374,19,Private,201743,10,Never-married,Own-child,White,Female,90749,0,72,1
43375,19,Private,201743,10,Never-married,Own-child,White,Female,16601,0,26,1
43376,27,Private,188941,10,Divorced,Husband,White,Male,85716,0,40,1
43377,27,Private,188941,10,Married-civ-spouse,Husband,Black,Male,86220,0,40,1
43378,60,Private,225883,10,Widowed,Unmarried,White,Female,29356,18,27,1
43379,60,Private,225883,10,Widowed,Unmarried,White,Female,25040,0,27,1
43380,41,Local-gov,125268,13,Never-married,Husband,Black,Female,30913,0,40,1
43381,41,Local-gov,125268,13,Never-married,Unmarried,Black,Female,53828,0,40,1
43382,24,Private,109307,9,Never-married,Own-child,White,Male,25918,0,45,1
43383,24,Private,109307,9,Never-married,Own-child,White,Male,86511,0,45,1
43384,34,Private,236543,10,Never-married,Not-in-family,White,Male,56483,1590,77,1
43385,34,Private,236543,10,Never-married,Not-in-family,Asian-Pac-Islander,Male,27810,1590,40,1
43386,19,Private,303652,9,Never-married,Unmarried,White,Female,29889,0,30,1
43387,19,Private,303652,9,Widowed,Unmarried,White,Female,69812,0,30,1
43388,48,Private,158685,9,Divorced,Not-in-family,White,Female,48020,0,16,1
43389,48,Private,158685,9,Separated,Not-in-family,White,Female,83280,0,16,1
43390,39,Private,328466,7,Married-civ-spouse,Husband,White,Male,95326,0,70,1
43391,39,Self-emp-not-inc,328466,7,Married-civ-spouse,Husband,White,Male,76380,0,70,1
43392,42,Local-gov,85341,13,Married-civ-spouse,Husband,White,Male,0,0,45,1
43393,48,Local-gov,85341,13,Married-civ-spouse,Not-in-family,Black,Male,0,0,45,1
43394,41,State-gov,33474,13,Married-civ-spouse,Husband,White,Male,0,3198,50,1
43395,41,State-gov,33474,13,Married-civ-spouse,Own-child,Amer-Indian-Eskimo,Male,0,0,50,1
43396,29,Private,77322,9,Never-married,Wife,White,Female,48597,0,32,1
43397,29,Private,77322,9,Never-married,Not-in-family,White,Female,40538,0,32,1
43398,54,Private,192591,13,Never-married,Not-in-family,White,Female,90959,0,45,1
43399,28,Private,192591,1,Never-married,Not-in-family,White,Female,81829,0,45,1
43400,63,Private,163809,10,Widowed,Not-in-family,White,Female,27560,0,20,1
43401,63,Private,163809,10,Widowed,Not-in-family,White,Female,62366,0,20,1
43402,33,Private,243674,9,Separated,Wife,White,Male,77933,0,46,1
43403,33,Private,243674,9,Separated,Not-in-family,White,Male,14203,0,95,1
43404,25,Local-gov,183486,13,Married-civ-spouse,Wife,White,Female,0,0,50,0
43405,47,Local-gov,183486,13,Never-married,Wife,White,Female,0,0,50,0
43406,23,Private,238917,15,Never-married,Other-relative,White,Male,23434,0,40,1
43407,23,Private,238917,3,Never-married,Other-relative,Black,Male,77475,0,40,1
43408,29,Private,206351,6,Married-civ-spouse,Husband,White,Male,75778,0,40,1
43409,29,Private,206351,6,Married-civ-spouse,Husband,White,Male,42771,964,40,1
43410,31,Self-emp-inc,101266,12,Married-civ-spouse,Husband,White,Male,15927,0,40,1
43411,31,Private,101266,12,Married-civ-spouse,Husband,White,Male,0,1817,40,1
43412,29,Private,195284,1,Divorced,Not-in-family,White,Female,0,0,90,0
43413,29,Private,195284,16,Married-AF-spouse,Own-child,White,Female,0,0,60,0
43414,63,Private,287277,9,Divorced,Own-child,White,Male,26527,0,40,1
43415,36,Private,287277,9,Divorced,Not-in-family,White,Male,98582,0,40,1
43416,36,Local-gov,101833,13,Separated,Not-in-family,White,Male,59273,3813,40,1
43417,36,Local-gov,101833,13,Separated,Husband,White,Male,33814,0,40,1
43418,37,Federal-gov,31670,13,Married-civ-spouse,Husband,White,Male,0,3473,40,1
43419,37,Federal-gov,31670,13,Married-civ-spouse,Husband,White,Female,0,0,97,1
43420,30,Private,32825,9,Married-civ-spouse,Husband,White,Male,0,0,89,1
43421,46,Private,32825,15,Married-civ-spouse,Husband,White,Male,0,0,6,0
43422,27,Private,332187,13,Never-married,Not-in-family,White,Female,63688,0,65,1
43423,87,Private,332187,13,Never-married,Not-in-family,White,Female,13205,0,65,1
43424,41,Private,287037,10,Never-married,Wife,White,Male,51925,0,40,1
43425,41,Private,287037,10,Never-married,Not-in-family,White,Male,56285,207,40,1
43426,21,Private,180690,9,Never-married,Other-relative,White,Male,98808,0,40,0
43427,21,Private,180690,9,Never-married,Own-child,White,Male,57196,3440,40,1
