,A15,A14,A13,A12,A11,A10,A9,A8,A7,A6,A5,A4,A3,A2,A1,A16
1160120,0,228.0,g,f,58,f,t,0.5,h,d,g,u,13.0,29.25,b,1
1160121,32042,228.0,g,f,0,f,t,0.5,h,d,g,u,13.0,29.25,b,1
1160122,0,228.0,g,f,0,f,t,0.5,h,d,g,u,4.44,29.25,b,1
1160123,0,228.0,g,f,14,f,t,0.5,h,d,g,u,13.0,29.25,b,1
1160124,0,0.0,g,f,0,t,t,0.04,v,m,p,y,0.04,31.83,b,1
1160125,0,0.0,g,f,12,f,t,0.04,v,m,p,y,0.04,31.83,b,1
1160126,0,0.0,g,f,17,f,t,0.04,v,m,p,y,0.04,31.83,b,1
1160127,0,0.0,g,f,0,f,t,0.04,v,m,p,l,0.04,31.83,b,1
1160128,0,270.1,s,f,1,t,f,0.04,v,e,g,u,0.04,41.0,a,0
1160129,0,560.0,s,f,1,t,f,0.04,v,e,g,u,8.61,41.0,b,0
1160130,0,560.0,s,f,9,t,f,0.04,v,e,p,u,0.04,41.0,b,0
1160131,7836,560.0,s,f,1,t,f,18.8,v,e,g,u,0.04,41.0,b,0
1160132,95325,163.0,g,t,0,f,t,0.25,bb,w,g,u,1.75,34.25,b,1
1160133,17653,163.0,g,t,0,f,t,0.25,bb,w,g,u,1.75,34.25,b,1
1160134,30932,163.0,g,t,0,f,t,0.25,bb,w,g,u,1.75,34.25,b,1
1160135,0,163.0,g,t,31,f,t,4.9,bb,w,g,u,1.75,34.25,b,1
1160136,0,204.0,g,f,6,t,f,4.25,v,m,g,y,2.75,33.58,b,0
1160137,0,64.3,g,f,6,t,f,4.25,v,m,g,u,2.75,33.58,b,0
1160138,92119,204.0,g,f,6,t,f,4.25,v,m,g,u,2.75,33.58,b,0
1160139,0,204.0,g,f,59,t,f,4.25,v,m,g,u,2.75,33.58,b,0
1160140,44,1907.6,g,f,0,f,f,11.9,v,cc,g,u,0.375,33.67,a,0
1160141,44,300.0,g,f,0,f,f,12.5,v,cc,g,u,0.375,33.67,a,0
1160142,44,300.0,g,f,0,f,f,0.375,v,cc,g,u,20.19,33.67,a,0
1160143,44,1098.8,g,f,0,f,f,10.9,v,cc,g,u,0.375,33.67,a,0
1160144,4208,100.0,g,t,57,f,t,0.085,ff,ff,g,u,2.5,23.08,b,1
1160145,4208,100.0,g,t,20,f,t,0.085,ff,ff,g,u,2.5,23.08,b,1
1160146,4208,100.0,g,t,0,f,t,0.085,h,ff,g,u,2.5,23.08,b,1
1160147,37653,100.0,g,t,0,f,t,0.085,ff,ff,g,u,2.5,23.08,b,1
1160148,210,140.0,g,t,3,t,t,1.375,h,c,p,u,23.33,20.67,b,1
1160149,47362,140.0,s,t,3,t,t,1.375,h,c,p,y,1.25,20.67,b,1
1160150,210,1709.4,g,t,3,t,t,1.375,h,c,p,u,1.25,20.67,b,1
1160151,210,140.0,g,t,3,t,t,1.0,h,c,p,y,14.48,20.67,b,0
1160152,5800,400.0,g,t,0,f,f,0.04,v,w,g,u,24.89,37.42,b,0
1160153,5800,400.0,g,t,0,f,f,0.04,v,w,g,l,2.04,37.42,b,0
1160154,5800,400.0,g,t,0,t,f,0.04,v,w,g,u,2.04,37.42,b,0
1160155,5800,400.0,g,t,0,f,f,0.04,v,w,g,u,16.56,37.42,b,0
1160156,17,0.0,g,t,0,f,t,1.25,h,k,p,l,12.5,26.17,b,1
1160157,91609,0.0,g,t,0,f,t,1.25,h,k,p,y,12.5,26.17,b,1
1160158,17,0.0,g,t,12,f,t,1.25,h,k,p,y,12.5,26.17,b,1
1160159,17,0.0,g,t,0,t,t,1.25,h,k,p,y,12.5,26.17,b,1
1160160,13212,0.0,g,f,0,f,f,0.0,z,e,p,u,15.0,28.08,a,0
1160161,13212,0.0,g,f,0,f,f,0.0,z,c,p,y,15.0,28.08,a,0
1160162,13212,0.0,g,f,0,f,f,13.5,z,e,p,y,15.0,28.08,a,0
1160163,13212,0.0,g,f,0,f,f,0.0,z,m,p,y,15.0,28.08,a,0
1160164,94336,120.0,g,f,0,f,t,5.3,ff,ff,p,y,0.585,23.58,b,1
1160165,4088,120.0,g,f,0,f,t,0.125,ff,ff,p,u,0.585,23.58,a,0
1160166,22200,120.0,g,f,0,f,t,0.125,ff,ff,g,y,0.585,23.58,a,1
1160167,99210,120.0,g,f,0,f,t,19.2,ff,ff,p,y,0.585,23.58,a,0
1160168,500,260.0,g,f,2,t,f,13.5,v,cc,p,y,0.585,27.75,b,0
1160169,500,260.0,s,f,2,t,f,0.25,v,cc,p,y,0.585,27.75,b,0
1160170,500,260.0,g,f,2,t,f,0.25,v,d,p,y,0.585,27.75,b,0
1160171,500,260.0,g,f,2,t,f,5.6,v,cc,p,y,0.585,27.75,b,0
1160172,456,0.0,g,f,11,t,f,2.0,v,c,g,u,1.0,36.0,b,0
1160173,12813,0.0,g,f,11,t,f,2.0,v,c,g,u,1.0,36.0,a,0
1160174,28938,0.0,g,f,11,t,f,2.0,v,c,g,u,1.0,36.0,a,0
1160175,456,1390.5,g,f,11,t,f,2.0,v,c,g,u,1.0,36.0,a,0
1160176,94725,352.0,g,t,5,t,f,1.75,v,c,g,u,0.75,16.08,b,0
1160177,690,352.0,g,f,5,t,f,1.75,v,c,g,u,0.75,16.08,b,0
1160178,690,352.0,g,t,5,f,f,1.75,v,c,g,u,0.75,16.08,b,0
1160179,690,1946.1,g,t,5,t,f,1.75,v,c,g,u,0.75,16.08,b,0
1160180,600,40.0,g,t,6,t,f,4.9,v,w,g,u,9.5,18.83,a,0
1160181,600,4.7,g,t,6,t,f,1.625,v,w,g,u,9.5,18.83,a,0
1160182,600,40.0,g,t,6,t,f,1.625,v,w,g,u,9.5,57.01,a,0
1160183,600,40.0,g,t,28,t,f,1.625,v,w,g,u,9.5,18.83,a,0
1160184,284,290.0,g,t,11,t,f,2.125,h,w,g,u,11.5,40.94,b,0
1160185,284,1569.3,g,t,11,t,f,2.125,h,w,g,u,11.5,23.08,b,0
1160186,284,290.0,g,t,11,t,f,12.4,h,w,g,u,11.5,23.08,b,0
1160187,284,290.0,g,t,11,t,f,2.125,h,w,gg,u,11.5,23.08,b,0
1160188,300,160.0,g,t,0,f,t,0.835,v,i,p,y,23.52,23.33,b,0
1160189,300,13.8,g,t,0,f,f,0.835,v,w,p,y,11.625,23.33,b,0
1160190,84421,160.0,g,t,0,f,f,0.835,v,w,p,y,11.625,23.33,b,0
1160191,300,160.0,g,t,0,f,f,13.8,v,w,p,y,11.625,23.33,b,0
1160192,84435,80.0,g,t,1,t,f,0.335,h,cc,g,u,10.335,20.75,a,0
1160193,50,80.0,g,t,1,t,f,0.335,h,cc,g,u,10.335,28.7,a,0
1160194,50,80.0,g,t,1,t,f,17.8,h,cc,g,u,10.335,20.75,a,0
1160195,50,80.0,g,t,66,t,f,0.335,h,cc,g,u,10.335,20.75,a,0
1160196,237,240.0,g,t,0,f,t,0.665,v,aa,g,u,1.04,41.58,a,1
1160197,237,240.0,g,f,30,f,t,0.665,v,aa,g,u,1.04,41.58,a,1
1160198,237,240.0,s,f,0,f,t,0.665,v,aa,g,u,1.04,41.58,a,1
1160199,70095,240.0,g,f,0,f,t,0.665,v,aa,g,u,1.04,41.58,a,1
1160200,0,0.0,s,t,0,f,t,7.5,v,d,g,u,1.585,30.75,b,1
1160201,0,0.0,s,t,31,f,t,0.585,v,d,g,u,1.585,30.75,b,1
1160202,0,0.0,s,t,0,f,t,0.585,dd,d,g,u,1.585,30.75,b,1
1160203,0,0.0,s,t,0,f,t,0.585,v,d,g,u,1.585,14.55,b,1
1160204,0,342.6,g,f,0,f,t,2.585,v,c,p,y,2.54,22.67,b,0
1160205,0,0.0,g,f,40,f,f,2.585,h,c,p,y,2.54,22.67,b,0
1160206,0,1131.7,g,f,0,f,t,2.585,ff,c,p,y,2.54,22.67,b,0
1160207,0,0.0,g,f,0,f,f,2.585,h,c,g,y,2.54,22.67,b,0
1160208,0,360.0,g,t,0,f,f,11.8,v,m,g,u,4.0,32.08,b,0
1160209,0,804.0,g,t,0,f,t,2.5,n,m,g,u,4.0,32.08,b,0
1160210,0,360.0,g,t,0,f,f,2.5,h,m,g,u,4.0,32.08,b,0
1160211,0,1020.1,g,t,0,f,t,2.5,v,m,g,y,4.0,32.08,b,0
1160212,484,80.0,g,f,0,f,t,0.6,h,i,g,u,5.415,19.17,a,1
1160213,484,80.0,g,f,0,f,t,0.29,h,i,g,u,5.415,19.17,b,1
1160214,484,766.9,g,f,0,f,t,0.29,h,i,g,u,5.415,19.17,a,1
1160215,484,80.0,g,f,0,f,t,18.3,h,i,g,u,5.415,19.17,a,1
1160216,0,240.0,g,t,18,t,t,1.0,v,aa,g,u,4.5,34.0,b,1
1160217,0,240.0,g,t,5,f,t,2.1,v,aa,g,u,4.5,34.0,b,1
1160218,56666,240.0,g,t,0,f,t,1.0,h,aa,g,u,4.5,34.0,b,1
1160219,0,240.0,g,t,0,t,t,1.0,v,aa,g,u,11.9,34.0,b,1
1160220,2954,80.0,g,f,7,t,f,3.9,h,w,g,u,6.5,19.42,b,0
1160221,2954,682.3,g,f,7,t,f,1.46,h,w,g,u,6.5,19.42,b,0
1160222,2954,177.7,g,f,7,t,f,1.46,h,w,g,u,6.5,19.42,b,0
1160223,2954,80.0,g,f,7,t,f,12.5,h,w,g,u,6.5,19.42,b,0
1160224,0,1845.3,g,f,0,f,t,0.0,dd,d,g,u,9.96,20.25,b,0
1160225,0,903.6,g,f,0,f,t,0.0,dd,ff,g,u,9.96,20.25,b,0
1160226,0,0.0,g,f,0,f,f,0.0,dd,e,g,u,0.39,20.25,b,0
1160227,0,0.0,g,t,0,f,f,0.0,dd,e,g,u,9.96,20.25,b,0
1160228,2,0.0,g,f,0,f,t,0.5,v,cc,g,u,12.835,25.83,b,1
1160229,2,0.0,g,f,0,f,t,0.5,v,cc,gg,u,12.835,25.83,b,1
1160230,2,0.0,g,f,0,f,t,0.5,v,x,g,u,12.835,25.83,b,1
1160231,2,0.0,g,f,0,f,t,0.5,v,cc,g,u,22.03,25.83,b,1
1160232,0,360.0,g,f,0,f,f,0.875,h,x,g,u,2.875,20.66,a,0
1160233,0,360.0,g,f,0,f,f,10.3,h,x,g,u,2.875,25.17,a,0
1160234,0,360.0,g,f,53,f,f,0.875,h,x,g,u,2.875,25.17,a,0
1160235,0,360.0,g,f,17,f,f,0.875,h,x,g,u,2.875,25.17,a,0
1160236,2197,252.0,g,t,0,f,t,1.0,h,i,g,y,0.335,57.08,a,1
1160237,2197,252.0,g,t,0,f,t,2.3,bb,x,g,u,0.335,57.08,a,1
1160238,2197,943.2,g,t,33,f,t,1.0,bb,i,g,u,0.335,57.08,a,0
1160239,2197,252.0,g,t,27,f,t,1.0,bb,x,g,u,0.335,57.08,a,1
