,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
28732,44,Private,174373,12,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,0,40,0
28733,44,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,3242,40,0
28734,44,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,2672,40,0
28735,19,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,0,40,0
28736,44,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,0,46,0
28737,44,Private,174373,14,Separated,Husband,White,Male,0,0,40,0
28738,36,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,0,40,0
28739,32,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,0,40,0
28740,44,Local-gov,174373,10,Married-civ-spouse,Husband,White,Male,0,0,40,0
28741,44,Private,174373,2,Widowed,Husband,White,Male,0,0,40,0
28742,35,Private,174373,12,Widowed,Husband,White,Male,0,0,40,0
28743,44,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,0,12,0
28744,44,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,0,47,0
28745,31,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,0,40,0
28746,30,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,0,59,0
28747,70,Local-gov,187891,7,Married-civ-spouse,Husband,White,Male,54066,0,40,1
28748,73,Private,187891,15,Married-civ-spouse,Husband,White,Male,0,0,40,1
28749,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,0,3287,40,1
28750,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,0,3377,55,1
28751,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,0,3006,40,1
28752,70,Private,187891,7,Married-civ-spouse,Not-in-family,White,Male,73322,0,40,1
28753,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,72100,0,40,1
28754,70,Federal-gov,187891,7,Married-civ-spouse,Husband,White,Male,0,1910,40,1
28755,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,0,3008,40,1
28756,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,30522,0,40,1
28757,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,62490,0,40,1
28758,70,Private,187891,1,Married-civ-spouse,Husband,White,Male,96576,0,40,1
28759,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,10609,1845,40,1
28760,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,0,3551,40,1
28761,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,65579,0,40,1
28762,17,Private,53611,8,Never-married,Own-child,White,Female,69677,1161,6,1
28763,17,Private,53611,8,Never-married,Own-child,White,Female,30960,0,6,1
28764,55,Private,53611,8,Never-married,Own-child,White,Female,27134,0,6,1
28765,17,Private,53611,8,Never-married,Own-child,White,Female,42321,0,35,1
28766,17,Private,53611,4,Never-married,Own-child,White,Female,15110,0,6,0
28767,17,Private,53611,8,Never-married,Own-child,White,Female,36647,0,6,0
28768,17,Private,53611,8,Never-married,Own-child,Asian-Pac-Islander,Female,17148,0,6,1
28769,17,Private,53611,8,Never-married,Own-child,White,Female,15590,0,6,1
28770,17,Self-emp-inc,53611,8,Never-married,Own-child,White,Female,47391,0,6,1
28771,17,Private,53611,8,Never-married,Husband,White,Female,35477,0,6,1
28772,17,Private,53611,8,Never-married,Own-child,White,Female,86055,1235,6,1
28773,17,Private,53611,8,Never-married,Own-child,White,Female,74158,0,6,1
28774,17,Private,53611,8,Never-married,Own-child,White,Female,29100,0,6,1
28775,17,Private,53611,8,Never-married,Own-child,White,Female,90049,0,6,1
28776,17,Private,53611,8,Never-married,Own-child,Amer-Indian-Eskimo,Female,77425,0,6,1
28777,33,State-gov,291494,16,Married-civ-spouse,Husband,White,Male,0,0,7,0
28778,33,State-gov,291494,16,Never-married,Own-child,White,Male,0,0,50,0
28779,33,State-gov,291494,16,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,7,0
28780,33,State-gov,291494,4,Separated,Husband,White,Male,0,0,50,0
28781,70,State-gov,291494,3,Married-civ-spouse,Husband,White,Male,0,0,50,0
28782,33,State-gov,291494,16,Married-civ-spouse,Husband,Other,Male,0,0,11,0
28783,31,State-gov,291494,16,Married-civ-spouse,Own-child,White,Male,0,0,50,0
28784,33,State-gov,291494,12,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,50,0
28785,33,State-gov,291494,16,Married-civ-spouse,Husband,White,Male,0,0,1,0
28786,23,State-gov,291494,16,Married-civ-spouse,Husband,Other,Male,0,0,50,0
28787,21,State-gov,291494,16,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,50,0
28788,33,State-gov,291494,16,Divorced,Husband,White,Male,0,0,35,0
28789,33,State-gov,291494,16,Married-civ-spouse,Husband,White,Male,0,0,9,0
28790,33,State-gov,291494,16,Married-civ-spouse,Husband,White,Male,0,0,23,0
28791,33,State-gov,291494,12,Married-civ-spouse,Husband,White,Male,0,0,50,0
28792,83,Private,254534,10,Married-civ-spouse,Husband,White,Male,0,3228,40,1
28793,61,Private,254534,11,Married-civ-spouse,Husband,White,Male,0,0,40,1
28794,62,Private,254534,10,Married-civ-spouse,Husband,White,Male,78497,0,40,1
28795,62,Private,254534,10,Married-civ-spouse,Husband,White,Male,0,0,61,1
28796,62,Private,254534,10,Married-civ-spouse,Husband,White,Male,93390,0,40,1
28797,62,Private,254534,14,Married-civ-spouse,Husband,White,Female,0,0,40,1
28798,62,Private,254534,16,Widowed,Husband,White,Male,0,0,40,1
28799,62,Federal-gov,254534,12,Married-civ-spouse,Husband,White,Male,0,0,40,1
28800,62,Private,254534,10,Married-civ-spouse,Husband,White,Male,33178,0,40,1
28801,62,Private,254534,10,Married-civ-spouse,Husband,White,Male,55736,0,40,1
28802,62,Private,254534,10,Married-civ-spouse,Unmarried,White,Male,5568,0,40,1
28803,62,Private,254534,14,Married-civ-spouse,Husband,White,Male,0,0,40,1
28804,62,Private,254534,10,Married-civ-spouse,Husband,White,Male,0,1866,40,1
28805,62,Private,254534,10,Married-civ-spouse,Wife,White,Male,42355,0,40,1
28806,62,Private,254534,10,Married-civ-spouse,Husband,White,Male,77354,0,47,1
28807,41,Private,175878,10,Never-married,Not-in-family,White,Male,0,0,91,1
28808,34,Private,175878,10,Divorced,Not-in-family,White,Male,31144,0,40,1
28809,34,Private,175878,10,Never-married,Not-in-family,White,Male,52895,0,40,1
28810,34,Private,175878,10,Never-married,Not-in-family,White,Male,0,3015,40,1
28811,34,Private,175878,10,Never-married,Not-in-family,White,Male,8845,0,40,1
28812,34,Private,175878,10,Married-spouse-absent,Not-in-family,White,Male,18713,0,40,1
28813,34,Private,175878,10,Never-married,Not-in-family,White,Male,42952,0,40,1
28814,34,Private,175878,10,Never-married,Not-in-family,White,Male,17104,0,40,1
28815,34,Self-emp-not-inc,175878,10,Never-married,Not-in-family,White,Male,25346,0,40,1
28816,34,Private,175878,10,Never-married,Not-in-family,White,Male,96226,0,40,1
28817,34,Private,175878,10,Never-married,Not-in-family,White,Male,55865,0,40,1
28818,34,Private,175878,10,Never-married,Not-in-family,White,Male,99141,0,40,1
28819,34,Private,175878,11,Never-married,Not-in-family,White,Male,93213,0,40,1
28820,34,Private,175878,10,Never-married,Not-in-family,White,Male,0,3539,64,1
28821,34,Private,175878,8,Never-married,Not-in-family,White,Male,96226,0,40,1
28822,23,Private,202284,13,Never-married,Own-child,White,Male,61880,3055,20,1
28823,23,Private,202284,13,Never-married,Own-child,White,Male,40767,0,20,1
28824,23,Private,202284,13,Never-married,Own-child,Black,Male,84143,0,20,1
28825,78,Private,202284,13,Never-married,Own-child,White,Male,50838,0,20,1
28826,23,Private,202284,13,Never-married,Own-child,White,Male,19849,0,20,1
28827,23,Private,202284,13,Never-married,Own-child,White,Male,73856,0,20,1
28828,23,Self-emp-inc,202284,13,Never-married,Own-child,White,Male,12808,0,20,1
28829,23,Private,202284,13,Never-married,Own-child,White,Male,99836,0,20,1
28830,23,State-gov,202284,13,Never-married,Own-child,White,Male,54539,0,20,1
28831,23,Private,202284,13,Never-married,Own-child,White,Male,62776,3467,20,1
28832,23,Private,202284,13,Never-married,Own-child,White,Male,14212,0,26,1
28833,23,Private,202284,13,Never-married,Own-child,White,Male,62703,720,20,1
28834,23,Private,202284,13,Never-married,Own-child,White,Male,67820,0,20,1
28835,23,Private,202284,13,Never-married,Own-child,White,Male,61304,0,20,1
28836,23,Private,202284,13,Never-married,Own-child,White,Male,96981,0,20,1
28837,24,Local-gov,137591,10,Never-married,Own-child,White,Male,44294,0,10,1
28838,24,Private,137591,3,Never-married,Own-child,White,Male,30895,0,10,1
28839,24,Private,137591,10,Never-married,Own-child,White,Male,89761,0,59,1
28840,24,Private,137591,10,Never-married,Own-child,White,Male,44976,0,10,1
28841,24,Private,137591,10,Never-married,Own-child,White,Male,54283,0,10,1
28842,24,Private,137591,10,Never-married,Own-child,White,Male,45631,0,39,1
28843,24,Private,137591,10,Never-married,Own-child,White,Male,33904,0,10,1
28844,24,Private,137591,10,Never-married,Own-child,White,Male,59445,0,10,1
28845,24,Private,137591,10,Never-married,Own-child,White,Male,91358,0,10,1
28846,24,Private,137591,4,Never-married,Own-child,White,Male,47271,0,10,1
28847,24,Private,137591,10,Never-married,Own-child,White,Female,11816,0,10,1
28848,24,Private,137591,10,Never-married,Own-child,White,Male,24021,0,10,1
28849,24,Private,137591,13,Never-married,Own-child,White,Male,82489,0,10,1
28850,24,Private,137591,10,Never-married,Own-child,White,Male,25292,0,10,1
28851,81,Private,137591,10,Never-married,Own-child,White,Male,67135,0,10,1
28852,31,Without-pay,295589,10,Never-married,Own-child,Black,Male,54005,0,40,1
28853,31,Local-gov,295589,10,Never-married,Own-child,Black,Male,34438,0,40,1
28854,47,Local-gov,295589,10,Never-married,Own-child,Black,Male,31785,0,40,1
28855,31,Local-gov,295589,10,Never-married,Own-child,Black,Male,10613,0,40,1
28856,31,Local-gov,295589,10,Widowed,Own-child,Black,Male,79698,0,40,1
28857,31,Local-gov,295589,10,Separated,Own-child,Black,Male,11304,0,40,1
28858,31,Local-gov,295589,10,Never-married,Wife,Black,Male,75897,0,40,1
28859,31,State-gov,295589,10,Never-married,Own-child,Black,Male,82609,0,40,1
28860,31,Local-gov,295589,10,Never-married,Own-child,Black,Male,41853,0,40,1
28861,31,Local-gov,295589,7,Never-married,Own-child,Black,Male,59056,0,40,1
28862,31,Local-gov,295589,10,Never-married,Own-child,Black,Male,13656,307,40,1
28863,31,Local-gov,295589,10,Never-married,Own-child,White,Male,62230,0,40,1
28864,31,Local-gov,295589,10,Never-married,Own-child,Black,Male,8175,0,40,1
28865,31,Local-gov,295589,10,Never-married,Own-child,Black,Male,52769,0,40,1
28866,31,Local-gov,295589,3,Never-married,Own-child,Black,Male,66814,0,40,1
28867,53,Self-emp-inc,68684,9,Married-civ-spouse,Husband,White,Male,0,3851,40,1
28868,53,Private,68684,14,Married-civ-spouse,Wife,White,Male,0,0,40,1
28869,57,Private,68684,15,Married-civ-spouse,Husband,White,Male,0,0,40,1
28870,53,Private,68684,9,Married-civ-spouse,Husband,White,Male,55978,0,11,1
28871,53,Private,68684,9,Married-civ-spouse,Husband,White,Male,97954,0,40,1
28872,54,Private,68684,9,Married-civ-spouse,Husband,White,Male,0,288,40,1
28873,53,Private,68684,9,Widowed,Husband,White,Male,14611,0,40,1
28874,53,Private,68684,9,Married-civ-spouse,Husband,White,Male,89359,0,40,1
28875,53,Private,68684,9,Married-civ-spouse,Not-in-family,White,Male,57318,0,40,1
28876,54,Private,68684,9,Married-civ-spouse,Husband,White,Male,0,0,40,1
28877,86,Private,68684,9,Married-civ-spouse,Husband,White,Male,24402,0,40,1
28878,39,Private,68684,13,Married-civ-spouse,Husband,White,Male,0,0,40,1
28879,53,Private,68684,9,Married-civ-spouse,Unmarried,White,Male,21522,0,40,1
28880,53,Private,68684,15,Married-civ-spouse,Husband,White,Male,0,1545,40,1
28881,53,Private,68684,14,Married-civ-spouse,Husband,White,Female,0,0,40,1
28882,73,Private,159007,13,Divorced,Other-relative,White,Female,0,2422,12,0
28883,73,Private,159007,13,Divorced,Other-relative,White,Female,48973,787,12,1
28884,73,Private,159007,13,Divorced,Other-relative,White,Female,97325,0,12,1
28885,73,Private,159007,11,Divorced,Other-relative,White,Female,58735,0,12,1
28886,73,Private,159007,13,Divorced,Other-relative,White,Female,59503,0,12,1
28887,73,Private,159007,13,Divorced,Other-relative,Black,Female,86638,0,12,1
28888,73,Private,159007,13,Divorced,Other-relative,White,Female,40673,1291,12,1
28889,73,Private,159007,15,Divorced,Other-relative,White,Female,49925,0,12,1
28890,73,Private,159007,13,Married-spouse-absent,Other-relative,White,Female,86666,0,12,1
28891,73,Private,159007,13,Divorced,Other-relative,White,Female,28253,0,12,1
28892,73,Private,159007,13,Divorced,Not-in-family,White,Female,0,2422,12,1
28893,73,Private,159007,13,Divorced,Other-relative,White,Female,58448,0,12,1
28894,73,Private,159007,13,Divorced,Other-relative,White,Female,45918,0,12,1
28895,52,Private,159007,13,Divorced,Other-relative,White,Female,73091,0,12,1
