,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
19965000,44,Private,54342,8,Married-civ-spouse,Husband,White,Male,0,0,40,0
19965001,27,Private,174373,12,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,0,40,0
19965002,44,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,0,31,0
19965003,44,Private,174373,11,Married-civ-spouse,Husband,White,Male,0,0,40,0
19965004,44,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,2579,40,0
19965005,44,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,2973,40,0
19965006,44,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,1750,40,0
19965007,21,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,0,40,0
19965008,76,Private,174373,12,Married-civ-spouse,Not-in-family,White,Male,0,0,40,0
19965009,44,Local-gov,174373,12,Married-civ-spouse,Husband,White,Male,0,0,40,0
19965010,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,25556,0,40,1
19965011,70,Private,117162,15,Married-civ-spouse,Husband,White,Male,0,0,40,1
19965012,70,Private,172493,16,Married-civ-spouse,Husband,White,Male,0,0,40,1
19965013,70,Private,187891,7,Married-civ-spouse,Husband,White,Female,11449,0,40,1
19965014,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,68596,0,40,1
19965015,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,0,2425,40,0
19965016,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,77842,0,40,1
19965017,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,72956,0,40,1
19965018,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,26423,0,49,1
19965019,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,80946,0,40,1
19965020,17,Private,53611,8,Never-married,Own-child,White,Female,11604,0,6,1
19965021,17,Private,53611,8,Never-married,Own-child,White,Female,90058,0,6,1
19965022,17,Private,53611,8,Never-married,Own-child,White,Female,48539,0,6,1
19965023,53,Private,53611,8,Never-married,Own-child,White,Female,25427,0,6,1
19965024,17,Private,53611,8,Never-married,Own-child,White,Female,21139,0,6,1
19965025,17,Private,53611,8,Never-married,Own-child,White,Female,21282,440,6,1
19965026,17,Private,53611,8,Never-married,Own-child,White,Female,25635,0,6,1
19965027,17,Private,53611,8,Widowed,Own-child,White,Female,31550,0,6,1
19965028,51,Private,53611,8,Never-married,Own-child,White,Female,41022,0,6,1
19965029,17,Private,53611,8,Never-married,Own-child,White,Female,91734,529,6,1
19965030,33,State-gov,291494,7,Married-civ-spouse,Husband,White,Male,0,221,50,0
19965031,28,State-gov,68552,16,Married-civ-spouse,Husband,White,Male,0,0,50,0
19965032,76,State-gov,291494,16,Married-civ-spouse,Husband,White,Male,0,0,8,0
19965033,33,State-gov,291494,16,Widowed,Not-in-family,White,Male,0,0,50,0
19965034,33,State-gov,39302,3,Married-civ-spouse,Husband,White,Male,0,0,50,0
19965035,33,State-gov,291494,3,Married-civ-spouse,Husband,White,Male,0,0,50,0
19965036,67,State-gov,291494,16,Married-civ-spouse,Husband,White,Male,0,0,86,0
19965037,75,State-gov,291494,10,Married-civ-spouse,Husband,White,Male,0,0,50,0
19965038,75,State-gov,291494,16,Married-civ-spouse,Husband,White,Male,0,0,96,0
19965039,33,State-gov,291494,6,Married-civ-spouse,Husband,White,Male,0,0,50,0
19965040,62,Private,254534,10,Married-civ-spouse,Own-child,White,Male,8490,0,40,1
19965041,62,Private,254534,10,Married-civ-spouse,Husband,White,Male,79005,0,75,1
19965042,62,Private,254534,10,Married-civ-spouse,Husband,White,Male,79084,0,40,1
19965043,62,Private,254534,2,Married-civ-spouse,Husband,White,Male,44481,0,40,1
19965044,62,Private,254534,10,Married-civ-spouse,Husband,White,Male,66806,0,40,1
19965045,62,Private,254534,10,Married-civ-spouse,Wife,White,Male,0,2895,40,1
19965046,62,Private,254534,10,Married-civ-spouse,Husband,White,Female,42707,0,40,1
19965047,38,Private,254534,10,Married-civ-spouse,Husband,White,Male,0,0,40,1
19965048,62,Private,254534,10,Married-civ-spouse,Husband,White,Male,88738,2234,40,1
19965049,62,Private,254534,10,Married-civ-spouse,Husband,White,Male,15599,1912,40,1
19965050,34,Private,175878,10,Never-married,Not-in-family,White,Male,24725,1980,40,1
19965051,34,Local-gov,175878,10,Never-married,Not-in-family,White,Male,68759,0,40,1
19965052,34,Private,175878,10,Married-civ-spouse,Not-in-family,White,Male,95182,0,40,1
19965053,34,Private,175878,10,Never-married,Not-in-family,White,Male,87240,0,40,1
19965054,34,Private,236596,10,Never-married,Not-in-family,White,Male,80634,0,40,1
19965055,34,Private,175878,10,Never-married,Not-in-family,White,Male,31378,0,40,1
19965056,34,Private,175878,10,Never-married,Not-in-family,White,Male,69529,0,79,1
