,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
215970800,44,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,2636,40,0
215970801,44,Without-pay,174373,12,Married-civ-spouse,Unmarried,White,Male,0,0,40,0
215970802,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,52264,0,41,1
215970803,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,60687,0,40,1
215970804,17,Private,53611,8,Never-married,Own-child,White,Female,28012,0,23,1
215970805,17,Private,53611,8,Never-married,Own-child,White,Female,63362,0,6,1
215970806,28,State-gov,291494,9,Married-civ-spouse,Husband,White,Male,0,0,50,0
215970807,33,State-gov,291494,16,Married-civ-spouse,Husband,White,Male,0,0,2,0
215970808,50,Private,254534,10,Married-civ-spouse,Husband,White,Male,0,0,40,1
215970809,62,Private,254534,10,Married-civ-spouse,Husband,White,Male,58998,0,40,1
215970810,34,Private,175878,10,Never-married,Not-in-family,White,Female,50314,0,40,1
215970811,34,Private,175878,10,Never-married,Not-in-family,White,Male,47977,3491,40,1
215970812,23,Private,202284,13,Never-married,Own-child,White,Male,32790,0,20,1
215970813,23,Private,202284,13,Never-married,Own-child,White,Male,22112,1599,20,1
215970814,24,Private,137591,10,Never-married,Own-child,White,Male,29328,0,48,1
215970815,24,Private,137591,10,Never-married,Unmarried,White,Male,89703,0,10,1
215970816,31,Local-gov,295589,10,Never-married,Own-child,Black,Male,58116,0,62,1
215970817,31,Local-gov,295589,10,Married-spouse-absent,Own-child,Black,Male,37177,0,40,1
215970818,53,Private,68684,15,Married-civ-spouse,Husband,White,Male,85453,0,40,1
215970819,47,Private,68684,9,Married-civ-spouse,Husband,White,Male,0,0,40,1
215970820,73,Private,159007,13,Divorced,Other-relative,White,Female,27503,0,12,1
215970821,73,Private,159007,13,Divorced,Other-relative,White,Female,89601,0,12,1
215970822,30,Private,200246,11,Never-married,Not-in-family,White,Male,51315,0,40,1
215970823,30,Private,200246,11,Never-married,Not-in-family,White,Male,86096,0,40,1
215970824,35,Private,283305,13,Never-married,Not-in-family,White,Female,82204,0,40,1
215970825,35,Private,283305,7,Never-married,Not-in-family,White,Female,33231,0,40,1
215970826,20,Private,471452,10,Never-married,Own-child,White,Male,19896,0,80,1
215970827,20,Private,471452,10,Never-married,Own-child,White,Male,21620,0,30,1
215970828,82,State-gov,109600,14,Married-spouse-absent,Unmarried,White,Female,4787,0,23,0
215970829,52,Local-gov,109600,14,Separated,Unmarried,White,Female,4787,0,44,0
215970830,53,Private,277772,9,Divorced,Unmarried,Black,Male,20907,0,40,1
215970831,53,Self-emp-inc,277772,9,Divorced,Unmarried,Black,Female,28155,0,40,1
215970832,35,Private,219902,9,Married-spouse-absent,Unmarried,Black,Female,46546,0,48,1
215970833,35,Private,219902,9,Separated,Unmarried,Black,Female,99088,0,48,1
215970834,51,Private,231919,7,Married-civ-spouse,Husband,White,Male,22449,0,45,1
215970835,51,Private,231919,11,Married-civ-spouse,Husband,White,Male,0,0,45,1
215970836,69,Private,183513,9,Never-married,Not-in-family,White,Female,89121,0,25,1
215970837,64,Private,183513,9,Never-married,Not-in-family,White,Male,17066,0,25,1
215970838,19,Private,112780,10,Never-married,Own-child,White,Female,99074,0,20,1
215970839,25,Private,112780,10,Never-married,Own-child,White,Female,40288,0,20,1
215970840,26,Private,142506,13,Never-married,Unmarried,Black,Female,88013,0,35,1
215970841,26,Private,142506,13,Never-married,Unmarried,Black,Female,32059,1754,35,1
215970842,19,Private,201743,10,Never-married,Own-child,White,Female,99811,0,80,1
215970843,19,Private,201743,10,Married-civ-spouse,Own-child,White,Female,78277,0,26,1
215970844,27,Private,188941,10,Married-civ-spouse,Husband,White,Male,15398,0,40,1
215970845,27,Private,188941,10,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,34694,0,40,1
215970846,60,Private,225883,10,Widowed,Unmarried,White,Female,58560,0,27,1
215970847,60,Private,225883,10,Widowed,Unmarried,White,Female,19423,0,27,1
215970848,41,Local-gov,125268,13,Never-married,Unmarried,Black,Female,25205,3822,40,1
215970849,41,Local-gov,125268,13,Never-married,Unmarried,Black,Female,47591,0,40,1
215970850,24,Self-emp-not-inc,109307,9,Never-married,Own-child,White,Male,17039,0,45,1
215970851,24,Private,109307,9,Never-married,Own-child,White,Male,93120,0,45,1
215970852,34,Private,236543,10,Never-married,Not-in-family,White,Male,59401,1858,40,1
215970853,49,Private,236543,10,Never-married,Not-in-family,White,Male,49548,1590,40,1
215970854,19,Private,303652,9,Never-married,Unmarried,White,Female,72756,177,30,1
215970855,19,Private,303652,9,Never-married,Unmarried,White,Female,23725,0,30,1
215970856,48,Private,158685,9,Divorced,Not-in-family,White,Female,89904,458,16,1
215970857,48,Private,158685,9,Divorced,Not-in-family,White,Female,76173,0,16,1
215970858,39,Private,328466,7,Married-civ-spouse,Husband,White,Male,79569,0,70,1
215970859,39,Private,328466,16,Married-civ-spouse,Husband,White,Male,2407,833,70,1
215970860,48,Private,85341,13,Married-civ-spouse,Husband,White,Male,0,2557,45,1
215970861,48,Local-gov,85341,13,Married-civ-spouse,Husband,White,Male,56481,0,45,1
215970862,41,State-gov,33474,13,Married-civ-spouse,Husband,White,Male,77850,0,50,1
215970863,41,State-gov,33474,13,Widowed,Husband,White,Male,34936,0,50,1
215970864,29,Private,77322,9,Never-married,Not-in-family,White,Female,54494,0,32,1
215970865,29,Private,77322,9,Never-married,Not-in-family,White,Female,72156,1281,32,1
215970866,28,Private,192591,13,Never-married,Not-in-family,White,Female,65997,218,45,1
215970867,28,Private,192591,13,Never-married,Not-in-family,White,Male,97941,0,45,1
215970868,63,Self-emp-not-inc,163809,10,Widowed,Not-in-family,White,Female,9299,0,20,1
215970869,63,Private,163809,10,Widowed,Not-in-family,White,Female,70636,0,20,1
215970870,33,Private,243674,9,Separated,Not-in-family,White,Male,32270,0,80,1
215970871,69,Private,243674,9,Separated,Not-in-family,White,Male,0,3025,46,1
215970872,47,Local-gov,183486,2,Married-civ-spouse,Other-relative,White,Female,0,0,50,0
215970873,47,Local-gov,183486,13,Married-civ-spouse,Wife,White,Female,0,0,2,0
215970874,23,Private,238917,3,Never-married,Other-relative,White,Male,70493,0,40,0
215970875,73,Private,238917,3,Never-married,Other-relative,White,Male,34477,0,40,1
