,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
887,1,27,delay in paying off in the past,retraining,2442,unknown/no savings account,4,0,male : married/widowed,none,0,building soc. savings agr./life insurance,38,stores,rent,>= 6,manager/self-empl./highly qualif. employee,3 or more,yes (under customer name),no,0
888,1,18,no credits taken/all credits paid back duly,car (used),1553,unknown/no savings account,2,3,male : married/widowed,none,1,building soc. savings agr./life insurance,44,bank,rent,1,skilled employee/official,0 to 2,no,no,1
889,0,12,no credits taken/all credits paid back duly,others,1274,unknown/no savings account,1,1,female : non-single or male : single,none,3,car or other,37,bank,rent,1,unskilled - resident,0 to 2,no,no,0
890,0,12,no credits taken/all credits paid back duly,furniture/equipment,1534,unknown/no savings account,1,3,female : single,guarantor,3,unknown / no property,23,none,for free,1,skilled employee/official,0 to 2,no,no,1
891,2,72,existing credits paid back duly till now,retraining,3448,unknown/no savings account,3,3,male : married/widowed,guarantor,0,unknown / no property,74,none,rent,1,unskilled - resident,0 to 2,no,no,0
892,1,24,no credits taken/all credits paid back duly,others,1285,... >= 1000 DM,3,0,female : non-single or male : single,none,0,real estate,61,none,for free,1,skilled employee/official,0 to 2,no,yes,0
893,2,54,delay in paying off in the past,retraining,9455,... >= 1000 DM,1,1,male : married/widowed,none,0,real estate,58,none,for free,1,skilled employee/official,0 to 2,yes (under customer name),yes,0
894,0,21,no credits taken/all credits paid back duly,car (used),12530,500 <= ... < 1000 DM,2,3,male : married/widowed,none,1,building soc. savings agr./life insurance,26,bank,rent,3-Feb,unskilled - resident,0 to 2,yes (under customer name),no,0
895,1,12,no credits taken/all credits paid back duly,others,652,unknown/no savings account,4,0,male : married/widowed,none,0,car or other,24,none,for free,1,skilled employee/official,0 to 2,no,no,0
896,0,18,existing credits paid back duly till now,car (used),1808,unknown/no savings account,3,0,female : non-single or male : single,none,3,unknown / no property,28,none,rent,>= 6,skilled employee/official,0 to 2,no,no,1
