,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
719,3,18,no credits taken/all credits paid back duly,radio/television,1217,unknown/no savings account,2,3,female : single,none,1,unknown / no property,47,none,rent,1,unskilled - resident,0 to 2,yes (under customer name),no,1
720,2,45,no credits taken/all credits paid back duly,furniture/equipment,2397,100 <= ... <  500 DM,4,1,male : married/widowed,none,2,building soc. savings agr./life insurance,35,bank,rent,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,1
721,2,48,no credits taken/all credits paid back duly,retraining,6416,... >= 1000 DM,4,0,female : non-single or male : single,none,1,real estate,59,none,for free,1,skilled employee/official,0 to 2,no,no,0
722,1,18,no credits taken/all credits paid back duly,repairs,750,500 <= ... < 1000 DM,0,0,female : non-single or male : single,none,3,unknown / no property,27,none,rent,1,unemployed/unskilled - non-resident,0 to 2,yes (under customer name),no,0
723,0,18,all credits at this bank paid back duly,domestic appliances,1190,unknown/no savings account,0,2,female : non-single or male : single,co-applicant,0,real estate,55,none,own,5-Apr,unemployed/unskilled - non-resident,3 or more,no,no,0
724,0,21,all credits at this bank paid back duly,repairs,13634,... <  100 DM,1,2,male : married/widowed,none,3,car or other,37,none,rent,3-Feb,unskilled - resident,0 to 2,no,no,0
725,1,36,all credits at this bank paid back duly,car (used),11947,unknown/no savings account,2,1,female : single,none,2,car or other,46,none,rent,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,0
726,0,12,all credits at this bank paid back duly,furniture/equipment,797,... >= 1000 DM,4,0,female : non-single or male : single,none,1,car or other,33,none,rent,>= 6,unskilled - resident,3 or more,yes (under customer name),no,1
727,1,33,all credits at this bank paid back duly,car (used),4281,100 <= ... <  500 DM,2,3,male : divorced/separated,none,3,building soc. savings agr./life insurance,23,none,rent,3-Feb,skilled employee/official,0 to 2,no,no,1
728,2,30,delay in paying off in the past,retraining,4280,... <  100 DM,2,3,female : non-single or male : single,none,0,building soc. savings agr./life insurance,26,none,rent,3-Feb,unskilled - resident,0 to 2,no,no,1
729,0,12,no credits taken/all credits paid back duly,others,1274,unknown/no savings account,1,1,female : non-single or male : single,none,3,unknown / no property,37,bank,rent,1,unskilled - resident,0 to 2,no,yes,1
730,1,24,critical account/other credits elsewhere,car (new),6615,unknown/no savings account,0,2,male : married/widowed,none,0,real estate,75,bank,own,3-Feb,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,0
731,3,18,no credits taken/all credits paid back duly,car (used),2473,unknown/no savings account,0,0,male : divorced/separated,none,3,building soc. savings agr./life insurance,25,none,rent,1,unemployed/unskilled - non-resident,0 to 2,no,no,1
732,1,72,no credits taken/all credits paid back duly,car (used),601,unknown/no savings account,1,3,female : non-single or male : single,none,1,unknown / no property,23,none,for free,1,unskilled - resident,3 or more,no,no,0
733,0,12,all credits at this bank paid back duly,others,1386,100 <= ... <  500 DM,2,2,female : non-single or male : single,guarantor,2,car or other,26,none,rent,1,skilled employee/official,0 to 2,no,no,1
734,2,24,no credits taken/all credits paid back duly,car (used),15028,100 <= ... <  500 DM,2,1,female : non-single or male : single,none,0,car or other,53,none,rent,1,unskilled - resident,0 to 2,no,no,0
735,0,24,delay in paying off in the past,car (used),14181,100 <= ... <  500 DM,0,3,female : non-single or male : single,none,0,car or other,43,none,rent,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,0
736,2,18,all credits at this bank paid back duly,car (used),1924,unknown/no savings account,1,0,female : non-single or male : single,none,1,unknown / no property,27,none,for free,1,skilled employee/official,0 to 2,no,no,1
737,2,36,no credits taken/all credits paid back duly,others,2714,... >= 1000 DM,2,3,male : married/widowed,none,0,real estate,37,bank,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
738,1,18,no credits taken/all credits paid back duly,car (used),2462,100 <= ... <  500 DM,2,1,male : married/widowed,none,2,building soc. savings agr./life insurance,22,none,rent,1,skilled employee/official,0 to 2,no,no,0
739,2,6,no credits taken/all credits paid back duly,others,14027,unknown/no savings account,3,0,male : married/widowed,none,2,unknown / no property,27,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,0
740,1,36,no credits taken/all credits paid back duly,car (new),8229,unknown/no savings account,2,2,male : married/widowed,none,2,building soc. savings agr./life insurance,26,none,for free,1,skilled employee/official,3 or more,no,no,1
741,2,18,no credits taken/all credits paid back duly,repairs,14140,500 <= ... < 1000 DM,2,0,male : married/widowed,none,0,real estate,61,none,own,1,skilled employee/official,0 to 2,no,no,0
742,3,18,delay in paying off in the past,retraining,4165,unknown/no savings account,2,2,male : married/widowed,none,2,building soc. savings agr./life insurance,36,none,rent,3-Feb,skilled employee/official,3 or more,no,no,0
743,0,12,all credits at this bank paid back duly,furniture/equipment,11987,... >= 1000 DM,0,0,female : non-single or male : single,none,2,unknown / no property,38,bank,rent,3-Feb,unemployed/unskilled - non-resident,0 to 2,yes (under customer name),no,0
744,1,48,all credits at this bank paid back duly,car (new),6331,unknown/no savings account,4,2,male : married/widowed,none,0,real estate,46,none,own,3-Feb,unskilled - resident,0 to 2,yes (under customer name),no,1
745,2,24,no credits taken/all credits paid back duly,car (new),1426,unknown/no savings account,4,0,female : non-single or male : single,none,2,real estate,44,none,own,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,1
746,2,39,no credits taken/all credits paid back duly,others,3186,500 <= ... < 1000 DM,3,2,female : non-single or male : single,none,1,building soc. savings agr./life insurance,20,none,for free,3-Feb,skilled employee/official,0 to 2,no,no,0
747,2,42,no credits taken/all credits paid back duly,business,1155,unknown/no savings account,4,1,female : single,guarantor,1,unknown / no property,23,bank,rent,3-Feb,unskilled - resident,0 to 2,no,no,0
748,0,36,critical account/other credits elsewhere,car (used),2746,100 <= ... <  500 DM,4,0,male : married/widowed,none,0,building soc. savings agr./life insurance,31,bank,rent,1,skilled employee/official,0 to 2,no,no,1
749,2,30,no credits taken/all credits paid back duly,car (used),3441,... <  100 DM,2,2,female : non-single or male : single,co-applicant,0,building soc. savings agr./life insurance,64,bank,rent,1,skilled employee/official,0 to 2,no,no,1
750,2,36,all credits at this bank paid back duly,others,3535,unknown/no savings account,3,0,male : married/widowed,none,0,building soc. savings agr./life insurance,23,none,rent,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,0
751,0,45,no credits taken/all credits paid back duly,retraining,4591,500 <= ... < 1000 DM,2,2,male : married/widowed,none,1,car or other,54,none,rent,5-Apr,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,1
752,1,18,no credits taken/all credits paid back duly,business,3509,unknown/no savings account,3,0,female : non-single or male : single,none,3,unknown / no property,25,none,rent,1,skilled employee/official,0 to 2,no,no,0
753,0,18,no credits taken/all credits paid back duly,furniture/equipment,433,unknown/no savings account,0,1,female : non-single or male : single,co-applicant,0,unknown / no property,55,bank,for free,1,skilled employee/official,0 to 2,no,no,1
754,2,9,no credits taken/all credits paid back duly,car (used),918,unknown/no savings account,2,0,female : non-single or male : single,none,3,car or other,44,none,rent,1,skilled employee/official,0 to 2,no,no,1
755,0,48,all credits at this bank paid back duly,car (used),13915,100 <= ... <  500 DM,1,2,male : divorced/separated,none,0,real estate,49,stores,for free,1,skilled employee/official,0 to 2,no,yes,0
756,2,48,no credits taken/all credits paid back duly,furniture/equipment,6999,unknown/no savings account,3,3,female : single,guarantor,3,real estate,34,none,rent,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,1
757,2,20,critical account/other credits elsewhere,business,526,... <  100 DM,4,1,female : non-single or male : single,none,0,real estate,60,bank,rent,3-Feb,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,0
758,0,48,no credits taken/all credits paid back duly,retraining,7409,unknown/no savings account,0,1,male : married/widowed,none,2,building soc. savings agr./life insurance,37,stores,rent,3-Feb,skilled employee/official,0 to 2,no,no,0
759,1,45,no credits taken/all credits paid back duly,others,1403,unknown/no savings account,2,2,female : non-single or male : single,none,0,building soc. savings agr./life insurance,28,stores,for free,1,skilled employee/official,0 to 2,no,no,0
760,2,5,no credits taken/all credits paid back duly,car (new),9398,unknown/no savings account,1,3,female : single,none,0,unknown / no property,28,none,for free,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,1
761,2,21,critical account/other credits elsewhere,car (new),15659,500 <= ... < 1000 DM,2,3,female : non-single or male : single,none,1,building soc. savings agr./life insurance,26,none,rent,1,skilled employee/official,0 to 2,no,no,0
762,0,36,no credits taken/all credits paid back duly,furniture/equipment,4463,unknown/no savings account,2,0,male : married/widowed,none,2,building soc. savings agr./life insurance,26,none,rent,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,0
763,1,24,all credits at this bank paid back duly,others,1442,unknown/no savings account,3,3,female : non-single or male : single,none,0,building soc. savings agr./life insurance,23,none,for free,3-Feb,skilled employee/official,0 to 2,no,no,1
764,1,48,all credits at this bank paid back duly,others,3713,unknown/no savings account,4,0,male : married/widowed,none,0,real estate,42,bank,own,1,manager/self-empl./highly qualif. employee,0 to 2,no,no,1
765,2,9,all credits at this bank paid back duly,car (new),5129,unknown/no savings account,4,2,female : non-single or male : single,none,0,real estate,74,bank,own,1,manager/self-empl./highly qualif. employee,3 or more,yes (under customer name),no,1
766,2,9,no credits taken/all credits paid back duly,car (used),9034,... <  100 DM,1,0,male : married/widowed,co-applicant,3,real estate,29,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,0
767,3,6,no credits taken/all credits paid back duly,others,3212,... >= 1000 DM,0,3,male : married/widowed,none,2,car or other,23,none,rent,1,unemployed/unskilled - non-resident,0 to 2,yes (under customer name),no,1
768,1,12,no credits taken/all credits paid back duly,car (new),3386,unknown/no savings account,4,2,male : married/widowed,none,0,real estate,35,none,for free,1,skilled employee/official,0 to 2,yes (under customer name),no,1
769,2,36,no credits taken/all credits paid back duly,retraining,13114,unknown/no savings account,2,2,male : married/widowed,none,2,building soc. savings agr./life insurance,35,none,for free,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,0
770,2,15,no credits taken/all credits paid back duly,car (used),13642,unknown/no savings account,1,2,male : married/widowed,none,1,car or other,27,bank,rent,3-Feb,unskilled - resident,0 to 2,no,no,0
771,3,30,no credits taken/all credits paid back duly,others,1330,unknown/no savings account,1,0,male : married/widowed,none,3,unknown / no property,26,bank,rent,1,skilled employee/official,0 to 2,no,no,0
772,2,10,critical account/other credits elsewhere,car (new),9277,... >= 1000 DM,2,1,male : divorced/separated,none,0,real estate,48,none,own,1,skilled employee/official,0 to 2,yes (under customer name),no,0
773,0,24,delay in paying off in the past,car (new),14732,... <  100 DM,3,1,female : non-single or male : single,none,0,building soc. savings agr./life insurance,23,none,rent,1,skilled employee/official,3 or more,no,no,0
774,1,18,no credits taken/all credits paid back duly,furniture/equipment,1936,unknown/no savings account,3,2,female : single,none,0,real estate,50,none,for free,3-Feb,unskilled - resident,0 to 2,no,no,0
775,1,8,no credits taken/all credits paid back duly,retraining,4308,... >= 1000 DM,1,1,female : non-single or male : single,none,0,car or other,24,none,for free,1,skilled employee/official,0 to 2,no,no,1
776,1,30,critical account/other credits elsewhere,car (new),10623,unknown/no savings account,4,1,male : married/widowed,none,0,unknown / no property,38,none,own,5-Apr,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,0
777,0,18,all credits at this bank paid back duly,others,1530,unknown/no savings account,2,1,male : married/widowed,none,3,car or other,32,none,rent,3-Feb,skilled employee/official,0 to 2,no,no,1
