,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,income
32046,48,technician,married,tertiary,no,122,no,no,cellular,25,jun,251,2,318,3,other,0
32047,34,management,single,tertiary,no,250,no,no,cellular,26,aug,927,2,-1,0,unknown,1
32048,41,management,single,secondary,no,0,no,no,cellular,21,sep,624,1,-1,0,unknown,1
32049,34,technician,married,secondary,no,59116,no,no,cellular,11,aug,829,4,-1,0,unknown,1
32050,43,admin.,single,secondary,no,35,no,no,telephone,20,sep,208,1,-1,0,unknown,0
32051,49,blue-collar,divorced,secondary,no,10613,no,yes,cellular,4,feb,62,1,-1,0,unknown,0
32052,46,technician,divorced,secondary,yes,-11,no,no,cellular,11,aug,1237,2,-1,0,unknown,1
32053,33,management,married,tertiary,no,1412,no,no,cellular,4,feb,3322,2,-1,0,unknown,1
32054,45,management,divorced,tertiary,no,-90,yes,no,cellular,29,jan,1390,1,782,1,failure,1
32055,36,entrepreneur,divorced,unknown,no,298,yes,no,unknown,8,may,1210,1,-1,0,unknown,1
32056,48,management,married,unknown,no,7861,no,no,cellular,20,oct,865,1,-1,0,unknown,1
32057,26,management,single,tertiary,no,690,no,no,cellular,5,feb,1469,3,220,0,unknown,1
32058,38,admin.,single,secondary,no,245,yes,yes,cellular,17,apr,743,2,345,2,success,1
32059,30,self-employed,married,tertiary,no,451,no,no,cellular,5,may,1036,1,274,3,failure,1
32060,39,services,married,secondary,no,257,yes,no,cellular,12,jun,1697,1,-1,0,unknown,1
32061,38,blue-collar,married,secondary,no,4771,yes,no,cellular,10,apr,963,1,-1,0,unknown,1
32062,54,retired,divorced,tertiary,no,726,no,no,cellular,28,jan,1218,1,-1,0,unknown,1
32063,38,management,single,tertiary,no,413,no,no,cellular,13,apr,240,1,179,28,failure,0
32064,36,entrepreneur,divorced,tertiary,no,125,yes,no,unknown,6,may,1392,3,-1,0,unknown,1
32065,40,unknown,married,tertiary,no,13669,no,no,cellular,15,oct,951,1,136,8,other,1
32066,35,technician,married,secondary,no,14649,yes,yes,cellular,20,apr,1361,6,-1,0,unknown,1
32067,57,housemaid,married,tertiary,no,3760,yes,no,cellular,17,nov,1070,1,-1,7,unknown,1
32068,31,services,married,secondary,no,-331,yes,no,unknown,23,oct,203,5,337,0,unknown,0
32069,60,retired,married,primary,no,458,yes,no,unknown,16,may,910,1,-1,0,unknown,1
32070,48,entrepreneur,married,tertiary,no,0,no,no,cellular,17,apr,636,2,-1,0,unknown,1
32071,23,retired,single,tertiary,no,82,no,no,cellular,4,may,1106,4,-1,0,unknown,1
32072,36,management,married,tertiary,no,0,no,no,unknown,5,jun,1560,1,-1,0,unknown,1
32073,37,management,married,tertiary,no,3236,no,no,cellular,20,may,201,2,202,5,other,0
32074,33,blue-collar,single,primary,no,-104,yes,no,cellular,15,may,635,10,331,16,other,1
32075,32,technician,married,secondary,no,1247,yes,no,unknown,23,may,913,3,-1,0,unknown,1
32076,41,technician,married,secondary,no,2152,no,no,cellular,30,sep,386,1,121,1,other,0
32077,44,blue-collar,married,secondary,no,4236,yes,no,cellular,12,may,823,3,-1,0,unknown,1
32078,40,blue-collar,divorced,secondary,no,3571,yes,no,cellular,10,jul,2653,1,-1,0,unknown,1
32079,52,blue-collar,married,secondary,no,3165,no,no,unknown,6,may,2653,1,-1,0,unknown,0
32080,27,technician,single,tertiary,no,1526,yes,no,unknown,6,jun,1975,10,-1,0,unknown,1
32081,34,services,married,secondary,no,322,yes,no,cellular,20,apr,1067,3,-1,0,unknown,0
32082,44,admin.,married,tertiary,no,26,yes,no,cellular,21,jul,1548,10,-1,0,unknown,1
32083,39,technician,single,secondary,no,822,yes,yes,cellular,29,may,1437,3,-1,0,unknown,1
32084,31,unemployed,married,tertiary,no,7744,no,no,cellular,26,aug,972,8,-1,0,unknown,1
32085,55,services,married,secondary,no,96,no,no,telephone,30,jul,1341,2,417,0,unknown,1
32086,44,technician,married,secondary,no,0,no,no,telephone,2,jun,517,1,-1,0,unknown,1
32087,49,management,single,tertiary,no,1146,yes,yes,unknown,19,may,1574,4,-1,0,unknown,0
32088,41,blue-collar,married,secondary,no,1521,yes,no,cellular,15,apr,1416,4,-1,0,unknown,1
32089,38,management,single,tertiary,no,0,no,no,cellular,24,jul,1221,1,-1,0,unknown,1
32090,33,management,single,tertiary,no,5145,yes,no,cellular,14,aug,338,1,175,2,success,1
32091,32,blue-collar,divorced,primary,no,4805,no,yes,cellular,4,jul,851,3,-1,0,unknown,1
32092,72,blue-collar,married,primary,no,1014,no,no,cellular,30,jul,261,4,386,0,unknown,1
32093,45,technician,married,secondary,no,1818,no,no,cellular,2,feb,1735,1,241,2,success,1
32094,36,unemployed,married,primary,no,63948,yes,no,cellular,8,may,1559,1,-1,0,unknown,1
32095,37,blue-collar,married,secondary,no,32,yes,no,unknown,20,may,1669,2,-1,0,unknown,0
32096,56,unemployed,married,secondary,no,12,no,yes,cellular,12,oct,1616,3,187,1,failure,0
32097,58,management,divorced,secondary,no,3161,no,no,telephone,8,jul,1456,2,-1,0,unknown,0
32098,36,unemployed,divorced,secondary,no,8267,no,no,unknown,18,jun,1692,2,-1,0,unknown,1
32099,30,management,single,tertiary,no,638,yes,no,cellular,20,sep,483,2,479,6,other,1
32100,34,management,married,tertiary,no,41257,no,no,unknown,4,nov,272,1,-1,0,unknown,1
32101,56,unemployed,divorced,primary,no,802,no,no,telephone,3,feb,258,2,58,0,success,1
32102,34,management,married,tertiary,no,3301,yes,no,cellular,17,jun,485,2,61,4,unknown,0
