,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
8135,49,admin.,married,secondary,no,59950,yes,no,telephone,11,oct,97,1,-1,0,unknown,0
8136,47,entrepreneur,married,secondary,no,71455,no,no,cellular,16,feb,261,2,-1,0,unknown,0
8137,67,management,divorced,secondary,no,5275,no,no,telephone,13,aug,222,4,-1,0,unknown,0
8138,33,blue-collar,single,unknown,no,700,yes,no,cellular,9,feb,126,1,88,1,success,0
8139,82,retired,married,primary,no,243,no,no,cellular,26,jul,132,1,180,2,success,0
8140,46,services,divorced,secondary,no,74,yes,no,unknown,15,may,3094,4,-1,0,unknown,1
8141,30,housemaid,married,tertiary,no,4328,no,no,cellular,30,apr,262,3,189,0,other,0
8142,34,management,single,tertiary,no,2885,no,no,cellular,10,feb,163,2,156,4,other,0
8143,38,management,single,tertiary,no,104,yes,no,cellular,6,may,473,3,-1,0,unknown,0
8144,55,admin.,married,primary,no,8304,no,no,cellular,1,mar,201,1,-1,0,unknown,0
8145,31,management,single,secondary,no,5065,yes,no,cellular,8,jul,326,1,62,1,failure,0
8146,35,blue-collar,single,unknown,no,484,no,no,cellular,8,aug,344,17,87,3,failure,0
8147,36,blue-collar,married,secondary,no,1113,no,no,cellular,1,sep,212,1,-1,0,unknown,0
8148,36,self-employed,married,tertiary,no,506,no,no,unknown,3,nov,217,29,70,2,failure,0
8149,29,admin.,married,secondary,no,1633,no,no,cellular,3,jul,409,7,-1,0,unknown,0
8150,43,blue-collar,divorced,primary,no,0,no,no,cellular,9,jul,519,1,-1,0,unknown,0
8151,33,blue-collar,single,secondary,no,498,yes,no,cellular,12,oct,338,2,104,1,success,0
8152,21,technician,married,tertiary,no,1129,yes,no,unknown,28,may,806,1,-1,0,unknown,0
8153,54,technician,married,secondary,no,2102,yes,no,cellular,31,apr,547,1,325,2,failure,0
8154,59,entrepreneur,married,secondary,no,496,no,no,cellular,22,oct,64,3,183,1,success,0
8155,32,technician,single,secondary,no,116,yes,no,unknown,20,aug,718,2,-1,40,unknown,0
8156,26,blue-collar,married,secondary,no,-11,yes,no,cellular,17,jul,553,3,-1,0,unknown,0
8157,35,management,single,tertiary,no,704,no,no,unknown,21,apr,164,1,-1,22,unknown,0
8158,25,blue-collar,single,secondary,no,509,no,no,cellular,5,mar,135,3,-1,0,unknown,0
8159,26,services,single,tertiary,no,11862,no,no,cellular,13,feb,119,12,-1,0,unknown,0
8160,73,retired,married,primary,no,542,no,yes,cellular,4,oct,355,1,180,5,failure,0
8161,60,retired,married,secondary,no,19116,no,no,cellular,15,jul,981,1,-1,0,unknown,0
8162,42,management,married,tertiary,no,4,yes,no,cellular,8,may,368,2,295,1,success,0
8163,78,retired,divorced,secondary,no,3417,no,no,cellular,12,may,204,1,181,1,other,0
8164,31,management,single,secondary,no,3384,no,no,cellular,16,sep,153,25,104,2,success,0
8165,48,admin.,married,secondary,no,480,yes,no,cellular,15,may,830,9,352,2,failure,0
8166,70,housemaid,divorced,primary,no,1311,no,no,cellular,11,aug,46,1,-1,0,unknown,0
8167,28,admin.,divorced,secondary,no,127,no,no,cellular,16,sep,195,2,-1,0,unknown,0
8168,35,student,single,tertiary,no,62,yes,no,unknown,20,apr,213,3,-1,0,unknown,0
8169,26,blue-collar,single,secondary,no,51190,no,yes,cellular,3,oct,117,1,-1,0,unknown,0
8170,40,management,married,secondary,no,70803,yes,no,unknown,12,jun,577,2,-1,19,unknown,0
8171,31,blue-collar,married,secondary,no,1406,yes,yes,cellular,13,apr,417,2,-1,0,unknown,0
8172,58,unknown,married,unknown,no,1547,no,no,telephone,5,aug,552,4,-1,0,unknown,0
8173,31,self-employed,single,tertiary,no,1815,no,no,telephone,9,feb,168,1,-1,0,unknown,0
8174,29,management,single,unknown,no,1445,no,no,cellular,4,dec,271,2,-1,0,other,0
8175,30,management,single,tertiary,no,147,no,no,cellular,1,jun,993,1,-1,0,unknown,1
8176,38,entrepreneur,married,primary,no,593,yes,yes,cellular,24,jul,449,24,-1,0,unknown,0
8177,33,management,married,tertiary,no,69000,no,no,cellular,6,oct,649,1,-1,0,unknown,0
8178,28,management,single,tertiary,no,730,yes,yes,cellular,3,jul,631,1,-1,0,unknown,0
8179,28,technician,single,secondary,no,29,no,no,unknown,3,jul,671,2,-1,0,unknown,0
8180,34,blue-collar,married,unknown,no,320,yes,no,cellular,12,nov,413,1,530,3,success,0
8181,34,services,married,secondary,no,1337,no,no,cellular,30,aug,442,1,-1,0,unknown,0
8182,60,management,divorced,secondary,no,0,no,no,cellular,23,aug,603,3,544,0,unknown,0
8183,48,admin.,married,secondary,no,3644,yes,yes,telephone,31,jul,693,9,-1,0,unknown,0
8184,31,management,single,tertiary,no,3384,no,no,cellular,22,mar,247,3,187,3,failure,0
8185,76,retired,married,primary,no,3324,yes,no,cellular,13,nov,122,1,626,3,success,0
8186,36,management,single,tertiary,no,43622,no,no,cellular,28,aug,207,8,98,1,failure,0
8187,47,admin.,married,secondary,no,290,yes,no,cellular,22,feb,414,2,-1,0,unknown,0
8188,32,self-employed,single,secondary,no,658,yes,no,cellular,27,apr,283,1,-1,0,unknown,0
8189,42,technician,married,tertiary,no,757,yes,no,cellular,10,feb,154,1,-1,4,unknown,0
8190,35,entrepreneur,married,secondary,no,313,yes,no,cellular,15,jul,479,1,184,0,success,0
8191,50,technician,single,secondary,no,1811,no,no,cellular,8,jun,1392,4,-1,40,unknown,1
8192,60,technician,married,secondary,no,259,no,no,cellular,6,jul,100,1,386,2,success,0
8193,62,self-employed,married,tertiary,no,6,yes,no,cellular,13,oct,216,1,183,4,unknown,0
8194,59,housemaid,married,tertiary,no,0,no,no,telephone,13,nov,209,1,-1,0,unknown,0
8195,27,unemployed,single,secondary,no,7361,yes,no,unknown,28,may,543,2,-1,0,unknown,0
8196,36,management,single,secondary,no,1511,yes,no,cellular,16,nov,361,1,-1,0,unknown,0
8197,32,technician,single,secondary,no,-114,no,no,cellular,12,aug,660,2,-1,0,unknown,1
8198,33,management,married,tertiary,no,2599,no,no,cellular,30,apr,579,9,-1,0,unknown,0
8199,41,self-employed,married,secondary,no,501,no,no,unknown,19,may,579,5,-1,0,unknown,0
8200,34,services,single,tertiary,no,8132,yes,no,unknown,20,may,1353,1,-1,0,unknown,1
8201,35,management,divorced,tertiary,no,42193,no,no,cellular,6,aug,496,2,-1,0,unknown,0
8202,55,unknown,married,secondary,no,3917,yes,no,cellular,30,may,565,1,-1,0,unknown,0
8203,40,management,married,secondary,no,643,yes,no,cellular,17,apr,1468,2,256,1,failure,1
8204,58,management,divorced,tertiary,no,1257,yes,no,cellular,5,aug,513,1,-1,0,unknown,0
8205,48,management,divorced,tertiary,no,78237,yes,no,cellular,1,sep,120,1,98,5,other,0
8206,43,self-employed,single,unknown,no,3173,no,no,unknown,15,may,189,1,-1,0,unknown,0
8207,28,admin.,married,secondary,no,1595,no,no,cellular,9,sep,25,1,254,4,success,0
8208,35,technician,single,tertiary,no,68944,no,no,cellular,13,apr,93,4,182,2,success,0
8209,54,technician,divorced,tertiary,no,2171,yes,yes,telephone,18,nov,264,1,-1,0,unknown,0
8210,26,technician,single,tertiary,no,72233,no,no,cellular,5,may,188,2,-1,0,unknown,0
8211,34,blue-collar,married,secondary,no,1464,yes,no,cellular,28,sep,207,3,130,22,other,0
8212,36,management,divorced,tertiary,no,79735,no,yes,cellular,22,jul,560,7,-1,0,unknown,0
8213,34,retired,married,primary,no,4499,no,no,unknown,21,may,432,1,-1,0,unknown,0
8214,43,retired,married,secondary,no,180,no,no,cellular,15,apr,389,2,-1,0,unknown,0
8215,36,management,single,tertiary,no,1400,yes,no,cellular,11,aug,608,8,-1,0,unknown,0
8216,37,services,married,secondary,no,4017,no,no,cellular,16,oct,130,7,-1,0,unknown,0
8217,30,self-employed,single,tertiary,no,47228,yes,yes,cellular,2,feb,402,1,-1,0,unknown,0
8218,33,unemployed,married,secondary,no,-144,no,no,telephone,30,jul,481,22,-1,0,unknown,0
8219,48,self-employed,married,secondary,no,0,no,no,cellular,29,jan,857,3,-1,0,unknown,0
8220,39,management,divorced,tertiary,yes,224,no,no,cellular,2,jul,194,2,88,1,failure,0
8221,36,technician,single,secondary,no,125,yes,no,telephone,15,may,676,3,167,0,unknown,0
8222,36,admin.,single,secondary,no,11174,yes,no,cellular,15,apr,442,1,-1,0,unknown,0
8223,47,management,married,tertiary,no,1028,no,yes,cellular,17,nov,1231,1,-1,13,unknown,0
8224,60,housemaid,married,unknown,no,2021,no,no,telephone,26,dec,361,1,-1,0,unknown,0
8225,78,services,married,primary,no,1625,no,no,cellular,8,aug,459,2,-1,0,unknown,0
8226,34,management,married,tertiary,yes,589,no,no,cellular,1,feb,300,1,44,3,other,0
8227,52,blue-collar,divorced,unknown,no,-191,yes,no,unknown,15,may,755,1,761,0,unknown,0
8228,36,management,married,tertiary,no,28350,no,no,cellular,2,feb,285,1,-1,0,unknown,0
8229,34,management,married,tertiary,no,3301,yes,no,cellular,6,sep,164,5,92,6,failure,0
8230,44,housemaid,married,primary,no,-156,no,yes,cellular,30,jul,393,11,-1,0,unknown,0
8231,27,self-employed,divorced,tertiary,no,165,yes,no,cellular,6,feb,1160,2,192,4,success,1
8232,48,admin.,divorced,secondary,no,76308,no,no,cellular,2,apr,397,2,-1,12,unknown,0
8233,30,admin.,single,secondary,no,2702,yes,no,cellular,24,jul,712,2,-1,0,unknown,1
8234,47,retired,single,tertiary,no,1225,yes,yes,cellular,29,jan,191,3,227,2,success,1
8235,42,management,single,tertiary,no,47742,yes,yes,unknown,5,may,562,2,55,0,unknown,0
8236,48,management,married,tertiary,no,157,no,no,cellular,28,sep,417,4,302,0,unknown,0
8237,45,blue-collar,married,primary,yes,-443,yes,yes,cellular,20,apr,691,6,-1,2,unknown,0
8238,40,management,single,tertiary,no,3840,yes,no,cellular,24,sep,232,2,310,2,unknown,0
8239,49,management,married,tertiary,no,5887,no,no,unknown,4,dec,439,3,185,0,success,0
8240,26,technician,single,primary,no,1231,yes,no,cellular,3,jun,6,2,96,5,success,0
8241,32,technician,married,secondary,no,-1231,yes,yes,cellular,12,may,614,3,-1,0,unknown,0
8242,29,retired,single,secondary,no,464,no,no,unknown,10,aug,317,2,518,1,failure,0
8243,23,management,married,tertiary,no,926,no,no,cellular,14,apr,216,1,-1,0,unknown,0
8244,33,services,single,secondary,no,2881,no,no,cellular,26,may,10,4,328,1,success,0
8245,55,self-employed,married,secondary,no,2678,no,yes,cellular,18,mar,1211,12,-1,0,unknown,0
8246,30,services,married,unknown,no,29195,no,yes,cellular,10,jul,829,5,-1,0,unknown,0
8247,40,blue-collar,married,secondary,no,1451,yes,no,cellular,30,sep,117,1,121,1,success,0
8248,28,self-employed,single,tertiary,no,442,no,no,cellular,19,jun,121,3,95,3,other,0
8249,56,technician,married,secondary,no,12791,no,no,cellular,8,apr,327,23,-1,0,unknown,0
8250,66,self-employed,single,tertiary,no,22514,no,yes,cellular,27,may,200,1,-1,0,unknown,0
8251,37,services,married,secondary,no,0,yes,no,cellular,12,jul,1148,1,-1,0,unknown,1
8252,49,services,married,secondary,no,388,no,no,telephone,31,jul,720,4,-1,0,unknown,0
8253,31,management,married,tertiary,no,1331,no,no,unknown,29,nov,268,1,-1,0,unknown,0
8254,41,admin.,married,secondary,no,3126,yes,no,cellular,29,dec,222,1,74,7,failure,0
8255,35,blue-collar,married,secondary,no,-701,yes,yes,cellular,7,mar,531,3,-1,0,failure,1
8256,37,management,married,secondary,no,565,no,no,cellular,29,apr,117,1,398,1,success,0
8257,27,student,single,secondary,no,67,no,no,telephone,30,nov,239,1,-1,0,unknown,0
8258,29,technician,married,secondary,no,273,no,no,unknown,4,feb,2775,2,-1,22,unknown,0
8259,71,retired,married,unknown,no,2850,no,no,cellular,4,feb,185,1,-1,0,unknown,0
8260,46,technician,single,tertiary,no,0,no,no,unknown,20,nov,531,1,167,1,failure,0
8261,84,housemaid,married,tertiary,no,1528,no,no,cellular,14,apr,496,11,-1,0,unknown,0
8262,40,self-employed,married,primary,no,1082,yes,yes,unknown,30,may,854,2,-1,0,unknown,0
8263,59,self-employed,married,tertiary,no,2013,no,yes,cellular,11,nov,409,2,-1,0,unknown,0
8264,56,management,married,tertiary,no,616,no,no,cellular,1,apr,225,1,83,1,unknown,0
8265,29,management,single,tertiary,no,1808,yes,no,cellular,7,jul,273,2,433,1,other,0
8266,29,blue-collar,single,secondary,no,734,no,yes,cellular,26,apr,259,1,296,1,other,0
8267,32,technician,married,tertiary,no,862,yes,no,cellular,14,oct,216,1,57,1,failure,0
8268,59,management,divorced,unknown,no,0,no,no,cellular,22,aug,1835,2,-1,0,unknown,1
8269,30,management,married,tertiary,no,944,no,no,cellular,2,oct,251,2,-1,0,unknown,0
8270,32,blue-collar,married,primary,no,2114,yes,no,unknown,17,apr,953,1,-1,0,unknown,1
8271,67,retired,married,secondary,no,1146,no,no,cellular,11,jan,259,1,92,2,failure,0
8272,55,housemaid,married,secondary,no,4235,no,no,cellular,26,aug,973,4,-1,0,unknown,0
8273,57,management,divorced,tertiary,no,8897,yes,no,cellular,12,aug,125,2,532,0,unknown,0
8274,36,management,married,tertiary,no,2987,yes,no,cellular,2,aug,307,1,-1,0,unknown,0
8275,33,technician,single,secondary,no,2979,no,no,telephone,5,aug,326,2,437,6,failure,0
8276,50,management,single,tertiary,no,3,yes,yes,cellular,24,apr,149,1,350,1,success,0
8277,30,unemployed,married,secondary,no,1211,no,no,cellular,11,feb,535,1,188,1,other,0
8278,26,technician,single,secondary,no,941,no,no,cellular,25,jul,784,17,-1,0,unknown,0
8279,31,unemployed,single,secondary,no,582,yes,no,cellular,5,jun,209,2,-1,0,unknown,0
8280,33,blue-collar,divorced,primary,no,390,yes,no,cellular,30,may,665,2,-1,0,unknown,0
8281,40,unemployed,married,tertiary,no,7968,no,no,cellular,12,jun,596,1,-1,0,unknown,0
8282,35,admin.,married,secondary,no,437,yes,no,cellular,17,apr,1001,1,-1,0,unknown,1
8283,36,services,married,secondary,no,52,yes,no,cellular,7,sep,351,13,95,6,unknown,0
8284,24,retired,married,secondary,no,4787,no,no,cellular,28,oct,501,1,-1,0,failure,0
8285,39,management,married,tertiary,no,2939,no,no,cellular,6,oct,25,4,99,3,failure,0
8286,57,blue-collar,married,unknown,no,3585,no,no,cellular,14,nov,172,23,-1,0,unknown,0
8287,50,admin.,married,secondary,no,3608,yes,no,cellular,13,nov,176,10,197,2,other,0
8288,32,services,single,secondary,no,6983,no,no,cellular,7,aug,504,1,-1,0,unknown,0
8289,30,management,single,tertiary,no,697,no,no,cellular,28,apr,27,2,181,8,success,0
8290,37,blue-collar,single,tertiary,no,1000,yes,no,cellular,22,sep,239,1,99,2,other,0
8291,39,management,married,tertiary,no,119,yes,no,telephone,1,sep,265,2,476,4,failure,0
8292,52,services,married,secondary,no,1000,no,no,cellular,5,aug,305,2,-1,0,unknown,0
8293,55,retired,married,secondary,no,1504,yes,yes,cellular,23,nov,761,16,-1,0,unknown,0
8294,50,technician,married,secondary,no,3176,no,no,cellular,7,aug,271,1,-1,17,unknown,0
8295,43,unemployed,married,tertiary,no,53630,no,no,cellular,16,nov,745,1,281,1,failure,0
8296,53,services,divorced,secondary,no,765,yes,no,unknown,14,may,959,3,450,7,other,0
8297,42,management,married,tertiary,no,61573,yes,no,cellular,7,may,479,1,-1,0,unknown,0
8298,46,management,married,secondary,no,368,yes,no,cellular,20,aug,293,1,90,4,other,0
8299,46,technician,single,secondary,no,849,yes,no,unknown,5,jun,508,2,342,0,unknown,0
8300,65,student,single,secondary,no,2046,no,no,telephone,21,apr,263,3,254,1,failure,0
8301,64,retired,divorced,primary,no,315,yes,no,cellular,17,feb,154,1,348,0,unknown,0
8302,52,self-employed,married,secondary,no,3923,yes,no,unknown,22,may,942,3,-1,0,unknown,0
8303,43,blue-collar,single,secondary,no,3,yes,no,telephone,9,may,871,3,-1,0,unknown,0
8304,34,services,married,secondary,no,71513,yes,no,unknown,26,may,682,1,154,0,unknown,0
8305,38,services,married,secondary,yes,775,no,no,cellular,12,feb,1835,3,182,2,other,0
8306,25,services,single,secondary,no,62419,yes,no,unknown,18,may,1063,1,-1,0,unknown,0
8307,38,entrepreneur,married,primary,no,1852,yes,no,cellular,13,jun,606,1,-1,0,unknown,0
8308,41,housemaid,married,secondary,no,68757,no,no,unknown,5,jun,1053,7,-1,0,unknown,0
8309,35,services,single,tertiary,no,0,no,no,cellular,3,feb,704,1,-1,13,unknown,0
8310,34,management,single,tertiary,no,2633,yes,no,cellular,21,nov,406,6,10,0,unknown,0
8311,38,management,single,tertiary,no,8,yes,no,cellular,15,may,603,8,-1,0,unknown,1
8312,32,unemployed,married,secondary,no,783,yes,no,unknown,21,may,923,1,-1,0,unknown,0
8313,24,services,married,secondary,no,367,yes,no,cellular,10,jul,154,4,-1,0,unknown,0
8314,28,technician,single,tertiary,no,11862,no,no,unknown,2,oct,549,2,238,13,other,0
8315,32,self-employed,single,tertiary,yes,386,yes,no,cellular,18,nov,482,15,-1,0,unknown,0
8316,49,technician,married,tertiary,no,1071,yes,no,cellular,17,jun,169,17,-1,0,unknown,0
8317,61,self-employed,married,tertiary,no,10861,no,no,cellular,26,jul,95,2,259,3,success,0
8318,33,technician,married,secondary,no,12027,yes,no,telephone,13,may,669,1,355,4,failure,0
8319,58,services,divorced,secondary,no,462,no,no,cellular,13,nov,495,1,93,14,unknown,0
8320,33,management,married,tertiary,no,4570,yes,no,telephone,22,aug,1258,2,-1,0,unknown,0
8321,58,retired,single,tertiary,no,1411,yes,no,cellular,13,mar,742,2,-1,0,unknown,1
8322,76,retired,married,primary,no,3324,no,no,telephone,13,aug,227,2,107,1,failure,0
8323,59,management,married,tertiary,no,75629,no,no,cellular,22,may,154,1,-1,0,unknown,0
8324,74,services,married,primary,no,1765,no,no,unknown,11,sep,290,2,-1,0,unknown,0
8325,34,housemaid,married,primary,no,2929,no,no,cellular,14,aug,518,8,-1,0,failure,0
8326,42,management,married,tertiary,no,2187,yes,no,cellular,22,nov,525,3,-1,0,failure,0
8327,52,housemaid,married,secondary,no,371,yes,yes,cellular,21,oct,453,1,183,3,unknown,0
8328,55,management,single,tertiary,no,0,no,no,cellular,3,sep,1366,3,187,3,failure,0
8329,25,student,single,secondary,no,154,no,no,cellular,2,sep,120,1,183,3,success,0
8330,45,management,married,tertiary,no,242,no,no,cellular,30,apr,87,1,-1,0,unknown,0
8331,31,management,single,tertiary,no,924,no,no,cellular,5,jun,207,2,433,1,other,0
8332,27,student,single,tertiary,no,3733,no,no,telephone,13,apr,299,6,-1,0,unknown,0
8333,35,unemployed,married,secondary,no,978,no,no,cellular,29,jun,79,2,182,6,success,0
8334,66,retired,married,tertiary,no,3,no,no,cellular,6,aug,258,1,-1,0,unknown,0
8335,60,retired,divorced,secondary,no,514,no,no,telephone,15,oct,187,2,213,10,unknown,0
8336,48,management,married,tertiary,no,4060,no,no,cellular,19,dec,331,2,-1,0,success,1
8337,32,unemployed,divorced,primary,no,0,no,no,cellular,15,jul,652,4,-1,0,unknown,0
8338,27,unemployed,single,primary,no,9,no,yes,cellular,9,jul,208,2,-1,0,unknown,0
8339,46,management,divorced,primary,no,357,yes,yes,unknown,19,may,1258,2,-1,0,unknown,1
8340,56,admin.,married,secondary,no,602,no,yes,cellular,14,jun,458,1,130,8,failure,0
8341,33,services,married,secondary,no,207,yes,no,cellular,14,may,563,4,-1,0,unknown,0
8342,44,management,married,tertiary,no,6203,yes,yes,unknown,21,oct,129,1,-1,0,unknown,1
8343,48,admin.,married,secondary,no,-160,no,yes,cellular,18,jul,1806,3,-1,0,unknown,1
8344,29,management,married,tertiary,no,1387,yes,no,unknown,18,may,256,20,-1,0,unknown,0
8345,29,management,single,tertiary,no,1687,no,no,cellular,29,jan,226,2,-1,0,unknown,0
8346,35,admin.,divorced,secondary,no,3636,no,yes,cellular,21,nov,272,2,-1,0,unknown,0
8347,53,student,single,secondary,no,2488,no,no,cellular,30,jun,258,6,169,3,failure,0
8348,46,unknown,divorced,tertiary,no,21,no,no,cellular,30,jul,566,4,-1,0,unknown,0
8349,32,management,married,tertiary,no,46979,yes,yes,cellular,23,feb,61,1,384,2,failure,0
8350,51,blue-collar,married,primary,no,3764,no,yes,telephone,9,mar,450,3,181,6,unknown,0
8351,37,management,married,secondary,no,5447,yes,yes,cellular,17,nov,148,22,-1,0,unknown,0
8352,44,admin.,married,secondary,no,1074,yes,no,cellular,11,jul,119,1,-1,0,unknown,0
8353,77,retired,divorced,secondary,no,0,no,no,cellular,25,sep,210,29,-1,0,success,0
8354,61,retired,married,tertiary,no,3140,yes,yes,telephone,6,aug,232,4,98,1,unknown,0
8355,28,admin.,single,secondary,no,2290,yes,no,cellular,18,may,473,1,-1,0,unknown,0
8356,47,retired,divorced,unknown,no,973,no,no,cellular,27,may,28,1,479,1,failure,0
8357,52,technician,married,tertiary,yes,2557,no,no,cellular,28,jan,134,5,94,2,success,0
8358,38,management,single,tertiary,no,623,no,no,unknown,20,jun,297,4,144,4,other,0
8359,74,retired,single,secondary,no,921,no,no,telephone,17,apr,105,2,-1,0,unknown,0
8360,53,admin.,married,secondary,no,1373,no,no,cellular,5,aug,649,2,-1,0,unknown,1
8361,44,admin.,single,unknown,no,323,yes,no,cellular,28,jul,332,2,181,2,failure,0
8362,34,management,married,tertiary,yes,2287,yes,no,unknown,26,may,219,4,-1,0,unknown,0
8363,40,entrepreneur,divorced,secondary,no,2998,yes,no,cellular,21,feb,623,3,-1,0,unknown,0
8364,29,unemployed,single,tertiary,no,497,yes,yes,cellular,18,may,642,3,298,6,failure,0
8365,57,technician,married,secondary,no,93,no,no,unknown,9,jun,946,2,-1,19,unknown,1
8366,36,management,single,tertiary,no,2944,no,no,unknown,18,aug,882,8,-1,0,success,0
8367,35,technician,single,secondary,no,4645,yes,no,cellular,11,sep,502,3,270,40,failure,0
8368,41,management,divorced,primary,no,-233,yes,no,unknown,15,may,586,2,-1,0,unknown,0
8369,26,blue-collar,single,primary,no,409,yes,no,cellular,26,may,577,2,-1,0,unknown,0
8370,36,entrepreneur,single,tertiary,no,994,no,no,cellular,5,feb,195,1,176,11,failure,0
8371,27,management,divorced,tertiary,no,151,yes,no,cellular,16,jul,496,1,-1,19,unknown,0
8372,50,student,single,secondary,no,0,no,no,cellular,6,feb,271,6,-1,0,unknown,0
8373,45,management,single,tertiary,no,42642,yes,no,cellular,18,oct,310,1,52,1,failure,0
8374,27,unemployed,single,secondary,no,771,yes,no,cellular,21,nov,181,1,302,3,other,0
8375,90,blue-collar,married,secondary,no,154,yes,no,unknown,7,sep,1138,1,-1,0,unknown,0
8376,28,retired,single,tertiary,no,5741,no,no,cellular,10,sep,145,5,200,3,failure,0
8377,34,technician,divorced,tertiary,yes,674,yes,no,cellular,25,aug,587,2,-1,0,unknown,0
8378,51,blue-collar,married,primary,no,201,yes,no,cellular,20,jul,582,29,-1,0,unknown,0
8379,35,blue-collar,married,secondary,no,698,yes,yes,unknown,12,sep,1343,3,-1,0,unknown,0
8380,64,housemaid,divorced,primary,no,221,no,no,cellular,2,feb,1290,1,235,1,failure,1
8381,41,self-employed,married,tertiary,no,0,yes,no,telephone,29,apr,395,3,185,1,other,0
8382,62,retired,married,secondary,no,569,yes,no,cellular,4,feb,94,5,184,1,failure,0
8383,92,management,married,tertiary,no,255,no,no,cellular,25,aug,118,6,95,4,success,0
8384,36,management,married,tertiary,no,-959,yes,no,cellular,9,apr,555,2,-1,0,unknown,0
8385,32,management,married,tertiary,no,6138,yes,no,cellular,29,jul,519,2,90,9,unknown,0
8386,52,blue-collar,married,secondary,no,955,no,yes,cellular,17,dec,301,2,134,4,failure,0
8387,57,unemployed,married,tertiary,no,209,no,no,cellular,23,jun,453,1,-1,0,unknown,1
8388,57,technician,married,secondary,no,629,yes,no,unknown,14,may,226,2,-1,9,success,1
8389,36,admin.,single,tertiary,no,364,no,yes,cellular,31,aug,35,1,123,1,failure,0
8390,44,services,married,secondary,no,51,yes,yes,unknown,27,may,345,2,-1,0,unknown,0
8391,53,blue-collar,married,secondary,no,1777,yes,no,cellular,21,nov,210,5,154,1,failure,0
8392,31,management,divorced,tertiary,no,373,no,no,cellular,10,jun,132,6,-1,0,unknown,0
8393,29,student,single,primary,no,10332,no,no,cellular,2,aug,46,3,-1,0,unknown,0
8394,37,housemaid,married,secondary,no,208,no,no,cellular,13,may,990,1,-1,0,unknown,1
8395,32,management,married,primary,no,1388,yes,no,cellular,23,apr,753,1,-1,0,unknown,0
8396,25,management,single,tertiary,no,1,yes,no,cellular,13,may,764,5,504,0,unknown,1
8397,31,management,single,tertiary,no,296,no,yes,cellular,8,jul,303,4,-1,0,unknown,0
8398,29,self-employed,single,tertiary,no,655,no,no,cellular,23,nov,273,1,-1,6,unknown,0
8399,51,blue-collar,married,primary,no,603,yes,no,unknown,24,jul,853,2,334,0,unknown,0
8400,55,entrepreneur,married,primary,no,2587,no,no,cellular,4,sep,328,2,94,2,unknown,0
8401,53,retired,divorced,secondary,no,38,yes,no,cellular,17,nov,1516,1,-1,0,unknown,1
8402,33,self-employed,single,tertiary,no,59650,yes,no,unknown,5,may,955,2,-1,0,unknown,0
8403,35,management,single,tertiary,no,565,yes,no,unknown,30,may,445,1,181,0,unknown,0
8404,34,student,married,tertiary,no,3,yes,yes,cellular,11,feb,331,1,-1,0,unknown,0
8405,36,technician,married,tertiary,no,341,no,no,cellular,7,aug,282,1,-1,0,unknown,0
8406,52,retired,single,primary,no,1629,no,no,telephone,1,jun,957,1,-1,0,unknown,1
8407,28,self-employed,single,tertiary,no,159,no,no,unknown,16,nov,51,2,33,4,success,0
8408,44,student,single,secondary,no,372,no,no,telephone,15,jul,444,3,-1,0,unknown,0
8409,23,student,single,unknown,no,-927,yes,no,unknown,28,may,664,2,-1,0,unknown,0
8410,37,admin.,divorced,secondary,no,3834,yes,no,unknown,21,may,1110,1,-1,0,unknown,1
8411,34,management,married,tertiary,no,676,no,no,telephone,21,sep,486,1,-1,0,unknown,0
8412,40,services,married,primary,no,-9,yes,no,unknown,15,may,16,2,-1,0,unknown,0
8413,37,admin.,single,tertiary,no,1000,yes,no,cellular,15,jun,146,29,90,1,success,0
8414,82,retired,divorced,unknown,no,0,no,no,telephone,15,mar,144,2,195,1,other,0
8415,59,retired,married,primary,no,0,no,no,cellular,17,mar,192,1,-1,0,unknown,1
8416,33,services,married,tertiary,no,1304,yes,no,cellular,18,may,536,2,-1,0,unknown,0
8417,34,admin.,married,secondary,no,124,yes,no,telephone,14,may,76,4,366,2,other,0
8418,35,blue-collar,married,secondary,no,5639,yes,no,cellular,20,nov,15,2,-1,0,unknown,0
8419,35,housemaid,single,primary,no,23804,no,no,unknown,5,jun,522,3,-1,0,unknown,0
8420,43,housemaid,single,primary,no,800,yes,no,cellular,13,may,325,1,-1,0,unknown,0
8421,43,technician,single,tertiary,no,2643,no,yes,telephone,4,may,331,5,-1,0,unknown,0
8422,25,services,single,tertiary,no,12,no,no,unknown,12,oct,126,6,-1,0,unknown,0
