,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
5423,35,entrepreneur,married,secondary,no,313,yes,no,cellular,15,mar,479,1,-1,0,unknown,1
5424,35,entrepreneur,married,secondary,no,313,yes,no,cellular,15,jul,2453,1,-1,0,unknown,1
5425,46,management,married,tertiary,no,1600,yes,yes,cellular,11,aug,63,1,-1,0,unknown,0
5426,46,management,married,tertiary,no,1600,yes,yes,cellular,11,aug,390,1,-1,0,unknown,0
5427,36,technician,married,primary,no,1354,no,no,cellular,7,sep,281,3,97,2,other,0
5428,36,technician,married,tertiary,no,1354,no,no,cellular,7,sep,121,3,97,2,success,0
5429,35,management,single,tertiary,no,0,no,no,cellular,14,jan,187,7,-1,0,unknown,0
5430,39,technician,single,tertiary,no,0,no,no,cellular,14,jan,187,4,-1,0,unknown,0
5431,41,blue-collar,married,primary,no,14954,yes,no,unknown,15,may,623,1,-1,0,unknown,0
5432,41,blue-collar,married,primary,no,2453,yes,no,telephone,15,may,371,1,-1,0,unknown,0
5433,45,technician,divorced,secondary,no,2657,no,no,cellular,7,aug,335,3,-1,0,other,0
5434,45,technician,divorced,unknown,no,2657,no,no,cellular,7,aug,358,3,-1,0,unknown,0
5435,22,blue-collar,single,primary,no,52,yes,no,unknown,24,oct,528,2,-1,0,unknown,0
5436,25,management,single,primary,no,33120,yes,no,unknown,24,jun,528,2,-1,0,unknown,0
5437,35,unemployed,single,tertiary,no,415,no,no,cellular,4,aug,462,1,126,4,unknown,0
5438,35,unemployed,single,tertiary,no,415,no,no,cellular,4,aug,32,1,92,4,success,0
5439,68,management,divorced,tertiary,no,254,no,no,cellular,18,aug,1576,12,-1,0,unknown,0
5440,31,management,divorced,tertiary,no,254,no,no,cellular,18,aug,169,8,-1,0,unknown,0
5441,41,entrepreneur,married,secondary,no,707,no,no,unknown,18,jun,190,1,-1,9,unknown,0
5442,41,entrepreneur,married,primary,no,707,no,no,unknown,18,jun,707,1,-1,14,unknown,0
5443,37,management,single,tertiary,no,2178,no,no,cellular,4,may,384,2,-1,0,unknown,0
5444,39,management,single,tertiary,no,3141,no,no,cellular,14,may,384,2,-1,0,unknown,0
5445,47,technician,single,secondary,no,1101,yes,no,telephone,23,jul,672,3,-1,0,unknown,0
5446,47,blue-collar,single,secondary,no,1101,no,no,cellular,23,jul,957,3,-1,0,unknown,0
5447,37,technician,single,tertiary,no,3943,no,no,cellular,6,apr,225,2,138,1,failure,0
5448,37,technician,single,tertiary,no,3943,yes,no,cellular,15,apr,1138,2,138,1,failure,0
5449,59,management,divorced,tertiary,no,258,yes,no,telephone,29,sep,266,1,-1,0,unknown,0
5450,59,self-employed,divorced,tertiary,no,258,yes,no,telephone,29,oct,266,4,-1,0,unknown,0
5451,77,retired,married,unknown,no,18181,no,yes,telephone,20,oct,373,1,-1,0,unknown,0
5452,56,retired,married,unknown,no,1807,no,no,telephone,20,oct,373,1,-1,0,unknown,0
5453,37,management,married,secondary,no,5447,no,yes,unknown,17,nov,1789,1,-1,0,unknown,0
5454,37,management,married,secondary,no,50246,yes,yes,cellular,17,nov,523,1,-1,0,unknown,0
5455,37,management,married,secondary,no,2987,yes,no,unknown,15,feb,93,1,91,9,failure,0
5456,37,management,married,unknown,no,2987,yes,no,telephone,15,feb,93,1,91,9,failure,0
5457,90,retired,married,secondary,no,1,no,no,cellular,13,feb,152,3,-1,13,unknown,0
5458,53,retired,divorced,secondary,no,1,no,no,cellular,13,feb,126,3,-1,0,unknown,0
5459,36,management,single,tertiary,no,7506,yes,no,cellular,6,may,420,2,188,1,failure,0
5460,36,management,single,tertiary,no,7506,yes,no,cellular,6,may,124,2,188,1,unknown,0
5461,53,management,married,tertiary,no,349,no,no,cellular,7,aug,1032,2,-1,0,unknown,1
5462,53,management,married,tertiary,no,349,no,no,cellular,7,aug,1584,2,-1,0,unknown,1
5463,51,technician,married,secondary,no,7180,yes,no,unknown,14,may,694,1,-1,0,unknown,0
5464,51,blue-collar,married,secondary,no,80757,yes,no,unknown,14,may,442,1,-1,0,unknown,0
