,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,income
32246,37,technician,married,tertiary,no,122,no,no,telephone,25,jun,266,2,461,3,other,0
32247,37,technician,married,tertiary,no,122,no,no,cellular,25,mar,266,38,318,3,other,0
32248,34,management,single,tertiary,no,250,yes,no,cellular,26,aug,778,2,-1,0,unknown,1
32249,34,management,single,tertiary,no,250,yes,no,cellular,26,aug,1223,2,-1,0,unknown,1
32250,41,management,married,secondary,no,0,no,no,cellular,21,nov,624,1,114,0,success,1
32251,41,management,married,secondary,no,0,no,no,cellular,21,nov,1359,1,-1,0,unknown,1
32252,34,technician,married,secondary,no,268,no,no,cellular,11,aug,1165,4,-1,0,unknown,1
32253,34,technician,married,secondary,no,268,no,no,cellular,11,jul,1110,4,-1,0,unknown,1
32254,43,admin.,single,secondary,no,42937,no,no,telephone,9,mar,208,1,-1,0,unknown,1
32255,43,admin.,single,secondary,no,35,no,no,cellular,9,mar,208,1,-1,0,unknown,1
32256,49,blue-collar,divorced,secondary,no,10613,no,no,unknown,4,feb,1226,1,-1,0,unknown,0
32257,41,blue-collar,divorced,secondary,no,10613,no,yes,cellular,4,feb,321,1,-1,0,unknown,0
32258,46,technician,divorced,secondary,yes,-11,no,no,cellular,11,aug,717,2,-1,0,unknown,1
32259,46,technician,divorced,secondary,yes,-11,no,no,cellular,11,aug,1088,2,-1,0,unknown,1
32260,33,management,married,tertiary,no,1412,no,no,cellular,6,feb,1687,2,-1,0,unknown,1
32261,33,management,married,tertiary,no,14663,no,no,cellular,6,feb,1303,2,-1,0,unknown,1
32262,45,management,divorced,tertiary,no,-90,yes,no,cellular,6,jan,1238,1,192,1,failure,1
32263,45,blue-collar,divorced,tertiary,no,-90,yes,no,cellular,29,jan,1468,1,192,1,failure,0
32264,36,entrepreneur,married,unknown,no,298,yes,no,cellular,8,may,884,1,-1,0,unknown,1
32265,36,entrepreneur,married,unknown,no,298,yes,no,unknown,29,oct,215,1,-1,0,unknown,1
32266,48,management,married,unknown,no,7861,no,no,cellular,4,nov,380,1,-1,0,success,1
32267,48,management,married,unknown,no,7861,no,no,cellular,20,nov,380,1,-1,11,success,1
32268,26,management,single,tertiary,no,690,no,no,cellular,5,feb,1973,3,-1,0,unknown,1
