,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
29,38,admin.,married,secondary,no,1767,yes,no,cellular,12,nov,700,7,397,0,unknown,0
30,32,student,single,secondary,no,1536,no,no,cellular,7,aug,289,2,-1,0,unknown,0
31,35,management,single,tertiary,no,3671,no,no,cellular,17,aug,343,2,-1,1,failure,0
32,48,management,married,tertiary,no,4060,no,no,cellular,19,aug,700,2,-1,0,unknown,1
33,29,entrepreneur,single,tertiary,no,697,no,no,telephone,4,feb,206,1,-1,0,unknown,0
34,64,housemaid,married,unknown,no,2645,no,no,telephone,3,aug,206,2,-1,0,unknown,0
35,53,entrepreneur,married,tertiary,no,27,no,no,telephone,10,sep,230,3,-1,0,unknown,0
36,29,management,single,tertiary,no,765,no,no,telephone,16,nov,238,1,-1,0,unknown,0
37,36,technician,single,unknown,no,2511,yes,no,cellular,16,apr,289,5,-1,0,unknown,0
38,34,management,married,tertiary,no,3050,yes,no,cellular,17,may,469,3,-1,0,unknown,0
