,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,income
32846,37,technician,married,tertiary,no,122,no,no,cellular,25,jan,266,29,318,3,other,0
32847,37,technician,married,tertiary,no,122,no,yes,cellular,25,jun,266,36,318,3,other,0
32848,37,unknown,married,tertiary,no,122,yes,no,cellular,25,jun,266,2,318,3,other,0
32849,34,management,single,tertiary,no,250,no,no,cellular,26,aug,1030,2,-1,0,unknown,1
32850,34,management,single,tertiary,no,250,no,no,cellular,26,aug,1040,2,-1,0,unknown,1
32851,34,management,single,tertiary,no,250,no,no,cellular,26,aug,958,2,-1,0,unknown,1
32852,41,management,married,secondary,no,0,no,no,cellular,21,nov,1159,1,-1,0,unknown,1
32853,74,management,married,secondary,no,0,no,no,cellular,21,nov,624,1,-1,16,unknown,1
32854,41,management,married,secondary,no,0,no,no,cellular,21,nov,624,1,386,17,unknown,1
32855,47,technician,married,secondary,no,268,no,no,cellular,11,aug,820,4,-1,0,unknown,1
32856,34,technician,married,secondary,no,268,no,no,cellular,11,aug,820,4,-1,0,unknown,1
32857,34,technician,married,secondary,no,268,no,no,cellular,5,aug,647,4,-1,0,unknown,0
32858,43,self-employed,single,secondary,no,35,no,no,telephone,9,mar,208,1,-1,0,unknown,1
32859,22,student,single,secondary,no,35,no,no,telephone,9,nov,208,1,-1,0,unknown,1
32860,43,admin.,single,secondary,no,35,no,no,unknown,9,nov,1970,1,-1,0,unknown,0
32861,49,entrepreneur,divorced,secondary,no,10613,no,yes,cellular,4,feb,515,1,-1,0,unknown,0
32862,49,blue-collar,divorced,secondary,no,10613,no,yes,cellular,4,apr,295,1,-1,0,unknown,0
32863,49,blue-collar,married,secondary,no,10613,no,yes,cellular,4,feb,1226,31,-1,0,unknown,0
32864,46,technician,divorced,secondary,yes,-11,no,no,cellular,11,aug,1502,2,-1,0,failure,1
32865,46,technician,married,secondary,yes,-11,no,no,cellular,11,aug,1386,2,-1,0,unknown,1
32866,46,technician,divorced,secondary,yes,-11,no,no,cellular,11,oct,570,2,-1,0,unknown,1
32867,33,management,divorced,tertiary,no,1412,no,no,cellular,6,feb,967,2,-1,0,unknown,1
32868,33,management,married,tertiary,no,2502,no,no,cellular,6,feb,1226,2,-1,0,unknown,1
32869,33,management,married,primary,no,1412,no,no,cellular,6,feb,1144,2,-1,0,unknown,1
32870,45,management,divorced,tertiary,no,-90,yes,no,cellular,29,jan,419,1,484,1,failure,1
