,ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_payment
360761,4937,20000,1,2,2,24,-1,-1,1,-1,-1,-2,390,390,390,780,306594,0,390,390,198668,0,107071,482745,0
360762,11765,20000,1,1,2,24,-1,-1,5,-1,-1,-2,390,390,390,825878,0,740146,390,390,369759,0,0,472504,0
360763,4937,20000,1,2,2,24,-1,-1,1,-1,-1,-2,390,390,390,780,306594,0,390,390,198668,0,107071,482745,1
360764,4937,20000,1,2,2,24,-1,-1,1,-1,-1,2,390,390,390,780,306594,0,390,390,198668,0,107071,482745,1
360765,4937,20000,1,1,2,66,6,-1,-1,-1,-1,3,390,390,390,819885,847888,0,390,390,780,0,15722,414735,0
360766,4937,20000,2,1,2,24,-1,-1,-1,-1,-1,4,717783,390,611288,810903,0,-4718,390,390,740966,0,0,150621,0
360767,26638,20000,1,1,3,69,6,-1,-1,-1,-2,-2,390,390,467472,578852,0,0,591353,390,87468,0,0,0,0
360768,4937,20000,1,1,2,24,7,6,0,-1,-1,-2,390,11351,97436,857416,366337,315825,390,390,592340,0,0,0,1
360769,1761,742198,1,6,2,24,-1,2,-1,-1,3,-2,918286,390,390,860570,786301,0,390,390,780,0,185887,157538,0
360770,10507,20000,1,1,2,24,-1,-1,-1,6,-1,8,390,390,390,780,77798,0,390,390,686977,0,271318,386899,0
360771,10853,20000,1,5,2,48,3,5,-1,-1,5,2,390,390,782634,780,827038,171051,779567,390,780,618478,0,0,0
360772,26638,20000,1,1,3,69,6,-1,-1,-1,-2,-2,413678,390,467472,578852,0,0,591353,390,87468,0,142876,0,0
360773,1761,742198,1,6,2,24,-1,2,-1,4,3,-2,918286,390,390,860570,786301,0,390,390,780,0,185887,157538,0
360774,4937,20000,2,5,2,61,5,0,1,4,-1,-2,-81830,390,390,387635,53893,-105010,390,390,245513,0,253593,0,1
360775,14141,20000,1,2,2,61,-2,-1,5,-1,-1,5,-44069,793502,390,514407,0,0,390,390,189559,0,32485,0,0
360776,15529,220648,2,1,2,26,-1,3,8,6,-1,-2,659107,390,692400,574283,566688,0,390,390,780,0,399146,0,1
360777,1761,742198,1,6,3,24,-1,2,-1,4,3,-2,918286,390,390,860570,786301,0,390,390,780,0,185887,157538,1
360778,4937,678620,1,1,3,38,1,7,3,-1,0,-2,930258,390,508209,840353,0,0,631656,390,780,0,205792,222971,1
360779,4937,20000,1,3,2,24,6,-1,-1,4,6,5,216779,390,733094,130640,0,383869,579512,390,835504,0,0,0,0
360780,4937,331434,1,3,2,24,-1,5,-1,-1,-1,-2,32368,390,623965,440860,0,708810,418539,390,534705,0,228841,0,0
360781,4937,20000,1,1,2,24,7,6,0,0,-1,-2,390,11351,97436,857416,366337,315825,390,390,592340,0,0,0,0
360782,17483,20000,1,2,2,32,-1,2,-1,-1,2,3,656790,697609,127876,609982,88485,0,390,390,780,0,0,217162,0
360783,4947,597464,1,1,2,79,-1,-1,-1,8,4,2,-138855,390,390,780,0,879863,390,847575,780,0,303208,331583,1
360784,4937,20000,1,0,3,25,6,-1,-1,-1,-1,-1,390,562303,390,-73505,-6119,-125935,390,390,671951,0,372354,245934,1
360785,1761,742198,1,6,3,24,-1,2,-1,4,3,-2,918286,390,390,860570,786301,650082,390,390,780,0,185887,157538,0
360786,4937,20000,2,0,3,24,-2,-1,-1,-1,2,-2,390,390,390,891536,767831,0,390,390,534986,0,313815,407564,1
360787,4937,678620,1,1,3,38,1,7,3,1,0,-2,930258,390,508209,840353,0,0,631656,390,780,0,205792,222971,1
360788,14141,20000,1,2,3,61,-2,-1,5,-1,-1,5,-44069,793502,390,514407,0,0,390,390,189559,0,32485,0,1
360789,4937,331434,1,3,2,24,-1,5,-1,-1,6,-2,32368,390,623965,440860,0,708810,418539,390,534705,0,228841,0,1
360790,4937,20000,1,0,3,25,6,-1,-1,1,-1,-1,390,562303,390,-73505,-6119,-125935,390,390,671951,0,372354,245934,1
