,A15,A14,A13,A12,A11,A10,A9,A8,A7,A6,A5,A4,A3,A2,A1,A16
760080,83837,228.0,g,f,0,f,t,0.5,h,d,g,u,13.0,29.25,b,1
760081,0,228.0,g,t,0,f,t,0.5,h,d,g,u,13.0,29.25,b,1
760082,0,228.0,g,f,0,f,t,9.5,h,d,g,u,13.0,29.25,b,1
760083,0,228.0,g,f,0,f,t,0.5,h,r,g,u,13.0,29.25,b,0
760084,94044,0.0,g,f,0,f,t,0.04,v,m,p,y,0.04,31.83,b,1
760085,70272,0.0,g,f,0,f,t,0.04,v,m,p,y,0.04,31.83,b,1
760086,0,0.0,g,f,0,f,t,0.04,v,m,p,y,0.04,15.1,b,0
760087,10421,0.0,g,f,0,f,t,0.04,v,m,p,y,0.04,31.83,b,1
760088,0,199.3,s,f,1,t,f,14.4,v,e,g,u,0.04,41.0,b,0
760089,0,560.0,s,f,1,t,f,8.9,v,ff,g,u,0.04,41.0,b,0
760090,0,560.0,s,t,1,t,f,0.04,v,e,g,u,11.66,41.0,b,0
760091,0,213.6,s,f,1,t,f,0.04,v,e,g,u,0.04,41.0,b,0
760092,0,163.0,g,t,0,f,t,8.8,h,w,g,u,1.75,34.25,b,1
760093,92741,163.0,g,t,0,f,t,0.25,bb,w,g,u,1.75,34.25,b,1
760094,35758,163.0,g,t,0,f,t,0.25,bb,m,g,u,1.75,34.25,b,1
760095,57004,163.0,g,t,0,f,t,0.25,bb,w,g,u,1.75,34.25,b,1
760096,0,204.0,g,f,6,t,f,4.25,v,m,g,u,2.75,36.4,b,0
760097,0,204.0,g,f,6,t,f,4.25,v,m,g,u,17.6,33.58,b,0
760098,0,204.0,g,f,6,t,f,4.25,dd,m,g,u,2.75,33.58,b,0
760099,0,204.0,g,f,6,t,f,4.25,v,m,g,u,10.48,33.58,b,0
760100,44,300.0,g,f,10,f,f,0.375,v,cc,g,u,6.12,33.67,a,0
760101,44,300.0,g,f,0,f,f,17.1,v,aa,g,u,0.375,33.67,a,0
760102,44,300.0,g,f,35,f,f,0.375,v,cc,g,u,16.66,33.67,a,0
760103,44,300.0,g,f,0,f,f,14.5,v,cc,g,u,0.375,33.67,a,0
760104,4208,100.0,g,t,63,f,t,0.085,ff,ff,g,u,2.5,23.08,b,1
760105,4208,1824.2,g,t,0,f,t,0.085,ff,ff,g,u,2.5,23.08,b,1
760106,4208,100.0,g,t,0,f,t,0.085,ff,ff,g,y,2.5,23.08,b,1
760107,4208,100.0,g,t,0,f,t,19.7,ff,ff,g,u,2.5,23.08,b,1
760108,2668,140.0,g,t,3,t,t,1.375,h,c,p,y,1.25,20.67,b,1
760109,210,140.0,g,f,3,t,t,1.375,h,c,p,y,1.25,72.61,b,1
760110,210,140.0,g,t,3,t,t,1.375,h,c,p,y,1.25,33.45,b,0
760111,210,140.0,g,t,3,t,t,1.375,n,c,p,y,15.32,20.67,b,1
760112,5800,400.0,s,t,0,f,f,0.04,v,w,g,u,2.04,37.42,b,0
760113,5800,400.0,g,t,0,f,f,0.04,v,j,g,u,2.04,37.42,b,0
760114,5800,400.0,g,t,0,f,f,18.3,v,w,g,u,2.04,37.42,b,0
760115,5800,400.0,g,t,0,f,f,0.04,v,w,g,u,18.39,37.42,b,0
760116,15287,0.0,g,t,0,f,t,1.25,h,k,p,y,12.5,26.17,b,1
760117,98692,0.0,g,t,0,f,t,1.25,h,k,p,y,12.5,26.17,b,1
760118,17,0.0,g,t,0,f,t,1.25,h,e,p,y,12.5,26.17,b,0
760119,17,0.0,g,t,0,t,t,1.25,h,k,p,y,12.5,26.17,b,1
760120,13212,0.0,g,f,0,f,f,0.0,z,e,p,y,14.29,28.08,a,0
