,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
37979,39,Without-pay,198841,14,Married-civ-spouse,Husband,White,Male,3682,0,45,0
37980,39,Private,198841,14,Married-civ-spouse,Husband,White,Male,5076,0,45,0
37981,26,Private,139992,13,Married-spouse-absent,Not-in-family,White,Female,54852,0,40,1
37982,26,Private,139992,13,Married-civ-spouse,Not-in-family,White,Female,24935,0,40,1
37983,20,Without-pay,355954,10,Married-civ-spouse,Husband,White,Male,0,0,60,0
37984,24,Private,355954,10,Married-civ-spouse,Husband,White,Male,0,2162,60,0
37985,31,Private,473133,14,Never-married,Other-relative,White,Male,5178,0,40,0
37986,31,Private,473133,14,Married-civ-spouse,Not-in-family,White,Male,2882,0,40,0
37987,24,Private,322674,12,Never-married,Not-in-family,White,Male,7602,1363,48,1
37988,24,Private,197186,12,Never-married,Not-in-family,White,Male,0,2680,48,1
37989,17,Private,154076,10,Married-civ-spouse,Husband,White,Male,0,0,40,0
37990,43,Private,154076,10,Married-civ-spouse,Husband,White,Male,0,0,52,0
37991,59,Self-emp-inc,107287,10,Widowed,Unmarried,White,Female,0,950,50,0
37992,59,Self-emp-inc,107287,6,Widowed,Unmarried,White,Female,0,2163,50,0
37993,42,Private,153291,9,Widowed,Husband,White,Male,0,0,35,0
37994,42,Private,141058,9,Married-civ-spouse,Husband,Other,Male,0,0,35,0
37995,37,Without-pay,30796,12,Married-civ-spouse,Husband,White,Male,0,0,40,0
37996,84,Local-gov,259727,12,Married-civ-spouse,Husband,White,Male,0,0,40,0
37997,51,Private,229259,13,Married-civ-spouse,Unmarried,White,Male,0,597,45,0
37998,51,Private,229259,8,Married-civ-spouse,Husband,White,Male,0,0,95,0
37999,25,Without-pay,255647,9,Married-civ-spouse,Wife,White,Female,82950,0,25,1
38000,25,Private,255647,9,Married-civ-spouse,Wife,White,Female,68609,0,25,1
38001,45,Private,134639,15,Married-civ-spouse,Husband,White,Male,0,0,45,0
38002,45,Private,100829,2,Married-civ-spouse,Husband,White,Male,0,0,45,0
38003,39,Private,243409,8,Married-civ-spouse,Husband,White,Male,0,0,42,0
38004,39,Private,243409,9,Married-civ-spouse,Unmarried,White,Male,0,1543,60,0
38005,65,Private,164243,10,Married-civ-spouse,Husband,White,Male,0,0,70,0
38006,24,Without-pay,60783,10,Married-civ-spouse,Husband,White,Male,0,1749,70,0
38007,33,Self-emp-not-inc,266674,10,Married-civ-spouse,Husband,White,Male,4561,0,56,0
38008,33,Self-emp-not-inc,266674,10,Married-civ-spouse,Husband,White,Female,1760,0,56,0
38009,48,Self-emp-inc,36503,10,Married-civ-spouse,Husband,White,Male,0,1183,40,0
38010,48,Private,36503,10,Married-civ-spouse,Other-relative,White,Female,0,0,40,0
38011,45,Self-emp-not-inc,301802,13,Married-spouse-absent,Husband,White,Male,0,0,50,0
38012,45,Private,301802,13,Married-civ-spouse,Other-relative,White,Male,0,0,66,0
38013,34,Private,737315,15,Widowed,Husband,White,Male,3660,0,65,0
38014,34,Private,737315,15,Married-AF-spouse,Husband,White,Male,0,0,20,0
38015,37,Private,82622,10,Married-civ-spouse,Husband,White,Male,0,0,1,0
38016,37,Private,109133,10,Married-civ-spouse,Husband,White,Male,0,0,40,0
38017,56,Private,244580,9,Married-civ-spouse,Husband,White,Female,0,439,40,0
38018,56,Private,244580,9,Married-civ-spouse,Unmarried,White,Male,0,0,2,0
38019,27,State-gov,298635,14,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,0
